query,norm_attributes_json
Spindle Motors,"{""power_source"": ""Spindle Motors""}"
carbon brush size: 08 x 20 x 30mm,"{""carbon"": ""carbon brush"", ""brush size"": ""08 x 20 x 30mm""}"
1FK2104-6AF01-1SB0,"{""attribute"": ""1FK2104-6AF01-1SB0""}"
spal blower motor,"{""blower"": ""spal"", ""power source"": ""motor""}"
VDS Automatic Sliding Gate Motor,"{""gate type"": ""Automatic Sliding Gate"", ""model_number"": ""VDS"", ""power source"": ""Motor""}"
BLDC Motor Sa42bld002 - 3000 Rpm 24vdc 52 Watt,"{""motor_type"": ""BLDC Motor"", ""voltage"": ""24vdc"", ""speed"": ""Sa42bld002 - 3000 Rpm"", ""power"": ""52 Watt""}"
Electric Actuator,"{""actuator"": ""Electric Actuator""}"
Hollow Shaft Rotary Encoder :Jencoder,"{""Shaft Type"": ""Hollow Shaft"", ""Encoder"": ""Rotary Encoder :Jencoder""}"
75 acrylic square 2 x 2 inch piece Photo print Polaroid Fridge Magnets Neodymium Acrylic,"{""shape"": ""square"", ""brand"": ""Polaroid"", ""material"": ""Acrylic"", ""magnets"": ""Fridge Magnets"", ""size"": ""2 x 2 inch piece"", ""value"": ""75""}"
double shaft encoder gear motor,"{""key-value attributes"": ""double shaft encoder gear motor""}"
960 rpm 1 foot mounted 15 hp three phase electric motor,"{""speed"": ""960 rpm"", ""mounting"": ""mounted"", ""power"": ""15 hp three phase electric motor"", ""size"": ""1 foot""}"
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2104-6AF10-0MB0 1 kW,"{""motor_type"": ""SERVO MOTOR"", ""brand"": ""SIEMENS SIMOTICS"", ""model_number"": ""S-1FK2"", ""power"": ""1 kW"", ""part_number"": ""1FK2104-6AF10-0MB0""}"
Y07-59d1-17155 Stepper Motor,"{""attribute"": ""Stepper Motor"", ""query_id"": ""Y07-59d1-17155""}"
Schneider Electric BSH0703P11A2A Servo Motor,"{""motor_type"": ""Servo Motor"", ""brand"": ""Schneider Electric"", ""part_number"": ""BSH0703P11A2A""}"
bldc motor,"{""motor_type"": ""bldc motor""}"
double shaft gear motor,"{""power_source"": ""gear motor"", ""shafts"": ""double shaft""}"
ATS22 Softstarter Repair Service,"{""service"": ""Repair Service"", ""model_number"": ""ATS22"", ""feature"": ""Softstarter""}"
ac bus blower motor 24 v spal,"{""power_source"": ""ac bus blower motor"", ""voltage"": ""24 v"", ""brand"": ""spal""}"
dc motor 8 watt,"{""power"": ""8 watt"", ""motor"": ""dc motor""}"
crompton-greaves-industrial-motors,"{""brand"": ""crompton-greaves-industrial-motors""}"
bus  ac dual shaft 1330 RPM BLOWER FAN MOTOR,"{""shafts"": ""dual shaft"", ""speed"": ""1330 RPM"", ""blower fan motor"": ""BLOWER FAN MOTOR"", ""bus"": ""ac""}"
air  conditioning dual shaft 1330 RPM BLOWER FAN MOTOR,"{""shafts"": ""dual shaft"", ""speed"": ""1330 RPM"", ""blower fan motor"": ""BLOWER FAN MOTOR"", ""air conditioning"": ""air conditioning""}"
Siemens Servo Motors,"{""motors"": ""Siemens Servo Motors""}"
Kitchen Chimney Motor,"{""power_source"": ""Motor"", ""design_feature"": ""Chimney"", ""intended_use"": ""Kitchen""}"
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2106-4AF10-0MA0 2.7 kW,"{""power_consumption"": ""2.7 kW"", ""motor_type"": ""SERVO MOTOR"", ""model_number"": ""SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2106-4AF10-0MA0""}"
Slip Ring Motor,"{""motor_type"": ""Slip Ring Motor""}"
Break Motor,"{""attribute"": ""Break"", ""power_source"": ""Motor""}"
3 phase 15hp motor starter,"{""power"": ""3 phase"", ""motor"": ""15hp motor starter""}"
DC Carbon,"{""power_source"": ""DC"", ""carbon"": ""Carbon""}"
external motor rotor die casting,"{""type"": ""die casting"", ""motor"": ""external motor rotor""}"
c 10 micro 2900 bldc moter,"{""power_source"": ""bldc moter"", ""model_number"": ""c 10 micro 2900""}"
extra power breaker 1 power tool armature,"{""attribute"": ""extra power breaker"", ""part"": ""armature"", ""value"": ""1 power tool""}"
Gear Motor,"{""power_source"": ""Gear Motor""}"
Liquid Resistance Starter,"{""feature"": ""Liquid Resistance"", ""type"": ""Starter""}"
a c blower motor spal,"{""motor"": ""a c blower motor"", ""brand"": ""spal""}"
1HP Single Phase Godrej Lawkim Foot Mounted,"{""power"": ""1HP"", ""phase"": ""Single Phase"", ""mounting"": ""Foot Mounted"", ""brand"": ""Godrej Lawkim""}"
Automatic Sliding Gate Motor,"{""gate type"": ""Automatic Sliding Gate"", ""power source"": ""Motor""}"
fcma soft starter,"{""starter type"": ""soft starter"", ""model_number"": ""fcma""}"
three phase 1 mini dol automatic-switch,"{""phase"": ""three phase"", ""attribute"": ""automatic-switch"", ""size"": ""1 mini dol""}"
push button shutter motor,"{""feature"": ""motor"", ""operation"": ""push button shutter""}"
SIEMENS 1LE7501‑1BB23‑5AA4,"{""brand"": ""SIEMENS"", ""model_number"": ""1LE7501‑1BB23‑5AA4""}"
blower-motors,"{""power_source"": ""blower-motors""}"
Servo Motor Repairing Service,"{""service"": ""Repairing Service"", ""motor"": ""Servo Motor""}"
Petrosa Starter medium 200 Grams,"{""petrosa"": ""Starter medium"", ""weight"": ""200 Grams"", ""material"": ""Petrosa""}"
automatic switch,"{""attribute"": ""automatic switch""}"
Telescopic Linear Actuators,"{""actuators"": ""Linear"", ""design"": ""Telescopic""}"
speed on  outdoor motar,"{""attribute"": ""speed on"", ""type"": ""outdoor"", ""power_source"": ""motar""}"
Motor Automatic Switch,"{""feature"": ""Automatic Switch"", ""power source"": ""Motor""}"
speed on outdoor motar,"{""attribute"": ""speed on outdoor"", ""power_source"": ""motar""}"
Crompton Greaves Flameproof IE3 Motor,"{""Flameproof"": ""Flameproof"", ""Motor"": ""IE3 Motor"", ""Brand"": ""Crompton Greaves""}"
a c blower motor spal 24v,"{""blower type"": ""a c blower motor"", ""model_number"": ""spal 24v""}"
brake motor,"{""function"": ""brake motor""}"
star-delta-starter,"{""starter_type"": ""star-delta-starter""}"
deep vibrator motor,"{""feature"": ""deep vibrator motor""}"
Hydromatik Rexroth A2F-12-Wp6 Hydraulic Piston Motor,"{""Hydraulic System"": ""Hydromatik"", ""Brand"": ""Rexroth"", ""Model Number"": ""A2F-12-Wp6""}"
vibrator cover,"{""part_name"": ""cover"", ""function"": ""vibrator""}"
Rotork Yt 3300 Smart Positioner,"{""product_code"": ""Yt 3300"", ""attribute"": ""Smart Positioner"", ""brand"": ""Rotork""}"
Concrete Vibrator Motor,"{""feature"": ""Concrete Vibrator"", ""power_source"": ""Motor""}"
blower motors in port blair,"{""brand"": ""blair"", ""features"": ""in port"", ""power source"": ""motors"", ""accessory"": ""blower""}"
Hydromatik A2F-107 Hydraulic Piston Pump Motor,"{""Hydraulic System"": ""Piston Pump Motor"", ""Brand/Model"": ""Hydromatik A2F-107""}"
"Rexroth A2Fo180, A2Fm180, A2Fo160, A2Fm160 Drive Shaft And Bearing Assembly 50Mm","{""Drive"": ""Shaft And Bearing Assembly"", ""Model"": ""Rexroth A2Fo180, A2Fm180, A2Fo160, A2Fm160"", ""Size"": ""50Mm""}"
Brueninghaus Hydromatik Rexroth A2Fm-28/61 Hydraulic Piston Motor,"{""Hydraulic System"": ""Hydromatik Rexroth A2Fm-28/61"", ""Motor"": ""Hydraulic Piston Motor"", ""Brand"": ""Brueninghaus""}"
parker hydraulic motor,"{""motor"": ""hydraulic motor"", ""brand"": ""parker""}"
Kirloskar Three Phase Induction Motor,"{""motor_type"": ""Three Phase Induction Motor"", ""brand"": ""Kirloskar""}"
Three Phase Induction Motor,"{""power_source"": ""Three Phase Induction Motor""}"
Hanning Motor for Bentone Burner,"{""Motor"": ""Hanning Motor for Bentone Burner""}"
hyundai/kia clutch actuator,"{""actuator"": ""clutch actuator"", ""brand"": ""hyundai/kia""}"
Remi Centrifuge Carbon Brushes,"{""Centrifuge Type"": ""Remi"", ""Brushes"": ""Carbon""}"
2hp motor,"{""power"": ""2hp motor""}"
aluminium die cast rotors,"{""die type"": ""die cast rotors"", ""material"": ""aluminium""}"
bhavani induction motor,"{""motor_type"": ""induction motor"", ""brand"": ""bhavani""}"
DC Motor,"{""motor"": ""DC Motor""}"
Intermot hydro motors 800cc,"{""motor_type"": ""hydro motors"", ""cc"": ""800cc"", ""brand"": ""Intermot""}"
Mobile Starter,"{""starter type"": ""Mobile"", ""feature"": ""Mobile Starter""}"
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2204-5AK01-0MB0 0.12 kW,"{""power_consumption"": ""0.12 kW"", ""model_number"": ""SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2204-5AK01-0MB0""}"
Single Phase Induction Motor,"{""power_source"": ""Single Phase Induction Motor""}"
5 watts motor rexnord rec-8313-05-a2,"{""power"": ""5 watts"", ""motor"": ""rexnord"", ""part_number"": ""rec-8313-05-a2""}"
AC Fan Motor,"{""fan_motor_type"": ""AC Fan Motor""}"
helical-geared-motor,"{""mechanism"": ""helical-geared-motor""}"
three phase electric motor 20 hp 960 rpm,"{""phase"": ""three phase"", ""motor"": ""electric motor"", ""speed"": ""960 rpm"", ""power"": ""20 hp""}"
three phase electric motor near agra 20 hp 960 rpm,"{""phase"": ""three phase"", ""motor"": ""electric motor"", ""location"": ""near agra"", ""speed"": ""960 rpm"", ""power"": ""20 hp""}"
gsm mobile starter,"{""starter"": ""gsm mobile"", ""power"": ""mobile starter""}"
Domestic Appliance Motors,"{""power_source"": ""Motors"", ""intended_use"": ""Domestic Appliance""}"
schneider soft starter,"{""starter type"": ""soft starter"", ""schedule"": ""schneider""}"
Door han,"{""door"": ""han""}"
linear-actuators,"{""actuators"": ""linear-actuators""}"
Motor Starter,"{""attribute"": ""Motor Starter""}"
Three Phase Electric Motor,"{""power_source"": ""Three Phase Electric Motor""}"
l t mpower pro mobile motor starter,"{""power"": ""pro mobile motor starter"", ""model_name"": ""l t mpower""}"
Kenstar Air Cooler Motor With Pump,"{""product_type"": ""Air Cooler"", ""features"": ""Motor With Pump"", ""brand"": ""Kenstar""}"
Three Phase Motor,"{""power_source"": ""Three Phase Motor""}"
Pneumatic Actuators,"{""actuators"": ""Pneumatic Actuators""}"
Crane Duty Geared Motor With Brake,"{""Feature"": ""Crane Duty"", ""Drive System"": ""Geared Motor With Brake""}"
1000 n (100 kg) 1 100 mm 24 v telescopic linear actuators,"{""actuators"": ""telescopic linear actuators"", ""voltage"": ""24 v"", ""size"": ""100 mm"", ""quantity"": ""1"", ""weight"": ""n (100 kg)"", ""value"": ""1000""}"
Pneumatic Rotary Actuators,"{""actuators"": ""Pneumatic Rotary Actuators""}"
Petrosa Starter medium,"{""starter"": ""medium"", ""brand"": ""Petrosa"", ""product_type"": ""Pet""}"
Pneumatic Rotary Actuator,"{""actuator"": ""Pneumatic Rotary Actuator""}"
Shade Pole Rexnord c Frame Motor Rec-6110-A2,"{""Frame"": ""c Frame"", ""Motor"": ""Motor"", ""Brand"": ""Rexnord"", ""Attribute"": ""Shade Pole"", ""Part_Number"": ""Rec-6110-A2""}"
dc motor bush,"{""motor"": ""dc motor"", ""part"": ""bush""}"
crompton motors 20 hp 3 phase 960 rpm,"{""speed"": ""960 rpm"", ""power"": ""20 hp"", ""phase"": ""3 phase"", ""brand"": ""crompton motors""}"
geared motors,"{""power_source"": ""geared motors""}"
ball screw or belt driven actuator,"{""drive_mechanism"": ""actuator"", ""mechanism"": ""ball screw or belt driven""}"
Die Cast Rotors,"{""type"": ""Die Cast Rotors""}"
Crompton Greaves Motor,"{""brand"": ""Crompton Greaves"", ""power_source"": ""Motor""}"
automation switches,"{""feature"": ""automation"", ""type"": ""switches""}"
क्लीनर प्रोडक्ट के लिए केमिकल कहां मिलता है,"{""product_type"": ""क्लीनर प्रोडक्ट के लिए"", ""chemical_nature"": ""केमिकल"", ""availability"": ""कहां मिलता है""}"
Aluminium Bell Housing,"{""housing"": ""Bell"", ""material"": ""Aluminium""}"
crompton motors 20 hp 3 phase near khair 960 rpm,"{""motor"": ""crompton motors"", ""power"": ""20 hp"", ""phase"": ""3 phase"", ""speed"": ""near khair 960 rpm""}"
SIEMENS 1FL6064-1AC61-2LA1 SIMOTICS S-1FL6-1FL6 Operating voltage 3AC 400 V,"{""voltage"": ""Operating voltage 3AC 400 V"", ""model_number"": ""SIEMENS 1FL6064-1AC61-2LA1 SIMOTICS S-1FL6-1FL6""}"
Danfoss/Eaton Char-Lynn 2000 series,"{""series"": ""2000 series"", ""brand"": ""Danfoss/Eaton"", ""name"": ""Char-Lynn""}"
crompton greaves motors 20 hp 3 phase,"{""brand"": ""crompton greaves"", ""power"": ""20 hp"", ""phase"": ""3 phase"", ""motors"": ""motors""}"
Landt Motor Starter Mk1 Direct On Line (dol) (mk1 Dol 9-14 A.),"{""product_code"": ""Dol 9-14 A."", ""motor_starter"": ""Landt Motor Starter"", ""line"": ""Direct On Line (dol)"", ""mark"": ""Mk1""}"
fdhhdfh,"{""key-value attributes"": ""fdhhdfh""}"
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR  1FK2106-4AF01-1SA0 2.7 kW,"{""power_consumption"": ""2.7 kW"", ""motor_type"": ""SERVO MOTOR"", ""model_number"": ""SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2106-4AF01-1SA0""}"
Vibration Motor,"{""power_source"": ""Vibration Motor""}"
Remi Geared Motor,"{""motor_type"": ""Remi Geared Motor""}"
Tata Signa Bs4 Blower Motor,"{""product_name"": ""Tata Signa"", ""model_number"": ""Bs4"", ""blower"": ""Motor""}"
Allen Bradley SMC-3 43A Smart Motor starer,"{""motor_type"": ""Smart Motor"", ""model_number"": ""SMC-3"", ""brand"": ""Allen Bradley"", ""attribute"": ""starer"", ""part_number"": ""43A""}"
skill-3220-armature-powerbilt(9683),"{""skill-level"": ""skill-3220-armature-powerbilt(9683)""}"
50W Wall Fan Motor,"{""power"": ""50W"", ""type"": ""Wall Fan"", ""motor"": ""Fan Motor""}"
m9mz90g4yga panasonic gear motor /90watt/ three phase,"{""brand"": ""panasonic"", ""motor_details"": ""gear motor /90watt/ three phase"", ""model_number"": ""m9mz90g4yga""}"
ll braider soft starer,"{""product_type"": ""ll braider soft starer""}"
kollmorgen servo motors akm63k-anc2r-00,"{""model_number"": ""akm63k-anc2r-00"", ""brand"": ""kollmorgen"", ""motors"": ""servo motors""}"
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2204-5AK01-1MB0 0.12 kW,"{""power_consumption"": ""0.12 kW"", ""model_number"": ""SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2204-5AK01-1MB0""}"
Crane Current Collector Carbon Brush,"{""feature"": ""Current Collector"", ""part"": ""Carbon Brush"", ""equipment"": ""Crane""}"
Pneumatic Actuatos,"{""actuators"": ""Pneumatic""}"
1440 rpm three phase 9841043643 3 hp crompton greaves motor,"{""rpm"": ""1440"", ""phase"": ""three phase"", ""hp"": ""3 hp"", ""motor"": ""motor"", ""serial_number"": ""9841043643"", ""brand"": ""crompton greaves""}"
horse power,"{""power_source"": ""horse power""}"
Terminal plate,"{""plate"": ""Terminal plate""}"
dc brake motors in mumbai,"{""location"": ""in mumbai"", ""features"": ""dc brake motors""}"
hindustan ac motor,"{""motor"": ""hindustan ac motor""}"
24 inch three phase 4 exhaust fan fibre,"{""phase"": ""three phase"", ""attribute"": ""fibre"", ""size"": ""24 inch"", ""part"": ""exhaust fan""}"
panasonic-ac-servo-motor,"{""motor_type"": ""panasonic-ac-servo-motor""}"
three phase 1 piece 5 hp 2800 rpm 3.7 KW 5HP Crompton Greaves Motor 1500 rpm,"{""power_consumption"": ""3.7 KW"", ""motor_speed"": ""1500 rpm"", ""brand"": ""Crompton Greaves Motor"", ""hp"": ""5HP"", ""speed"": ""2800 rpm"", ""quantity"": ""1 piece"", ""phase"": ""three phase"", ""hp_rating"": ""5hp""}"
3 Phase Motor Starter,"{""power_source"": ""3 Phase Motor Starter""}"
0.5 hp motor,"{""power"": ""0.5 hp motor""}"
ac-fan-motor,"{""power_source"": ""ac-fan-motor""}"
L&T Mpower Pro Mobile Motor Starter,"{""brand"": ""L&T"", ""power"": ""Mpower Pro Mobile Motor Starter""}"
linear actuator purlin,"{""actuator"": ""linear actuator"", ""purlin"": ""purlin""}"
1 piece Allen Bradley Soft Starters,"{""quantity"": ""1 piece"", ""brand"": ""Allen Bradley"", ""feature"": ""Soft Starters""}"
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2210-3AB01-1SB0 4.5 kW,"{""motor_type"": ""SERVO MOTOR"", ""power_output"": ""4.5 kW"", ""model_number"": ""SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2210-3AB01-1SB0""}"
dg geared motor,"{""motor_type"": ""geared motor"", ""dg"": ""dg""}"
Alternator Stator Core,"{""Core"": ""Alternator Stator"", ""Part"": ""Core""}"
servo motors repairs,"{""services"": ""repairs"", ""power_source"": ""servo motors""}"
Motor Carbon Brushes,"{""key-value attributes"": ""Motor Carbon Brushes""}"
Pmdc Stirrer Motor,"{""motor"": ""Stirrer Motor"", ""model_number"": ""Pmdc""}"
dol-starter,"{""attribute"": ""dol-starter""}"
Fan Motor,"{""component"": ""Fan Motor""}"
Three Phase Motors Crompton Greaves,"{""phase"": ""Three Phase Motors"", ""brand"": ""Crompton Greaves""}"
TR 7 25x50 Holder,"{""holder"": ""Holder"", ""model_number"": ""TR 7"", ""dimensions"": ""25x50""}"
End Shield Cover,"{""feature"": ""End Shield Cover""}"
three phase 3.7 kw crompton greaves induction motor,"{""motor_type"": ""induction motor"", ""phase"": ""three phase"", ""brand"": ""crompton greaves"", ""power_consumption"": ""3.7 kw""}"
1 for business use piece 22 kw Allen Bradley 150-C43NBD SMC-3 Soft Starter 43A 480V 3-Phase 100-240V AC Control,"{""power"": ""22 kw"", ""brand"": ""Allen Bradley"", ""model_number"": ""SMC-3"", ""control"": ""Soft Starter"", ""voltage"": ""43A 480V 3-Phase 100-240V AC Control"", ""quantity"": ""piece"", ""use"": ""1 for business use"", ""part_number"": ""150-C43NBD""}"
3.7 kw crompton greaves induction motor,"{""motor_type"": ""induction motor"", ""brand"": ""crompton greaves"", ""power_consumption"": ""3.7 kw""}"
Direct On Line Starter DOL Motor Starter (DMC),"{""motor_type"": ""DOL Motor Starter (DMC)"", ""operation"": ""Direct On Line Starter""}"
crompton greaves induction motor,"{""motor_type"": ""induction motor"", ""brand"": ""crompton greaves""}"
three phase-motors,"{""power_source"": ""three phase-motors""}"
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2104-6AF10-0MB0,"{""motor_type"": ""SERVO MOTOR"", ""model_number"": ""SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2104-6AF10-0MB0""}"
Stators,"{""components"": ""Stators""}"
1 fan motor,"{""attribute"": ""1 fan motor""}"
Makita MT-958 Armature By PowerSpeed,"{""model_number"": ""MT-958"", ""power_source"": ""Armature By PowerSpeed"", ""brand"": ""Makita""}"
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2106-4AF01-1MA0  2.7 kW,"{""power_consumption"": ""2.7 kW"", ""motor_type"": ""SERVO MOTOR"", ""model_number"": ""SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2106-4AF01-1MA0""}"
KOLLMORGEN Servo Motors,"{""brand"": ""KOLLMORGEN"", ""power_source"": ""Servo Motors""}"
10 HP Transtech Gear Electric Motor,"{""brand"": ""Transtech"", ""power"": ""10 HP"", ""mechanism"": ""Gear Electric Motor""}"
Hollow Shaft Type Incremental Rotary Encoder,"{""Shaft Type"": ""Hollow Shaft Type"", ""Encoder"": ""Incremental Rotary Encoder""}"
Ti Motion Linear Actuator,"{""actuator"": ""Linear Actuator"", ""material"": ""Ti Motion""}"
Rhino+12V+DC+30RPM+70Kgcm+IG32+Heavy+Duty+Planetary+Geared+Motor,"{""Key-Value Attributes"": [""Rhino+12V+DC+30RPM+70Kgcm+IG32+"", ""Heavy+Duty+Planetary+Geared+Motor""]}"
1FK2104-6AF10-0MB0,"{""attribute"": ""1FK2104-6AF10-0MB0""}"
dual shaft 1330 RPM BLOWER FAN MOTOR,"{""shafts"": ""dual shaft"", ""speed"": ""1330 RPM"", ""blower"": ""BLOWER FAN MOTOR""}"
Worm Geared Motor,"{""drive_type"": ""Worm Geared Motor""}"
3 Phase Electric Motor,"{""power_source"": ""3 Phase Electric Motor""}"
linear 1 festo actuators,"{""actuators"": ""1 festo actuators"", ""shape"": ""linear""}"
FL57BLS01-24V-10000A- Regular BLDC Motor,"{""Motor"": ""Regular BLDC Motor"", ""Model Number"": ""FL57BLS01-24V-10000A-""}"
starter,"{""attribute"": ""starter""}"
motor starter controller,"{""controller"": ""motor starter controller""}"
EG224 Grade DC Motor Carbon Brush,"{""Motor"": ""DC Motor"", ""Brush"": ""Carbon Brush"", ""Grade"": ""Grade DC"", ""Model"": ""EG224""}"
mini motors,"{""power_source"": ""mini motors""}"
Air Vane Motor,"{""motor_type"": ""Air Vane Motor""}"
1 HP Impel VGGH25 Electric Motor,"{""power"": ""1 HP"", ""motor"": ""Electric Motor"", ""model_number"": ""Impel VGGH25""}"
dc fan motor 15 20 watt,"{""fan motor"": ""dc fan motor"", ""value"": ""15"", ""wattage"": ""20 watt""}"
fan motor 25 30 watt,"{""fan"": ""fan motor"", ""power"": ""30 watt"", ""value"": ""25""}"
3-phase-motor-starter,"{""power_supply"": ""3-phase-motor-starter""}"
Electric Motors and Components,"{""power_source"": ""Electric Motors and Components""}"
three phase l&t mpower pro mobile motor starter,"{""power_source"": ""three phase"", ""brand"": ""l&t mpower pro"", ""motor_starter"": ""pro mobile motor""}"
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2104-6AF10-0SB0 1 kW,"{""motor_type"": ""SERVO MOTOR"", ""model_number"": ""SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2104-6AF10-0SB0"", ""power"": ""1 kW""}"
Motor Terminal Plate,"{""part"": ""Terminal Plate"", ""power source"": ""Motor""}"
1 hp bench polisher motor,"{""power"": ""1 hp"", ""product"": ""bench polisher motor""}"
Air Conditioner Motor,"{""feature"": ""Air Conditioner"", ""power_source"": ""Motor""}"
partition frames for motor,{}
FL28STH51-0674AF-Hybrid Stepper Motor,"{""motor_type"": ""Stepper Motor"", ""model_number"": ""FL28STH51-0674AF-Hybrid""}"
Electrical carbon Brushes,"{""type"": ""Electrical"", ""carbon"": ""Brushes""}"
Vibratory Motor Foot Mounted,"{""Mounting"": ""Foot Mounted"", ""Type"": ""Vibratory Motor""}"
Omp Series Orbital Motors,"{""Series"": ""Omp Series"", ""Motors"": ""Orbital Motors""}"
Hydraulic Motor bmr,"{""motor"": ""Hydraulic Motor"", ""brand"": ""bmr""}"
25 Amp Motor Starter Fresh Material,"{""power_source"": ""25 Amp Motor Starter"", ""material"": ""Fresh Material""}"
M S Hydraulic Motor,"{""motor_type"": ""M S Hydraulic Motor""}"
Jyoti Motor Starter And Starter Oil Set,"{""attribute"": ""Jyoti"", ""set"": ""Oil Set"", ""power_source"": ""Motor Starter And Starter""}"
FL57BL01-24V-1500AD Brushless Motor,"{""motor_type"": ""Brushless Motor"", ""model_number"": ""FL57BL01-24V-1500AD""}"
MIG PMDC MOTOR 24V/42V,"{""motor_type"": ""PMDC MOTOR"", ""voltage"": ""24V/42V"", ""model"": ""MIG""}"
500 rpm mig pmdc motor 24v/42v,"{""motor"": ""mig pmdc motor"", ""speed"": ""500 rpm"", ""voltage"": ""24v/42v""}"
2 hp three phase motor,"{""power"": ""two hp"", ""motor"": ""three phase motor""}"
Havells Electric Motor,"{""motor"": ""Electric Motor"", ""brand"": ""Havells""}"
2 200 w chimney motor,"{""motor"": ""chimney motor"", ""value_1"": ""2"", ""value_2"": ""200 w""}"
Synchronous Motor,"{""motor_type"": ""Synchronous Motor""}"
FL57BLB60 Regular BLDC Motor,"{""motor_type"": ""Regular BLDC Motor"", ""model_number"": ""FL57BLB60""}"
Cooler Motor 7 Sutt,"{""attribute"": ""7 Sutt"", ""motor"": ""Cooler Motor""}"
Vintage Industrial Motor,"{""motor_type"": ""Industrial Motor"", ""style"": ""Vintage""}"
fan-motors,"{""power_source"": ""fan-motors""}"
mig pmdc motor 24v 42v,"{""motor"": ""mig pmdc motor"", ""voltage"": ""24v"", ""voltage_setting"": ""42v""}"
Single Phase AC Synchronous Motor,"{""motor_type"": ""Single Phase AC Synchronous Motor""}"
9607 HB / 9609 HB Makita Armature By PowerSpeed,"{""model_number"": ""HB / 9609 HB"", ""power_source"": ""Armature By PowerSpeed"", ""query_number"": ""9607"", ""brand"": ""Makita""}"
parallel shaft helical geard motor,"{""drive_mechanism"": ""parallel shaft helical geard motor""}"
1 phase electric motor,"{""power_source"": ""1 phase electric motor""}"
Gsm Mobile Starter Pcb,"{""key_value_attributes"": ""Gsm Mobile Starter Pcb""}"
shaded pole motors with fan,"{""features"": ""shaded pole motors with fan""}"
Cooler Motor 1 Inch Kit (aluminium),"{""item"": ""Kit (aluminium)"", ""feature"": ""Cooler Motor"", ""size"": ""1 Inch""}"
Autonic Shaft Encoder,"{""Shaft Encoder"": ""Autonic""}"
door-motor,"{""motor_location"": ""door-motor""}"
"200W AC Servo Brake Motor & Drive LSELM1S-0200DH60E-SS,   LSEL6-D400Z / LSELP-RS400Z(Analog Control)","{""power_consumption"": ""200W AC Servo Brake Motor & Drive"", ""model_number"": ""LSELM1S-0200DH60E-SS,   LSEL6-D400Z / LSELP-RS400Z(Analog Control)""}"
65X50X25MM CARBON BRUSH,"{""attribute"": ""CARBON BRUSH"", ""dimensions"": ""65X50X25MM""}"
shaded+pole+motors,"{""power_source"": ""shaded+pole+motors""}"
Shaded Pole Motors,"{""pole"": ""Motors"", ""feature"": ""Shaded""}"
105 Wat Single Phase Cooler Motor,"{""power"": ""105 Wat"", ""phase"": ""Single Phase"", ""feature"": ""Cooler Motor""}"
FL60STH65-2008AF Hybrid Stepper Motor,"{""model_number"": ""FL60STH65-2008AF"", ""motor_type"": ""Hybrid Stepper Motor""}"
FL42BLSL01- Regular BLDC Motor,"{""motor_type"": ""Regular BLDC Motor"", ""model_number"": ""FL42BLSL01""}"
single phase cooler motor,"{""power_source"": ""single phase"", ""feature"": ""cooler motor""}"
4000w bldc motor / 4kw bldc motor for electric car / electric motor for gokart,"{""motor_type"": ""bldc motor / 4kw bldc motor for electric car / electric motor for gokart"", ""power"": ""4000w""}"
Mitsubishi Servo Motors,"{""motors"": ""Mitsubishi Servo Motors""}"
FL42STH60-0854AF- Hybrid Stepper Motor,"{""model_number"": ""FL42STH60-0854AF- Hybrid Stepper Motor""}"
Single Phase Motor Starter,"{""power_source"": ""Single Phase Motor Starter""}"
170M7167-6500A,"{""query_id"": ""170M7167-6500A""}"
Chimney Motor,"{""power_source"": ""Chimney Motor""}"
sewing-machine-motor-armature,"{""power_source"": ""sewing-machine-motor-armature""}"
amdo cooler motor,"{""product_type"": ""amdo cooler"", ""power_source"": ""motor""}"
hindustan,"{""origin"": ""hindustan""}"
crompton greaves vfdc,"{""vfdc"": ""crompton greaves""}"
Carbon Brush Holder,{}
370W Electric Sliding Gate Motor,"{""power"": ""370W"", ""motor"": ""Electric Sliding Gate Motor""}"
foot cum flange mounted electric motor,{}
FL42BLSL02- Regular BLDC Motor,"{""motor_type"": ""Regular BLDC Motor"", ""model_number"": ""FL42BLSL02-""}"
Electro Pneumatic Valve Positioner,"{""function"": ""Electro Pneumatic Valve Positioner""}"
DC motor 5.5,"{""motor"": ""DC motor"", ""value"": ""5.5""}"
