query,gt_attr_count,qmeans_attr_count,gt_attributes,qmeans_attributes,matched_key_count,key_match_rate_%,matched_keys,matched_key_priorities,value_match_count,value_match_rate_%,matched_values_detail,value_mismatch_detail,missing_gt_keys,missing_key_priorities,extra_qmeans_keys,extra_qmeans_key_count,critical_missing_key,assessment
Direct oil immersed starter skn Kelson U Kit Set,2,0,brand=SKN Kelson; product_type=motor starter,(empty),0,0.0,(none),(none),0,0.0,(none),(none),brand=SKN Kelson; product_type=motor starter,brand(P1); product_type(P6),(none),0,brand(P1),NO_KEY_MATCH
Rolling Shutter Motor,1,1,usage=rolling shutter,usage=rolling shutter,1,100.0,usage,usage(P9),1,100.0,usage: GT=rolling shutter | QM=rolling shutter,(none),(none),(none),(none),0,(none),PERFECT_MATCH
Delton Three Single Phase Oil Starter,3,2,brand=Delton; phase=single phase; product_type=motor starter,brand=delton; phase=three single phase,2,66.7,brand; phase,brand(P1); phase(P7),2,66.7,brand: GT=Delton | QM=delton; phase: GT=single phase | QM=three single phase,(none),product_type=motor starter,product_type(P6),(none),0,product_type(P6),PARTIAL_MATCH
Shaft Encoder,1,1,product_type=encoder,product=encoder,1,100.0,product_type,product_type(P6),1,100.0,product_type: GT=encoder | QM=encoder,(none),(none),(none),(none),0,(none),PERFECT_MATCH
CTV 110 Unimotion Servo Motor,1,1,motor_type=servo motor,model name/number=ctv 110,0,0.0,(none),(none),0,0.0,(none),(none),motor_type=servo motor,motor_type(P2),(none),0,motor_type(P2),NO_KEY_MATCH
Crompton Single Phase Motor,2,3,brand=Crompton; phase=single phase,brand=crompton; part type=motor; phase=single phase,2,100.0,brand; phase,brand(P1); phase(P7),2,100.0,brand: GT=Crompton | QM=crompton; phase: GT=single phase | QM=single phase,(none),(none),(none),(none),0,(none),PERFECT_MATCH
crompton single phase cooler motor,3,3,brand=Crompton; phase=single phase; usage=cooler,usage=cooler motor; brand=crompton; phase=single phase,3,100.0,brand; phase; usage,brand(P1); phase(P7); usage(P9),3,100.0,brand: GT=Crompton | QM=crompton; phase: GT=single phase | QM=single phase; usage: GT=cooler | QM=cooler motor,(none),(none),(none),(none),0,(none),PERFECT_MATCH
crompton greaves energy efficient motor,1,1,brand=Crompton Greaves,brand=crompton,1,100.0,brand,brand(P1),1,100.0,brand: GT=Crompton Greaves | QM=crompton,(none),(none),(none),(none),0,(none),PERFECT_MATCH
180 Watt Electro Magnetic Brake Motor,1,2,power=180 W,power=180 watt; motor type=electro magnetic brake,1,100.0,power,power(P3),1,100.0,power: GT=180 W | QM=180 watt,(none),(none),(none),(none),0,(none),PERFECT_MATCH
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2104-5AK00-0SB0 0.12 kW,4,4,brand=Siemens; power=0.12 KW; motor_type=servo motor; model_number=1FK2104-5AK00-0SB0,power=0.12 kw; model name/number=1fk2104-5ak00-0sb0; usage=servo motor; brand=siemens,3,75.0,brand; power; model_number,brand(P1); power(P3); model_number(P5),3,75.0,brand: GT=Siemens | QM=siemens; power: GT=0.12 KW | QM=0.12 kw; model_number: GT=1FK2104-5AK00-0SB0 | QM=1fk2104-5ak00-0sb0,(none),motor_type=servo motor,motor_type(P2),(none),0,motor_type(P2),PARTIAL_MATCH
SIEMENS SIMOTICS S-1FK2 SERVO MOTER 1FK2106-4AF10-0SA0 2.7 kW,4,2,brand=Siemens; power=2.7 KW; motor_type=servo motor; model_number=1FK2106-4AF10-0SA0,output power=2.7 kw; brand=siemens,2,50.0,brand; power,brand(P1); power(P3),2,50.0,brand: GT=Siemens | QM=siemens; power: GT=2.7 KW | QM=2.7 kw,(none),motor_type=servo motor; model_number=1FK2106-4AF10-0SA0,motor_type(P2); model_number(P5),(none),0,motor_type(P2),PARTIAL_MATCH
Servo Motor,1,0,motor_type=servo motor,(empty),0,0.0,(none),(none),0,0.0,(none),(none),motor_type=servo motor,motor_type(P2),(none),0,motor_type(P2),NO_KEY_MATCH
copper sewing machine motor armature,3,3,product_type=armature; usage=sewing machine; material=copper,motor part type=armature; material type=copper; usage=sewing machine,3,100.0,product_type; usage; material,product_type(P6); usage(P9); material(P16),3,100.0,product_type: GT=armature | QM=armature; usage: GT=sewing machine | QM=sewing machine; material: GT=copper | QM=copper,(none),(none),(none),(none),0,(none),PERFECT_MATCH
cooler motor high speed,1,2,usage=cooler,usage=cooler motor; speed=high speed,1,100.0,usage,usage(P9),1,100.0,usage: GT=cooler | QM=cooler motor,(none),(none),(none),(none),0,(none),PERFECT_MATCH
cooler hee motor,1,2,usage=cooler,usage=cooler; part type=motor,1,100.0,usage,usage(P9),1,100.0,usage: GT=cooler | QM=cooler,(none),(none),(none),(none),0,(none),PERFECT_MATCH
Kerovit Ege Actuation Plate,0,2,(empty),product=actuation plate; brand=kerovit,0,N/A,(none),(none),0,N/A,(none),(none),(none),(none),(none),0,(none),NO_GT_ATTRIBUTES
ABB Soft Starters,2,2,brand=ABB; product_type=soft starter,brand=abb; starter type=soft,1,50.0,brand,brand(P1),1,50.0,brand: GT=ABB | QM=abb,(none),product_type=soft starter,product_type(P6),starter type=soft,1,product_type(P6),PARTIAL_MATCH
Bullet Farrata Fan Motor,1,2,usage=fan,usage=farrata fan; part type=motor,1,100.0,usage,usage(P9),1,100.0,usage: GT=fan | QM=farrata fan,(none),(none),(none),(none),0,(none),PERFECT_MATCH
happymodel motor,1,1,brand=Happymodel,part type=motor,0,0.0,(none),(none),0,0.0,(none),(none),brand=Happymodel,brand(P1),(none),0,brand(P1),NO_KEY_MATCH
Double Shaft Motor,1,0,shaft_type=dual shaft,(empty),0,0.0,(none),(none),0,0.0,(none),(none),shaft_type=dual shaft,shaft_type(P15),(none),0,shaft_type(P15),NO_KEY_MATCH
incubator turning motor,1,2,usage=incubator,usage=incubator; type=turning motor,1,100.0,usage,usage(P9),1,100.0,usage: GT=incubator | QM=incubator,(none),(none),(none),(none),0,(none),PERFECT_MATCH
abb motor,1,2,brand=ABB,brand=abb; part type=motor,1,100.0,brand,brand(P1),1,100.0,brand: GT=ABB | QM=abb,(none),(none),(none),(none),0,(none),PERFECT_MATCH
2hp single phase motor cg model gf7010,2,3,power=2 HP; phase=single phase,power=2hp; model name/number=gf7010; phase=single phase,2,100.0,power; phase,power(P3); phase(P7),1,50.0,phase: GT=single phase | QM=single phase,power: GT=2 HP | QM=2hp,(none),(none),(none),0,(none),ALL_KEYS_MATCHED_SOME_VALUES_DIFFER
2hp single phase motor near kolkata cg model no gf7010,2,3,power=2 HP; phase=single phase,power=2hp; model name/number=gf7010; phase=single phase,2,100.0,power; phase,power(P3); phase(P7),1,50.0,phase: GT=single phase | QM=single phase,power: GT=2 HP | QM=2hp,(none),(none),(none),0,(none),ALL_KEYS_MATCHED_SOME_VALUES_DIFFER
100 HP Slip Ring Motor Starter,2,3,power=100 HP; motor_type=slip ring motor,power=100 hp; usage=motor starter; starter type=slip ring,1,50.0,power,power(P3),1,50.0,power: GT=100 HP | QM=100 hp,(none),motor_type=slip ring motor,motor_type(P2),starter type=slip ring,1,motor_type(P2),PARTIAL_MATCH
battery operated pmdc motor,1,2,motor_type=PMDC motor,power source=battery; motor type=pmdc,1,100.0,motor_type,motor_type(P2),1,100.0,motor_type: GT=PMDC motor | QM=pmdc,(none),(none),(none),power source=battery,1,(none),PERFECT_MATCH
Automatic Door Motor,1,2,usage=door,automation grade=automatic; usage=door,1,100.0,usage,usage(P9),1,100.0,usage: GT=door | QM=door,(none),(none),(none),automation grade=automatic,1,(none),PERFECT_MATCH
Automatic Rolling Shutters Motor,1,2,usage=rolling shutter,automation grade=automatic; usage=rolling shutters,1,100.0,usage,usage(P9),1,100.0,usage: GT=rolling shutter | QM=rolling shutters,(none),(none),(none),automation grade=automatic,1,(none),PERFECT_MATCH
Nxu Gear Brake Motor In Pune,1,1,product_type=motor,motor type=gear brake motor,0,0.0,(none),(none),0,0.0,(none),(none),product_type=motor,product_type(P6),(none),0,product_type(P6),NO_KEY_MATCH
Bosch Carbon Brushes,2,2,brand=Bosch; product_type=carbon brush,brand=bosch; product=carbon brushes,2,100.0,brand; product_type,brand(P1); product_type(P6),2,100.0,brand: GT=Bosch | QM=bosch; product_type: GT=carbon brush | QM=carbon brushes,(none),(none),(none),(none),0,(none),PERFECT_MATCH
1 piece 750 watt 3000 rpm AC Servo Motor,3,4,power=750 W; speed=3000 RPM; motor_type=servo motor,speed=3000 rpm; power=750 watt; motor type=ac; product=servo motor,3,100.0,power; speed; motor_type,power(P3); speed(P8); motor_type(P2),2,66.7,power: GT=750 W | QM=750 watt; speed: GT=3000 RPM | QM=3000 rpm,motor_type: GT=servo motor | QM=ac,(none),(none),(none),0,(none),ALL_KEYS_MATCHED_SOME_VALUES_DIFFER
Arun D O L Motor Starter,2,2,brand=Arun; product_type=motor starter,brand=arun; usage=motor starter,1,50.0,brand,brand(P1),1,50.0,brand: GT=Arun | QM=arun,(none),product_type=motor starter,product_type(P6),(none),0,product_type(P6),PARTIAL_MATCH
v12 mobile starter,1,1,product_type=motor starter,model name/number=v12,0,0.0,(none),(none),0,0.0,(none),(none),product_type=motor starter,product_type(P6),(none),0,product_type(P6),NO_KEY_MATCH
1 hp motor,1,2,power=1 HP,power=1 hp; part type=motor,1,100.0,power,power(P3),1,100.0,power: GT=1 HP | QM=1 hp,(none),(none),(none),(none),0,(none),PERFECT_MATCH
angle grinder armature,1,2,product_type=armature,usage=angle grinder; motor part type=armature,1,100.0,product_type,product_type(P6),1,100.0,product_type: GT=armature | QM=armature,(none),(none),(none),(none),0,(none),PERFECT_MATCH
ola motor,1,2,product_type=motor,part type=motor; brand=ola,1,100.0,product_type,product_type(P6),1,100.0,product_type: GT=motor | QM=motor,(none),(none),(none),(none),0,(none),PERFECT_MATCH
altistart 22 soft starters,1,2,product_type=soft starter,model name/number=altistart 22; starter type=soft,0,0.0,(none),(none),0,0.0,(none),(none),product_type=soft starter,product_type(P6),starter type=soft,1,product_type(P6),NO_KEY_MATCH
tawagawa hollow encoder ts 5700n8500,1,1,product_type=encoder,encoder type=hollow encoder,0,0.0,(none),(none),0,0.0,(none),(none),product_type=encoder,product_type(P6),encoder type=hollow encoder,1,product_type(P6),NO_KEY_MATCH
tawagawa hollow encoder ts-5700n8500,1,1,product_type=encoder,encoder type=hollow encoder,0,0.0,(none),(none),0,0.0,(none),(none),product_type=encoder,product_type(P6),encoder type=hollow encoder,1,product_type(P6),NO_KEY_MATCH
actuator model %3A rr a50 d,1,1,product_type=actuator,model name/number=%3a rr a50 d,0,0.0,(none),(none),0,0.0,(none),(none),product_type=actuator,product_type(P6),(none),0,product_type(P6),NO_KEY_MATCH
86HS120 Two Phase Stepper Motor,2,3,phase=two phase; motor_type=stepper motor,model name/number=86hs120; motor type=stepper motor; phase=two phase,2,100.0,phase; motor_type,phase(P7); motor_type(P2),2,100.0,phase: GT=two phase | QM=two phase; motor_type: GT=stepper motor | QM=stepper motor,(none),(none),(none),(none),0,(none),PERFECT_MATCH
86 HS 65 Two Phase Stepper Motor,2,3,phase=two phase; motor_type=stepper motor,model name/number=86 hs 65; motor type=stepper motor; phase=two phase,2,100.0,phase; motor_type,phase(P7); motor_type(P2),2,100.0,phase: GT=two phase | QM=two phase; motor_type: GT=stepper motor | QM=stepper motor,(none),(none),(none),(none),0,(none),PERFECT_MATCH
Ola motot,0,1,(empty),brand=ola,0,N/A,(none),(none),0,N/A,(none),(none),(none),(none),(none),0,(none),NO_GT_ATTRIBUTES
Swing Gate Motor,1,1,usage=swing gate,usage=gate,1,100.0,usage,usage(P9),1,100.0,usage: GT=swing gate | QM=gate,(none),(none),(none),(none),0,(none),PERFECT_MATCH
COPCARBON BRUSH 25X40X10,1,2,product_type=carbon brush,size=25x40x10; bristle material=copcarbon,0,0.0,(none),(none),0,0.0,(none),(none),product_type=carbon brush,product_type(P6),size=25x40x10; bristle material=copcarbon,2,product_type(P6),NO_KEY_MATCH
DC GEAR MOTOR,1,1,motor_type=geared motor,motor type=dc gear,1,100.0,motor_type,motor_type(P2),0,0.0,(none),motor_type: GT=geared motor | QM=dc gear,(none),(none),(none),0,(none),PARTIAL_MATCH
motor-armature,1,1,product_type=armature,part type=motor-armature,1,100.0,product_type,product_type(P6),1,100.0,product_type: GT=armature | QM=motor-armature,(none),(none),(none),(none),0,(none),PERFECT_MATCH
57 HS 22 Two Phase Stepper Motor,2,3,phase=two phase; motor_type=stepper motor,model name/number=57 hs 22; motor type=stepper motor; phase=two phase,2,100.0,phase; motor_type,phase(P7); motor_type(P2),2,100.0,phase: GT=two phase | QM=two phase; motor_type: GT=stepper motor | QM=stepper motor,(none),(none),(none),(none),0,(none),PERFECT_MATCH
57 HS 13 Two Phase Stepper Motor,2,3,phase=two phase; motor_type=stepper motor,model name/number=57 hs 13; motor type=stepper motor; phase=two phase,2,100.0,phase; motor_type,phase(P7); motor_type(P2),2,100.0,phase: GT=two phase | QM=two phase; motor_type: GT=stepper motor | QM=stepper motor,(none),(none),(none),(none),0,(none),PERFECT_MATCH
57 HS 09 Two Phase Stepper Motor,2,3,phase=two phase; motor_type=stepper motor,model name/number=57 hs 09; motor type=stepper motor; phase=two phase,2,100.0,phase; motor_type,phase(P7); motor_type(P2),2,100.0,phase: GT=two phase | QM=two phase; motor_type: GT=stepper motor | QM=stepper motor,(none),(none),(none),(none),0,(none),PERFECT_MATCH
el%20tech%20motors,1,1,product_type=motor,model number=el%20tech%20motors,0,0.0,(none),(none),0,0.0,(none),(none),product_type=motor,product_type(P6),(none),0,product_type(P6),NO_KEY_MATCH
Leadshine ISV5713V36 1000 AC Servo Motor,2,4,brand=Leadshine; motor_type=servo motor,motor type=ac; model name/number=isv5713v36; brand=leadshine; usage=servo motor,2,100.0,brand; motor_type,brand(P1); motor_type(P2),1,50.0,brand: GT=Leadshine | QM=leadshine,motor_type: GT=servo motor | QM=ac,(none),(none),(none),0,(none),ALL_KEYS_MATCHED_SOME_VALUES_DIFFER
PDA Sliding Gate Motor,1,1,usage=sliding gate,usage=sliding gate,1,100.0,usage,usage(P9),1,100.0,usage: GT=sliding gate | QM=sliding gate,(none),(none),(none),(none),0,(none),PERFECT_MATCH
42 HS 02 Two Phase Stepper Motor,2,3,phase=two phase; motor_type=stepper motor,model name/number=42 hs 02; motor type=stepper motor; phase=two phase,2,100.0,phase; motor_type,phase(P7); motor_type(P2),2,100.0,phase: GT=two phase | QM=two phase; motor_type: GT=stepper motor | QM=stepper motor,(none),(none),(none),(none),0,(none),PERFECT_MATCH
Jencoder Hollow Type  Rotary Encoder J-50T,2,2,brand=Jencoder; product_type=rotary encoder,brand=jencoder; encoder type=rotary,1,50.0,brand,brand(P1),1,50.0,brand: GT=Jencoder | QM=jencoder,(none),product_type=rotary encoder,product_type(P6),encoder type=rotary,1,product_type(P6),PARTIAL_MATCH
Inverter Duty Induction Motors,1,2,motor_type=induction motor,motor type=induction; features=inverter,1,100.0,motor_type,motor_type(P2),1,100.0,motor_type: GT=induction motor | QM=induction,(none),(none),(none),features=inverter,1,(none),PERFECT_MATCH
39 HS 02 Two Phase Stepper Motor,2,3,phase=two phase; motor_type=stepper motor,model name/number=39 hs 02; motor type=stepper motor; phase=two phase,2,100.0,phase; motor_type,phase(P7); motor_type(P2),2,100.0,phase: GT=two phase | QM=two phase; motor_type: GT=stepper motor | QM=stepper motor,(none),(none),(none),(none),0,(none),PERFECT_MATCH
aluminium bell,1,1,material=aluminium,material=aluminium,1,100.0,material,material(P16),1,100.0,material: GT=aluminium | QM=aluminium,(none),(none),(none),(none),0,(none),PERFECT_MATCH
spindle-motors,1,0,usage=spindle,(empty),0,0.0,(none),(none),0,0.0,(none),(none),usage=spindle,usage(P9),(none),0,usage(P9),NO_KEY_MATCH
Schneider Ats48 Soft Starter Repairs,2,2,brand=Schneider; product_type=soft starter,model name/number=ats48; brand=schneider,1,50.0,brand,brand(P1),1,50.0,brand: GT=Schneider | QM=schneider,(none),product_type=soft starter,product_type(P6),(none),0,product_type(P6),PARTIAL_MATCH
Jencoder Rotory Encoder : Hollow Type,2,1,brand=Jencoder; product_type=encoder,brand=jencoder,1,50.0,brand,brand(P1),1,50.0,brand: GT=Jencoder | QM=jencoder,(none),product_type=encoder,product_type(P6),(none),0,product_type(P6),PARTIAL_MATCH
swing starter,1,2,product_type=motor starter,feeder type=starter; lid type=swing,0,0.0,(none),(none),0,0.0,(none),(none),product_type=motor starter,product_type(P6),feeder type=starter; lid type=swing,2,product_type(P6),NO_KEY_MATCH
Rhino 12V DC 30RPM 70Kgcm IG32 Heavy Duty Planetary Geared Motor,4,4,brand=Rhino; voltage=12V; speed=30 RPM; motor_type=planetary geared motor,voltage=12v dc; speed=30rpm; model name/number=ig32; brand=rhino,3,75.0,brand; voltage; speed,brand(P1); voltage(P4); speed(P8),2,50.0,brand: GT=Rhino | QM=rhino; voltage: GT=12V | QM=12v dc,speed: GT=30 RPM | QM=30rpm,motor_type=planetary geared motor,motor_type(P2),(none),0,motor_type(P2),PARTIAL_MATCH
18 inch g c exhaust fan motor housing,1,3,usage=exhaust fan,size=18 inch; usage=exhaust fan; motor part type=motor housing,1,100.0,usage,usage(P9),1,100.0,usage: GT=exhaust fan | QM=exhaust fan,(none),(none),(none),size=18 inch,1,(none),PERFECT_MATCH
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2104-6AF01-1SB0,3,3,brand=Siemens; motor_type=servo motor; model_number=1FK2104-6AF01-1SB0,model name/number=1fk2104-6af01-1sb0; usage=servo motor; brand=siemens,2,66.7,brand; model_number,brand(P1); model_number(P5),2,66.7,brand: GT=Siemens | QM=siemens; model_number: GT=1FK2104-6AF01-1SB0 | QM=1fk2104-6af01-1sb0,(none),motor_type=servo motor,motor_type(P2),(none),0,motor_type(P2),PARTIAL_MATCH
12v bldc,2,2,voltage=12V; motor_type=BLDC motor,voltage=12v; motor type=bldc,2,100.0,voltage; motor_type,voltage(P4); motor_type(P2),2,100.0,voltage: GT=12V | QM=12v; motor_type: GT=BLDC motor | QM=bldc,(none),(none),(none),(none),0,(none),PERFECT_MATCH
1 Inch Kit Cooler Motor,1,1,usage=cooler,usage=cooler motor,1,100.0,usage,usage(P9),1,100.0,usage: GT=cooler | QM=cooler motor,(none),(none),(none),(none),0,(none),PERFECT_MATCH
Jencoder Hollow Shaft Rotary Encoder J-50T,3,3,brand=Jencoder; product_type=rotary encoder; shaft_type=hollow shaft,model name/number=j-50t; brand=jencoder; encoder type=shaft rotary encoder,1,33.3,brand,brand(P1),1,33.3,brand: GT=Jencoder | QM=jencoder,(none),product_type=rotary encoder; shaft_type=hollow shaft,product_type(P6); shaft_type(P15),encoder type=shaft rotary encoder,1,product_type(P6),LOW_MATCH
110HS20 Two Phase Stepper Motor,2,3,phase=two phase; motor_type=stepper motor,model name/number=110hs20; motor type=stepper motor; phase=two phase,2,100.0,phase; motor_type,phase(P7); motor_type(P2),2,100.0,phase: GT=two phase | QM=two phase; motor_type: GT=stepper motor | QM=stepper motor,(none),(none),(none),(none),0,(none),PERFECT_MATCH
Toothed Belt Axis Egc-tb,0,2,(empty),model number=egc-tb; type=toothed belt,0,N/A,(none),(none),0,N/A,(none),(none),(none),(none),(none),0,(none),NO_GT_ATTRIBUTES
lifting-column-actuator,1,0,product_type=actuator,(empty),0,0.0,(none),(none),0,0.0,(none),(none),product_type=actuator,product_type(P6),(none),0,product_type(P6),NO_KEY_MATCH
Electric Rotary Actuators,1,2,product_type=rotary actuator,power source=electric; actuator type=rotary,0,0.0,(none),(none),0,0.0,(none),(none),product_type=rotary actuator,product_type(P6),power source=electric; actuator type=rotary,2,product_type(P6),NO_KEY_MATCH
Single Phase Motors,1,1,phase=single phase,phase=single phase,1,100.0,phase,phase(P7),1,100.0,phase: GT=single phase | QM=single phase,(none),(none),(none),(none),0,(none),PERFECT_MATCH
AC Servo Motor,1,1,motor_type=servo motor,motor type=ac,1,100.0,motor_type,motor_type(P2),0,0.0,(none),motor_type: GT=servo motor | QM=ac,(none),(none),(none),0,(none),PARTIAL_MATCH
Unbalance Motors,1,0,product_type=motor,(empty),0,0.0,(none),(none),0,0.0,(none),(none),product_type=motor,product_type(P6),(none),0,product_type(P6),NO_KEY_MATCH
Starters,1,0,product_type=motor starter,(empty),0,0.0,(none),(none),0,0.0,(none),(none),product_type=motor starter,product_type(P6),(none),0,product_type(P6),NO_KEY_MATCH
industrial-electric-motor,1,1,product_type=motor,usage=industrial-electric-motor,0,0.0,(none),(none),0,0.0,(none),(none),product_type=motor,product_type(P6),(none),0,product_type(P6),NO_KEY_MATCH
siemens motor,1,2,brand=Siemens,part type=motor; brand=siemens,1,100.0,brand,brand(P1),1,100.0,brand: GT=Siemens | QM=siemens,(none),(none),(none),(none),0,(none),PERFECT_MATCH
Marsh Actuators,1,2,product_type=actuator,product=actuators; brand=marsh,1,100.0,product_type,product_type(P6),1,100.0,product_type: GT=actuator | QM=actuators,(none),(none),(none),(none),0,(none),PERFECT_MATCH
Spindle Motors,1,0,usage=spindle,(empty),0,0.0,(none),(none),0,0.0,(none),(none),usage=spindle,usage(P9),(none),0,usage(P9),NO_KEY_MATCH
carbon brush size: 08 x 20 x 30mm,1,2,product_type=carbon brush,size=08 x 20 x 30mm; type=carbon brush,1,100.0,product_type,product_type(P6),1,100.0,product_type: GT=carbon brush | QM=carbon brush,(none),(none),(none),size=08 x 20 x 30mm,1,(none),PERFECT_MATCH
1FK2104-6AF01-1SB0,1,0,model_number=1FK2104-6AF01-1SB0,(empty),0,0.0,(none),(none),0,0.0,(none),(none),model_number=1FK2104-6AF01-1SB0,model_number(P5),(none),0,model_number(P5),NO_KEY_MATCH
spal blower motor,2,1,brand=Spal; usage=blower,brand=spal,1,50.0,brand,brand(P1),1,50.0,brand: GT=Spal | QM=spal,(none),usage=blower,usage(P9),(none),0,usage(P9),PARTIAL_MATCH
VDS Automatic Sliding Gate Motor,1,3,usage=sliding gate,automation grade=automatic; usage=sliding gate; brand=vds,1,100.0,usage,usage(P9),1,100.0,usage: GT=sliding gate | QM=sliding gate,(none),(none),(none),automation grade=automatic,1,(none),PERFECT_MATCH
BLDC Motor Sa42bld002 - 3000 Rpm 24vdc 52 Watt,3,5,power=52 W; speed=3000 RPM; motor_type=BLDC motor,voltage=24vdc; speed=3000 rpm; power=52 watt; motor type=bldc; model name/number=sa42bld002,3,100.0,power; speed; motor_type,power(P3); speed(P8); motor_type(P2),3,100.0,power: GT=52 W | QM=52 watt; speed: GT=3000 RPM | QM=3000 rpm; motor_type: GT=BLDC motor | QM=bldc,(none),(none),(none),(none),0,(none),PERFECT_MATCH
Electric Actuator,1,1,product_type=actuator,power source=electric,0,0.0,(none),(none),0,0.0,(none),(none),product_type=actuator,product_type(P6),power source=electric,1,product_type(P6),NO_KEY_MATCH
Hollow Shaft Rotary Encoder :Jencoder,3,1,brand=Jencoder; product_type=rotary encoder; shaft_type=hollow shaft,encoder type=rotary,0,0.0,(none),(none),0,0.0,(none),(none),brand=Jencoder; product_type=rotary encoder; shaft_type=hollow shaft,brand(P1); product_type(P6); shaft_type(P15),encoder type=rotary,1,brand(P1),NO_KEY_MATCH
75 acrylic square 2 x 2 inch piece Photo print Polaroid Fridge Magnets Neodymium Acrylic,0,6,(empty),number of beads=75; size=2 x 2 inch; material=acrylic; usage=fridge; pattern=photo; shape=square,0,N/A,(none),(none),0,N/A,(none),(none),(none),(none),number of beads=75; size=2 x 2 inch; pattern=photo; shape=square,4,(none),NO_GT_ATTRIBUTES
double shaft encoder gear motor,2,2,motor_type=geared motor; shaft_type=dual shaft,shaft type=double shaft; motor type=gear motor,2,100.0,motor_type; shaft_type,motor_type(P2); shaft_type(P15),0,0.0,(none),motor_type: GT=geared motor | QM=gear motor; shaft_type: GT=dual shaft | QM=double shaft,(none),(none),(none),0,(none),PARTIAL_MATCH
960 rpm 1 foot mounted 15 hp three phase electric motor,4,4,power=15 HP; phase=three phase; speed=960 RPM; mounting=foot mounted,motor hp=15 hp; full load rpm=960 rpm; product=electric motor; mounting type=foot,3,75.0,power; speed; mounting,power(P3); speed(P8); mounting(P11),3,75.0,power: GT=15 HP | QM=15 hp; speed: GT=960 RPM | QM=960 rpm; mounting: GT=foot mounted | QM=foot,(none),phase=three phase,phase(P7),(none),0,phase(P7),PARTIAL_MATCH
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2104-6AF10-0MB0 1 kW,4,4,brand=Siemens; power=1 KW; motor_type=servo motor; model_number=1FK2104-6AF10-0MB0,power=1 kw; model name/number=1fk2104-6af10-0mb0; usage=servo motor; brand=siemens,3,75.0,brand; power; model_number,brand(P1); power(P3); model_number(P5),3,75.0,brand: GT=Siemens | QM=siemens; power: GT=1 KW | QM=1 kw; model_number: GT=1FK2104-6AF10-0MB0 | QM=1fk2104-6af10-0mb0,(none),motor_type=servo motor,motor_type(P2),(none),0,motor_type(P2),PARTIAL_MATCH
Y07-59d1-17155 Stepper Motor,1,2,motor_type=stepper motor,motor type=stepper motor; model name/number=y07-59d1-17155,1,100.0,motor_type,motor_type(P2),1,100.0,motor_type: GT=stepper motor | QM=stepper motor,(none),(none),(none),(none),0,(none),PERFECT_MATCH
Schneider Electric BSH0703P11A2A Servo Motor,3,2,brand=Schneider; motor_type=servo motor; current=2 A,model name/number=bsh0703p11a2a; usage=servo motor,0,0.0,(none),(none),0,0.0,(none),(none),brand=Schneider; motor_type=servo motor; current=2 A,brand(P1); motor_type(P2); current(P10),(none),0,brand(P1),NO_KEY_MATCH
bldc motor,1,2,motor_type=BLDC motor,motor type=bldc; part type=motor,1,100.0,motor_type,motor_type(P2),1,100.0,motor_type: GT=BLDC motor | QM=bldc,(none),(none),(none),(none),0,(none),PERFECT_MATCH
double shaft gear motor,2,1,motor_type=geared motor; shaft_type=dual shaft,motor type=gear motor,1,50.0,motor_type,motor_type(P2),0,0.0,(none),motor_type: GT=geared motor | QM=gear motor,shaft_type=dual shaft,shaft_type(P15),(none),0,shaft_type(P15),PARTIAL_MATCH
ATS22 Softstarter Repair Service,1,2,product_type=soft starter,model name/number=ats22; service=softstarter repair,0,0.0,(none),(none),0,0.0,(none),(none),product_type=soft starter,product_type(P6),service=softstarter repair,1,product_type(P6),NO_KEY_MATCH
ac bus blower motor 24 v spal,4,4,brand=Spal; voltage=24V; motor_type=AC motor; usage=blower,voltage=24 v; motor type=ac; usage=bus; brand=spal,4,100.0,brand; voltage; motor_type; usage,brand(P1); voltage(P4); motor_type(P2); usage(P9),2,50.0,brand: GT=Spal | QM=spal; motor_type: GT=AC motor | QM=ac,voltage: GT=24V | QM=24 v; usage: GT=blower | QM=bus,(none),(none),(none),0,(none),ALL_KEYS_MATCHED_SOME_VALUES_DIFFER
dc motor 8 watt,2,2,power=8 W; motor_type=DC motor,power=8 watt; motor type=dc,2,100.0,power; motor_type,power(P3); motor_type(P2),2,100.0,power: GT=8 W | QM=8 watt; motor_type: GT=DC motor | QM=dc,(none),(none),(none),(none),0,(none),PERFECT_MATCH
crompton-greaves-industrial-motors,1,0,brand=Crompton,(empty),0,0.0,(none),(none),0,0.0,(none),(none),brand=Crompton,brand(P1),(none),0,brand(P1),NO_KEY_MATCH
bus  ac dual shaft 1330 RPM BLOWER FAN MOTOR,4,4,speed=1330 RPM; motor_type=AC motor; usage=blower; shaft_type=dual shaft,speed=1330 rpm; usage=bus; shaft type=dual shaft; part type=motor,3,75.0,speed; usage; shaft_type,speed(P8); usage(P9); shaft_type(P15),2,50.0,speed: GT=1330 RPM | QM=1330 rpm; shaft_type: GT=dual shaft | QM=dual shaft,usage: GT=blower | QM=bus,motor_type=AC motor,motor_type(P2),(none),0,motor_type(P2),PARTIAL_MATCH
