query,qmeans_attr_count,gemini_attr_count,qmeans_attr_key_1,qmeans_attr_value_1,gemini_attr_key_1,gemini_attr_value_1,qmeans_attr_key_2,qmeans_attr_value_2,gemini_attr_key_2,gemini_attr_value_2,qmeans_attr_key_3,qmeans_attr_value_3,gemini_attr_key_3,gemini_attr_value_3,qmeans_attr_key_4,qmeans_attr_value_4,gemini_attr_key_4,gemini_attr_value_4,qmeans_attr_key_5,qmeans_attr_value_5,gemini_attr_key_5,gemini_attr_value_5,qmeans_attr_key_6,qmeans_attr_value_6,gemini_attr_key_6,gemini_attr_value_6,qmeans_attr_key_7,qmeans_attr_value_7,gemini_attr_key_7,gemini_attr_value_7,qmeans_attr_key_8,qmeans_attr_value_8,gemini_attr_key_8,gemini_attr_value_8,qmeans_attr_key_9,qmeans_attr_value_9,gemini_attr_key_9,gemini_attr_value_9,qmeans_attr_key_10,qmeans_attr_value_10,gemini_attr_key_10,gemini_attr_value_10
"eureka semi-automatic solvent extraction plant, 50 tpd, 440 v, single phase",4,4,automation grade,semi-automatic,capacity,50 tpd,brand,eureka,power,single phase,phase,single phase,type,"""solvent extraction",usage,solvent,voltage,440 v,,,,,,,,,,,,,,,,,,,,,,,,
extruder machine 380 v,2,2,type,extruder,type,extruder,voltage,380 v,voltage,380 v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
film extrusion machine,0,2,,,machine type,extrusion,,,usage,film,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
film extrusion machine 480 v,1,3,voltage,480 v,machine type,extrusion,,,usage,film,,,voltage,480 v,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"film extrusion machine for pharmaceutical use, 5 tpd, 380 v, eureka brand",3,5,brand,eureka,brand,eureka,machine name,film extrusion machine,capacity,5 tpd,usage,pharmaceutical,type,"""film extrusion",,,usage,pharmaceutical,,,voltage,380 v,,,,,,,,,,,,,,,,,,,,
film extrusion machine machine 750 kg/hr output 480 v 3 phase hdpe,4,6,capacity,750 kg/hr,capacity,750 kg/hr,material,hdpe,machine type,extrusion,phase,3 phase,material,hdpe,voltage,480 v,power,3 phase,,,usage,"""film",,,voltage,480 v,,,,,,,,,,,,,,,,
"foam extruder - unique make, 100 kg/hr, pp, 1 phase",3,5,brand,unique,capacity,100 kg/hr,capacity,"100 kg/hr,",material,"""foam",phase,1 phase,material,pp,,,power,1 phase,,,type,extruder,,,,,,,,,,,,,,,,,,,,
foam extruder 10 hp motor 100 kg,3,4,capacity,100 kg,capacity,100 kg,power,10 hp,material,"""foam",usage,foam extruder,power,10 hp,,,type,extruder,,,,,,,,,,,,,,,,,,,,,,,,
foam extruder 3 hp motor 25 kg/hr,3,4,capacity,25 kg/hr,capacity,25 kg/hr,motor power,3 hp,material,"""foam",usage,foam extruder,power,3 hp,,,type,extruder,,,,,,,,,,,,,,,,,,,,,,,,
foam extruder machine 10 ton output 440 v three phase ss 316,4,6,capacity,10 ton,capacity,10 ton,phase,three phase,material,"""foam",type,foam extruder,material,ss 316,voltage,440 v,power,three phase,,,type,extruder,,,voltage,440 v,,,,,,,,,,,,,,,,
foam extruder machine 20 kg output 400 v 3 phase mild steel,5,6,capacity,20 kg,capacity,20 kg,material,mild steel,material,"""foam",phase,3 phase,material,mild steel,type,foam extruder,power_supply,3 phase,voltage,400 v,type,extruder,,,voltage,400 v,,,,,,,,,,,,,,,,
"fully automatic aluminium extrusion plant for laboratory applications, 50 ton capacity, 240 v voltage rating, single phase power supply, aluminium body",6,8,automation grade,automatic,capacity,50 ton,capacity,50 ton,feature,fully automatic,machine name,extrusion,machine type,extrusion,material,aluminium,material,"""aluminium",phase,single phase,material,aluminium,usage,laboratory,power supply,single phase,,,usage,laboratory,,,voltage,240 v,,,,,,,,
"fully automatic basket extruder for agricultural applications, 5 kg capacity, 220 v voltage rating, single phase power supply, cast iron body",6,7,automation grade,automatic,capacity,5 kg,capacity,5 kg,feature,"""automatic",material,cast iron,material,cast iron,model name/number,basket extruder,power supply,single phase,phase,single phase,type,basket,usage,agricultural,usage,agricultural,,,voltage,220 v,,,,,,,,,,,,
fully automatic bitumen extractor 440 v,3,4,automation grade,automatic,automation,"""fully automatic",machine type,bitumen extractor,material,bitumen,voltage,440 v,type,extractor,,,voltage,440 v,,,,,,,,,,,,,,,,,,,,,,,,
fully automatic copper extraction plant 415 v,3,4,automation grade,automatic,feature,fully automatic,usage,copper extraction,material,"""copper",voltage,415 v,type,extraction,,,voltage,415 v,,,,,,,,,,,,,,,,,,,,,,,,
fully automatic epe foam extruder 400 v,4,4,automation grade,automatic,feature,fully automatic,material,epe,material,"""epe foam",type,extruder,type,extruder,voltage,400 v,voltage,400 v,,,,,,,,,,,,,,,,,,,,,,,,
fully automatic extruder machine,2,2,automation grade,automatic,feature,fully automatic,type,extruder,type,extruder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fully automatic foam extruder,2,3,automation grade,automatic,feature,fully automatic,type,extruder,material,foam,,,type,extruder,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fully automatic foam extruder 220 v,3,3,automation grade,automatic,material,"""foam",type,extruder,type,extruder,voltage,220 v,voltage,220 v,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fully automatic hdpe liquid extraction system,3,3,automation grade,automatic,feature,automatic,material,hdpe,material,hdpe,usage,liquid extraction,usage,liquid extraction,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fully automatic hdpe pvc pipe extruder,3,5,automation grade,automatic,feature,fully automatic,material,hdpe pvc,material,"""hdpe",type,extruder,material,pvc,,,product,pipe,,,type,extruder,,,,,,,,,,,,,,,,,,,,
fully automatic hydro extractor,2,2,automation grade,automatic,feature,fully automatic,product,hydro extractor,product,hydro extractor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fully automatic lab extruder,3,3,automation grade,automatic,feature,fully automatic,type,extruder,type,extruder,usage,lab,usage,lab,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fully automatic lab extruder 230 v,4,4,automation grade,automatic,feature,"""fully automatic",type,extruder,type,extruder,usage,lab,usage,lab,voltage,230 v,voltage,230 v,,,,,,,,,,,,,,,,,,,,,,,,
"fully automatic ldpe blown film machine for packaging applications, 1 tpd capacity, 220 v voltage rating, single phase power supply, ms body",4,7,capacity,1 tpd,capacity,1 tpd,machine type,automatic,material,"""ldpe",material,ldpe,material,ms,phase,single phase,power supply,single phase,,,type,blown film,,,usage,packaging,,,voltage,220 v,,,,,,,,,,,,
fully automatic metal recovery plant 230 v,2,3,automation grade,automatic,feature,fully automatic,voltage,230 v,product,"""metal recovery",,,voltage,230 v,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fully automatic mild steel xlpe cable extruder,3,4,automation grade,automatic,feature,"""fully automatic",material,mild steel,material,mild steel,usage,cable,material,xlpe cable,,,type,extruder,,,,,,,,,,,,,,,,,,,,,,,,
fully automatic mother baby extruder,2,3,automation grade,automatic,feature,fully automatic,type,extruder,type,extruder,,,usage,mother baby,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"fully automatic multi layer extruder for food processing applications, 50 kg/hr capacity, 415 v voltage rating, single phase power supply, stainless steel body",5,9,automation grade,automatic,automation,"""fully automatic",capacity,50 kg/hr,capacity,50 kg/hr,material,stainless steel,layer,multi layer,phase,single phase,material,stainless steel,usage,food processing,part,body,,,power supply,single phase,,,type,extruder,,,usage,food processing,,,voltage,415 v,,,,
"fully automatic oil extraction plant for chemical industries, capacity: 20 tpd, power: 20 kw",2,5,capacity,20,capacity,20 tpd,operation type,automatic,feature,fully automatic,,,power,20 kw,,,usage,"""oil extraction",,,usage,chemical industries,,,,,,,,,,,,,,,,,,,,
fully automatic pet extruder,2,3,automation grade,automatic,feature,fully automatic,type,extruder,material,pet,,,type,extruder,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fully automatic pet extruder 380 v,3,3,automation grade,automatic,material,"""pet",type,extruder,type,extruder,voltage,380 v,voltage,380 v,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fully automatic pipe extrusion machine,2,3,automation grade,automatic,feature,fully automatic,machine type,extrusion,machine type,extrusion,,,product,pipe,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fully automatic plastic extruder,3,3,automation grade,automatic,feature,fully automatic,material to be extruded,plastic,material,plastic,type,extruder,type,extruder,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fully automatic plastic extruder,3,3,automation grade,automatic,feature,fully automatic,material to be extruded,plastic,material,plastic,type,extruder,type,extruder,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fully automatic plastic extruder,3,3,automation grade,automatic,feature,fully automatic,material to be extruded,plastic,material,plastic,type,extruder,type,extruder,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fully automatic plastic extruder,3,3,automation grade,automatic,feature,fully automatic,material to be extruded,plastic,material,plastic,type,extruder,type,extruder,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fully automatic pp foam extruder,2,3,automation grade,automatic,feature,fully automatic,type,extruder,material,pp foam,,,type,extruder,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"fully automatic pp hdpe extruder, capacity: 5 ton, voltage: 380 v, phase: 3 phase",4,5,automation grade,automatic,capacity,5 ton,capacity,"5 ton,",material,"""pp hdpe",material,pp hdpe,phase,3 phase,phase,3 phase,type,extruder,,,voltage,380 v,,,,,,,,,,,,,,,,,,,,
"fully automatic pvc multi layer extruder, capacity: 20 tpd, voltage: 400 v, phase: three phase",4,6,automation grade,automatic,capacity,20 tpd,capacity,"20 tpd,",material,"""pvc",material,pvc,phase,three phase,phase,three phase,type,multi layer,,,type,extruder,,,voltage,400 v,,,,,,,,,,,,,,,,
fully automatic pvc pipe extruder 230 v,4,4,automation grade,automatic,feature,fully automatic,material,pvc,product,"""pvc pipe",type,extruder,type,extruder,voltage,230 v,voltage,230 v,,,,,,,,,,,,,,,,,,,,,,,,
fully automatic pvc polymer extruder,3,4,automation grade,automatic,feature,fully automatic,material,pvc,material,pvc,type,extruder,material,polymer,,,type,extruder,,,,,,,,,,,,,,,,,,,,,,,,
fully automatic rice bran extraction plant 480 v,3,4,automation grade,automatic,feature,fully automatic,usage,rice bran extraction,material,"""rice bran",voltage,480 v,type,extraction,,,voltage,480 v,,,,,,,,,,,,,,,,,,,,,,,,
"fully automatic silver refinery machine for industrial, capacity: 30 kg, power: 2 kw",4,5,automation grade,automatic,capacity,30 kg,capacity,30,feature,fully automatic,model name/number,silver refinery,material,"""silver",usage,"industrial,",power,2 kw,,,type,refinery,,,,,,,,,,,,,,,,,,,,
fully automatic silver refining plant 400 v,2,4,automation grade,automatic,feature,fully automatic,voltage,400 v,material,"""silver",,,type,refining,,,voltage,400 v,,,,,,,,,,,,,,,,,,,,,,,,
"fully automatic ss 304 liquid extraction system, capacity: 100 ton, voltage: 415 v, phase: single phase",5,5,automation grade,automatic,capacity,100 ton,capacity,"100 ton,",material,"""ss 304",material grade,ss 304,phase,single phase,phase,single phase,usage,liquid extraction,usage,liquid extraction,voltage,415 v,,,,,,,,,,,,,,,,,,,,
fully automatic ss 304 zinc recovery unit,3,4,automation grade,automatic,feature,fully automatic,material grade,ss 304,material,"""ss 304",usage,zinc,material,zinc,,,type,recovery unit,,,,,,,,,,,,,,,,,,,,,,,,
"fully automatic ss 316 liquid extraction system, capacity: 1000 kg/hr, voltage: 415 v, phase: three phase",4,5,automation grade,automatic,capacity,1000 kg/hr,capacity,"1000 kg/hr,",material,"""ss 316",phase,three phase,phase,three phase,usage,liquid extraction,type,liquid extraction,,,voltage,415 v,,,,,,,,,,,,,,,,,,,,
"fully automatic ss 316 pet extruder, capacity: 30 kg, voltage: 415 v, phase: 1 phase",2,7,automation grade,automatic,capacity,30 kg,capacity,"30 kg,",feature,fully automatic,,,material,"""ss 316",,,material,pet,,,phase,1 phase,,,type,extruder,,,voltage,415 v,,,,,,,,,,,,
fully automatic ss wire extruder,3,3,automation grade,automatic,feature,fully automatic,material,ss,material,ss wire,type,wire extruder,type,extruder,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"fully automatic tube extrusion machine for plastic processing applications, 50 ton capacity, 220 v voltage rating, 3 phase power supply, hdpe body",4,6,capacity,50 ton,capacity,50 ton,machine name,tube extrusion machine,material,hdpe,material,hdpe,power supply,3 phase,phase,3 phase,type,"""tube extrusion",,,usage,plastic processing,,,voltage,220 v,,,,,,,,,,,,,,,,
"fully automatic wire extruder for research, capacity: 100 tpd, power: 2 kw",4,5,automation grade,automatic,capacity,100 tpd,capacity,"100 tpd,",feature,fully automatic,type,extruder,material,"""wire",usage,"research,",power,2 kw,,,type,extruder,,,,,,,,,,,,,,,,,,,,
"fully automatic zinc recovery unit for food processing applications, 500 liter capacity, 230 v voltage rating, 3 phase power supply, ms body",3,6,automation grade,automatic,capacity,500 liter,capacity,500 liter,material,ms,usage,food,power supply,3 phase,,,product,"""zinc recovery unit",,,usage,food processing,,,voltage,230 v,,,,,,,,,,,,,,,,
gold refinery plant,2,2,type,refinery,material,gold,usage,gold,type,refinery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gold refinery plant 400 v single phase,2,4,phase,single phase,power_supply,single phase,voltage,400 v,type,refinery,,,usage,"""gold",,,voltage,400 v,,,,,,,,,,,,,,,,,,,,,,,,
gold refinery plant for packaging,1,3,usage,packaging,type,refinery,,,usage,gold,,,usage,packaging,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gold refinery plant machine 50 ton output 440 v three phase ss,5,7,capacity,50 ton,capacity,50 ton,material,ss,material,ss,model name/number,gold refinery,power,three phase,phase,three phase,type,refinery,voltage,440 v,type,machine,,,usage,"""gold",,,voltage,440 v,,,,,,,,,,,,
gold refinery plant with 50 hp power 240 v,3,4,motor power,50 hp,power,50 hp,usage,gold,type,refinery,voltage,240 v,usage,"""gold",,,voltage,240 v,,,,,,,,,,,,,,,,,,,,,,,,
gold refinery plant with 50 hp power 415 v,3,4,motor power,50 hp,power,50 hp,usage,gold,type,refinery,voltage,415 v,usage,"""gold",,,voltage,415 v,,,,,,,,,,,,,,,,,,,,,,,,
"gold refining machine - labh group make, 100 kg, pp, single phase",3,6,brand,labh group,brand,labh group,phase,single phase,capacity,100 kg,usage,gold refining,material,pp,,,power,single phase,,,type,machine,,,usage,"""gold refining",,,,,,,,,,,,,,,,
"gold refining machine - twin screw design, 200 kg/hr output, 480 v, single phase, aluminium construction, turbo brand, semi-automatic operation",3,8,automation grade,semi-automatic,brand,turbo,brand,turbo,capacity,200 kg/hr,capacity,200 kg/hr,design,twin screw,,,material,aluminium,,,operation,semi-automatic,,,power_phase,single phase,,,usage,"""gold refining",,,voltage,480 v,,,,,,,,
gold refining machine 440 v,1,2,voltage,440 v,usage,gold refining,,,voltage,440 v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"gold refining machine for pharmaceutical use, 1000 kg/hr, 415 v, eureka brand",4,5,brand,eureka,brand,eureka,capacity,"1000 kg/hr,",capacity,1000 kg/hr,usage,pharmaceutical,usage,"""gold refining",voltage,415,usage,pharmaceutical,,,voltage,415 v,,,,,,,,,,,,,,,,,,,,
gold refining machine with 2 hp power 440 v,3,4,power,2 hp,power,2 hp,usage,gold refining,type,machine,voltage,440 v,usage,"""gold refining",,,voltage,440 v,,,,,,,,,,,,,,,,,,,,,,,,
gold star aluminium extrusion plant 1 tpd,2,4,brand,gold star,brand,"""gold star",capacity,1 tpd,capacity,1 tpd,,,machine type,extrusion,,,material,aluminium,,,,,,,,,,,,,,,,,,,,,,,,
"gold star fully automatic monolayer extruder machine with 1 tpd capacity, 415 v voltage, 3 phase, cast iron body, suitable for agricultural",4,8,automation grade,automatic,brand,"""gold star",brand,gold star,capacity,1 tpd,capacity,1 tpd,material,cast iron,material,cast iron,power,3 phase,,,type,fully automatic monolayer,,,type,extruder,,,usage,agricultural,,,voltage,415 v,,,,,,,,
gold star herbal extraction plant 25 kg,3,3,brand,gold star,brand,gold star herbal,capacity,25 kg,capacity,25 kg,product,herbal,type,extraction,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"gold star make fully automatic metal recovery plant, production capacity: 100 liter, voltage: 240 v, phase: 3 phase, material: cast iron, power: 3 kw",4,8,automation grade,automatic,brand,"""gold star",brand,gold star,capacity,100 liter,capacity,100,feature,fully automatic,usage,metal recovery,material,cast iron,,,phase,3 phase,,,power,3 kw,,,product,metal recovery,,,voltage,240 v,,,,,,,,
"gold star manual plastic extruder, 1 tpd, 415 v, three phase",2,7,brand,gold star,brand,"""gold star",phase,three phase,capacity,1 tpd,,,material,plastic,,,power_supply,three phase,,,type,manual,,,type,extruder,,,voltage,415 v,,,,,,,,,,,,
gold star multi layer extruder,3,3,brand,gold star,brand,gold star,layer,multi layer,type,multi layer,type,extruder,type,extruder,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"gold star semi-automatic aluminium extrusion plant, 25 kg, 380 v, 1 phase",4,6,automation grade,semi-automatic,brand,"""gold star",brand,gold star,capacity,25 kg,phase,1 phase,machine type,extrusion,usage,aluminium,material,aluminium,,,phase,1 phase,,,voltage,380 v,,,,,,,,,,,,,,,,
gold star semi-automatic epe foam extruder,4,4,automation grade,semi-automatic,brand,"""gold star",brand,gold star,feature,semi-automatic,material,epe,material,epe foam,type,extruder,type,extruder,,,,,,,,,,,,,,,,,,,,,,,,
"gold star semi-automatic pet extruder, 1 tpd, 380 v, single phase",3,7,automation grade,semi-automatic,brand,"""gold star",brand,gold star,capacity,1 tpd,phase,single phase,material,pet,,,power_supply,single phase,,,type,semi-automatic,,,type,extruder,,,voltage,380 v,,,,,,,,,,,,
gold star semi-automatic plastic extruder,3,3,automation grade,semi-automatic,brand,gold star,brand,gold star,material,plastic,type,extruder,type,extruder,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"gold star semi-automatic solvent extraction plant, 1000 liter, 480 v, single phase",5,6,automation grade,semi-automatic,brand,"""gold star",brand,gold star,capacity,1000 liter,capacity,1000,operation,semi-automatic,phase,single phase,phase,single phase,usage,solvent,usage,solvent extraction,,,voltage,480 v,,,,,,,,,,,,,,,,
hdpe blown film extrusion machine 5 tpd capacity,2,3,capacity,5 tpd,capacity,5 tpd,material,hdpe,material,"""hdpe",,,type,blown film extrusion,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hdpe body conical twin screw extruder 750 kg/hr,3,3,capacity,750 kg/hr,capacity,750 kg/hr,machine type,screw,material,"""hdpe",material,hdpe,type,conical twin screw extruder,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hdpe body film extrusion machine with 10 kg/hr capacity and 240 v voltage,3,5,capacity,10 kg/hr,capacity,10 kg/hr,material,hdpe,machine type,extrusion,voltage,240 v,material,"""hdpe",,,usage,body film,,,voltage,240 v,,,,,,,,,,,,,,,,,,,,
hdpe body lab extruder 1000 liter,4,3,capacity,1000 liter,capacity,1000 liter,material,hdpe,material,"""hdpe",type,extruder,type,extruder,usage,lab,,,,,,,,,,,,,,,,,,,,,,,,,,
hdpe body xlpe cable extruder 750 kg/hr,2,5,capacity,750 kg/hr,capacity,750 kg/hr,material,hdpe,material,"""hdpe",,,material,xlpe,,,product,cable,,,type,extruder,,,,,,,,,,,,,,,,,,,,
hdpe copper extraction plant 50 ton capacity,3,4,capacity,50 ton,capacity,50 ton,material,hdpe,material,"""hdpe",usage,copper extraction,type,extraction,,,usage,copper,,,,,,,,,,,,,,,,,,,,,,,,
"hdpe extruder - laxmi make, 50 kg/hr, stainless steel, single phase",5,6,brand,laxmi,brand,laxmi,capacity,"50 kg/hr,",capacity,50 kg/hr,material,hdpe,material,"""hdpe",phase,single phase,material,stainless steel,type,extruder,power,single phase,,,type,extruder,,,,,,,,,,,,,,,,
hdpe extruder 240 v,3,3,material,hdpe,material,hdpe,type,extruder,type,extruder,voltage,240 v,voltage,240 v,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hdpe extruder 400 v,3,3,material,hdpe,material,"""hdpe",type,extruder,type,extruder,voltage,400 v,voltage,400 v,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hdpe extruder 440 v,3,3,material,hdpe,material,"""hdpe",type,extruder,type,extruder,voltage,440 v,voltage,440 v,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hdpe extruder 7.5 hp motor 100 liter,2,4,capacity,100 liter,capacity,100 liter,power,7.5 hp,material,"""hdpe",,,power,7.5 hp,,,type,extruder,,,,,,,,,,,,,,,,,,,,,,,,
hdpe extruder machine 300 kg/hr output 230 v 3 phase pp,5,6,capacity,300 kg/hr,capacity,300 kg/hr,material,hdpe,material,"""hdpe",phase,3 phase,material,pp,type,extruder,power,3 phase,voltage,230 v,type,extruder,,,voltage,230 v,,,,,,,,,,,,,,,,
hdpe oil extraction plant 30 kg capacity,2,3,capacity,30 kg,capacity,30 kg,material,hdpe,material,hdpe,,,usage,oil extraction,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hdpe plastic extruder,1,2,type,extruder,material,hdpe,,,type,extruder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hdpe sheet extruder 5 tpd capacity,3,4,capacity,5 tpd,capacity,5 tpd,material,hdpe,material,hdpe,type,extruder,product,sheet,,,type,extruder,,,,,,,,,,,,,,,,,,,,,,,,
herbal extraction plant,0,2,,,type,extraction,,,usage,herbal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"herbal extraction plant - twin screw design, 10 kg/hr output, 230 v, 3 phase, hdpe construction, unique brand, manual operation",5,9,automation grade,manual,brand,unique,brand,unique,capacity,10 kg/hr,capacity,10 kg/hr,design,twin screw,material,hdpe,material,hdpe,model name/number,herbal extraction,operation,manual,,,power,3 phase,,,type,extraction,,,usage,"""herbal",,,voltage,230 v,,,,
"herbal extraction plant - twin screw design, 200 kg output, 230 v, three phase, cast iron construction, gold star brand, semi-automatic operation",3,9,automation grade,semi-automatic,brand,gold star,brand,gold star,capacity,200 kg,material,cast iron,design,twin screw,,,material,cast iron,,,operation,semi-automatic,,,power,three phase,,,type,extraction,,,usage,"""herbal",,,voltage,230 v,,,,
herbal extraction plant 240 v single phase,2,4,phase,single phase,power_supply,single phase,voltage,240 v,type,extraction,,,usage,"""herbal",,,voltage,240 v,,,,,,,,,,,,,,,,,,,,,,,,
herbal extraction plant 415 v,1,3,voltage,415 v,type,extraction,,,usage,"""herbal",,,voltage,415 v,,,,,,,,,,,,,,,,,,,,,,,,,,,,
herbal extraction plant machine 25 kg/hr output 400 v three phase hdpe,4,7,capacity,25 kg/hr,capacity,25 kg/hr,material,hdpe,material,hdpe,phase,three phase,power_supply,three phase,voltage,400 v,type,extraction,,,type,plant,,,usage,"""herbal",,,voltage,400 v,,,,,,,,,,,,
"high quality automatic basket extruder conical type, 5 kg/hr, 440 v supply, three phase, titanium body, mahindra brand for agricultural",5,8,automation grade,automatic,brand,mahindra,brand,mahindra,capacity,5 kg/hr,capacity,"5 kg/hr,",feature,"""automatic",material,titanium,material,titanium,usage,agricultural,power_supply,three phase,,,type,basket extruder,,,usage,agricultural,,,voltage,440 v,,,,,,,,
"high quality automatic centrifuge extractor co-rotating type, 300 kg/hr, 440 v supply, single phase, mild steel body, labh group brand for food processing",4,9,automation grade,automatic,brand,labh group,brand,labh group,capacity,300 kg/hr,capacity,"300 kg/hr,",feature,automatic,material,mild steel,material,mild steel,,,power_supply,single phase,,,product,"""centrifuge extractor",,,type,co-rotating,,,usage,food processing,,,voltage,440 v,,,,
"high quality automatic foam extruder parallel type, 750 kg/hr, 415 v supply, 3 phase, ms body, popular brand for food processing",3,10,automation grade,automatic,capacity,750 kg/hr,brand,popular,feature,automatic,capacity,"750 kg/hr,",material,"""foam",,,material,ms,,,part,body,,,power,3 phase,,,type,extruder,,,type,parallel,,,usage,food processing,,,voltage,415 v
"high quality automatic gold refining machine parallel type, 50 kg/hr, 440 v supply, single phase, ss body, gold star brand for chemical industries",2,9,automation grade,automatic,brand,gold star,brand,gold star,capacity,50 kg/hr,,,feature,automatic,,,material,"""gold",,,material,ss,,,power_supply,single phase,,,type,refining,,,usage,chemical industries,,,voltage,440 v,,,,
"high quality automatic hdpe extruder twin screw type, 20 tpd, 380 v supply, 1 phase, mild steel body, laxmi brand for food processing",3,9,automation grade,automatic,brand,laxmi,brand,laxmi,capacity,20 tpd,material,hdpe,material,"""hdpe",,,material,mild steel,,,power_phase,1 phase,,,type,extruder,,,type,twin screw,,,usage,food processing,,,voltage,380 v,,,,
"high quality automatic metal refining plant twin screw type, 200 kg, 220 v supply, three phase, stainless steel body, turbo brand for wire & cable",3,10,automation grade,automatic,brand,turbo,brand,turbo,capacity,200 kg,material,stainless steel,feature,automatic,,,material,"""metal",,,material,stainless steel,,,power,three phase,,,type,refining,,,type,twin screw,,,usage,wire & cable,,,voltage,220 v
"high quality automatic solvent extraction plant twin screw type, 1000 liter, 220 v supply, 1 phase, stainless steel body, labh group brand for packaging",3,9,automation grade,automatic,brand,labh group,brand,labh group,capacity,1000 liter,material,stainless steel,feature,automatic,,,material,stainless steel,,,phase,1 phase,,,product,"""solvent extraction",,,type,twin screw,,,usage,packaging,,,voltage,220 v,,,,
"high quality automatic wire extruder conical type, 300 kg/hr, 230 v supply, 3 phase, stainless steel body, prism brand for wire & cable",5,10,automation grade,automatic,brand,prism,brand,prism,capacity,300 kg/hr,capacity,"300 kg/hr,",feature,automatic,material,stainless steel,material,stainless steel,model name/number,extruder,power,3 phase,,,product,"""wire",,,type,extruder,,,type,conical,,,usage,wire & cable,,,voltage,230 v
"high quality fully automatic basket extruder parallel type, 1000 kg/hr, 240 v supply, 3 phase, aluminium body, eureka brand for chemical industries",5,9,automation grade,automatic,brand,eureka,brand,eureka,capacity,1000 kg/hr,capacity,"1000 kg/hr,",feature,fully automatic,material,aluminium,material,aluminium,model name/number,basket extruder,power,3 phase,,,type,"""basket extruder",,,type,parallel,,,usage,chemical industries,,,voltage,240 v,,,,
"high quality fully automatic gold refinery plant conical type, 30 kg, 220 v supply, three phase, pp body, kabra brand for chemical industries",3,10,automation grade,automatic,brand,kabra,brand,kabra,capacity,30 kg,model name/number,gold refinery,feature,fully automatic,,,material,"""gold",,,material,pp,,,power,three phase,,,shape,conical,,,type,refinery,,,usage,chemical industries,,,voltage,220 v
"high quality fully automatic pp extruder parallel type, 200 kg, 230 v supply, single phase, ss 304 body, labh group brand for food processing",3,10,automation grade,automatic,brand,labh group,brand,labh group,capacity,200 kg,usage,food processing,feature,fully automatic,,,material,"""pp",,,material,ss 304,,,power_supply,single phase,,,type,extruder,,,type,parallel,,,usage,food processing,,,voltage,230 v
"high quality fully automatic rice bran extraction plant conical type, 20 kg, 380 v supply, 1 phase, ss 304 body, kabra brand for agricultural",3,10,automation grade,automatic,brand,kabra,brand,kabra,capacity,20 kg,usage,agricultural,feature,fully automatic,,,material,"""rice bran",,,material,ss 304,,,power_phase,1 phase,,,shape,conical,,,type,extraction,,,usage,agricultural,,,voltage,380 v
"high quality fully automatic single die extruder co-rotating type, 500 liter, 240 v supply, 3 phase, pvc body, mahindra brand for pharmaceutical",3,9,automation grade,automatic,brand,mahindra,brand,mahindra,capacity,500 liter,material,pvc,feature,"""fully automatic",,,feature,single die,,,material,pvc,,,power,3 phase,,,type,co-rotating,,,usage,pharmaceutical,,,voltage,240 v,,,,
"high quality semi-automatic aluminium extrusion plant conical type, 250 kg/hr, 240 v supply, single phase, hdpe body, swaraj brand for chemical industries",4,10,automation grade,semi-automatic,automation,semi-automatic,brand,swaraj,brand,swaraj,capacity,"250 kg/hr,",capacity,250 kg/hr,material,aluminium,machine type,extrusion,,,material,"""aluminium",,,material,hdpe,,,power_phase,single phase,,,shape,conical,,,usage,chemical industries,,,voltage,240 v
