query,qmeans_attr_count,gemini_attr_count,qmeans_attr_key_1,qmeans_attr_value_1,gemini_attr_key_1,gemini_attr_value_1,qmeans_attr_key_2,qmeans_attr_value_2,gemini_attr_key_2,gemini_attr_value_2,qmeans_attr_key_3,qmeans_attr_value_3,gemini_attr_key_3,gemini_attr_value_3,qmeans_attr_key_4,qmeans_attr_value_4,gemini_attr_key_4,gemini_attr_value_4,qmeans_attr_key_5,qmeans_attr_value_5,gemini_attr_key_5,gemini_attr_value_5,qmeans_attr_key_6,qmeans_attr_value_6,gemini_attr_key_6,gemini_attr_value_6,qmeans_attr_key_7,qmeans_attr_value_7,gemini_attr_key_7,gemini_attr_value_7,qmeans_attr_key_8,qmeans_attr_value_8,gemini_attr_key_8,gemini_attr_value_8,qmeans_attr_key_9,qmeans_attr_value_9,gemini_attr_key_9,gemini_attr_value_9
conical twin screw extruder for agricultural,2,4,type,screw extruder,screw design,"""conical",usage,agricultural,screw design,twin screw,,,type,extruder,,,usage/application,industrial,,,,,,,,,,,,,,,,,,,,
conical twin screw extruder for packaging,2,4,type,screw extruder,application,packaging,usage,packaging,screw design,conical,,,screw design,twin screw,,,type,extruder,,,,,,,,,,,,,,,,,,,,
conical twin screw extruder with 25 hp power 220 v,2,3,motor power,25 hp,motor power,25 hp,voltage,220 v,screw design,"""conical",,,voltage,220 v,,,,,,,,,,,,,,,,,,,,,,,,
copper extraction plant,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"copper extraction plant - twin screw design, 50 tpd output, 380 v, three phase, ms construction, popular brand, semi-automatic operation",1,7,automation grade,semi-automatic,automation grade,semi-automatic,,,body material,ms,,,capacity,50 tpd,,,material to be extruded,copper,,,phase,three phase,,,screw design,twin screw,,,voltage,"""380 v",,,,,,,,
copper extraction plant 415 v single phase,3,2,phase,single phase,phase,single phase,usage,copper extraction,voltage,"""415 v",voltage,415 v,,,,,,,,,,,,,,,,,,,,,,,,,,
copper extraction plant 440 v 50 hz,3,2,frequency,50 hz,frequency,50 hz,usage,copper extraction,voltage,"""440 v",voltage,440 v,,,,,,,,,,,,,,,,,,,,,,,,,,
curcumin extraction plant,2,0,machine type,extraction,,,usage,curcumin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
curcumin extraction plant 2 kw motor 200 kg,3,2,capacity,200 kg,power,"""2 kw",power,kw,weight,200 kg,usage,curcumin extraction,,,,,,,,,,,,,,,,,,,,,,,,,,
curcumin extraction plant 400 v 3 phase,2,2,phase,3 phase,phase,three phase,voltage,400 v,voltage,"""400 v",,,,,,,,,,,,,,,,,,,,,,,,,,,,
curcumin extraction plant conical design 750 kg/hr,2,2,capacity,750 kg/hr,design,conical,shape,conical,production capacity,"""750 kg/hr",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"curcumin extraction plant for recycling use, 50 tpd, 380 v, turbo brand",1,4,brand,turbo,application,cattle feed plant,,,brand,turbo,,,capacity,50 tpd,,,voltage,"""380 v",,,,,,,,,,,,,,,,,,,,
double die extruder,1,0,number of dies,double die,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"double die extruder - unique make, 10 kg, ms, single phase",3,3,brand,unique,body material,ms,capacity,10,capacity(kg),"""10 kg",phase,single phase,phase,single phase,,,,,,,,,,,,,,,,,,,,,,,,
double die extruder 400 v,3,1,number of dies,double die,voltage,"""400 v",type,extruder,,,voltage,400 v,,,,,,,,,,,,,,,,,,,,,,,,,,
double die extruder conical design 200 kg,3,3,capacity,200 kg,capacity(kg/hr),"""200 kg",number of dies,double die,design,conical,shape,conical,screw design,twin screw,,,,,,,,,,,,,,,,,,,,,,,,
"double die extruder for food processing use, 10 tpd, 240 v, eureka brand",3,2,brand,eureka,usage/application,food process industry,type,extruder,voltage,"""240 v",usage,food processing,,,,,,,,,,,,,,,,,,,,,,,,,,
"double die extruder for laboratory use, 25 kg/hr, 230 v, rajco brand",3,4,brand,rajco,brand,rajco,capacity,"25 kg/hr,",industry type,laboratory,usage,laboratory,production capacity,25 kg/hr,,,voltage,"""230 v",,,,,,,,,,,,,,,,,,,,
"double die extruder for laboratory use, 50 ton, 415 v, labh group brand",2,3,capacity,"50 ton,",industry type,laboratory,usage,laboratory,voltage,"""415 v",,,weight,50 ton,,,,,,,,,,,,,,,,,,,,,,,,
double die extruder for plastic processing 1 tpd,3,3,capacity,1 tpd,capacity,1 tpd,type,extruder,material to be extruded,"""plastic",usage,plastic processing,type,extruder,,,,,,,,,,,,,,,,,,,,,,,,
"double die extruder machine specifications - brand: laxmi, capacity: 25 kg, voltage: 480 v, phase: single phase, body material: aluminium, automation: semi-automatic",3,4,automation grade,semi-automatic,automation grade,semi-automatic,brand,"laxmi,",capacity,"""25 kg",capacity,25,phase,single phase,,,voltage,480 v,,,,,,,,,,,,,,,,,,,,
double die extruder with 3 hp power 480 v,3,2,motor power,3 hp,motor power,"""3 hp",type,extruder,voltage,480 v,voltage,480 v,,,,,,,,,,,,,,,,,,,,,,,,,,
epe foam extruder,1,0,type,extruder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
epe foam extruder,1,0,type,extruder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
epe foam extruder,1,0,type,extruder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
epe foam extruder,1,0,type,extruder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
epe foam extruder 25 hp motor 10 tpd,3,0,capacity,10 tpd,,,power,25 hp,,,usage,epe foam extruder,,,,,,,,,,,,,,,,,,,,,,,,,,
epe foam extruder 415 v,2,1,type,extruder,voltage,"""415 v",voltage,415 v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
epe foam extruder 440 v single phase,3,2,phase,single phase,phase,single phase,type,extruder,voltage,"""440 v",voltage,440 v,,,,,,,,,,,,,,,,,,,,,,,,,,
epe foam extruder for research,3,0,material,epe foam,,,type,extruder,,,usage,research,,,,,,,,,,,,,,,,,,,,,,,,,,
epe foam extruder with 10 hp power 240 v,3,2,motor power,10 hp,motor power,10 hp,type,extruder,voltage,240 v,voltage,240 v,,,,,,,,,,,,,,,,,,,,,,,,,,
eureka automatic pvc extruder,4,0,automation grade,automatic,,,brand,eureka,,,material,pvc,,,type,extruder,,,,,,,,,,,,,,,,,,,,,,
eureka automatic xlpe cable extruder,3,2,automation grade,automatic,automation grade,"""automatic",brand,eureka,material to be extruded,xlpe,material,xlpe,,,,,,,,,,,,,,,,,,,,,,,,,,
"eureka automatic zinc recovery unit machine with 200 kg/hr capacity, 400 v voltage, three phase, ss 304 body, suitable for agricultural",3,5,automation grade,automatic,material grade,ss 304,capacity,200 kg/hr,phase,three phase,usage,agricultural,production capacity,"""200 kg/hr",,,usage/application,industrial,,,voltage,400 v,,,,,,,,,,,,,,,,
eureka cable extruder,2,0,brand,eureka,,,type,cable extruder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eureka fully automatic film extrusion machine,2,2,brand,eureka,automation grade,fully automatic,machine type,automatic,machine type,film extrusion machine,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"eureka fully automatic ldpe blown film machine machine with 100 liter capacity, 380 v voltage, single phase, ss 304 body, suitable for research",4,5,brand,eureka,automation grade,"""fully automatic",capacity,100 liter,capacity(litre),100 liter,machine type,automatic,material grade,ss 304,material,ldpe,phase,single phase,,,voltage,380 volt,,,,,,,,,,,,,,,,
"eureka manual pet extruder machine with 25 kg/hr capacity, 440 v voltage, 1 phase, ms body, suitable for wire & cable",4,5,automation grade,manual,body material,ms,brand,eureka,phase,1 phase,capacity,25 kg/hr,production capacity,"""25 kg/hr",model name/number,extruder,usage/application,wire & cable,,,voltage,440 v,,,,,,,,,,,,,,,,
"eureka semi-automatic solvent extraction plant, 50 tpd, 440 v, single phase",4,3,automation grade,semi-automatic,automation grade,"""semi-automatic",brand,eureka,phase,single phase,phase,single phase,voltage,440 v,usage,solvent,,,,,,,,,,,,,,,,,,,,,,
extruder machine 380 v,2,1,type,extruder,voltage,380 v,voltage,380 v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
film extrusion machine,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
film extrusion machine 480 v,1,0,voltage,480 v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"film extrusion machine for pharmaceutical use, 5 tpd, 380 v, eureka brand",3,2,brand,eureka,usage/application,food and beverages and cosmetics industries,machine name,film extrusion machine,voltage,"""380 v",usage,pharmaceutical,,,,,,,,,,,,,,,,,,,,,,,,,,
film extrusion machine machine 750 kg/hr output 480 v 3 phase hdpe,4,4,capacity,750 kg/hr,material to be extruded,hdpe,material,hdpe,phase,3 phase,phase,3 phase,production capacity,"""750 kg/hr",voltage,480 v,voltage,480 v,,,,,,,,,,,,,,,,,,,,
"foam extruder - unique make, 100 kg/hr, pp, 1 phase",3,3,brand,unique,material to be extruded,pp,capacity,"100 kg/hr,",phase,1 phase,phase,1 phase,production capacity,"""100 kg/hr",,,,,,,,,,,,,,,,,,,,,,,,
foam extruder 10 hp motor 100 kg,3,0,capacity,100 kg,,,power,10 hp,,,usage,foam extruder,,,,,,,,,,,,,,,,,,,,,,,,,,
foam extruder 3 hp motor 25 kg/hr,3,0,capacity,25 kg/hr,,,motor power,3 hp,,,usage,foam extruder,,,,,,,,,,,,,,,,,,,,,,,,,,
foam extruder machine 10 ton output 440 v three phase ss 316,4,4,capacity,10 ton,body material,ss,phase,three phase,phase,three phase,type,foam extruder,voltage,440 v,voltage,440 v,weight,"""10 ton",,,,,,,,,,,,,,,,,,,,
foam extruder machine 20 kg output 400 v 3 phase mild steel,5,4,capacity,20 kg,body material,mild steel,material,mild steel,capacity(kg/hr),"""20 kg",phase,3 phase,phase,three phase,type,foam extruder,voltage,400 v,voltage,400 v,,,,,,,,,,,,,,,,,,
"fully automatic aluminium extrusion plant for laboratory applications, 50 ton capacity, 240 v voltage rating, single phase power supply, aluminium body",6,6,automation grade,automatic,automation grade,"""fully automatic",capacity,50 ton,material,aluminium,machine name,extrusion,material to be extruded,aluminium,material,aluminium,phase,single phase,phase,single phase,usage/application,industrial,usage,laboratory,voltage,240 v,,,,,,,,,,,,
"fully automatic basket extruder for agricultural applications, 5 kg capacity, 220 v voltage rating, single phase power supply, cast iron body",6,6,automation grade,automatic,automation grade,"""fully automatic",capacity,5 kg,body material,cast iron,material,cast iron,capacity,5 kg,model name/number,basket extruder,phase,single phase,phase,single phase,usage/application,industrial,usage,agricultural,voltage,220 v,,,,,,,,,,,,
fully automatic bitumen extractor 440 v,3,2,automation grade,automatic,automation grade,"""fully automatic",machine type,bitumen extractor,voltage,440 v,voltage,440 v,,,,,,,,,,,,,,,,,,,,,,,,,,
fully automatic copper extraction plant 415 v,3,2,automation grade,automatic,automation grade,"""fully automatic",usage,copper extraction,voltage,415 v,voltage,415 v,,,,,,,,,,,,,,,,,,,,,,,,,,
fully automatic epe foam extruder 400 v,4,2,automation grade,automatic,automation grade,"""fully automatic",material,epe,voltage,400 v,type,extruder,,,voltage,400 v,,,,,,,,,,,,,,,,,,,,,,
fully automatic extruder machine,2,2,automation grade,automatic,automation grade,fully automatic,type,extruder,machine type,automatic,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fully automatic foam extruder,2,2,automation grade,automatic,automation grade,fully automatic,type,extruder,type,extruder,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fully automatic foam extruder 220 v,3,2,automation grade,automatic,automation grade,"""fully automatic",type,extruder,voltage,220 v,voltage,220 v,,,,,,,,,,,,,,,,,,,,,,,,,,
fully automatic hdpe liquid extraction system,3,2,automation grade,automatic,automation grade,"""fully automatic",material,hdpe,material to be extruded,hdpe,usage,liquid extraction,,,,,,,,,,,,,,,,,,,,,,,,,,
fully automatic hdpe pvc pipe extruder,3,4,automation grade,automatic,automation grade,"""fully automatic",material,hdpe pvc,material to be extruded,hdpe,type,extruder,material to be extruded,pvc,,,type,pipe extruder,,,,,,,,,,,,,,,,,,,,
fully automatic hydro extractor,2,2,automation grade,automatic,automation grade,fully automatic,product,hydro extractor,product type,hydro,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fully automatic lab extruder,3,2,automation grade,automatic,automation grade,"""fully automatic",type,extruder,industry type,lab,usage,lab,,,,,,,,,,,,,,,,,,,,,,,,,,
fully automatic lab extruder 230 v,4,2,automation grade,automatic,automation grade,fully automatic,type,extruder,voltage,230 v,usage,lab,,,voltage,230 v,,,,,,,,,,,,,,,,,,,,,,
"fully automatic ldpe blown film machine for packaging applications, 1 tpd capacity, 220 v voltage rating, single phase power supply, ms body",4,8,capacity,1 tpd,application,applications,machine type,automatic,automation grade,"""fully automatic",material,ldpe,body material,ms,phase,single phase,capacity,1 tpd,,,packaging type,packaging type,,,phase,single phase,,,plastic processed,ldpe,,,voltage,220 v,,,,
fully automatic metal recovery plant 230 v,2,2,automation grade,automatic,automation grade,"""fully automatic",voltage,230 v,voltage,230 v,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fully automatic mild steel xlpe cable extruder,3,3,automation grade,automatic,automation grade,"""fully automatic",material,mild steel,body material,mild steel,usage,cable,type,cable extruder,,,,,,,,,,,,,,,,,,,,,,,,
fully automatic mother baby extruder,2,2,automation grade,automatic,automation grade,fully automatic,type,extruder,machine type,fully automatic,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"fully automatic multi layer extruder for food processing applications, 50 kg/hr capacity, 415 v voltage rating, single phase power supply, stainless steel body",5,7,automation grade,automatic,application,food process industry,capacity,50 kg/hr,automation grade,"""fully automatic",material,stainless steel,body material,stainless steel,phase,single phase,layer,multilayer,usage,food processing,phase,single phase,,,production capacity,50 kg/hr,,,voltage,415 v,,,,,,,,
"fully automatic oil extraction plant for chemical industries, capacity: 20 tpd, power: 20 kw",2,4,capacity,20,automation grade,"""fully automatic",operation type,automatic,capacity,20 tpd,,,power,20 kw,,,usage/application,industrial,,,,,,,,,,,,,,,,,,,,
fully automatic pet extruder,2,2,automation grade,automatic,automation grade,fully automatic,type,extruder,material to be extruded,pet,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fully automatic pet extruder 380 v,3,2,automation grade,automatic,automation grade,"""fully automatic",type,extruder,voltage,380 v,voltage,380 v,,,,,,,,,,,,,,,,,,,,,,,,,,
fully automatic pipe extrusion machine,2,2,automation grade,automatic,automation grade,fully automatic,machine type,extrusion,type,pipe extruder,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fully automatic plastic extruder,3,2,automation grade,automatic,automation grade,fully automatic,material to be extruded,plastic,material to be extruded,plastic,type,extruder,,,,,,,,,,,,,,,,,,,,,,,,,,
fully automatic plastic extruder,3,2,automation grade,automatic,automation grade,fully automatic,material to be extruded,plastic,material to be extruded,plastic,type,extruder,,,,,,,,,,,,,,,,,,,,,,,,,,
fully automatic plastic extruder,3,2,automation grade,automatic,automation grade,fully automatic,material to be extruded,plastic,material to be extruded,plastic,type,extruder,,,,,,,,,,,,,,,,,,,,,,,,,,
fully automatic plastic extruder,3,2,automation grade,automatic,automation grade,fully automatic,material to be extruded,plastic,material to be extruded,plastic,type,extruder,,,,,,,,,,,,,,,,,,,,,,,,,,
fully automatic pp foam extruder,2,2,automation grade,automatic,automation grade,fully automatic,type,extruder,material to be extruded,pp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"fully automatic pp hdpe extruder, capacity: 5 ton, voltage: 380 v, phase: 3 phase",4,5,automation grade,automatic,automation grade,"""fully automatic",capacity,"5 ton,",material to be extruded,pp,material,pp hdpe,material to be extruded,hdpe,phase,3 phase,phase,three phase,,,voltage,380 v,,,,,,,,,,,,,,,,
"fully automatic pvc multi layer extruder, capacity: 20 tpd, voltage: 400 v, phase: three phase",4,5,automation grade,automatic,automation grade,"""fully automatic",capacity,"20 tpd,",capacity,20 tpd,material,pvc,phase,three phase,phase,three phase,plastic processed,pvc,,,voltage,400 v,,,,,,,,,,,,,,,,
fully automatic pvc pipe extruder 230 v,4,3,automation grade,automatic,automation grade,"""fully automatic",material,pvc,plastic processed,pvc,type,extruder,voltage,230 v,voltage,230 v,,,,,,,,,,,,,,,,,,,,,,
fully automatic pvc polymer extruder,3,2,automation grade,automatic,automation grade,fully automatic,material,pvc,plastic processed,pvc,type,extruder,,,,,,,,,,,,,,,,,,,,,,,,,,
fully automatic rice bran extraction plant 480 v,3,2,automation grade,automatic,automation grade,"""fully automatic",usage,rice bran extraction,voltage,480 v,voltage,480 v,,,,,,,,,,,,,,,,,,,,,,,,,,
"fully automatic silver refinery machine for industrial, capacity: 30 kg, power: 2 kw",4,5,automation grade,automatic,automation grade,"""fully automatic",capacity,30,capacity(kg),30 kg,model name/number,silver refinery,metal,silver,usage,"industrial,",power,2 kw,,,usage/application,industrial,,,,,,,,,,,,,,,,
fully automatic silver refining plant 400 v,2,2,automation grade,automatic,automation grade,"""fully automatic",voltage,400 v,voltage,400 v,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"fully automatic ss 304 liquid extraction system, capacity: 100 ton, voltage: 415 v, phase: single phase",5,6,automation grade,automatic,automation grade,"""fully automatic",capacity,"100 ton,",body material,ss,material grade,ss 304,capacity,100 ton,phase,single phase,material grade,304,usage,liquid extraction,phase,single phase,,,voltage,415 v,,,,,,,,,,,,
fully automatic ss 304 zinc recovery unit,3,2,automation grade,automatic,automation grade,fully automatic,material grade,ss 304,body material,ss,usage,zinc,,,,,,,,,,,,,,,,,,,,,,,,,,
"fully automatic ss 316 liquid extraction system, capacity: 1000 kg/hr, voltage: 415 v, phase: three phase",4,5,automation grade,automatic,automation grade,"""fully automatic",capacity,"1000 kg/hr,",body material,ss 316,phase,three phase,phase,three phase,usage,liquid extraction,production capacity,1000 kg/hr,,,voltage,415 v,,,,,,,,,,,,,,,,
"fully automatic ss 316 pet extruder, capacity: 30 kg, voltage: 415 v, phase: 1 phase",2,5,automation grade,automatic,automation grade,"""fully automatic",capacity,"30 kg,",body material,ss,,,capacity(kg),30 kg,,,phase,1 phase,,,voltage,415 v,,,,,,,,,,,,,,,,
fully automatic ss wire extruder,3,2,automation grade,automatic,automation grade,"""fully automatic",material,ss,body material,ss,type,wire extruder,,,,,,,,,,,,,,,,,,,,,,,,,,
"fully automatic tube extrusion machine for plastic processing applications, 50 ton capacity, 220 v voltage rating, 3 phase power supply, hdpe body",4,8,capacity,50 ton,automation grade,"""fully automatic",machine name,tube extrusion machine,body material,hdpe,material,hdpe,capacity,50 ton,phase,3 phase,material to be extruded,plastic,,,phase,three phase,,,plastic processed,hdpe,,,type,tube extrusion machine,,,voltage,220 v,,,,
"fully automatic wire extruder for research, capacity: 100 tpd, power: 2 kw",4,3,automation grade,automatic,automation grade,"""fully automatic",capacity,"100 tpd,",capacity,100 tpd,type,extruder,power,2 kw,usage,"research,",,,,,,,,,,,,,,,,,,,,,,
"fully automatic zinc recovery unit for food processing applications, 500 liter capacity, 230 v voltage rating, 3 phase power supply, ms body",3,6,automation grade,automatic,application,food process industry,capacity,500 liter,automation grade,"""fully automatic",usage,food,body material,ms,,,capacity(litre),500 liter,,,phase,three phase,,,voltage,230 v,,,,,,,,,,,,
gold refinery plant,2,0,type,refinery,,,usage,gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gold refinery plant 400 v single phase,2,2,phase,single phase,phase,single phase,voltage,400 v,voltage,"""400 v",,,,,,,,,,,,,,,,,,,,,,,,,,,,
gold refinery plant for packaging,1,2,usage,packaging,usage/application,gold refining plant,,,usage/application,packaging,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gold refinery plant machine 50 ton output 440 v three phase ss,5,5,capacity,50 ton,body material,ss,material,ss,phase,three phase,model name/number,gold refinery,purity,50,phase,three phase,usage/application,gold refining plant,voltage,440 v,voltage,"""440 v",,,,,,,,,,,,,,,,
gold refinery plant with 50 hp power 240 v,3,2,motor power,50 hp,motor power,50 hp,usage,gold,voltage,"""240 v",voltage,240 v,,,,,,,,,,,,,,,,,,,,,,,,,,
gold refinery plant with 50 hp power 415 v,3,2,motor power,50 hp,motor power,"""50 hp",usage,gold,voltage (v),415 v,voltage,415 v,,,,,,,,,,,,,,,,,,,,,,,,,,
"gold refining machine - labh group make, 100 kg, pp, single phase",3,3,brand,labh group,capacity(kg),"""100 kg",phase,single phase,material,pp,usage,gold refining,phase,single phase,,,,,,,,,,,,,,,,,,,,,,,,
"gold refining machine - twin screw design, 200 kg/hr output, 480 v, single phase, aluminium construction, turbo brand, semi-automatic operation",3,6,automation grade,semi-automatic,automation grade,semi-automatic,brand,turbo,material,aluminium,capacity,200 kg/hr,phase,single phase,,,production capacity,200 kg/hr,,,screw design,"""twin screw",,,voltage,480 v,,,,,,,,,,,,
gold refining machine 440 v,1,2,voltage,440 v,product type,gold refining plant,,,voltage,440 v,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"gold refining machine for pharmaceutical use, 1000 kg/hr, 415 v, eureka brand",4,3,brand,eureka,production capacity,1000 kg/hr,capacity,"1000 kg/hr,",usage/application,food and beverages and cosmetics industries,usage,pharmaceutical,voltage,"""415 v",voltage,415,,,,,,,,,,,,,,,,,,,,,,
gold refining machine with 2 hp power 440 v,3,2,power,2 hp,power,"""2 hp",usage,gold refining,voltage,440 v,voltage,440 v,,,,,,,,,,,,,,,,,,,,,,,,,,
gold star aluminium extrusion plant 1 tpd,2,3,brand,gold star,brand,"""gold star",capacity,1 tpd,capacity,1 tpd,,,usage/application,aluminium extrusion,,,,,,,,,,,,,,,,,,,,,,,,
"gold star fully automatic monolayer extruder machine with 1 tpd capacity, 415 v voltage, 3 phase, cast iron body, suitable for agricultural",4,8,automation grade,automatic,automation grade,fully automatic,brand,gold star,body material,cast iron,capacity,1 tpd,brand,"""gold star",material,cast iron,capacity,1 tpd,,,layer,monolayer,,,phase,three phase,,,usage/application,industrial,,,voltage,415 v,,,,
gold star herbal extraction plant 25 kg,3,3,brand,gold star,brand,"""gold star",capacity,25 kg,capacity,25 kg,product,herbal,usage/application,herbal extraction,,,,,,,,,,,,,,,,,,,,,,,,
"gold star make fully automatic metal recovery plant, production capacity: 100 liter, voltage: 240 v, phase: 3 phase, material: cast iron, power: 3 kw",4,6,automation grade,automatic,automation grade,fully automatic,brand,gold star,brand,"""gold star",capacity,100,material,cast iron,usage,metal recovery,phase,3 phase,,,power,3 kw,,,voltage,240 v,,,,,,,,,,,,
"gold star manual plastic extruder, 1 tpd, 415 v, three phase",2,6,brand,gold star,automation grade,manual,phase,three phase,brand,"""gold star",,,capacity,1 tpd,,,material to be extruded,plastic,,,phase,three phase,,,voltage,415 v,,,,,,,,,,,,
gold star multi layer extruder,3,2,brand,gold star,brand,gold star,layer,multi layer,layer,multilayer,type,extruder,,,,,,,,,,,,,,,,,,,,,,,,,,
"gold star semi-automatic aluminium extrusion plant, 25 kg, 380 v, 1 phase",4,6,automation grade,semi-automatic,automation grade,semi automatic,brand,gold star,brand,"""gold star",phase,1 phase,phase,1 phase,usage,aluminium,usage/application,aluminium extrusion,,,voltage,380 v,,,weight,25 kg,,,,,,,,,,,,
gold star semi-automatic epe foam extruder,4,3,automation grade,semi-automatic,automation grade,semi automatic,brand,gold star,brand,"""gold star",material,epe,type,extruder,type,extruder,,,,,,,,,,,,,,,,,,,,,,
"gold star semi-automatic pet extruder, 1 tpd, 380 v, single phase",3,5,automation grade,semi-automatic,automation grade,semi-automatic,brand,gold star,brand,"""gold star",phase,single phase,capacity,1 tpd,,,phase,single phase,,,voltage,380 v,,,,,,,,,,,,,,,,
gold star semi-automatic plastic extruder,3,3,automation grade,semi-automatic,automation grade,semi automatic,brand,gold star,brand,"""gold star",type,extruder,material to be extruded,plastic,,,,,,,,,,,,,,,,,,,,,,,,
"gold star semi-automatic solvent extraction plant, 1000 liter, 480 v, single phase",5,5,automation grade,semi-automatic,automation grade,semi-automatic,brand,gold star,brand,"""gold star",capacity,1000,capacity(litre),1000,phase,single phase,phase,single phase,usage,solvent,voltage,480 v,,,,,,,,,,,,,,,,
hdpe blown film extrusion machine 5 tpd capacity,2,2,capacity,5 tpd,capacity,5 tpd,material,hdpe,material to be extruded,"""hdpe",,,,,,,,,,,,,,,,,,,,,,,,,,,,
hdpe body conical twin screw extruder 750 kg/hr,3,4,capacity,750 kg/hr,material,"""hdpe",machine type,screw,production capacity,750 kg/hr,material,hdpe,screw design,conical,,,screw design,twin screw,,,,,,,,,,,,,,,,,,,,
hdpe body film extrusion machine with 10 kg/hr capacity and 240 v voltage,3,3,capacity,10 kg/hr,body material,"""hdpe",material,hdpe,production capacity,10 kg/hr,voltage,240 v,voltage,240 v,,,,,,,,,,,,,,,,,,,,,,,,
hdpe body lab extruder 1000 liter,4,2,capacity,1000 liter,capacity(litre),1000,material,hdpe,material,"""hdpe",type,extruder,,,usage,lab,,,,,,,,,,,,,,,,,,,,,,
hdpe body xlpe cable extruder 750 kg/hr,2,2,capacity,750 kg/hr,body material,"""hdpe",material,hdpe,production capacity,750 kg/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hdpe copper extraction plant 50 ton capacity,3,3,capacity,50 ton,capacity,50 ton,material,hdpe,material,"""hdpe",usage,copper extraction,wire material,copper,,,,,,,,,,,,,,,,,,,,,,,,
"hdpe extruder - laxmi make, 50 kg/hr, stainless steel, single phase",5,4,brand,laxmi,body material,stainless steel,capacity,"50 kg/hr,",phase,single phase,material,hdpe,plastic processed,"""hdpe",phase,single phase,production capacity,50 kg/hr,type,extruder,,,,,,,,,,,,,,,,,,
hdpe extruder 240 v,3,1,material,hdpe,voltage,"""240 v",type,extruder,,,voltage,240 v,,,,,,,,,,,,,,,,,,,,,,,,,,
hdpe extruder 400 v,3,2,material,hdpe,material to be extruded,hdpe,type,extruder,voltage,400 v,voltage,400 v,,,,,,,,,,,,,,,,,,,,,,,,,,
hdpe extruder 440 v,3,2,material,hdpe,material to be extruded,hdpe,type,extruder,voltage,440 v,voltage,440 v,,,,,,,,,,,,,,,,,,,,,,,,,,
hdpe extruder 7.5 hp motor 100 liter,2,3,capacity,100 liter,capacity(litre),100 liter,power,7.5 hp,material to be extruded,"""hdpe",,,motor power,7.5 hp,,,,,,,,,,,,,,,,,,,,,,,,
hdpe extruder machine 300 kg/hr output 230 v 3 phase pp,5,4,capacity,300 kg/hr,material to be extruded,pp,material,hdpe,phase,three phase,phase,3 phase,production capacity,300 kg/hr,type,extruder,voltage,"""230 v",voltage,230 v,,,,,,,,,,,,,,,,,,
hdpe oil extraction plant 30 kg capacity,2,2,capacity,30 kg,capacity(kg),30 kg,material,hdpe,material to be extruded,"""hdpe",,,,,,,,,,,,,,,,,,,,,,,,,,,,
hdpe plastic extruder,1,2,type,extruder,material to be extruded,hdpe,,,material to be extruded,plastic,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hdpe sheet extruder 5 tpd capacity,3,3,capacity,5 tpd,capacity,5 tpd,material,hdpe,material to be extruded,"""hdpe",type,extruder,output shape,sheet,,,,,,,,,,,,,,,,,,,,,,,,
herbal extraction plant,0,1,,,usage/application,herbal extraction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"herbal extraction plant - twin screw design, 10 kg/hr output, 230 v, 3 phase, hdpe construction, unique brand, manual operation",5,7,automation grade,manual,automation grade,manual,brand,unique,material,hdpe,capacity,10 kg/hr,phase,three phase,material,hdpe,production capacity,10 kg/hr,model name/number,herbal extraction,screw design,twin screw,,,usage/application,"""herbal extraction",,,voltage,230 v,,,,,,,,
