Key,Value
Model Name/Number,C-36
Brand,Ignitors
Model Name/Number,SG113-220
Mounting,FOOT FLANGE
Voltage,360 V  DC
Power,1.5HP
Thickness,2 mm
Voltage,250 VAC-480 VAC
Model Name/Number,MHMJ102P1G
Brand,FAAC
Motor Type,Induction Motors
Model Name/Number,ATS48C32Q
Model Name/Number,ATS48C48Q
Horsepower,40 HP
Brand,Kenwood
Model Name/Number,CN4610A1001
Model Name/Number,STA 63 STA 23 STP 73
Voltage,230 V AC
Model Name/Number,Nema 23
Model Name/Number,031 To 040
Phase,single and three
Model Name/Number,ELCW+D 3.0 H.P
Voltage,220 Volt
Voltage,"220V,440V"
Speed,2880 RPM
Rated Power,0.5Hp
Brand,Electro-Sensors Inc. USA
Horsepower,12.5 HP
Speed,1440 or 2880Rpm
Thickness,3 mm
Model Name/Number,ATS22C11Q
Model Name/Number,ATS22C14Q
Motor Type,Induction
Brand,Oswal
Horsepower,30 HP
Material Type,Fiberglass
We Repair,Servo Motor
Type,Hand Blender
Speed,18000/24000
Type,Linear
Bearing Type,Electric
Motor Voltage,parker
Shutter Size,Max 6 meter Height
Model Name/Number,ACT 63
Capacity,2000KW
Model,42 HS 03
Brand,Doorhan
Model Name/Number,HG KR13B
Model Name/Number,YT-1000R
Model Name/Number,Long Life
Brand,Flowserve
Type,Bldc
Refrigerant,R32
Power,3 PHASE
Model Name/Number,ARC B 58
Speed,450 rpm
Model No.,EDG-125 N
Device Type,Electric Actuator
Model Name/Number,"Dewalt DW-28135 5""AG Carbon Brushes"
Power,3.0 kw
Usage/Application,Burner
Power (Watts or HP),24
Capacity,3
Voltage,230 V to 110 V
Model Name/Number,Panasonic Liqi
Finish,Foot Mounted Motor
Width,20mm
Brand,JIELONG
Application,Slip Ring
Usage/Application,Swing Door
Rated Load,250 lb
Starter Type,Smart
Output Torque,Maximum 412 NM
Model Name/Number,SG90
Speed (Rpm),1500 RPM
Brand,Step
Brand,Caventa
Voltage Type,Low Voltage
Model Name/Number,28700
Brand,Yuri
Brand,SHINANO
Voltage,220 and 440 V
Brand,CG Power
Speed (RPM),6000 RPM
Model Name/Number,STANMACH
Power,37KW - 55KW
Frequency,50 Hz
No Of Poles,2
Motor Phase,Single
Coil Voltage,220 V
Voltage,180-220V
Model Name/Number,RTX 1200
Size,5 mm
Brand,Megh Neel
Operating Temperature,VCB
FL Amps,Spring
Motor Brand,ABB
Usage/Application,Charging
Commutation,Brushless
Commutation,Brush
Brand,Pittman
Model Name/Number,1/35
Commutation,Geared
Dimension,NEMA 17
Mounting,Leadshine HS Series - 42HS02 NEMA 17
Dimension,NEMA 23
Speed,300 to 3000 RPM
No Of Phase,4
Material,Aluminum
Size,38 mm
Usage/Application,Gate Motor
Usage/Application,Swing Gate Motor
Accuracy Class,0.5
Usage/Application,Cooling Tower
Brand,symphony
Size,50 mm
Size,15 mm
Torque,Customzied
Brand,Jet Age
Brand,Amkash
Stroke Length,2
Usage/Application,Programmable
Starter Type,NSD1 Oil Immersed
Power,90 Watt
Speed,4 to 3000 rpm
Orientation,Horizontal
Usage/Application,Power Looms
Brush No.,Gopi Mixer Carbon Brushes
Model Name/Number,"Hitachi 7""Ag No.61 Carbon Brushes"
Speed,15 rpm
No. Of Phase,Single
Model,VC7931
Voltage,50
Type,Electro Pneumatic
Power,220
Usage/Application,elevator
Brand,Hitesh
Size,13 mm
Brand,Power Tech
Brand,Delta
Power,1000 Watt
Usage/Application,Automatic Swing Gates
Starter Type,Submersible starter
Brand,Remi
Model Number,11E
Brand,Bonfiglioli Riduttori
Max Flow Rate,2000 LPM
Model,Centrifugal Pump
Head,30 Mtr
Brand,Somfy
Brand,Duplex
Power,25 watt~ 360 watt
Power,0.10 KW
Power,0.5 KW
Power,0.55
Voltage,480 V
Power,12.5 HP
Voltage,220/440V
Model Name/Number,YT-1000L
Model Name/Number,IE3
Model Name/Number,Vacuum Motor with side hose
Brand,KPT
Size,294.5mm*134mm*104mm
Speed,2200 rpm
Insulation Class,B
Usage/Application,DC MACHINES
Speed (Rpm),1000 Rpm
Model Series,SMC Flex Smart Motor Controller ( 150-F25NBD )
Voltage,3.6V
Type,Torque
Speed,350 rpm
Brand,Bentex
Power,370W
Model Name/Number,MG90S
Maximum Head,51 to 100 m
Model Name,A Series
Speed (RPM),3000 RPM
Type,Digital
Capacity,100 KVA
Application,Mixer Grinder
Power,0.25-10.0
Model Name,BONFIGLIOLI HELICAL GEAR
Model Name/Number,Motor Carbon Holder Cap
Product Type,Carbon Brush
Model Name/Number,STANLEY STHR202K
Brand,Ayodhya
Brand,Ucan
Model Name/Number,BLACK+DECKER JS20
Usage,Power
Brand,Kubler
Model Name/Number,LF230
Device Type,LINEAR ACTUATOR
Brand,Thomson
Speed,3000/3600 rpm
Valve Type,Globe Valve
Brand,Ferrocontrol
Brand,Jam
Model Name/Number,89 DIA
Type,Self Excited-Shunt
Size,25 mm
Power,250-750 w
Brand,Hulk Lokpal
Voltage,415/230
Model Name/Number,STANLEY SSC22
Brand,Prince
Capacity,113 to 23600 Kg
Code Number,Multi Turn
No Load Speed,26000
Shape,Ring
Voltage,230V AC/DC
Type,Bell Housing
Speed,upto 3000 Rpm
Model Name/Number,High Performance DC-Motor
Usage/Application,DOMESTIC SUBMERCIBLE WATER PUMP STARTER FOR SUMP
Model,86 HS 35
Size,105 mm
Model Name/Number,BCH16HM10230A6C - 1000 Watt
Functions,Tapping
Brush Top,Slip ring
Brand,Towerpro
Brand,Whirlpool
Voltage,151-200 V
Model Name/Number,SKC60
Power,30kW
Frame Size,Nema 17
Type,BLDC Motor
Motor Type,Servo Motor
Temp. Rise,45degree Celsius
Motor Horsepower,10
Model Name/Number,motor3KGAC
Material,Electronics
Model Name/Number,VPL-A0632F-PJ12AA
Brand,VEICHI
Brand,Arcuchi
Material,Mild steel and aluminum
No Of Phase,Two phase
Weight,23.0kg
Step Angle,1.8
Phase,3 phase and 1 phase
Motor Part Type,Cover
Power,400 W
Power,230V AC
Tower Type,Forced Draft
Power,0.08 to 22.5kw
Power,1200 W
Weight Capacity,1500kg
Phase,3 PAHSE
Power,310 kW
Usage/Application,AUTOMOTVE
Power,201-300 KW
Power,0.37KW TO 7.5KW
Power,180 Watt
Power,25 Watt to 200 Watt
Power,0.37 to 15
Load Capacity,100 N
Motor Power,4000
Application,For Angle Grinder
Power,200WATT - 3KW
Fan Size,10 Inch
Power,50 W to 1 kW
Power,500 kW
Power,440
Power,415V
Switch Type,STARTER
Voltage,400V
Rated Speed,700RPM
Rated Speed,320RPM
Horsepower,2
Power,0.75
Power,270 HP
Shaft Type,Hollow Shaft
Sensor Type,Encoders
Shaft Type,Hollow
Power,0.06KW TO 3.7KW
Weightlifting Capacity,400 Kg
Brand,HAGGLUNDS
Power Output,2 HP
Usage/Application,Machinery
Model Name/Number,3SB5001-0AC01-0PQ0
Switch Type,Illuminated Push Button
Type,Gear Motor
Model Name/Number,KDM 222
Usage/Application,AUTOMOTIVES
Material,DMC
Brand,ThinkX
Starter Type,Soft Starter
Power,220 V
Power,200W - 15KW
Brand,BOPARAI
Torque At Max Speed,1000 NM
Model Name/Number,Philips Mixer Carbon Brush
Model Name/Number,Bosch 2.26 Hammer Drill Carbon Brushes
Model Name/Number,"Dewalt DW801 4""AG Carbon Brushes"
Type of Motor,Torque Motor
Model Name/Number,Makita CB-64 Carbon Brushes
Voltage,220 to 440 volte
Model Name/Number,NM24A-SR
Weight,19 kg-cm
Voltage,3.6 V
Motor Capacity,200 watt
Brand,GELCO
Brand,Weishaupt
Model Name/Number,SQM 10.16562
Model Name/Number,MDMA502P1G
Starter Type,Electric
Power,100W to 22Kw
Brand,INVT
Features,Flame proof
Speed of Motor,300RPM
Brand,BCH
Horsepower,15hp
Capacity,50HP
Voltage,112
Brand,lnt
Material,aluminimu alloy
Material,Rubber
Material,Aluminium Body
Voltage,180V
Voltage,110/220 VDC/AC
Power,1000 KW
Power,1300 W
Power,7.5
Power,120 HP
Power,100 hp
Brand,Seimens
Part Type,Fan Motor
Power,1400 watt
Power,30 hp
Speed,2400 Rpm
Power,1.2 kW
Power,Half Hp
Power,120watts
Power,8 HP
Power,150 hp
Fan Size,16
Power Rating,1 HP
Shaft Type,Hallow
Power,0.12KW TO 2.2KW
Power,3.75 KW
Speed,50000 RPM
Power,0.25HP TO 5HP
Power Output,3 HP
Current,16A
Power,30 Hp TO 450 HP
Power,35 watt
Power,7.5HP
Power,240 V
Power,3
Brand,Cummins
Type,Fuel Control Actuator
Power,1000 KV
Phase,1 Phase
No Load Speed,8000 RPM
Brand,Virat
Application,Mobile starter
Speed,1440 TO 2880
Brand,Nord
Model Name/Number,N-707
Current,24 A
Voltage,2S-6S LIPO
Brand,DCA
Speed (RPM),1440 RPM
Voltage,415VAC
Brand,MAXCENT VIBRATOR
Brand,Kissan
Brand,SKN-Bentex
Current,30 A
Brand,Himlite
Voltage,500V
Type Of Motor,STAR DELTA
Current,20 A
Voltage,220/440
Brand,Welltech
Model Name/Number,MU
Brand,ROMA
Brand,Elegan
Brand,RTC
Voltage,360 V
Brand,NEI
Usage/Application,Motor Starter
Brand,Millborn
Brand,Phoenix Contact
Brand,MRG
Starter Type,Fully Automatic
Brand,Italia
Brand,L and T
Mounting Type,FLANGE
Brand,Autonics
Encoder Type,Rotary
Brand,Meslo
Voltage,224V
Part Type,fan cover
Stroke Length,100MM
Speed At Rated Load,22 MM/SEC
Switch type,Loom Switch
Brand,TECO
Model Name/Number,TELLAN
Rated Power,10
Brand,BMP
Display Type,Digital
Model Name/Number,MHMF042L1U2M - Panasonic Minas A6 series Servo motor
Usage/Application,Servo Motor
Brand,Yasaka
Model Name/Number,SV-X2MH040A-N2LN
Voltage,220 to 240 V
Motor Brand,San Air
Power (Watts or HP),0.5 hp to 10 hp
Blower Type,MOTORISED
Power,1.0KW
Power,3.5KW
Wattage,1500 W
Power,2.2KW - 30KW
Power,0.06Kw - 350Kw 0.08HP - 470HP
Power,0.12kW - 22kW
Power,0. 25 hp to 500hp
Load Capacity,300
Material,High-Grade C.I Casting
Size,0.5 HP to 60 HP
Usage/Application,Duct Air Cooler
Model Name/Number,HCMFS13BK
Brand,Eaton
Structure,Actuator
Power,380 W
Brand,KHYATEE
Model Name/Number,M4 GSM
Brand,MecVel
Material,VDS 1600KG MOTOR
Model Name/Number,42CM02-1A
Tension,240 V
Performance,230 W
Speed,72 RPM
Speed,1475 RPM
Switch Type,Starter Self
Type Of Motor,ABB
Usage/Application,Air Conditioner
Brand,Hari
Usage/Application,Cooler Motor
Mounting Type,Wall
Voltage,380 V & 415 V
Usage/Application,INDUSTRIAL AUTOMATION
Horsepower,10hp
Voltage,1.5 V
Usage/Application,Motor Control
Brand,Doelin
Model Name/Number,Oil
Speed,25000 RPM
Structure,Butterfly
Brand,fermator
Material,"Graphite, Copper"
Material Type,"Graphite, Copper"
Voltage,415+-10%Volts / 50Hz+-5%
Phase,24vdc
Brand,Moteck
Model Name/Number,ID10
Voltage,24V DC
Voltage,2000V
Brand,Avon
Rotation,CW
Model Number,SG-1803K
Voltage,0.38 kV
Model Name/Number,RDC14MF 0.06 CA
Voltage,220/230 V
Brand,Paramoon
Brand,Hi-tech
Voltage,240/415V
Brand,Easy Trade
Motor Part Type,Motor Spring
Material Type,Stainless Steel
Brand,GM
Power,132 KW
Actuators Type,Mechanical Actuators
Blower Type,Centrifugal
Usage,Motors
Voltage,3 V
Power,20 W
Rated Speed,500 RPM
Gate Weight Capacity,100 Kg
Weight Capacity,600Kg
Power,0.85 KW
Power,All
Power,0-5 KW
Size,48 mm
Capacity,500 litres
Power,1000-2000 KW
Motor Power,3-6 kW
Horsepower,5-10 HP
Horsepower,10-20 HP
Power in HP,10-20 HP
Power in HP,0-5 HP
Power,> 200 KW
Material,MS
Type,Pmsm motr
Speed,2000 rpm to 3000 rpm
Material,Alumunium (LM6)
Gate Weight Capacity,300 Kg
I Deal In,New Only
Gate Weight Capacity,400 Kg
Winding Material,Aluminium
Speed,2500
Horsepower,10-100 HP
Number Of Stages,Single-stage Pump
Motor Horsepower,2HP
No.of Poles,Double Pole
Tonnage,ISM 500 ton
Material,Alloy Steel
Usage/Application,Electric Motor
Application,Industrial
Voltage,<100 V
Starter Type,mobile based
Voltage,5V-12V
Brand,Quality Automations
Power,Other
Power,0.5 HP - 10 HP
Power,0.25 HP to 50 HP
Phase,3 PH
Gear Type,Helical
Voltage,230-415V
Brand,SWASTIK
Brand,TORK
Usage/Application,Actuating Valves
No Load Speed,5 to 110 rpm
Input Voltage,200-240 V
Ambient Temperature,35
Brand,winstar
Power,as require
Model,LZL03 S
Rated Power,upto 40 hp
Warranty Period,1 year
Voltage,415/660/3300/6600/11000 V
Actuator Type,Hydraulic Actuator
Usage,for Compressors
Actuators Type,Pneumatic Actuators
Material,FRP
Wattage,11 - 50W
Size,100 mm
Power Rating,7.5 HP
Power,4.6 KW
Size,25 - 200 mm
Size,80 mm
Material/Body,Mild Steel
Speeds,1400 rpm
Rated Speed,1800 RPM
Weight Capacity,200 Kg
Voltage,220-230 V
Motor Power,2000 Watt
Motor Speed,60 RPM
Capacity,3 kg
Inner Diameter,300 mm
Load Capacity,100 Kg
Motor Horsepower,0.5 HP
Power,0.33 HP
Rated Speed,200 RPM
Speed,55000 RPM
Wattage,51 - 100W
Power,30 KW
Power Tool Type,Angle Grinder
Weight Capacity,600 Kg
Weight Capacity,800 Kg
Working Mode,Double acting
Horsepower,0-10 HP
Displacement,100 cc/rev
Application,Regular
Power Consumption,2kW
Weight Capacity,1500 kg
Speed,3000r/min
Motor Part Type,BRUSH HOLDER
Length,50 MM LONG CARBON USED
Motor Brand,Nice Italy
Maximum Weight Per Leaf,Maximum gate weight up to 1200kgs
Current Rating,AS PER REQUIRMENT
Usage/Application,SLIP RING MOTOR
Material Type,BRASS
Motor Part Type,HOLDER
Voltage,415+/- 10% V
Rated Power,3 HP
Power,2.5 kW
Brand,Spark Motors
Voltage,380V
Power,0.2 / 0.4 W (Nominal)
Usage/Application,For All CNC
Voltage,400
Brand,"ABB, SIEMENS"
Mounting Type,"Foot, Flange Mounting"
Brand,Rotork
Speed,6500 RPM
Motor Type,BLDC Motor
No Of Phase,1
Speed,6001-10000 RPM
Voltage,160 kw to 8000 kw
Model Name/Number,80Sy-M01630S
Rated Power,150 HP
Voltage,690V to 11kV
Power,4.8v
Motor Brand,Siamcool
Current Rating,60 A
Stroke Length,"2"""
Ambient Temperature,20 Deg C to 65 Deg C
Usage/Application,Microwave Oven
Model Name/Number,CN7510A2001
Speed,100RPM
Power,kirloskar standard
Voltage,kirloskar standard
Warranty Period,kirloskar standard
Speed,825 RPM
Brand,Amity
Brand,Laxmi
Model Name/Number,3TW72911AB68
Input Phase,Three Phase
Speed,300-1500 Rpm
Brand,Radicon
Length,0.5-1.5 inch
Brand,Delco Remy
Power,0.18 - 355 kW/( 0.25-470 HP)
Speed,28000rpm
Power,160 kW
Brand,Hydromatik
Brand,MOTOTEK
Power,"220V,24V,110V"
Speed,25000
Power,5 HP- 500 HP
Rated Power,500HP
Power Rating,160 kw to 8000 kw
Voltage,"208-230/460,460 or 575V"
Rated Power,100 HP
Warranty Period,1
Motor Part Type,Electric Motors parts
Brand,MARATHON AEI GEC ALSTOM
Material Type,ALL
Brand,"ABB ,SIEMENS"
Speed,"144,014,001,500"
Mounting,Rail Mounted
Speed,3000
Voltage,415V+/-10%
Brand,Tech
Speed,"290,026,003,000"
Mounting Type,"FOOT,FLANGE,VERTICAL"
Ambient Temperature,50C
Brand,Telcoma
Rated Power,5 HP -500 HP
Speed,"1000 ,1440,1500,2800,3000"
Material Type,Iron
Usage/Application,E Rickshaw
Part Number,30 A 2 Way
Material,Porcelain
Power,>300 KW
Material,Crompton Greaves Motor Rewinding
Pressure,124 Nm
Power,250CC
Brand,Pew
Mounting,"Foot, Flange and Universal"
Power,230 V
Power Source,W
Power,230V
Brand,Moons
Model Name/Number,SSDC10-EC
Switch Type,Push Button
Power,120 to 250 Watt
Power,0.5  To 250 HP
Phase,"Single, Three Phase"
Brand,Phoenix
Material,"Brass, ABS, Copper etc"
Model Name/Number,PAX1
Number Of Phase,NA
Power,NA
Model Name/Number,"TDPZ 0,2LT-4 (B3 Foot mounted)"
Brand,Baumer Hubner
Usage/Application,MOTOR FAN COVER
Motor Type,Three phases induction motors for industrial use
Warranty Period,1 year from date of invoice
Brand,Eaton charlynn
Type,Hydraulic
Voltage,340-440 V AC
Brand,Aquatex
Usage/Application,Industrial Application
Power,0.5 - 7.5 HP
Brand,NOP
Speed,10-300 RPM
Speed,665 rpm
Brand,ITALVIBRAS SPA
Voltage,120-300 V
Power,low to high level
Speed,well
Brand,Suguki
Brand,FINDEVA AND TURBOPOWER
Speed,08 RPM
Motor Power,3 ph
Speed,1400-2000 RPM
Brand,Dahra
Voltage,240-340 V
Material,Fiber
Model Name/Number,AJ-1102
Mounting Type,Clamp
Motor Brand,Avon Motor Industry
Brand,Victor
Stroke Length,99 turns per stroke
Speed,700 rpm
Mounting,Flange mounted & foot mounted
Capacity,2 Ton
Speed,1300-1900 rpm
Brand,Orrish
Mounting,Foot Mounted
Speed,12000 RPM
Inverter Technology,No
Compressor Type,ISM Board
Brand,MSCKOLKATA
Speed,18000
Ambient Temperature,Upto 85 Degree C
Size,71 Frame
Power,440V
Phase,"SINGAL PHASE, THREE PHASE"
Motor Brand,Fuji
Motor Type,SIEMENS MOTOR IE2
Power,65W
Motor Type,Synchronous Motor
Brand,Simens
Power,0.33hp
Power,415V 50HZ
Current,2 to 90 amps
Brand,L t
Usage/Application,Grinding Machine
Speed,1780 RPM
Brand,KOEI Germany
Weight,35 to 40 kg
Phase,Pneumatic
Usage/Application,Suitable for water cooler
Power,0.5 to 10 HP
Ambient Temperature,60
Speed,960-3000 RPM
Model Name/Number,Leadshine 57HS09
Brand,Vignessh Gears
Material,"Steel, Copper, Plastic"
Voltage,240/415 V
Brand,Mahendra
Brand,Bhairav
Voltage,240 VAC
Brand,Sampark
Brand,TEXTON
Brand,APEX
Voltage,415/440V
Material,SS 316
Brand,Mahi Electronic
Brand,Telex
Mounting Type,Horizontal
Encoder Type,Hollow Shaft Encoder
Motor Brand,Whirlpool
Gearing Arrangement Type,Worm
Brand,Fanuc
Brand,Rotork YTC
We Repair,Gettys Servo Motor Repairing
Model Name/Number,HC-MFS73K
Brand,Revo
Number Of Circuits,8
Brand,JINPAT
Starter Type,Openwell
Type,Hybrid
Brand,Domel
Brand,MAHHY
Weight Capacity,800kg
Part Number,60 A 3 Way
Mounting Type,Motor
Brand,Mindman
Brand,GGM
Model Name/Number,ABS
Model,Micro
Brand,GNI
Max Output Power,8.4 Hp
Model Name/Number,IM110HS150-6504 110HS NEMA42
Device Type,Linear Actuators
Model Name/Number,CP-101
Voltage,200-240 V
Brand,PowerSpeed
Pressure,Up to 10 Bar
Power,0.37 kw To 12.5kw
Brand,Atlas Copco
Brand,NSK
Pole,6
Brand,Emhart
Phase,DC
Brand,ANLIN
Power,0.12HP TO 10HP
Brand,Unitex
Brush No.,DU10
Brand,REGENT
Mounting,L Shape
Brand,Chicago Pneumatic
Motor,VIBRATOR MOTOR
Model Name/Number,HC-SF102X
Brand,Kinak
Speed,5RPM
Usage/Application,"Hoist,Crane"
Horsepower,100-200 HP
Power,200-300 KW
Horsepower,300-400 HP
Horsepower,50-100 HP
Torque (KGCM),3 KGCM
Material,MS/SS
Horsepower,200-300 HP
Capacity,20 liters
Speed,23 sec/60 at 4.8V
Load Capacity,5000 Kg
Power Rating,0.33 HP
Usage/Application,Junction Boxes
Machine Type,Semi Automatic
Motor Horsepower,5 - 20 HP
Displacement,100 cc/ rev
No. of axis,2-axis
Type,Bipolar Stepper Motor
Rated Speed,3000 RPM
Brand,Other
Brand,JK Fenner
Brand,Srinivasa Enterprises
Input Voltage,415V
Voltage,220V & 440V
Warranty,1 Year
Mounting,Foot/Flange
Power,15 kA
Current,63 A
Power,60HP
Motor Type,TEFC
Power Rating,<.0.5 HP
Voltage,2.94V
Phase,Single and Three Phase
Voltage,2.06V
Motor Voltage,220 V
Usage/Application,Mixer Grinder
No Of Phase,3
Motor Voltage,240-280 V
Brand,ZD
Speed,Normal
Ambient Temperature,-20 to 70 Degree C
Surface Finishing,Powder Coated
Phase,3hp
Power,0.03 kW ... 75 kW
Voltage,"110 V ... 690 V,50/60 Hz"
Brand,ANY
Power,ANY
Mounting,Floor
Power,200 W (Rated Power)
Torque,0.13 Nm/A
Power,215 HP
Power,10W to 220KW
Output Torque,Yes
Opening Pattern,Manual
Ambient Temperature,50 DegreeC
Model Name/Number,LA-2500
Mounting Type,rigid
Brand,Copia
Power,55W
Speed,1650 RPM
Speed,10RPM
IP Rating,IE2
Model Name/Number,JYOTI OIL STARTER
Current,12-20A
Brand,Swipfe
Speed (Rpm),720 and 960
Tower Material,Fiberglass Reinforced Polyester
Part Number,30 A 6 WAY
Power,7KG & 10 KG
Mounting Type,B3  B5  V1
Power,30w to 30kw
Power,.25 HP
Power,0.37 kw To 5.5kw
Material,Aluminium Die Casting
Model Name/Number,MINI CHROME
Type,Industrial
Usage/Application,Industiral
Model Name/Number,HC-RP203
Power,from 0.5 to 5 HP
Power,5  kW
Type,Blower Motor
Voltage,3.5~6V
Brand,Yamaha Japan
Brand,Tech Trex
Brand,Dewalt
Thickness,0.5 inch
Voltage,220V - 415V
Starter Type,Skewed Stator
Brand,Walkman
Brand,Rtelligent
Features,Flameproof
Model Name/Number,3 Phase Auto Starter With Water Level Controller
Usage/Application,Water Level Controller
Mounting Type,Wall Mount
Brand,LT
Starter Type,Manual
Current Rating,32 A
Number Of Modules,1
Size,1HP
Brand,Bhartia
Suitable For,MOTOR STARTER
Brand,JMS
Brand,Jaisinghani
Model Name/Number,Hybrid Motor starter
Model Name/Number,PGM-1 DOL
Suitable For,Motor
Capacity,1HP
Power,18 HP
Color,Red
Device Type,LINEAR  ACTUATOR
Model Name/Number,MS38H
Usage/Application,Automatic
Power,50 V
Motor Type,Servo
Frequency,Rolling
Running Capacity,2 HP
Motor Brand,SIMEL
Speed,500RPM
Product Power,70HP
Product Power,20W
No. of Stages,Double
model type,Servo Motor
Cooling Type,Water Cooled
Gearing Arrangement,Helical
services,Pmdc Geared Motor
Certification,ISI
Brand,SJ
Motor Power,300 HP
Output Power,1 HP
Item Material,Carbon
Motor Power,2 HP
Model Number,GES 013 V8
Product Line,SMC-3
Model,Champion Series
Model No,0810T
Model Number,EFF1
Brand,UG Land India
Power Type,10 HP
Application,Bell Housing
Type,Hydraulic Bell Housing
Model,SRP-CN4-F
Cooling,Bypass
Diameter,242 mm
Gear Type,Planetary
Brand,Jacobi
Model,Ans 300
Model No,11E
Brand.,LT
ACTUATION,Double Acting
Power Of Source,Electric
Product Power,100HP
Type,Actuator
Motor Brand,BHARAT
Model Number,7614nb
Model Type,MAXCENT VIBRATOR
Actuators Type,Electric
Speed (RPM),60 RPM
Material,graphite
Material Type,GRAPHITE
Material,SILVER
Usage/Application,WIND GENERATOR
Brand,JMC
Usage/Application,"Textile Machine, Packing Machine, Plastic Injection Machine, Wood Machinery, Printing Machine, etc"
Model Name/Number,U80SV N series
Speed,2000~3000 rpm
Weight,3kg
Power,1400
Model Name/Number,Leadshine 57HS22
Power,24VAC
Usage/Application,MOTOR TERMINAL CONNECTION FOR CHINA MAKE MOTOR
Material Type,DMC
Model Name/Number,Electronic Ac Starter
Voltage,2.3 V
Speed,5<250 RPM
Termination Method,STUD M16 WITH SHORTING LINK
Brand,APPLEDENTAL
Power,18 Amp
Model Name/Number,KAAS - 2017A
Brand,"ABB,SIEMENS"
Brand,Powerwell
Usage/Application,Single phase starter
Motor Part Type,Contator
Power,415 V
Part Number,MSCBH
Brand,GALCO
Speed,"1000 RPM, 1500 RPM, 3000 RPM"
Stroke Length,12''
Speed,100 RPM
Power,DC
Frame,80
Power,2.25KW
Speed,1000 - 3000
Locality Of Residence,Pune
Motor Type,DC Geared
Voltage,415V +-6%
Brand,ASIYA
Speed,1500-3000 RPM
Usage/Application,VACUUM CLEANER WET AND DRY
Motor Voltage,1200 W
Usage/Application,Residential
Model Name/Number,ITM Series
Power,950 W
Brand,Agro Pulsar
Model Name/Number,MU -2
Power,0.37 to 45.0 kW
Voltage,415V +- 10% or as Required
Brand,HICAL
Torque,70 Nm
Brand,AutoTech
Voltage,460 V
Material,brass and ms
Rated Power,>3 hp
Brand,NIK
Speed,>2000 RPM
Usage/Application,KILN SLIPRINGS 50 TPD TO 350 TPD
Brand,NORWINCH
Torque,AC Torque
Power,440 wolt
Power,123 kW
Usage/Application,"Steel plant , Cement Plant , Chamical Plant , Mining Industries , Sugar Mill, Papper Mill"
Brand,Soilmec India
Speed,500~ 8
Phase,Three Phase /Single Phase
Speed,24000 r/min
Type,Motor
Voltage,220-240V
Brand,Hindustan Motors
Power,1500W
Model Name/Number,TIFM0011
Power,Rated Torque(kg-cm): 0.5
Stroke Length,"4"""
Frequency,50Hz
Model Name/Number,WG 182
Power,7.5 - 400 kW
Ambient Temperature,50 degrees Celsius
Usage/Application,vaccum cleaner
Power,125 kW
Power,7 KG/CM Torque
Voltage,230v AC
Power,3 KG AC
Driving Type,Garari
Output Current,2.7A
Power,45 KW
Brand,Aucom
Current,23 A ~ 1600 A
Brand,Tech Rupa
Air Flow,300rpm
Storage Capacity,150 L
Size,4 feet
Phase,Customized
Mounting Type,Customized
Ambient Temperature,Customized
Voltage,115 V AC
Motor Type,CS / CR.
Rated Power,0.5-500 hP
Brand,"havells, hindustan , LHP"
Brand,Meghdoot Agro Industrial Eqipment
Power Source,935KV
Usage/Application,"Injection molding machine,Hydraulic Press,Pressure Die casting,Rubber Molding"
Power,10 kW - 50 kW
Model Number,servo motor
Ambient Temperature,35 Degree C
Hollow Shaft Diameter,NA
Model Number,1FK7060-5AF71-1EG2
Usage/Application,Elevators
Frequency,50-60 Hz
Model,M7284Q1009
Brand,All
Power,5.50 KW
Model Name/Number,Baldor B series
Motor Type,"AMI,NMI,NMK"
Speed,standard
Motor Type,Kirloskar Standard
Speed,"29,003,000"
Brand,ABB SIEMENS
Torque,0.417NM
Material,Standard
Input Pressure,Standard
Input Pressure,0-10 kg/cm2
Input Current,Standard
Brand,star delta
Speed,1420rpm
Ambient Temperature,45
Voltage,standard
Ambient Temperature,standard
Power,230 W
Brand,Bolanath
Warranty Period,2 years
Brand,Robotshop
Speed,Three Phase Gear Motor
Colour,White
Rated Power,5 HP TO HP500
Power Rating,50Hz +/- 5%
Model Name/Number,PMH M72
Model Name/Number,A2F5/60R
Voltage,220-440 V
Model Name/Number,DMC
Brand,NAXON
Voltage,"220, 380, 460, 525 V"
Brand,V Guard
Brand,Tulsi
Power,20W
Brand,Eltek
Usage/Application,Air Compressor Motor
Model Name/Number,AHFSMXB201
Brand,espe
Brand,EMTEX
Brand,VSR
Usage/Application,Forward Reverse Motor Starter
Model Name/Number,AHFSMXW201
Mounting,Vertical
Brand,Sudarshan
Model Name/Number,1FL6092-1AC61-2AA1
Model Name/Number,22CX 230NC2
Brand,WATTS
Brand,5 STAR
Brand,ALIS
Structure,For Valve Actuation
Shape,Triangular
Running Capacity,3 HP
Features,Automatic Sliding Gate
Brand,Neptune
Brand,Niagara
Automation Grade,Fully Automatic
Watt,10 KW
Motor RPM,12000 RPM
Product Usage/Application,Popcorn Machine
Product Usage/Application,Cricket Bowling Machine
Model,DM542
Model,CGPCPW20DQ M
Model,100S
Features,Explosion Proof
Model Number,PED5000/ADC225
Brand,Roboox
Model,Sheetal Series
Diameter,162 mm
Diameter,218 mm
Product Power,0.25 HP
Model Number,AT900
Grade Standard,H208
Model Number,Zip 800
Brand,PBL
Series,M Series
Motor Power,1500 HP
Power Supply,DC
Brand,Nagmani
