"fk_im_spec_master_desc","fk_im_spec_options_desc"
Features,"Single & Three Phase Motors - 2 to 8 pole - Mounting Available - B3,B5,B14 & B34"
Frame Size,"63 to 225"
Number Of Poles,"2"
Number Of Poles,"4"
Number Of Poles,"6"
Mounting Type,Foot
Frequency,"50 HZ"
Atmosphere,yes
Centrifugal Force,yes
Working Moments,yes
Number Of Poles,"2"
I Deal In,New Only
Country of Origin,Made in India
Shape,Round
Number Of Poles,"4"
Suitable For,INDUSTRIAL
Electromagnetic Brake Voltage Or Frequency Or Current Or Input,"440"
Number Of Poles,"2"
Number Of Poles,"4"
Features,ELECTRIC MOTOR
Number Of Poles,"2"
Number Of Poles,"4"
Finishing,Polished
Features,STANDARD MOTOR
Number Of Poles,"1"
Number Of Poles,"2"
Number Of Poles,"2"
Voltage,"260 V"
Rated Speed,"1440 RPM"
IP Rating,IP55
Frequency,"50 Hz"
Temp. Rise,"40'"
Voltage Range,"240V"
Voltage,"440 V"
Finishing Type,Paint Coated
Three Phase Power,"20 Hp"
Power,"7.5 hp"
Power,"5  hp"
Power,"2HP"
Power,"2.2 KW"
Phase,Three Phase
Power,"50 Kw"
Power,"2 HP"
Power,"1 HP"
Phase,Single
Power,"55 KW"
Power,"800 jp"
Power,"5 hp"
Speed,"3000 rpm"
Usage/Application,Industrial
Country of Origin,Made in India
Surface Treatment,Polished
Material,Aluminium
Number Of Poles,"2"
Frequency,"50 Hz"
IP Rating,IP55
Material,Casting body
Features,Energy efficient
Frequency,"50 Hz"
Material,MS
Material,Mild Steel
Brand,Palcotech Engineering
Country of Origin,Made in India
Material,Stainless Steel
Country of Origin,Made in India
Efficiency,IE2
Material,Cast Iron
IP Rating,IP40
Dimensions,"20 x 22 x 20 Centimeters"
Number Of Poles,"2"
Frequency,"60 Hz"
Country of Origin,Made in India
Ambient Temperature,"70 degree"
Voltage Type,High Voltage
Material,Cast Iron
Frame Size,"400"
Number Of Poles,"6"
I Deal In,New and Second Hand
Suitable For,MILL DUTY.
Body Enclosure,TEFC
Surface Treatment,"varnish coatings,electroplating/electroless plating,painting/epoxy coatings,anti-corona paints"
Shape,cylindrical
Features,"high efficiency, variable speed/torque, quiet operation, reliability with low maintenance, fast resp"
Condition,New
Pack Type,Loose
Phase,"3 Phase Motor"
Colour,"Silver, Blue"
Phase,"3 Phase"
Delivery,"Tamilnadu,Kerala"
Supplier,Virtue Electric motor
No. Of HP,"3HP"
Horsepower,"1 HP"
Frequency,"50 Hz"
Voltage,"412 V"
Motor Type,Stepper Motor
Phase,Three Phase
Phase,Three Phase
Motor Type,DC Motor
Power Rating,"3.7 kW"
Phase,Three Phase
Power Rating,"2.2 kW"
Mounting Type,Foot Mount
Mounting Type,Flange Mount
Mounting Type,Foot Cum Flange Mount
Motor Poles,"8 Pole"
Rated Voltage,"230 V"
Phase,Three Phase
Phase,Three Phase
Power Rating,"315 kw"
Motor Type,AC Induction
Motor Poles,"6 Pole"
Mounting Type,Foot Mounted
Efficiency Class,IE2
Warranty,DC
Rated Power,"10-100 KW"
Rated Power,"101-200 KW"
Rated Power,"201-300 KW"
Motor Horsepower,"2 HP"
Cooling Method,Air Cooled
Frequency,"50 Hz"
Color,"Black,Blue,Grey"
Material of Construction,Cast Iron
Rated Power,<10 KW
Warranty (in months),"1 year"
Material,CI
Material standard,ASTM A 536 GRADE 60-40-18
Material of Construction,Steel
Rated Power,>300 KW
Motor Phase,Three Phase
Cooling Method,Water Cooled
Frequency,"50-60 Hz"
Phase,Single Phase
No of Poles,"6"
No of Poles,"8"
No of Poles,"2"
No of Poles,"10"
Power,"201-300 KW"
Power,"300 KW"
Type of Motor,AC
No of Poles,"4"
Power,<10 KW
Brand,"Wacogiken , Nissei"
Usage,Automobile
Output Torque,"350Nm"
Frequency,"50 Hz"
Width,"31.75 cm"
Diameter,"63-63-63-75-75"
Phases,"3"
Weight,"16.344 kg"
Power,"1 HP"
Features,New and used elecrtric motors
Phase,Three Phase
Condition,New
Power,"10-100 KW"
Power,"101-200 KW"
Brand,Seema
Weight Capacity,depend on custmer 
Available,TENV-TEFC-SPDP
Efficiency motors,"0.37 KW to 315KW"
Power,"50 Hz"
Voltage,"220 V"
Brake Motors,Up to 37 KW
Power,"1HP"
Brand,Leader
Speed,"1440 RPM"
Brand,WEG
Model Number,W22 API661
Motor Type,Stepper Motor
Power Rating,"0.55 kW"
Phase,Three Phase
Power,"2 hp"
Power,"5  hp"
Power,"2 hp"
Power,"1 HP"
Power,"2 hp"
Power,"5.5 KW"
Power,"1 hp"
Power,<10 KW
Power,"7.5 hp"
Power,"7.5 hp"
Power,"5  hp"
Power,"7.5 KW"
Power,"10 hp"
Material,Mild Steel
Power,"0.25 HP"
Brand,Impel
Voltage,"440 Volt"
Ambient Temperature,"50 Degree C"
Phase,"3 Phase"
Head,"150 Meter"
Usage/Application,Industrial
Material,Mild Steel
Usage/Application,Industrial
Number Of Poles,"2"
Phase,"1 Phase"
Power,"5  hp"
Power,"5  hp"
Power,"10TO 350 HP"
Power,"37 KW"
Power,"1 hp"
Power,"5  hp"
Power,"1HP"
Power,"2 hp"
Power,"60 Hz"
Power,"7.5 hp"
Usage/Application,Safety Purpose
Voltage,"220"
Type,Copper Motor
Mounting Type,flange mounting
Brand,Shubh
Speed,"1500 RPM"
Torque,&lt;0.20 mNm
Power Source,Electricity
Current,"6 AMPS"
Material,Copper
Phase,Three Phase
Type,Induction Motors
Voltage,"415 V"
Number Of Poles,"2"
Number Of Poles,"4"
Number Of Poles,"2"
Frame Size,"2X1"
Shape,Rectangular
AMC,"2"
Efficiency,IE2
Material,Silicon Stamping
I Deal In,New Only
Pressure,"2800"
Surface Treatment,Polished
Customized,As Per Nedded
Surface Treatment,Polished
Number Of Poles,"2"
Country of Origin,Made in India
Number Of Poles,"2"
Number Of Poles,"2"
Shape,Round
Number Of Poles,"2"
Country of Origin,Made in India
Shutter Size,"32Sq-m"
Frames,"90"
Feature,Long Durability & Low Amps
Bearing Type,"2RS"
Motor Type,Induction
I Deal In,New Only
Country of Origin,Made in India
Number Of Poles,"2"
Automation Grade,Semi
Motor Type,"2HP"
Country of Origin,Made in India
Number Of Poles,"4"
Frame Size,"180"
I Deal In,New Only
Country of Origin,Made in India
Number Of Poles,"1hp"
Country of Origin,Made in India
Features,TEFC SQ CAGE
Features,Solar Hybrid Solar Power Plant
Size,"580"
Country of Origin,Made in India
Number Of Poles,"4"
Material,Mild Steel
Frame Size,"0354V-BA6706A"
Shape,"220 V"
Size,"1200"
Automation Grade,yes
Brand,"Powermarshal, jesco"
Ambient Temperature,-5 to +70 Degree C
Speed,"1440"
Voltage,"415 V"
Speed,"1440 rpm"
Brand,Siemens
Voltage,"220 V"
Speed,"2500 rpm"
Type,AC
Speed,<2000 RPM
Speed,<2000 RPM
Type,AC
No. of Poles,"8"
Voltage,"415 V"
Horsepower,"100 HP"
Type,DC Motor
Mounting Type,Flange
Automation Grade,Automatic
Duty Type,S1
Enclosure,TEFC
Number Of Poles,"6"
I Deal In,New and Second Hand
Country of Origin,Made in India
Ingress Protection,IP55
Rated Voltage,"415 V"
Power Rating,"5.5 kW"
Phase,Three Phase
Motor Type,AC Induction
Motor Poles,"4 Pole"
Mounting Type,Foot Mounted
Efficiency Class,IE4
Voltage,"220-380-415"
Voltage,"220-380 V"
Speed,"750-1000-1500-3000"
Phase,Three Phase
Standard,IE2 / IE3
Ambient,"50 Deg C"
Model,"2HX2"
Material,Cast Iron
Ambient temperature,"60C"
Range,"125 Hp"
Power Source,Electric
Voltage,"12V - 24V"
Power KW,"15-30-50-40-60"
Weight,Approx 1 to 150 kg
Usage,In industries
Frame Material,Steel
Horse power,"0.5 Hp"
Length,"58.42 cm"
No of Poles,"2"
No of Poles,"8"
Color,depend on custmer 
Condition,depend on custmer 
Frame Size,depend on custmer 
Frequency,depend on custmer 
Insulation Class,depend on custmer 
Model Number,depend on custmer 
Size,depend on custmer 
Voltage,depend on custmer 
Height,"33.655 cm"
Efficiency,"73.0 %"
RPM,"960 - 30000 RPM"
Automation Grade,Manual
Motor Horsepower,"1 HP"
Motor Horsepower,"5 HP"
Motor Horsepower,"0.5 HP,3 HP,6.5 HP,8 HP,10 HP"
Motor Phase,Single Phase
Power Source,Electric
Color,White
Power Source,Electric
Length,"88-122-152-121-151"
Protections,"IP-20, IP-44, S1, S2, S3 Duty Cycle"
Speed range,"1000RPM to 3500RPM"
No of Poles,"10"
Brand,depend on custmer 
Capacity,depend on custmer 
IP Rating,depend on custmer 
No Load Speed,depend on custmer 
Shutter Size,depend on custmer 
Torque,depend on custmer 
Finish type,Polished
Material,Cast Iron
Phase,"3 Phase"
Voltage,"220-240 V"
No of Poles,"4"
No of Poles,"6"
Material,depend on custmer 
Phase,depend on custmer 
Shape,depend on custmer 
Surface treatment,depend on custmer 
Warranty,depend on custmer 
Brand,Hindustan
Power,"1800 W"
Voltage,"220 V"
Moter Power,"10 HP"
Use Application,Industrial
Load Speed,"12000 RPM"
Single Phase Power,"1/2 Hp"
Power,"0.1 to 2 Hp"
No Of Poles,"8"
Conforming to,IS: 12615-2011 / IEC: 60034-1
Phase,"3 Phase"
Mount Type,Flange Mount
HP,"0.25 TO 30"
Phase,Three Phase
Efficiency Class,IE2
Enclosure,TEFC
Motor Type,AC Induction
Duty Type,S2
Power Rating,"0.37 kW"
Rated Voltage,"230 V"
Mounting Type,Foot Mounted
Phase,Three Phase
Type of Motor,AC
Speed,<2000 RPM
Ingress Protection,IP44
Power,"4-6 kw"
Power,Electric
Bearing Lubrication,Copper
Finishing,Copper
Source,Electric
Number Of Poles,"4"
Pole,"4"
Motor Type,Electric
Surface Treatment,Full Load Amps 50
AMC,Full Load Amps 50
Shape,motor
Features,motor
Power,Any
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
Number Of Poles,As per customer
I Deal In,New Only
Size,As per requirement
Frame Size,AS PER REQUIREMENT
Sound Level,CUSTOMIZABLE
Voltage,CUSTOMIZABLE
Number Of Poles,"4"
Number Of Poles,"4"
Power,"5  hp"
Power,"1.5 KW"
Power,"2 hp"
Power,"5  hp"
Power,"2 hp"
Power,"5  hp"
Power,"0.4 W"
Voltage,"220 V"
Speed,"1440 RPM"
Material,Cast Iron
I Deal In,New Only
Number Of Poles,"2"
Bearing Lubrication,GREASE
Color,Blue
Shape,FOOT MOUNTED
Number Of Poles,"2"
Frame Size,"280"
I Deal In,New and Second Hand
Country of Origin,Made in India
Number Of Poles,"4"
IP Rating,IP55
Material Used,Aluminium
Country of Origin,Made in India
Shape,Round
Features,DC Brake
Number Of Poles,"4"
Frame Size,"132S"
Surface Treatment,Powder Coated
Material,Cast Iron
Number Of Poles,"2"
Usage/Application,Industrial
Country of Origin,Made in India
Voltage Type,High Voltage
Brand,OEM
Number Of Poles,"4"
Country of Origin,Made in India
Efficiency,IE2
Frequency,"50 Hz"
Mounting Type,Foot
IP Rating,IP55
Frame size,KM63-KM280M
Country of Origin,Made in India
Horse Power,"10"
Insulation Type,Class F
Country of Origin,Made in India
Phase,"1 Phase"
Usage/Application,Industrial Uses
Commutation,Brush
Automation Grade,Automatic
Number Of Poles,"4"
Country of Origin,Made in India
Frame size,"132S"
Power,Aa per customer
Power,"2HP"
Horsepower,"30 HP"
Speed,"1440 rpm"
No. of Poles,"4"
Voltage,"220 V"
Mounting Type,Foot
Number Of Poles,"6"
Material,Copper
Frame,"112B3"
Material,CAST IRON
Terminal Box Location,TOP
Motor Type,FOOT MOUNT B3
Number Of Poles,"4"
Features,Aluminum Die Casting
Country of Origin,Made in India
Color,Red
Power Source,AC Voltage
Power Source,DC/Battery
Brand,Addonix
Frequency Range,"3.25 km"
Material,Aluminium Die casting
Automation Grade,AUTOMATIC
Material,MS
Number Of Poles,"2"
Brand,Havells
Type,AC
Speed,"750 - 3000 RPM"
Ambient Temperature,"50 - 70 deg C"
Model Name/Number,"8"
Usage/Application,Industrial
Motor Horsepower,As per your need
Product Type,electric water pump
Discharge Pressure,depends
Phase,Three Phase
Speed,"1500 RPM"
Duration,"1 Week"
Packagning Type,Box
Material,Cast Iron
Weight (GM),"18.5"
Current - amps,"0.7/1.0"
Input - watts,"150W"
Speed - r.p.m.,"320/170"
Rating - Minutes,"1"
Body Enclosure,Cast Iron
Mounting,B3 Foot Mounted/B5 Flange Mounted/B14 Face Mounted/B35 Foot cum Flange Mounted
Duty,S4
Insulation Class,F Class
Voltage,"220 V"
Frequency,"50 Hz"
use,idustrial
supply by,WTB BUSINESS
Voltage,"120V"
Phase,"3 PHASE"
Power,<10 KW
Phase,Single Phase
Power,"10W ~400W"
Phase,"1/3"
Power Rating,"1.1 kW"
Motor Type,AC Induction
Power,<10 KW
Material,Copper
Horsepower,"1.5 HP"
Brand,Sonam
Type,AC
Speed,"960 to 3000RPM"
Voltage,"240/440"
Mounting Type,FOOT
Motor Type,AC induction
Power Rating,"0.25 kW"
Phase,Three Phase
Winding,copper
Number Of Poles,"2"
I Deal In,Second Hand Only
Bearing Type,"6309/6209"
Customized,no
Duty,s1
Material,cast iron
Speed,"<2000 RPM, 2000-6000 RPM"
Speed (RPM),"1440-2880"
No Load Speed,"2500-3600 RPM, 1400-1800 RPM"
Speed,"1400 RPM"
Power,"155 W"
Phase, Three Phase
Voltage,"120V"
Type of Motor,AC
HP,"0.5"
Head Range,"3 to 26 m"
Head Range,"6 to 30 m"
Discharge In LPH,"3000 to 100"
Head Range,"3 to 24 m"
HP,"0.5"
Phase,Three Phase
Power Source,Electric
Usage/Application,"Create the power to run conveyors, pumps, air moving systems, and many other needs in the toughest i"
Application,Construction
Power,"2 HP"
No. Of Phase,Single Phase
Brand,Green India
Frequency,"50Hz"
Material,iron
No of Poles,"2"
Pipe Size,"25 x 25 mm"
Discharge In LPH,"2400 to 300"
Head Range,"6 - 35 m"
Pipe Size,"25 x 25 mm"
No of Poles,"4"
Phase,Three Phase
Frequency,"50 Hz"
No of Poles,"4"
Brand,any
Capacity,"0.5 hp to 425 hp"
Type of Motor,AC
Power,"500 KW"
No Of Poles,"4"
Frequency,"50-60Hz"
IP Rating,IP33
Frequency,"50 Hz"
Power,"300 KW"
Capacity,"1 hp to 50 hp"
Color,blue
Phase,"3"
Phase,Three Phase
Speed (RPM),"960/1440 RPM"
Type,High Voltage
Usage,"Textile, Weaving Industry"
IP Rating,IP23
Usage/Application,Industries
Voltage,"440 V"
Horsepower,"3 HP"
MAKER,PARVALUX
REF,SD 38M/500818/9Y
Power Rating,"2.2 kW"
Mounting Type,Foot Mounted
Duty Type,S2
Rated Voltage,"230 V"
Motor Poles,"2 Pole"
Enclosure,TEFC
Phase,Single Phase
Motor Type,AC Induction
Ingress Protection,IP44
Phase,Three Phase
Phase,all
Motor Type,all types
Power Rating,all types
Rated Voltage,"230 V"
Motor Poles,"2 Pole"
Enclosure,TEFC
Ingress Protection,IP44
Duty Type,S1
Usage/Application,Industrial
Phase,Three Phase
Shutter Size,"3"
Pump Type,Electric
Motor Type,Electric
Finishing,Copper
Material,Copper
Frame Size,"3 Phase, 415 V /400V/380V, 50Hz/60Hz + Kw = 0.37 To 1000 + Mounting = Foot, Flange, Foot Cum Flange"
Features,"3 Phase, 415 V /400V/380V, 50Hz/60Hz + Kw = 0.37 To 1000 + Mounting = Foot, Flange, Foot Cum Flange"
Shape,"3"
Features,All
I Deal In,New Only
I Deal In,New Only
Horsepower,"5 HP"
Power,"2 hp"
Power,"5  hp"
Type,Low Voltage NEMA Motors
Type of Induction Motors,Three Phase Induction Motors
Mounting Type,Foot
Mounting Type,Foot
IP Rating,IP55
No. of Poles,"4"
Speed,"1450 RPM"
Winding Material,Aluminium
Voltage,"230 V"
Frequency,"60 Hz"
Finishing,Polished
Number Of Poles,"4"
Features,Water
Number Of Poles,"4"
Shape,Round
Surface Treatment,Polish
Automation Grade,Automatic
Brand,Excel
Material,Mild Steel
No. Of Poles,"6"
No. Of Poles,"2"
No. Of Poles,"4"
No of Poles,"2"
No of Poles,"4"
No of Poles,"6"
No of Poles,"8"
No of Poles,"10"
Brands,KIRAN
Power,"0.75 KW"
Power,<10 KW
Mounting Type,Foot
Voltage,"220 V"
No. of Poles,"4"
Current,"60 mA"
Speed,<2000 RPM
Mounting Type,Foot Mount
Mounting Type,Flange Mount
Mounting Type,Foot Cum Flange Mount
Speed,<2000 RPM
Voltage,"415 V"
Power Source,Electric
Brand,Dyna Speed
Speed,"1000 RPM"
No. of Poles,"2"
Mounting Type,Foot
No. of Poles,"4"
Voltage,"220 V"
Mounting Type,Foot
Number Of Poles,"2"
Frequency,"50 Hz"
Shape,Round
Country of Origin,Made in India
Phase,Three
Number Of Poles,"4"
Color,GREEN
Frequency,"50 Hz"
Condition,New
Phase,SINGLE AND THREE PHASE
Type of Motor,AC
No. Of Phase,SINGLE
IP Rating,IP55
Country of Origin,Made in India
Power,"7.5 hp"
Usage/Application,Industrial
Power,"10-100 KW"
Phase,Single Phase
Phase,"3 Phase"
Voltage,"480 V"
Material,MS
Voltage,"410 V"
Horsepower,"5 HP"
Voltage,"400 VOLTS"
Brand,ABb
Mounting Type,SKID
Speed,<2000 RPM
Speed,"2000-6000 RPM"
Power,Standard
Type,Standard
Motor Horse Power,"0.5 HP"
Voltage,"220 to 250 V"
IP Rating,IP44
Phase,Single Phase
Phase,Standard
Speed,Standard
Material,Standard
Type,Copper Motor
Phase,"3 Phase"
Speed,"6000 RPM"
Power,"10-100 KW"
Voltage,As per requirement
Power,<10 KW
Power,"10-100 KW"
Power,"120V AC"
Power,"10Kw"
Material,Cast Iron
Speed,>14000 RPM
Type,Copper Motor
Power,<10 KW
No of Phase,Single Phase
Horsepower,"2 HP"
Brand,Oswal
Brand,"crompton, havells"
Phase,"3 phase"
Mounting Type,"foot mount, flange mount"
Speed,<2000 RPM
Brand,NA
Type,AC
Type,AC
Shutter Size,"5HP/1200RPM"
Features,(BRAND NEW) RULAND ELECTRIC MOTOR - .5HP/1200RPM
Number Of Poles,"4"
No Load Speed,"750 1000 1500 3000"
Frequency,"50 & 60 hz"
Voltage (V),"415 V"
Usage,Used In Automotive Industry
Voltage,"240V"
Speed,"2000-6000 RPM"
Size,"0.5 - 20 hp"
Frame Size,"58-1"
Warranty,"1 Year"
Usage/Applications,Industrial
Enclosure,"TEFC,TENV"
Speed,"1500 rpm"
Voltage,"415 V"
Power,"20 HP"
Type,Induction Motors
Power,"5  hp"
Type,Aluminium
Power,"0.75 KW"
Pump Type,INDUSTRIAL
Pressure,high
Speed,"2000-6000 RPM"
Speed,"2800 RPM"
Mounting Type,Foot & Flange
Brand,"ABB,Crompton,Siemens,Bosch"
Brand,Babbal motors and gezzate
Mounting Type,double mount
Voltage,"220 V"
Material,Cast Iron
Voltage,"240V"
Brand,"Crompton, Siemens, BBL, Kirloskar"
Warranty Period,As per Manufacturing Company
Mounting,Flange
Speed,"2000-6000 RPM"
Speed,Customize
Voltage,Customize
Power,<10 KW
Speed,<2000 RPM
Brand,Target
Power,"10-100 KW"
Type,Copper Motor
Ambient Temperature,highly durable
Mounting Type,Foot
Brand,Triple-D
Phase,Three
Voltage,"400-415 V"
Loom Dimension,"62 to 92 mm"
Speed,"960 rpm"
Phase,"3 Phase"
Voltage,"415 V"
Mounting Type,"Foot, Flange & Foot cum Flange"
Horsepower,"5 HP"
Voltage,"415 V"
Phase,Three Phase
Speed,"2880 RPM"
Mounting Type,B3
Power,"0.55 kW to 355kW"
Ambient Temperature,Upto 50 Deg C
Brand,Tecno
Power Consumption,"2500 W"
Power,"0.25 To 1500 HP"
No Of Phase,Three Phase
No. of Poles,"4"
Power,"10-100 KW"
Type,Copper Motor
Material,Mild Steel
Usage/Application,Control Panel
Usage/Application,Industrial
Color,Green
Speed,"2880 rpm"
Color,Blue and Black
Voltage,"240V"
Type of end use,Agricultural
Speed,"2000-6000 RPM"
Commutation,Brush
Insulation Type,Class F
Frequency,"50 Hz"
Country of Origin,Made in India
Ambient Temperature,"50 degree"
Frequency,"50HZ"
Frame Size,"132/112"
Insulation Class,F
Warranty,"1YEAR"
I Deal In,New Only
Country of Origin,Made in India
Number Of Poles,"4"
Number Of Poles,"2"
Motor Type,AC
Color,"Blue,Golden"
Type of Motor,AC
Type of Motor,<10 KW
Usage/Application,Industrial
Number Of Poles,"4"
IP Rating,IP55
Speed,>14000 RPM
Mounting Type,Floor Mounted
Door Thickness,"6 mm"
Power,"8 HP"
Insulation Type,Class A
Customized,yes
Surface Treatment,Paint Coated
Material,Cast Iron
Usage/Application,Speed Variation Application
Model Name/Number,IE3 & IE2 Motors
Protection,IP55
Mounting,"Foot, Flange, Foot cum Flange, Face, Foot cum Face"
Country of Origin,Made in India
Speed,<2000 RPM
IP Rating,IP44
Usage/Application,industrial
Color,BLUE/ BLACK / SILVER
Material,Cast Iron
Power,.2.5 kw- 2000 kw
Phase,Three Phase
Brand,Kirloskar
Color,Grey
Finishing,Color Coated
Material,Cast  Iron
Number Of Poles,"2"
Usage/Application,Industrial Machine
Mounting Type,"Foot, Flange, foot cum flange Mount"
Warranty,"1 year"
Frequency,"50 Hz"
Lead Wires,"6"
I Deal In,New Only
Usage/Application,Industrial And Agriculture
Frequency,"50 Hz"
Type of end use,Industrial
Type of end use,Domestic
Installation/After Sales Service,Yes
Number Of Poles,"4"
Frequency,"50 Hz"
Number Of Poles,"2"
Frequency,"50 Hz"
Usage/Application,Industrial
Material,Cast Iron
Usage/Application,Industrial
Capacity,"2.4 kw"
Motor Type,"3 Phase AC"
Power Source,Electric
Phase,Single Phase
Automation Grade,Automatic
Frequency,"50 Hz"
Country of Origin,Made in India
Size,"17X14X12(LXWXB)"
Finishing,Color Coated
Material,Mild Steel
Pressure,"2500Psi"
Material,Mild Steel
Number Of Poles,"4 POLE / 2 POLE / 6 POLE"
Speed,"2000-6000 RPM"
Speed,"6001-10000 RPM"
Number Of Poles,"2,4,6 AND 8"
Material,AL/CI
Country of Origin,Made in India
Speed,"500-1500 RPM"
Speed,"2000-6000 RPM"
Voltage,"220 V"
Speed,<2000 RPM
grey,all
Power  Source,Electric
Power,"1 HP"
Power Source,Electric
No of Poles,"6"
Current,"0.8 Amps"
Finish Type,Color Coated
Voltage,"220V"
Frequency,"50Hz"
Power,"440"
Motor Brand,Crompton Greaves
Brand,Schneider Electric
IP Rating,IP44
Motor Voltage,"380 V"
Class,F
Body Material,MS
Surface Finish,Color Coated
Voltage,"220V"
HP,"1.5"
Pipe Size,"25 x 25 mm"
Speed,"2880 rpm"
Brand,Usha
Pipe Size,"15 X 15 mm"
Head Range,"6 to 24 m"
Discharge In LPH,"1600 to 660"
Type of Motor,Ferrari 458 Motor 201 44790 Kilometer 284069 Complete Engine
Brand,Siemens
Power,"101-200 KW"
Power,"300 KW"
Phase,Three Phase
No of Poles,"10"
No of Poles,"6"
Automation Grade,Manual
Color,"Black,Blue,Grey"
Maximum Discharge Flow,Less than 100 LPM
Rated Power,"101-200 KW"
Rated Power,"201-300 KW"
Cooling Method,Water Cooled
Motor Horsepower,"0.5 HP"
Motor Horsepower,"1 HP"
Motor Horsepower,"3 HP,5 HP,6.5 HP,8 HP,10 HP"
Material of Construction,Cast Iron
Material of Construction,Steel
Voltage,"220 V"
Power,"300 KW"
Voltage,"12V - 24V - 36V - 48V - 90V - 110V - 180V - 220V"
Protection,"IP-20, IP-44, S1, S2, S3, Duty cycle"
Power (HP),"1000HP"
Phase,Single Phase
Power,"1.5 kW"
Power,"3 hp"
Power,"7.5 hp"
Power,"1 HP"
Power,"1.5 Hp"
Power,"7.5 hp"
Power,"7.5 hp"
Power,"400 HP"
Type,AC
Horsepower,"3 HP"
Usage/Application,Industrial
Phase,Single Phase
Phase,Three Phase
Phase,THREE PHASE
Brand,Mitsubishi
Type,AC
Ambient Temperature,"0-52 Deg C"
Power,"0.5 HP/0.32kW"
Material,Mild Steel
Mounting Type,Foot Mounting
Ambient Temperature,"20 Deg C to 65 Deg C"
Voltage,"440"
Power,"50 kW"
Voltage,"415 V"
Ambient Temperature,"60 Degree Celsius"
Gear Type,Helical
Motor Horsepower,"3HP"
Material,"Cast Iron , Aluminium"
Speed,"960/1440/2800 RPM"
Voltage,"415V"
Usage/Application,Industrial
Power,"101-200 KW"
Phase,Three Phase
Power,"10-100 KW"
Mounting Type,Flange
Material,Copper
Phase,Single Phase
Speed,"2000-6000 RPM"
Type,AC
Material,MS
IP Rating,IP55
Phase,"3 Phase"
Brand,OME
Phase,Single Phase
Speed,"2000 RPM"
Mounting Type,Foot Mounted
Power,"2 HP"
Type,AC
Type,AC
Voltage,"220 V"
Speed,<2000 RPM
Phase,"3"
Speed,"2000-6000 RPM"
Ambient Temperature,"4000"
Power,"0.75 kW"
Mounting Type,Foot
Power,"10-100 KW"
Ambient Temperature,Not Fix
Power,"5 HP"
Power,<10 KW
Usage/Application,Industrial
Rated Power,"0.25 To 1400 HP"
Air Volume,"3000 Cfm"
Brand,UMA Electric
Shape,Rectangular
Horsepower,"1 HP"
Speed,>14000 RPM
Brand,TRT
Speed,"2000 RPM"
Phase,Single
Horsepower,"1 HP"
No. of Poles,"4"
Brand,Rado
Material,Mild Steel
Usage/Application,Industrial
Product Type,Booster Pump
Speed,"1000 rpm"
Voltage,"415 V"
Phase,Three
Speed,"2000-6000 RPM"
Speed,"1100 RPM"
Phase,SIngle
Voltage,"240"
Brand,Priti Electricals
Number of Ways,"6-Way"
Finishing,Matte
Frame,Cast Iron
Insulation Type,Class H
Current,"1450 Amp"
Speed,<2000 RPM
Speed,"2000-6000 RPM"
Features,Crack Resistant
Surface Finish,Powder Coated
Usage/Application,Industrial
Bearing Lubrication,Permanent
Usage/Application,Industrial
Frame Size,"63z TO 355L"
Duty,"S1,S2,S3 and S4"
Material,Cast Iron
Number Of Poles,"2 ,4,6,8 poles"
Features,IE2 STD
Shape,"Round ,Square Etc"
Frequency,"50 Hz"
Automation Grade,Automatic
Material,Mild Steel
Number Of Poles,"2"
Number Of Poles,"2"
Pressure,"2500Psi"
Color,Green
Number Of Poles,"2"
Surface Treatment,Paint Coated
Number Of Poles,"2"
Number Of Poles,"2"
Number Of Poles,"4"
Usage/Application,Industrial
Design Type,Centrifugal
Dimensions,"20 x 22 x 22 Centimeters"
Size,"26 x 12 inch (LxW)"
Country of Origin,Made in India
Centrifugal Force,yes
I Deal In,New Only
Country of Origin,Made in India
Mounting,FOOT / FLANGE / FOOT CUM FLANGE / FACE
Terminal Box Location,Top
Number Of Poles,"2"
Shape,Round (Head)
Usage/Application,Textile Industry
Size,"18X16X12(LXWXB)"
Surface Treatment,Color Coated
Number Of Poles,"4"
Material,Copper(Binding)
IP Rating,IP45
Motor Type,AC
Frequency,"50 Hz"
IP Rating,IP45
No of Phase,Three Phase
Number Of Poles,"Available in 2,4"
IP Rating,"55 (As per IS4691)"
Insulation Class,Class F
Installation After Sales Service,Yes
Material,Cast Iron
Frequency,"50 Hz"
Warranty,AS Per Company Norms
AMC,Yes
Frame Size,Up to 180
Finishing,polished
Frequency,"50 Hz"
IP Rating,IP 55
Surface Treatment,"Color ,Powder coating"
Size,"6inch (L)"
Frame,"90 f"
Frame Size,"200L"
Polarity,"4,6,8"
Protection,IP55
Power,Customize
Power,"10-100 KW"
Motor Type,DC
Usage/Application,Industrial
Power Source,Electric
Power,"1.1 KW"
Motor Type,Electric Motor
Rated Voltage,"230 V"
Brand,Boshco
I Deal In,New Only
Size,standard
Working Moments,Standard
I Deal In,New Only
I Deal In,New Only
Power,"5 HP / 7.5 HP"
Frequency,"50 Hz"
Phase,Three Phase
Material Grade,EN24
Frequency,"50Hz"
Power Source,Electric
IP Rating,ip44 & ip54
Horse Power,"3 HP"
Power Source,Electric
Brand,Impel Motors
Voltage,"240 V"
Phase,Single
Engine Type,Petrol Engine
