Query,Key Match Count,Value Match Count,GT Unique Keys,Gemma Unique Keys,GT Unique Values,Gemma Unique Values,Key Match %,Value Match %,GT: Value - Keys (by priority),Gemma: Value - Keys (by priority),Matched Keys,Matched Values,GT Only Keys,Gemma Only Keys
Autonic Shaft Encoder,0,0,2,8,1,2,0.0%,0.0%,encoder - product_category | category,Autonic - brand | company | manufacturer | make |||| Shaft Encoder - type | motor_type | product_type | device_type,,,category | product category,brand | company | device type | make | manufacturer | motor type | product type | type
B&R 8BVI0014HWS0.000-1 ACOPOS MULTI INVERTER MODULE I0014S,2,0,5,8,2,3,40.0%,0.0%,I0014S - model_number | part_number | model |||| drive - product_category | category,B&R - brand | company | manufacturer | make |||| 8BVI0014HWS0.000-1 - model_number | model_name | model | model_no |||| ACOPOS MULTI INVERTER MODULE I0014S - model_name | model_no | model | model_number,model | model number,,category | part number | product category,brand | company | make | manufacturer | model name | model no
BLDC Motor Sa42bld002 - 3000 Rpm 24vdc 52 Watt,4,1,9,13,5,4,44.4%,20.0%,bldc motor - motor_type | product_type |||| dc motor - motor_type | product_type |||| 52 w - power | wattage |||| 24v - voltage | supply_voltage |||| 3000 rpm - speed | rpm | rated_speed,24VDC - power_source | power_supply | power_type |||| 3000 RPM - speed | rpm | motor_speed |||| SA42BLDO02 - model_number | model_name | model | model_no |||| 52 Watt - power | wattage | motor_power,power | rpm | speed | wattage,3000 rpm,motor type | product type | rated speed | supply voltage | voltage,model | model name | model no | model number | motor power | motor speed | power source | power supply | power type
BRUSHLESS MOTOR DYS 1800KV,0,0,4,8,2,2,0.0%,0.0%,bldc motor - motor_type | product_type |||| 1800 kv - kv_rating | kv,1800KV - speed | rpm | motor_speed | rated_speed |||| BRUSHLESS MOTOR - brand | company | manufacturer | make,,,kv | kv rating | motor type | product type,brand | company | make | manufacturer | motor speed | rated speed | rpm | speed
Bch Submersible Pump Starters,0,0,2,7,2,2,0.0%,0.0%,pump - application | use |||| starter - application | use,BCH - brand | company | manufacturer | make |||| Submersible Pump Starters - starter_type | starter_model | starting_method,,,application | use,brand | company | make | manufacturer | starter model | starter type | starting method
Belimo Damper Actuator,0,0,4,8,1,2,0.0%,0.0%,actuator - application | use |||| actuator - product_category | category,BELIMO - brand | company | manufacturer | make |||| Damper Actuator - type | motor_type | product_type | device_type,,,application | category | product category | use,brand | company | device type | make | manufacturer | motor type | product type | type
Belimo Damper Fire Actuator,0,0,4,8,1,2,0.0%,0.0%,actuator - application | use |||| actuator - product_category | category,BELIMO - brand | company | manufacturer | make |||| Damper Fire Actuator - type | motor_type | product_type | device_type,,,application | category | product category | use,brand | company | device type | make | manufacturer | motor type | product type | type
Bharat Benz Aluminium Housing,0,0,2,8,1,2,0.0%,0.0%,housing - product_category | category,Bharat Benz - brand | company | manufacturer | make |||| Aluminium Housing - material | body_material | material_type | casing_material,,,category | product category,body material | brand | casing material | company | make | manufacturer | material | material type
Bharat Bijlee Electric Motor,3,1,5,4,2,1,60.0%,50.0%,bharat bijlee - brand | manufacturer | company |||| motor - motor_type | product_type,Bharat Bijlee - brand | company | manufacturer | make,brand | company | manufacturer,bharat bijlee,motor type | product type,make
Bharat Bijlee Ie3 Motor,4,2,7,7,3,2,57.1%,66.7%,bharat bijlee - brand | manufacturer | company |||| motor - motor_type | product_type |||| ie3 - efficiency_class | efficiency,Bharat Bijlee - brand | company | manufacturer | make |||| IE3 - efficiency | energy_efficiency_grade | star_rating,brand | company | efficiency | manufacturer,bharat bijlee | ie3,efficiency class | motor type | product type,energy efficiency grade | make | star rating
Blower Motors,2,0,2,4,1,1,100.0%,0.0%,motor - motor_type | product_type,Blower Motors - type | motor_type | product_type | device_type,motor type | product type,,,device type | type
Bonfiglioli A Series Gear Motor,3,1,5,8,2,2,60.0%,50.0%,bonfiglioli - brand | manufacturer | company |||| gear motor - motor_type | product_type,Bonfiglioli - brand | company | manufacturer | make |||| A Series - model_number | model_name | model | model_no,brand | company | manufacturer,bonfiglioli,motor type | product type,make | model | model name | model no | model number
Bosch Carbon Brushes,3,1,7,8,3,2,42.9%,33.3%,bosch - brand | manufacturer | company |||| automotive - application | use |||| brush - product_category | category,Bosch - brand | company | manufacturer | make |||| Carbon - material | body_material | material_type | casing_material,brand | company | manufacturer,bosch,application | category | product category | use,body material | casing material | make | material | material type
Bosch parts,3,1,5,8,2,2,60.0%,50.0%,bosch - brand | manufacturer | company |||| spare parts - product_category | category,Bosch - brand | company | manufacturer | make |||| Parts - usage_application | application | usage | suitable_for,brand | company | manufacturer,bosch,category | product category,application | make | suitable for | usage | usage application
Brake Motors,2,0,2,4,1,1,100.0%,0.0%,brake motor - motor_type | product_type,Brake Motors - type | motor_type | product_type | device_type,motor type | product type,,,device type | type
Break Motor,0,0,2,4,1,1,0.0%,0.0%,motor - motor_type | product_type,Break - power_source | power_supply | power_type | power_requirement,,,motor type | product type,power requirement | power source | power supply | power type
Brueninghaus Hydromatik Rexroth A2Fm-28/61 Hydraulic Piston Motor,0,0,2,8,1,2,0.0%,0.0%,motor - motor_type | product_type,Brueninghaus Hydromatik Rexroth - brand | company | manufacturer | make |||| A2Fm-28/61 - model_number | model_name | model | model_no,,,motor type | product type,brand | company | make | manufacturer | model | model name | model no | model number
Bullet Farrata Fan Motor,2,0,4,8,2,2,50.0%,0.0%,fan motor - motor_type | product_type |||| fan - application | use,Farrata - brand | company | manufacturer | make |||| Bullet - type | motor_type | product_type | device_type,motor type | product type,,application | use,brand | company | device type | make | manufacturer | type
C Beam Linear Actuator,0,0,4,7,1,2,0.0%,0.0%,actuator - application | use |||| actuator - product_category | category,C Beam - type | motor_type | product_type | device_type |||| Linear Actuator - number_of_poles | no_of_poles | poles,,,application | category | product category | use,device type | motor type | no of poles | number of poles | poles | product type | type
CG Make 1hp 1440 rpm Flange Mounted Brake Motor,7,1,13,14,5,4,53.8%,20.0%,cg power - brand | manufacturer | company |||| brake motor - motor_type | product_type |||| 1 hp - power | horsepower | hp |||| 1440 rpm - speed | rpm | rated_speed |||| flange mount - mounting_type | mounting,1HP - power_source | power_supply | power_type |||| 1440 RPM - speed | rpm | motor_speed |||| Flange Mounted - mounting_type | mounting | mounting_style | mounting_method |||| CG Make - brand | company | manufacturer | make,brand | company | manufacturer | mounting | mounting type | rpm | speed,1440 rpm,horsepower | hp | motor type | power | product type | rated speed,make | motor speed | mounting method | mounting style | power source | power supply | power type
CG Three Phase Crompton Greaves Flameproof Motor,5,2,9,14,4,4,55.6%,50.0%,crompton greaves - brand | manufacturer | company |||| motor - motor_type | product_type |||| three phase - phase | supply_phase |||| flame proof - enclosure | protection,Crompton Greaves - brand | company | manufacturer | make |||| CG - number_of_poles | no_of_poles | poles |||| Three Phase - phase | phase_type | number_of_phase | input_phase |||| Flameproof - enclosure | body_enclosure | housing_protection,brand | company | enclosure | manufacturer | phase,crompton greaves | three phase,motor type | product type | protection | supply phase,body enclosure | housing protection | input phase | make | no of poles | number of phase | number of poles | phase type | poles
CG make  electric motor,5,0,5,8,2,2,100.0%,0.0%,cg power - brand | manufacturer | company |||| motor - motor_type | product_type,CG - brand | company | manufacturer | make |||| Electric Motor - type | motor_type | product_type | device_type,brand | company | manufacturer | motor type | product type,,,device type | make | type
COPCARBON BRUSH 25X40X10,2,1,7,7,3,2,28.6%,33.3%,25X40X10 - model_number | part_number | model |||| automotive - application | use |||| brush - product_category | category,25X40X10 - size | dimension | frame_size |||| COPCARBON BRUSH - model_number | model_name | model | model_no,model | model number,25x40x10,application | category | part number | product category | use,dimension | frame size | model name | model no | size
CP - 101 ACTUATOR,0,1,4,8,1,2,0.0%,100.0%,actuator - application | use |||| actuator - product_category | category,CP - 101 - model_number | model_name | model | model_no |||| ACTUATOR - model_type | model_category | product_type | device_type,,actuator,application | category | product category | use,device type | model | model category | model name | model no | model number | model type | product type
CTV 110 Unimotion Servo Motor,0,0,2,8,1,2,0.0%,0.0%,servo motor - motor_type | product_type,CTV 110 - model_number | model_name | model | model_no |||| Unimotion - brand | company | manufacturer | make,,,motor type | product type,brand | company | make | manufacturer | model | model name | model no | model number
Carbon Brush,0,0,4,4,2,1,0.0%,0.0%,automotive - application | use |||| brush - product_category | category,Carbon - material | material_type | body_material | material_of_construction,,,application | category | product category | use,body material | material | material of construction | material type
Carbon Brush Holder,1,0,4,8,3,2,25.0%,0.0%,automotive - application | use |||| brush - product_category | category |||| holder - product_category | category,Carbon - material | material_type | body_material | casing_material |||| Brush Holder - usage_application | application | usage | suitable_for,application,,category | product category | use,body material | casing material | material | material type | suitable for | usage | usage application
Carbon brush for AC HT Moter,2,0,6,7,3,2,33.3%,0.0%,motor - motor_type | product_type |||| ac - current_type | supply_type |||| automotive - application | use,Carbon Brush - type | product_type | device_type |||| AC HT Moter - usage_application | application | usage | suitable_for,application | product type,,current type | motor type | supply type | use,device type | suitable for | type | usage | usage application
Chimney Motor,2,1,4,4,2,1,50.0%,50.0%,motor - motor_type | product_type |||| chimney - application | use,Chimney - type | motor_type | product_type | device_type,motor type | product type,chimney,application | use,device type | type
Clogging Test,0,0,2,4,1,1,0.0%,0.0%,testing - product_category | category,Clogging Test - type | device_type | product_type | equipment_type,,,category | product category,device type | equipment type | product type | type
Concrete Vibrator Motor,0,0,2,10,1,3,0.0%,0.0%,vibrator motor - motor_type | product_type,Concrete Vibrator Motor - power_source | power_supply | power_type |||| Concrete - material | body_material | material_type |||| Motor - usage_application | application | usage | suitable_for,,,motor type | product type,application | body material | material | material type | power source | power supply | power type | suitable for | usage | usage application
Cooler Motor,2,1,4,3,2,1,50.0%,50.0%,cooler motor - motor_type | product_type |||| cooler - application | use,Cooler Motor - type | motor_type | product_type,motor type | product type,cooler motor,application | use,type
Cooler Motor 1 Inch,0,1,4,7,2,2,0.0%,50.0%,cooler motor - motor_type | product_type |||| cooler - application | use,1 Inch - size | dimension | frame_size |||| Cooler Motor - mounting_type | mounting | mounting_style | mounting_method,,cooler motor,application | motor type | product type | use,dimension | frame size | mounting | mounting method | mounting style | mounting type | size
Cooler Motor 1 Inch Kit (aluminium),0,0,4,7,2,2,0.0%,0.0%,cooler motor - motor_type | product_type |||| cooler - application | use,1 Inch - size | dimension | frame_size |||| Kit (aluminium) - material | body_material | material_type | casing_material,,,application | motor type | product type | use,body material | casing material | dimension | frame size | material | material type | size
Cooler Motor 7 Sutt,2,1,4,7,2,2,50.0%,50.0%,cooler motor - motor_type | product_type |||| cooler - application | use,7 - number_of_poles | no_of_poles | poles |||| Cooler Motor - type | motor_type | product_type | device_type,motor type | product type,cooler motor,application | use,device type | no of poles | number of poles | poles | type
Copper Carbon Brush For Slipring Motor,1,0,4,8,2,2,25.0%,0.0%,slip ring motor - motor_type | product_type |||| automotive - application | use,Copper - material | material_type | body_material | material_of_construction |||| Slipring Motor - usage_application | application | usage | suitable_for,application,,motor type | product type | use,body material | material | material of construction | material type | suitable for | usage | usage application
Crane Current Collector Carbon Brush,0,1,4,8,3,2,0.0%,33.3%,crane - application | use |||| automotive - application | use |||| brush - product_category | category,Crane - current_type | current_rating | current | rated_current |||| Carbon Brush - material | body_material | material_type | casing_material,,crane,application | category | product category | use,body material | casing material | current | current rating | current type | material | material type | rated current
Crane Duty Geared Motor With Brake,1,0,4,7,2,2,25.0%,0.0%,gear motor - motor_type | product_type |||| crane - application | use,Crane Duty - power_source | power_supply | power_type |||| Geared Motor With Brake - usage_application | application | usage | suitable_for,application,,motor type | product type | use,power source | power supply | power type | suitable for | usage | usage application
Crane Geared Brake Motor,2,1,4,8,2,2,50.0%,50.0%,brake motor - motor_type | product_type |||| crane - application | use,Crane - brand | company | manufacturer | make |||| Geared Brake Motor - type | motor_type | product_type | device_type,motor type | product type,crane,application | use,brand | company | device type | make | manufacturer | type
Crompton,3,1,3,4,1,1,100.0%,100.0%,crompton - brand | manufacturer | company,Crompton - brand | company | manufacturer | make,brand | company | manufacturer,crompton,,make
Crompton  1 HP Mini Sergeant Motor,4,2,8,10,3,3,50.0%,66.7%,crompton - brand | manufacturer | company |||| motor - motor_type | product_type |||| 1 hp - power | horsepower | hp,Crompton - brand | company | manufacturer | make |||| Mini Sergeant - power_source | power_supply | power_type |||| 1 HP - power | wattage | motor_power,brand | company | manufacturer | power,1 hp | crompton,horsepower | hp | motor type | product type,make | motor power | power source | power supply | power type | wattage
Crompton  1.5HP 2800RPM  Foot Mounted Motor,8,1,13,15,5,4,61.5%,20.0%,crompton - brand | manufacturer | company |||| motor - motor_type | product_type |||| 1.5 hp - power | horsepower | hp |||| 2800 rpm - speed | rpm | rated_speed |||| foot mount - mounting_type | mounting,Crompton - brand | company | manufacturer | make |||| Foot Mounted - power_source | power_supply | power_type |||| 2800RPM - speed | rpm | motor_speed | rated_speed |||| 1.5HP - horsepower | horse_power | hp | motor_horsepower,brand | company | horsepower | hp | manufacturer | rated speed | rpm | speed,crompton,motor type | mounting | mounting type | power | product type,horse power | make | motor horsepower | motor speed | power source | power supply | power type
Crompton  2HP  2800RPM Flange Floor  Mounted  Motor,0,0,11,0,4,0,0.0%,0.0%,crompton - brand | manufacturer | company |||| motor - motor_type | product_type |||| 2 hp - power | horsepower | hp |||| 2800 rpm - speed | rpm | rated_speed,,,,brand | company | horsepower | hp | manufacturer | motor type | power | product type | rated speed | rpm | speed,
Crompton  3HP 1440RPM  Foot Cum Flange Motor,0,0,11,0,4,0,0.0%,0.0%,crompton - brand | manufacturer | company |||| motor - motor_type | product_type |||| 3 hp - power | horsepower | hp |||| 1440 rpm - speed | rpm | rated_speed,,,,brand | company | horsepower | hp | manufacturer | motor type | power | product type | rated speed | rpm | speed,
Crompton 0.5hp Motor,5,1,8,8,3,2,62.5%,33.3%,crompton - brand | manufacturer | company |||| motor - motor_type | product_type |||| 0.5 hp - power | horsepower | hp,0.5HP - horsepower | horse_power | hp | motor_horsepower |||| Crompton - brand | company | manufacturer | make,brand | company | horsepower | hp | manufacturer,crompton,motor type | power | product type,horse power | make | motor horsepower
Crompton 2HP  Flange Mounted  Motor,7,1,10,12,4,3,70.0%,25.0%,crompton - brand | manufacturer | company |||| motor - motor_type | product_type |||| 2 hp - power | horsepower | hp |||| flange mount - mounting_type | mounting,Crompton - brand | company | manufacturer | make |||| 2HP - horsepower | horse_power | hp | motor_horsepower |||| Flange Mounted - mounting_type | mounting | mounting_style | mounting_method,brand | company | horsepower | hp | manufacturer | mounting | mounting type,crompton,motor type | power | product type,horse power | make | motor horsepower | mounting method | mounting style
Crompton 2hp Gf6834 Single Phase Electric Motor,6,2,10,16,4,4,60.0%,50.0%,crompton - brand | manufacturer | company |||| motor - motor_type | product_type |||| 2 hp - power | horsepower | hp |||| single phase - phase | supply_phase,Crompton - brand | company | manufacturer | make |||| GF6834 - model_number | model_name | model | model_no |||| Single Phase - phase | phase_type | number_of_phase | input_phase |||| 2HP - horsepower | horse_power | hp | motor_horsepower,brand | company | horsepower | hp | manufacturer | phase,crompton | single phase,motor type | power | product type | supply phase,horse power | input phase | make | model | model name | model no | model number | motor horsepower | number of phase | phase type
Crompton 2hp Gf6834 Single Phase Electric Motor 1440 Rpm,0,0,13,0,5,0,0.0%,0.0%,crompton - brand | manufacturer | company |||| motor - motor_type | product_type |||| 2 hp - power | horsepower | hp |||| single phase - phase | supply_phase |||| 1440 rpm - speed | rpm | rated_speed,,,,brand | company | horsepower | hp | manufacturer | motor type | phase | power | product type | rated speed | rpm | speed | supply phase,
Crompton Electric Motor,5,1,5,8,2,2,100.0%,50.0%,crompton - brand | manufacturer | company |||| motor - motor_type | product_type,Crompton - brand | company | manufacturer | make |||| Electric Motor - type | motor_type | product_type | device_type,brand | company | manufacturer | motor type | product type,crompton,,device type | make | type
Crompton Geared Motor,5,1,5,8,2,2,100.0%,50.0%,crompton - brand | manufacturer | company |||| gear motor - motor_type | product_type,Crompton - brand | company | manufacturer | make |||| Geared Motor - type | motor_type | product_type | device_type,brand | company | manufacturer | motor type | product type,crompton,,device type | make | type
Crompton Greaves 15HP 960RPM  Foot Mounted  Motor,0,0,13,0,5,0,0.0%,0.0%,crompton greaves - brand | manufacturer | company |||| motor - motor_type | product_type |||| 15 hp - power | horsepower | hp |||| 960 rpm - speed | rpm | rated_speed |||| foot mount - mounting_type | mounting,,,,brand | company | horsepower | hp | manufacturer | motor type | mounting | mounting type | power | product type | rated speed | rpm | speed,
Crompton Greaves Flameproof IE3 Motor,5,2,9,10,4,3,55.6%,50.0%,crompton greaves - brand | manufacturer | company |||| motor - motor_type | product_type |||| flame proof - enclosure | protection |||| ie3 - efficiency_class | efficiency,Crompton Greaves - brand | company | manufacturer | make |||| IE3 - efficiency | energy_efficiency_grade | star_rating |||| Flameproof - enclosure | body_enclosure | housing_protection,brand | company | efficiency | enclosure | manufacturer,crompton greaves | ie3,efficiency class | motor type | product type | protection,body enclosure | energy efficiency grade | housing protection | make | star rating
Crompton Greaves Industrial Motors,3,1,5,8,2,2,60.0%,50.0%,crompton greaves - brand | manufacturer | company |||| motor - motor_type | product_type,Crompton Greaves - brand | company | manufacturer | make |||| Industrial - usage_application | application | usage | suitable_for,brand | company | manufacturer,crompton greaves,motor type | product type,application | make | suitable for | usage | usage application
Crompton Greaves Motor,3,1,5,4,2,1,60.0%,50.0%,crompton greaves - brand | manufacturer | company |||| motor - motor_type | product_type,Crompton Greaves - brand | company | manufacturer | make,brand | company | manufacturer,crompton greaves,motor type | product type,make
Crompton Induction Motors,5,1,5,8,2,2,100.0%,50.0%,crompton - brand | manufacturer | company |||| induction motor - motor_type | product_type,Crompton - brand | company | manufacturer | make |||| Induction Motors - type | motor_type | product_type | device_type,brand | company | manufacturer | motor type | product type,crompton,,device type | make | type
Crompton Industrial Motors 75 hp,5,1,8,8,3,2,62.5%,33.3%,crompton - brand | manufacturer | company |||| motor - motor_type | product_type |||| 75 hp - power | horsepower | hp,75 HP - horsepower | horse_power | hp | motor_horsepower |||| Crompton Industrial Motors - brand | company | manufacturer | make,brand | company | horsepower | hp | manufacturer,75 hp,motor type | power | product type,horse power | make | motor horsepower
Crompton Motor 10 HP 960 Rpm,8,2,11,12,4,3,72.7%,50.0%,crompton - brand | manufacturer | company |||| motor - motor_type | product_type |||| 10 hp - power | horsepower | hp |||| 960 rpm - speed | rpm | rated_speed,10 HP - horsepower | horse_power | hp | motor_horsepower |||| 960 Rpm - speed | rpm | motor_speed | rated_speed |||| Crompton Motor - brand | company | manufacturer | make,brand | company | horsepower | hp | manufacturer | rated speed | rpm | speed,10 hp | 960 rpm,motor type | power | product type,horse power | make | motor horsepower | motor speed
Crompton Single Phase 0.5 HP Flange Motor,5,3,10,14,4,4,50.0%,75.0%,crompton - brand | manufacturer | company |||| motor - motor_type | product_type |||| 0.5 hp - power | horsepower | hp |||| single phase - phase | supply_phase,Single Phase - power_source | power_supply | power_type |||| Flange - mounting_type | mounting | mounting_style | mounting_method |||| Crompton - brand | company | manufacturer | make |||| 0.5 HP - horsepower | horse_power | hp,brand | company | horsepower | hp | manufacturer,0.5 hp | crompton | single phase,motor type | phase | power | product type | supply phase,horse power | make | mounting | mounting method | mounting style | mounting type | power source | power supply | power type
Crompton Single Phase Electric Motor,4,2,7,8,3,2,57.1%,66.7%,crompton - brand | manufacturer | company |||| motor - motor_type | product_type |||| single phase - phase | supply_phase,Crompton - brand | company | manufacturer | make |||| Single Phase - phase | phase_type | number_of_phase | input_phase,brand | company | manufacturer | phase,crompton | single phase,motor type | product type | supply phase,input phase | make | number of phase | phase type
Crompton Single Phase Motor,4,2,7,7,3,2,57.1%,66.7%,crompton - brand | manufacturer | company |||| motor - motor_type | product_type |||| single phase - phase | supply_phase,Crompton - brand | company | manufacturer | make |||| Single Phase - phase | phase_type | number_of_phase,brand | company | manufacturer | phase,crompton | single phase,motor type | product type | supply phase,make | number of phase | phase type
Crompton Single Phase Vibrator,4,2,7,8,3,2,57.1%,66.7%,crompton - brand | manufacturer | company |||| vibrator motor - motor_type | product_type |||| single phase - phase | supply_phase,Crompton - brand | company | manufacturer | make |||| Single Phase - phase | phase_type | number_of_phase | input_phase,brand | company | manufacturer | phase,crompton | single phase,motor type | product type | supply phase,input phase | make | number of phase | phase type
DANFOSS ACTUATOR AME435,5,2,10,8,3,2,50.0%,66.7%,danfoss - brand | manufacturer | company |||| AME435 - model_number | part_number | model |||| actuator - application | use |||| actuator - product_category | category,DANFOSS - brand | company | manufacturer | make |||| AME435 - model_number | model_name | model | model_no,brand | company | manufacturer | model | model number,ame435 | danfoss,application | category | part number | product category | use,make | model name | model no
DC Carbon,0,1,4,7,2,2,0.0%,50.0%,dc - current_type | supply_type |||| automotive - application | use,DC - power_source | power_supply | power_type |||| Carbon - material | body_material | material_type | casing_material,,dc,application | current type | supply type | use,body material | casing material | material | material type | power source | power supply | power type
DC GEAR MOTOR,0,2,4,7,2,2,0.0%,100.0%,gear motor - motor_type | product_type |||| dc - current_type | supply_type,DC - power_source | power_supply | power_type |||| GEAR MOTOR - usage_application | application | usage | suitable_for,,dc | gear motor,current type | motor type | product type | supply type,application | power source | power supply | power type | suitable for | usage | usage application
DC Motor,0,1,4,7,2,2,0.0%,50.0%,dc motor - motor_type | product_type |||| dc - current_type | supply_type,DC - power_source | power_supply | power_type |||| Motor - usage_application | application | usage | suitable_for,,dc,current type | motor type | product type | supply type,application | power source | power supply | power type | suitable for | usage | usage application
DC Motor Carbon Brushes,1,1,6,7,3,2,16.7%,33.3%,dc motor - motor_type | product_type |||| dc - current_type | supply_type |||| automotive - application | use,DC - power_source | power_supply | power_type |||| Carbon Brushes - usage_application | application | usage | suitable_for,application,dc,current type | motor type | product type | supply type | use,power source | power supply | power type | suitable for | usage | usage application
DC Shunt Motor,0,1,4,7,2,2,0.0%,50.0%,motor - motor_type | product_type |||| dc - current_type | supply_type,DC - power_source | power_supply | power_type |||| Shunt Motor - usage_application | application | usage | suitable_for,,dc,current type | motor type | product type | supply type,application | power source | power supply | power type | suitable for | usage | usage application
DC motor 5.5,0,1,4,8,2,2,0.0%,50.0%,dc motor - motor_type | product_type |||| dc - current_type | supply_type,DC - power_source | power_supply | power_type | input_power |||| 5.5 - power | wattage | motor_power | power_rating,,dc,current type | motor type | product type | supply type,input power | motor power | power | power rating | power source | power supply | power type | wattage
DHARMENDRA,0,0,0,4,0,1,N/A,N/A,,DHARMENDRA - brand | company | manufacturer | make,,,,brand | company | make | manufacturer
DOL STRTERS,0,0,2,7,1,2,0.0%,0.0%,starter - product_category | category,DOL - starter_type | starting_method | starter | type |||| STRTR - number_of_poles | no_of_poles | poles,,,category | product category,no of poles | number of poles | poles | starter | starter type | starting method | type
DZ Gear Motor Brushed DC Motor,2,0,4,8,3,2,50.0%,0.0%,dc motor - motor_type | product_type |||| gear motor - motor_type | product_type |||| dc - current_type | supply_type,DZ - brand | type | company | motor_type | manufacturer | product_type | make | device_type,motor type | product type,,current type | supply type,brand | company | device type | make | manufacturer | type
Danfoss/Eaton Char-Lynn 2000 series,3,0,3,7,1,2,100.0%,0.0%,danfoss - brand | manufacturer | company,Danfoss/Eaton Char-Lynn - brand | company | manufacturer | make |||| 2000 series - model_number | model_name | model,brand | company | manufacturer,,,make | model | model name | model number
Dc Brake For Electric Motor,0,1,4,7,2,2,0.0%,50.0%,motor - motor_type | product_type |||| dc - current_type | supply_type,DC - power_source | power_supply | power_type |||| Electric Motor - usage_application | application | usage | suitable_for,,dc,current type | motor type | product type | supply type,application | power source | power supply | power type | suitable for | usage | usage application
Dc fan motor,1,2,6,7,3,2,16.7%,66.7%,fan motor - motor_type | product_type |||| dc - current_type | supply_type |||| fan - application | use,DC - power_source | power_supply | power_type |||| Fan Motor - usage_application | application | usage | suitable_for,application,dc | fan motor,current type | motor type | product type | supply type | use,power source | power supply | power type | suitable for | usage | usage application
Delton Three Single Phase Oil Starter,1,1,6,14,2,4,16.7%,50.0%,single phase - phase | supply_phase |||| starter - application | use |||| starter - product_category | category,Delton - brand | company | manufacturer | make |||| Three - number_of_poles | no_of_poles | poles |||| Single Phase - phase | phase_type | number_of_phase | input_phase |||| Oil Starter - starter_type | starting_method | starter,phase,single phase,application | category | product category | supply phase | use,brand | company | input phase | make | manufacturer | no of poles | number of phase | number of poles | phase type | poles | starter | starter type | starting method
Die Cast Rotors,0,0,2,7,1,2,0.0%,0.0%,rotor - product_category | category,Die Cast - material | material_type | body_material | casing_material |||| Rotors - number_of_poles | no_of_poles | poles,,,category | product category,body material | casing material | material | material type | no of poles | number of poles | poles
Direct Drive Motor For Juki,2,0,2,8,1,2,100.0%,0.0%,motor - motor_type | product_type,Juki - brand | company | manufacturer | make |||| Direct Drive Motor - type | motor_type | product_type | device_type,motor type | product type,,,brand | company | device type | make | manufacturer | type
Direct On Line Starter DOL Motor Starter (DMC),1,0,4,7,2,2,25.0%,0.0%,motor - motor_type | product_type |||| starter - application | use,Direct On Line Starter - starter_type | starting_method | starter |||| DMC - usage_application | application | usage | suitable_for,application,,motor type | product type | use,starter | starter type | starting method | suitable for | usage | usage application
Direct oil immersed starter skn Kelson U Kit Set,1,0,4,11,1,3,25.0%,0.0%,starter - application | use |||| starter - product_category | category,Kelson - brand | company | manufacturer | make |||| Direct Oil Immersed Starter - starter_type | starting_method | starter |||| U Kit Set - usage_application | application | usage | suitable_for,application,,category | product category | use,brand | company | make | manufacturer | starter | starter type | starting method | suitable for | usage | usage application
Dol Motor Starter Dmc,0,0,4,7,2,2,0.0%,0.0%,motor - motor_type | product_type |||| starter - application | use,DMC - brand | company | manufacturer | make |||| Dol Motor Starter - starter_type | starting_method | starter,,,application | motor type | product type | use,brand | company | make | manufacturer | starter | starter type | starting method
Dol Motor Starters,0,0,4,8,2,2,0.0%,0.0%,motor - motor_type | product_type |||| starter - application | use,Dol - brand | company | manufacturer | make |||| Starters - starter_type | starter_model | starter_model_number | starter_model_name,,,application | motor type | product type | use,brand | company | make | manufacturer | starter model | starter model name | starter model number | starter type
Dol Motor Starters Paragon,0,0,4,7,2,2,0.0%,0.0%,motor - motor_type | product_type |||| starter - application | use,Paragon - brand | company | manufacturer | make |||| Dol Motor Starters - starter_type | starter_model | starter_model_number,,,application | motor type | product type | use,brand | company | make | manufacturer | starter model | starter model number | starter type
Domestic Appliance Motors,0,0,2,4,1,1,0.0%,0.0%,motor - motor_type | product_type,Domestic Appliance - usage_application | application | usage | suitable_for,,,motor type | product type,application | suitable for | usage | usage application
Door Motor .,0,0,2,7,1,1,0.0%,0.0%,motor - motor_type | product_type,Door Motor - power_source | power_supply | power_type |||| Door Motor - usage_application | application | usage | suitable_for,,,motor type | product type,application | power source | power supply | power type | suitable for | usage | usage application
Door han,0,0,2,4,1,1,0.0%,0.0%,door hardware - product_category | category,Door Han - brand | company | manufacturer | make,,,category | product category,brand | company | make | manufacturer
Double Motor Vacuum Cleaner,2,1,4,6,2,2,50.0%,50.0%,motor - motor_type | product_type |||| vacuum cleaner - application | use,Double - number_of_poles | no_of_poles | poles |||| Vacuum Cleaner - type | motor_type | product_type,motor type | product type,vacuum cleaner,application | use,no of poles | number of poles | poles | type
Double Shaft Motor,2,0,4,6,2,2,50.0%,0.0%,motor - motor_type | product_type |||| dual shaft - shaft_type | shaft,Double - number_of_shaft | no_of_shaft | shaft_number |||| Double Shaft Motor - type | motor_type | product_type,motor type | product type,,shaft | shaft type,no of shaft | number of shaft | shaft number | type
Dual shaft Motor,0,0,4,3,2,1,0.0%,0.0%,motor - motor_type | product_type |||| dual shaft - shaft_type | shaft,Dual - number_of_poles | no_of_poles | poles,,,motor type | product type | shaft | shaft type,no of poles | number of poles | poles
Dwe4235 Armature,0,1,2,4,1,2,0.0%,100.0%,armature - product_category | category,DWE4235 - model_number | model_name | model | model_no |||| Armature - model_no | model_number | model_name | model,,armature,category | product category,model | model name | model no | model number
