query,gt_success,qmeans_success,gt_total_keys,gt_unique_values,qmeans_total_keys,matched_key_count,matched_value_count,gt_only_key_count,qmeans_only_key_count,key_match_rate,value_match_rate,matched_keys,gt_only_keys,qmeans_only_keys,matched_values,key_match_details_json,value_match_details_json
ats480c66y,False,True,0,0,0,0,0,0,0,0.00%,0.00%,,,,,[],[]
Kirloskar Electric Motor,True,True,5,2,2,1,1,4,1,20.00%,50.00%,brand,product type; manufacturer; company; motor type,power source,kirloskar,"[{""normalized_key"": ""brand"", ""gt_key"": ""brand"", ""gt_value"": ""kirloskar"", ""gt_key_priority"": 1, ""gt_attr_priority"": 1, ""qmeans_key"": ""brand"", ""qmeans_value"": ""kirloskar"", ""value_also_matches"": true}]","[{""value"": ""kirloskar"", ""gt_keys"": [{""key"": ""brand"", ""key_priority"": 1, ""attr_priority"": 1}, {""key"": ""manufacturer"", ""key_priority"": 2, ""attr_priority"": 1}, {""key"": ""company"", ""key_priority"": 3, ""attr_priority"": 1}], ""qmeans_keys"": [""brand""]}]"
three  phase 1 ATS480C66Y,True,True,5,2,2,1,2,4,1,20.00%,100.00%,phase,model number; part number; supply phase; model,model name/number,ats480c66y; three phase,"[{""normalized_key"": ""phase"", ""gt_key"": ""phase"", ""gt_value"": ""three phase"", ""gt_key_priority"": 1, ""gt_attr_priority"": 1, ""qmeans_key"": ""phase"", ""qmeans_value"": ""three phase"", ""value_also_matches"": true}]","[{""value"": ""ats480c66y"", ""gt_keys"": [{""key"": ""model_number"", ""key_priority"": 1, ""attr_priority"": 2}, {""key"": ""part_number"", ""key_priority"": 2, ""attr_priority"": 2}, {""key"": ""model"", ""key_priority"": 3, ""attr_priority"": 2}], ""qmeans_keys"": [""model name/number""]}, {""value"": ""three phase"", ""gt_keys"": [{""key"": ""phase"", ""key_priority"": 1, ""attr_priority"": 1}, {""key"": ""supply_phase"", ""key_priority"": 2, ""attr_priority"": 1}], ""qmeans_keys"": [""phase""]}]"
l and t mpower pro mobile motor starter,True,True,4,2,3,0,0,4,3,0.00%,0.00%,,product type; application; use; motor type,usage; brand; model name/number,,[],[]
zd motor 25 w small ac geared motors 220v,True,True,8,4,4,3,3,5,1,37.50%,75.00%,power; voltage; motor type,wattage; supply type; current type; supply voltage; product type,brand,220v; ac; 25 w,"[{""normalized_key"": ""power"", ""gt_key"": ""power"", ""gt_value"": ""25 w"", ""gt_key_priority"": 1, ""gt_attr_priority"": 2, ""qmeans_key"": ""power"", ""qmeans_value"": ""25 w"", ""value_also_matches"": true}, {""normalized_key"": ""voltage"", ""gt_key"": ""voltage"", ""gt_value"": ""220v"", ""gt_key_priority"": 1, ""gt_attr_priority"": 3, ""qmeans_key"": ""voltage"", ""qmeans_value"": ""220v"", ""value_also_matches"": true}, {""normalized_key"": ""motor type"", ""gt_key"": ""motor_type"", ""gt_value"": ""gear motor"", ""gt_key_priority"": 1, ""gt_attr_priority"": 1, ""qmeans_key"": ""motor type"", ""qmeans_value"": ""ac"", ""value_also_matches"": false}]","[{""value"": ""220v"", ""gt_keys"": [{""key"": ""voltage"", ""key_priority"": 1, ""attr_priority"": 3}, {""key"": ""supply_voltage"", ""key_priority"": 2, ""attr_priority"": 3}], ""qmeans_keys"": [""voltage""]}, {""value"": ""ac"", ""gt_keys"": [{""key"": ""current_type"", ""key_priority"": 1, ""attr_priority"": 4}, {""key"": ""supply_type"", ""key_priority"": 2, ""attr_priority"": 4}], ""qmeans_keys"": [""motor type""]}, {""value"": ""25 w"", ""gt_keys"": [{""key"": ""power"", ""key_priority"": 1, ""attr_priority"": 2}, {""key"": ""wattage"", ""key_priority"": 2, ""attr_priority"": 2}], ""qmeans_keys"": [""power""]}]"
kitchen hood motor,True,True,2,1,1,0,0,2,1,0.00%,0.00%,,product type; motor type,usage,,[],[]
kapcon simi cooler motor,True,True,4,2,2,0,1,4,2,0.00%,50.00%,,product type; application; use; motor type,usage; brand,cooler motor,[],"[{""value"": ""cooler motor"", ""gt_keys"": [{""key"": ""motor_type"", ""key_priority"": 1, ""attr_priority"": 1}, {""key"": ""product_type"", ""key_priority"": 2, ""attr_priority"": 1}], ""qmeans_keys"": [""usage""]}]"
Jayashree Rotory Encoder Hollow Shaft,True,True,4,2,2,0,0,4,2,0.00%,0.00%,,shaft type; shaft; category; product category,brand; product,,[],[]
20w fan dc motor,True,True,8,4,3,2,2,6,1,25.00%,50.00%,power; motor type,wattage; supply type; current type; use; application; product type,usage,fan; dc,"[{""normalized_key"": ""power"", ""gt_key"": ""power"", ""gt_value"": ""20 w"", ""gt_key_priority"": 1, ""gt_attr_priority"": 2, ""qmeans_key"": ""power"", ""qmeans_value"": ""20w"", ""value_also_matches"": false}, {""normalized_key"": ""motor type"", ""gt_key"": ""motor_type"", ""gt_value"": ""dc motor"", ""gt_key_priority"": 1, ""gt_attr_priority"": 1, ""qmeans_key"": ""motor type"", ""qmeans_value"": ""dc"", ""value_also_matches"": false}]","[{""value"": ""fan"", ""gt_keys"": [{""key"": ""application"", ""key_priority"": 1, ""attr_priority"": 4}, {""key"": ""use"", ""key_priority"": 2, ""attr_priority"": 4}], ""qmeans_keys"": [""usage""]}, {""value"": ""dc"", ""gt_keys"": [{""key"": ""current_type"", ""key_priority"": 1, ""attr_priority"": 3}, {""key"": ""supply_type"", ""key_priority"": 2, ""attr_priority"": 3}], ""qmeans_keys"": [""motor type""]}]"
Wet Rice Grinders AUE Motors,True,True,4,2,1,0,0,4,1,0.00%,0.00%,,product type; application; use; motor type,usage,,[],[]
Electronic Starter,True,True,4,1,2,0,1,4,2,0.00%,100.00%,,product category; category; use; application,power source; feeder type,starter,[],"[{""value"": ""starter"", ""gt_keys"": [{""key"": ""application"", ""key_priority"": 1, ""attr_priority"": 1}, {""key"": ""use"", ""key_priority"": 2, ""attr_priority"": 1}, {""key"": ""product_category"", ""key_priority"": 1, ""attr_priority"": 2}, {""key"": ""category"", ""key_priority"": 2, ""attr_priority"": 2}], ""qmeans_keys"": [""feeder type""]}]"
AC Synchronous Motors,True,True,4,2,1,1,1,3,0,25.00%,50.00%,motor type,product type; current type; supply type,,ac,"[{""normalized_key"": ""motor type"", ""gt_key"": ""motor_type"", ""gt_value"": ""synchronous motor"", ""gt_key_priority"": 1, ""gt_attr_priority"": 1, ""qmeans_key"": ""motor type"", ""qmeans_value"": ""ac"", ""value_also_matches"": false}]","[{""value"": ""ac"", ""gt_keys"": [{""key"": ""current_type"", ""key_priority"": 1, ""attr_priority"": 2}, {""key"": ""supply_type"", ""key_priority"": 2, ""attr_priority"": 2}], ""qmeans_keys"": [""motor type""]}]"
Jayashree Encoder  : Hollow Shaft  J-50T,True,True,4,2,2,0,1,4,2,0.00%,50.00%,,shaft type; shaft; category; product category,brand; product,encoder,[],"[{""value"": ""encoder"", ""gt_keys"": [{""key"": ""product_category"", ""key_priority"": 1, ""attr_priority"": 2}, {""key"": ""category"", ""key_priority"": 2, ""attr_priority"": 2}], ""qmeans_keys"": [""product""]}]"
Motor,True,True,2,1,1,0,1,2,1,0.00%,100.00%,,product type; motor type,part type,motor,[],"[{""value"": ""motor"", ""gt_keys"": [{""key"": ""motor_type"", ""key_priority"": 1, ""attr_priority"": 1}, {""key"": ""product_type"", ""key_priority"": 2, ""attr_priority"": 1}], ""qmeans_keys"": [""part type""]}]"
Remi Centrifuge Carbon Brush,True,True,7,3,2,1,1,6,1,14.29%,33.33%,brand,company; use; application; manufacturer; product category; category,type,remi,"[{""normalized_key"": ""brand"", ""gt_key"": ""brand"", ""gt_value"": ""remi"", ""gt_key_priority"": 1, ""gt_attr_priority"": 1, ""qmeans_key"": ""brand"", ""qmeans_value"": ""remi"", ""value_also_matches"": true}]","[{""value"": ""remi"", ""gt_keys"": [{""key"": ""brand"", ""key_priority"": 1, ""attr_priority"": 1}, {""key"": ""manufacturer"", ""key_priority"": 2, ""attr_priority"": 1}, {""key"": ""company"", ""key_priority"": 3, ""attr_priority"": 1}], ""qmeans_keys"": [""brand""]}]"
High po re,False,True,0,0,0,0,0,0,0,0.00%,0.00%,,,,,[],[]
volvo & ir l&t case vibration motor shaft,True,True,5,2,1,0,0,5,1,0.00%,0.00%,,brand; company; manufacturer; product type; motor type,motor part type,,[],[]
Rawat+Induction+Motors,True,True,2,1,0,0,0,2,0,0.00%,0.00%,,product type; motor type,,,[],[]
havells single phase motor,True,True,7,3,3,2,3,5,1,28.57%,100.00%,brand; phase,company; supply phase; manufacturer; product type; motor type,part type,motor; havells; single phase,"[{""normalized_key"": ""brand"", ""gt_key"": ""brand"", ""gt_value"": ""havells"", ""gt_key_priority"": 1, ""gt_attr_priority"": 1, ""qmeans_key"": ""brand"", ""qmeans_value"": ""havells"", ""value_also_matches"": true}, {""normalized_key"": ""phase"", ""gt_key"": ""phase"", ""gt_value"": ""single phase"", ""gt_key_priority"": 1, ""gt_attr_priority"": 3, ""qmeans_key"": ""phase"", ""qmeans_value"": ""single phase"", ""value_also_matches"": true}]","[{""value"": ""motor"", ""gt_keys"": [{""key"": ""motor_type"", ""key_priority"": 1, ""attr_priority"": 2}, {""key"": ""product_type"", ""key_priority"": 2, ""attr_priority"": 2}], ""qmeans_keys"": [""part type""]}, {""value"": ""havells"", ""gt_keys"": [{""key"": ""brand"", ""key_priority"": 1, ""attr_priority"": 1}, {""key"": ""manufacturer"", ""key_priority"": 2, ""attr_priority"": 1}, {""key"": ""company"", ""key_priority"": 3, ""attr_priority"": 1}], ""qmeans_keys"": [""brand""]}, {""value"": ""single phase"", ""gt_keys"": [{""key"": ""phase"", ""key_priority"": 1, ""attr_priority"": 3}, {""key"": ""supply_phase"", ""key_priority"": 2, ""attr_priority"": 3}], ""qmeans_keys"": [""phase""]}]"
HAVELLS 3 PHASE MOTORSIE2/IE3,True,True,7,3,2,2,1,5,0,28.57%,33.33%,brand; phase,company; efficiency class; efficiency; manufacturer; supply phase,,havells,"[{""normalized_key"": ""brand"", ""gt_key"": ""brand"", ""gt_value"": ""havells"", ""gt_key_priority"": 1, ""gt_attr_priority"": 1, ""qmeans_key"": ""brand"", ""qmeans_value"": ""havells"", ""value_also_matches"": true}, {""normalized_key"": ""phase"", ""gt_key"": ""phase"", ""gt_value"": ""three phase"", ""gt_key_priority"": 1, ""gt_attr_priority"": 2, ""qmeans_key"": ""phase"", ""qmeans_value"": ""3 phase"", ""value_also_matches"": false}]","[{""value"": ""havells"", ""gt_keys"": [{""key"": ""brand"", ""key_priority"": 1, ""attr_priority"": 1}, {""key"": ""manufacturer"", ""key_priority"": 2, ""attr_priority"": 1}, {""key"": ""company"", ""key_priority"": 3, ""attr_priority"": 1}], ""qmeans_keys"": [""brand""]}]"
DHARMENDRA,False,True,0,0,0,0,0,0,0,0.00%,0.00%,,,,,[],[]
vertical helical gear motor 5 hp,True,True,7,3,3,2,1,5,1,28.57%,33.33%,power; motor type,mounting; hp; mounting type; product type; horsepower,orientation,5 hp,"[{""normalized_key"": ""power"", ""gt_key"": ""power"", ""gt_value"": ""5 hp"", ""gt_key_priority"": 1, ""gt_attr_priority"": 2, ""qmeans_key"": ""power"", ""qmeans_value"": ""5 hp"", ""value_also_matches"": true}, {""normalized_key"": ""motor type"", ""gt_key"": ""motor_type"", ""gt_value"": ""gear motor"", ""gt_key_priority"": 1, ""gt_attr_priority"": 1, ""qmeans_key"": ""motor type"", ""qmeans_value"": ""helical gear"", ""value_also_matches"": false}]","[{""value"": ""5 hp"", ""gt_keys"": [{""key"": ""power"", ""key_priority"": 1, ""attr_priority"": 2}, {""key"": ""horsepower"", ""key_priority"": 2, ""attr_priority"": 2}, {""key"": ""hp"", ""key_priority"": 3, ""attr_priority"": 2}], ""qmeans_keys"": [""power""]}]"
Bosch parts,True,True,5,2,1,1,1,4,0,20.00%,50.00%,brand,product category; category; manufacturer; company,,bosch,"[{""normalized_key"": ""brand"", ""gt_key"": ""brand"", ""gt_value"": ""bosch"", ""gt_key_priority"": 1, ""gt_attr_priority"": 1, ""qmeans_key"": ""brand"", ""qmeans_value"": ""bosch"", ""value_also_matches"": true}]","[{""value"": ""bosch"", ""gt_keys"": [{""key"": ""brand"", ""key_priority"": 1, ""attr_priority"": 1}, {""key"": ""manufacturer"", ""key_priority"": 2, ""attr_priority"": 1}, {""key"": ""company"", ""key_priority"": 3, ""attr_priority"": 1}], ""qmeans_keys"": [""brand""]}]"
Panasonic AC Servo Motor,True,True,7,3,3,2,2,5,1,28.57%,66.67%,brand; motor type,company; supply type; current type; manufacturer; product type,usage,ac; panasonic,"[{""normalized_key"": ""brand"", ""gt_key"": ""brand"", ""gt_value"": ""panasonic"", ""gt_key_priority"": 1, ""gt_attr_priority"": 1, ""qmeans_key"": ""brand"", ""qmeans_value"": ""panasonic"", ""value_also_matches"": true}, {""normalized_key"": ""motor type"", ""gt_key"": ""motor_type"", ""gt_value"": ""servo motor"", ""gt_key_priority"": 1, ""gt_attr_priority"": 2, ""qmeans_key"": ""motor type"", ""qmeans_value"": ""ac"", ""value_also_matches"": false}]","[{""value"": ""ac"", ""gt_keys"": [{""key"": ""current_type"", ""key_priority"": 1, ""attr_priority"": 3}, {""key"": ""supply_type"", ""key_priority"": 2, ""attr_priority"": 3}], ""qmeans_keys"": [""motor type""]}, {""value"": ""panasonic"", ""gt_keys"": [{""key"": ""brand"", ""key_priority"": 1, ""attr_priority"": 1}, {""key"": ""manufacturer"", ""key_priority"": 2, ""attr_priority"": 1}, {""key"": ""company"", ""key_priority"": 3, ""attr_priority"": 1}], ""qmeans_keys"": [""brand""]}]"
squirrel-cage-motors,True,True,2,1,1,0,0,2,1,0.00%,0.00%,,product type; motor type,shape,,[],[]
Belimo Damper Actuator,True,True,4,1,2,0,0,4,2,0.00%,0.00%,,product category; category; use; application,brand; structure,,[],[]
Squirrel Cage Induction Motor tefc type,True,True,6,3,1,1,0,3,0,25.00%,0.00%,motor type,product type; enclosure; protection,,,"[{""normalized_key"": ""motor type"", ""gt_key"": ""motor_type"", ""gt_value"": ""induction motor"", ""gt_key_priority"": 1, ""gt_attr_priority"": 1, ""qmeans_key"": ""motor type"", ""qmeans_value"": ""squirrel cage induction"", ""value_also_matches"": false}]",[]
fn20c motor,True,True,2,1,2,0,1,2,2,0.00%,100.00%,,product type; motor type,part type; model name/number,motor,[],"[{""value"": ""motor"", ""gt_keys"": [{""key"": ""motor_type"", ""key_priority"": 1, ""attr_priority"": 1}, {""key"": ""product_type"", ""key_priority"": 2, ""attr_priority"": 1}], ""qmeans_keys"": [""part type""]}]"
fireproof motor,True,True,2,1,1,0,1,2,1,0.00%,100.00%,,product type; motor type,part type,motor,[],"[{""value"": ""motor"", ""gt_keys"": [{""key"": ""motor_type"", ""key_priority"": 1, ""attr_priority"": 1}, {""key"": ""product_type"", ""key_priority"": 2, ""attr_priority"": 1}], ""qmeans_keys"": [""part type""]}]"
Minas A6 Panasonic  Servo Motor & Driver,True,True,5,2,3,1,1,4,2,20.00%,50.00%,brand,product type; manufacturer; company; motor type,product; model name/number,panasonic,"[{""normalized_key"": ""brand"", ""gt_key"": ""brand"", ""gt_value"": ""panasonic"", ""gt_key_priority"": 1, ""gt_attr_priority"": 1, ""qmeans_key"": ""brand"", ""qmeans_value"": ""panasonic"", ""value_also_matches"": true}]","[{""value"": ""panasonic"", ""gt_keys"": [{""key"": ""brand"", ""key_priority"": 1, ""attr_priority"": 1}, {""key"": ""manufacturer"", ""key_priority"": 2, ""attr_priority"": 1}, {""key"": ""company"", ""key_priority"": 3, ""attr_priority"": 1}], ""qmeans_keys"": [""brand""]}]"
Planetary Gear Motor,True,True,2,1,0,0,0,2,0,0.00%,0.00%,,product type; motor type,,,[],[]
Squirrel Cage Induction Motor tefc type 415v,True,True,8,4,2,2,1,4,0,33.33%,25.00%,voltage; motor type,protection; enclosure; product type; supply voltage,,415v,"[{""normalized_key"": ""voltage"", ""gt_key"": ""voltage"", ""gt_value"": ""415v"", ""gt_key_priority"": 1, ""gt_attr_priority"": 3, ""qmeans_key"": ""voltage"", ""qmeans_value"": ""415v"", ""value_also_matches"": true}, {""normalized_key"": ""motor type"", ""gt_key"": ""motor_type"", ""gt_value"": ""induction motor"", ""gt_key_priority"": 1, ""gt_attr_priority"": 1, ""qmeans_key"": ""motor type"", ""qmeans_value"": ""squirrel cage induction"", ""value_also_matches"": false}]","[{""value"": ""415v"", ""gt_keys"": [{""key"": ""voltage"", ""key_priority"": 1, ""attr_priority"": 3}, {""key"": ""supply_voltage"", ""key_priority"": 2, ""attr_priority"": 3}], ""qmeans_keys"": [""voltage""]}]"
vertical helical gear motor,True,True,4,2,2,1,0,3,1,25.00%,0.00%,motor type,product type; mounting; mounting type,orientation,,"[{""normalized_key"": ""motor type"", ""gt_key"": ""motor_type"", ""gt_value"": ""gear motor"", ""gt_key_priority"": 1, ""gt_attr_priority"": 1, ""qmeans_key"": ""motor type"", ""qmeans_value"": ""helical gear"", ""value_also_matches"": false}]",[]
2 advanced features 2 10 hp mobile starter,True,True,7,2,1,1,1,6,0,14.29%,50.00%,power,use; hp; application; product category; category; horsepower,,10 hp,"[{""normalized_key"": ""power"", ""gt_key"": ""power"", ""gt_value"": ""10 hp"", ""gt_key_priority"": 1, ""gt_attr_priority"": 1, ""qmeans_key"": ""power"", ""qmeans_value"": ""10 hp"", ""value_also_matches"": true}]","[{""value"": ""10 hp"", ""gt_keys"": [{""key"": ""power"", ""key_priority"": 1, ""attr_priority"": 1}, {""key"": ""horsepower"", ""key_priority"": 2, ""attr_priority"": 1}, {""key"": ""hp"", ""key_priority"": 3, ""attr_priority"": 1}], ""qmeans_keys"": [""power""]}]"
Helical Geared Motor,True,True,2,1,0,0,0,2,0,0.00%,0.00%,,product type; motor type,,,[],[]
dvd motor,True,True,2,1,1,0,1,2,1,0.00%,100.00%,,product type; motor type,part type,motor,[],"[{""value"": ""motor"", ""gt_keys"": [{""key"": ""motor_type"", ""key_priority"": 1, ""attr_priority"": 1}, {""key"": ""product_type"", ""key_priority"": 2, ""attr_priority"": 1}], ""qmeans_keys"": [""part type""]}]"
2 hp three phase induction motor,True,True,7,3,3,1,3,6,2,14.29%,100.00%,motor type,power; hp; product type; phase; horsepower; supply phase,rated power; no of phase,three phase; 2 hp; induction motor,"[{""normalized_key"": ""motor type"", ""gt_key"": ""motor_type"", ""gt_value"": ""induction motor"", ""gt_key_priority"": 1, ""gt_attr_priority"": 1, ""qmeans_key"": ""motor type"", ""qmeans_value"": ""induction motor"", ""value_also_matches"": true}]","[{""value"": ""three phase"", ""gt_keys"": [{""key"": ""phase"", ""key_priority"": 1, ""attr_priority"": 3}, {""key"": ""supply_phase"", ""key_priority"": 2, ""attr_priority"": 3}], ""qmeans_keys"": [""no of phase""]}, {""value"": ""2 hp"", ""gt_keys"": [{""key"": ""power"", ""key_priority"": 1, ""attr_priority"": 2}, {""key"": ""horsepower"", ""key_priority"": 2, ""attr_priority"": 2}, {""key"": ""hp"", ""key_priority"": 3, ""attr_priority"": 2}], ""qmeans_keys"": [""rated power""]}, {""value"": ""induction motor"", ""gt_keys"": [{""key"": ""motor_type"", ""key_priority"": 1, ""attr_priority"": 1}, {""key"": ""product_type"", ""key_priority"": 2, ""attr_priority"": 1}], ""qmeans_keys"": [""motor type""]}]"
Direct oil immersed starter skn Kelson U Kit Set,True,True,4,1,0,0,0,4,0,0.00%,0.00%,,product category; category; application; use,,,[],[]
Rolling Shutter Motor,True,True,2,1,1,0,0,2,1,0.00%,0.00%,,product type; motor type,usage,,[],[]
Delton Three Single Phase Oil Starter,True,True,6,2,2,1,0,5,1,16.67%,0.00%,phase,use; application; product category; category; supply phase,brand,,"[{""normalized_key"": ""phase"", ""gt_key"": ""phase"", ""gt_value"": ""single phase"", ""gt_key_priority"": 1, ""gt_attr_priority"": 1, ""qmeans_key"": ""phase"", ""qmeans_value"": ""three single phase"", ""value_also_matches"": false}]",[]
Shaft Encoder,True,True,2,1,1,0,1,2,1,0.00%,100.00%,,product category; category,product,encoder,[],"[{""value"": ""encoder"", ""gt_keys"": [{""key"": ""product_category"", ""key_priority"": 1, ""attr_priority"": 1}, {""key"": ""category"", ""key_priority"": 2, ""attr_priority"": 1}], ""qmeans_keys"": [""product""]}]"
CTV 110 Unimotion Servo Motor,True,True,2,1,1,0,0,2,1,0.00%,0.00%,,product type; motor type,model name/number,,[],[]
Crompton Single Phase Motor,True,True,7,3,3,2,3,5,1,28.57%,100.00%,brand; phase,company; supply phase; manufacturer; product type; motor type,part type,crompton; motor; single phase,"[{""normalized_key"": ""brand"", ""gt_key"": ""brand"", ""gt_value"": ""crompton"", ""gt_key_priority"": 1, ""gt_attr_priority"": 1, ""qmeans_key"": ""brand"", ""qmeans_value"": ""crompton"", ""value_also_matches"": true}, {""normalized_key"": ""phase"", ""gt_key"": ""phase"", ""gt_value"": ""single phase"", ""gt_key_priority"": 1, ""gt_attr_priority"": 3, ""qmeans_key"": ""phase"", ""qmeans_value"": ""single phase"", ""value_also_matches"": true}]","[{""value"": ""crompton"", ""gt_keys"": [{""key"": ""brand"", ""key_priority"": 1, ""attr_priority"": 1}, {""key"": ""manufacturer"", ""key_priority"": 2, ""attr_priority"": 1}, {""key"": ""company"", ""key_priority"": 3, ""attr_priority"": 1}], ""qmeans_keys"": [""brand""]}, {""value"": ""motor"", ""gt_keys"": [{""key"": ""motor_type"", ""key_priority"": 1, ""attr_priority"": 2}, {""key"": ""product_type"", ""key_priority"": 2, ""attr_priority"": 2}], ""qmeans_keys"": [""part type""]}, {""value"": ""single phase"", ""gt_keys"": [{""key"": ""phase"", ""key_priority"": 1, ""attr_priority"": 3}, {""key"": ""supply_phase"", ""key_priority"": 2, ""attr_priority"": 3}], ""qmeans_keys"": [""phase""]}]"
crompton single phase cooler motor,True,True,9,4,3,2,3,7,1,22.22%,75.00%,brand; phase,motor type; company; use; application; manufacturer; product type; supply phase,usage,crompton; cooler motor; single phase,"[{""normalized_key"": ""brand"", ""gt_key"": ""brand"", ""gt_value"": ""crompton"", ""gt_key_priority"": 1, ""gt_attr_priority"": 1, ""qmeans_key"": ""brand"", ""qmeans_value"": ""crompton"", ""value_also_matches"": true}, {""normalized_key"": ""phase"", ""gt_key"": ""phase"", ""gt_value"": ""single phase"", ""gt_key_priority"": 1, ""gt_attr_priority"": 3, ""qmeans_key"": ""phase"", ""qmeans_value"": ""single phase"", ""value_also_matches"": true}]","[{""value"": ""crompton"", ""gt_keys"": [{""key"": ""brand"", ""key_priority"": 1, ""attr_priority"": 1}, {""key"": ""manufacturer"", ""key_priority"": 2, ""attr_priority"": 1}, {""key"": ""company"", ""key_priority"": 3, ""attr_priority"": 1}], ""qmeans_keys"": [""brand""]}, {""value"": ""cooler motor"", ""gt_keys"": [{""key"": ""motor_type"", ""key_priority"": 1, ""attr_priority"": 2}, {""key"": ""product_type"", ""key_priority"": 2, ""attr_priority"": 2}], ""qmeans_keys"": [""usage""]}, {""value"": ""single phase"", ""gt_keys"": [{""key"": ""phase"", ""key_priority"": 1, ""attr_priority"": 3}, {""key"": ""supply_phase"", ""key_priority"": 2, ""attr_priority"": 3}], ""qmeans_keys"": [""phase""]}]"
crompton greaves energy efficient motor,True,True,5,2,1,1,0,4,0,20.00%,0.00%,brand,product type; manufacturer; company; motor type,,,"[{""normalized_key"": ""brand"", ""gt_key"": ""brand"", ""gt_value"": ""crompton greaves"", ""gt_key_priority"": 1, ""gt_attr_priority"": 1, ""qmeans_key"": ""brand"", ""qmeans_value"": ""crompton"", ""value_also_matches"": false}]",[]
180 Watt Electro Magnetic Brake Motor,True,True,4,2,2,2,0,2,0,50.00%,0.00%,power; motor type,product type; wattage,,,"[{""normalized_key"": ""power"", ""gt_key"": ""power"", ""gt_value"": ""180 w"", ""gt_key_priority"": 1, ""gt_attr_priority"": 2, ""qmeans_key"": ""power"", ""qmeans_value"": ""180 watt"", ""value_also_matches"": false}, {""normalized_key"": ""motor type"", ""gt_key"": ""motor_type"", ""gt_value"": ""brake motor"", ""gt_key_priority"": 1, ""gt_attr_priority"": 1, ""qmeans_key"": ""motor type"", ""qmeans_value"": ""electro magnetic brake"", ""value_also_matches"": false}]",[]
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2104-5AK00-0SB0 0.12 kW,True,True,11,4,4,2,4,9,2,18.18%,100.00%,power; brand,wattage; part number; company; manufacturer; model; product type; model number; kilowatt; motor type,usage; model name/number,0.12 kw; siemens; 1fk2104-5ak00-0sb0; servo motor,"[{""normalized_key"": ""power"", ""gt_key"": ""power"", ""gt_value"": ""0.12 kw"", ""gt_key_priority"": 1, ""gt_attr_priority"": 3, ""qmeans_key"": ""power"", ""qmeans_value"": ""0.12 kw"", ""value_also_matches"": true}, {""normalized_key"": ""brand"", ""gt_key"": ""brand"", ""gt_value"": ""siemens"", ""gt_key_priority"": 1, ""gt_attr_priority"": 1, ""qmeans_key"": ""brand"", ""qmeans_value"": ""siemens"", ""value_also_matches"": true}]","[{""value"": ""0.12 kw"", ""gt_keys"": [{""key"": ""power"", ""key_priority"": 1, ""attr_priority"": 3}, {""key"": ""kilowatt"", ""key_priority"": 2, ""attr_priority"": 3}, {""key"": ""wattage"", ""key_priority"": 3, ""attr_priority"": 3}], ""qmeans_keys"": [""power""]}, {""value"": ""siemens"", ""gt_keys"": [{""key"": ""brand"", ""key_priority"": 1, ""attr_priority"": 1}, {""key"": ""manufacturer"", ""key_priority"": 2, ""attr_priority"": 1}, {""key"": ""company"", ""key_priority"": 3, ""attr_priority"": 1}], ""qmeans_keys"": [""brand""]}, {""value"": ""1fk2104-5ak00-0sb0"", ""gt_keys"": [{""key"": ""model_number"", ""key_priority"": 1, ""attr_priority"": 4}, {""key"": ""part_number"", ""key_priority"": 2, ""attr_priority"": 4}, {""key"": ""model"", ""key_priority"": 3, ""attr_priority"": 4}], ""qmeans_keys"": [""model name/number""]}, {""value"": ""servo motor"", ""gt_keys"": [{""key"": ""motor_type"", ""key_priority"": 1, ""attr_priority"": 2}, {""key"": ""product_type"", ""key_priority"": 2, ""attr_priority"": 2}], ""qmeans_keys"": [""usage""]}]"
SIEMENS SIMOTICS S-1FK2 SERVO MOTER 1FK2106-4AF10-0SA0 2.7 kW,True,True,11,4,2,1,2,10,1,9.09%,50.00%,brand,power; wattage; part number; company; manufacturer; model; product type; model number; kilowatt; motor type,output power,2.7 kw; siemens,"[{""normalized_key"": ""brand"", ""gt_key"": ""brand"", ""gt_value"": ""siemens"", ""gt_key_priority"": 1, ""gt_attr_priority"": 1, ""qmeans_key"": ""brand"", ""qmeans_value"": ""siemens"", ""value_also_matches"": true}]","[{""value"": ""2.7 kw"", ""gt_keys"": [{""key"": ""power"", ""key_priority"": 1, ""attr_priority"": 3}, {""key"": ""kilowatt"", ""key_priority"": 2, ""attr_priority"": 3}, {""key"": ""wattage"", ""key_priority"": 3, ""attr_priority"": 3}], ""qmeans_keys"": [""output power""]}, {""value"": ""siemens"", ""gt_keys"": [{""key"": ""brand"", ""key_priority"": 1, ""attr_priority"": 1}, {""key"": ""manufacturer"", ""key_priority"": 2, ""attr_priority"": 1}, {""key"": ""company"", ""key_priority"": 3, ""attr_priority"": 1}], ""qmeans_keys"": [""brand""]}]"
Servo Motor,True,True,2,1,0,0,0,2,0,0.00%,0.00%,,product type; motor type,,,[],[]
copper sewing machine motor armature,True,True,2,1,3,0,0,2,3,0.00%,0.00%,,product type; motor type,motor part type; usage; material type,,[],[]
cooler motor high speed,True,True,4,2,2,0,1,4,2,0.00%,50.00%,,product type; application; use; motor type,usage; speed,cooler motor,[],"[{""value"": ""cooler motor"", ""gt_keys"": [{""key"": ""motor_type"", ""key_priority"": 1, ""attr_priority"": 1}, {""key"": ""product_type"", ""key_priority"": 2, ""attr_priority"": 1}], ""qmeans_keys"": [""usage""]}]"
