keyword,mcat_name,mcat_id,mcat_accuracy_level
FL57BLB60 Regular BLDC Motor,Brushless DC Motor,15240,High
Cooler Motor 7 Sutt,Cooler Motor,52897,High
Vintage Industrial Motor,Industrial Motors,52915,High
fan-motors,Fan Motor,28231,High
mig pmdc motor 24v 42v,PMDC Motor,52920,High
Single Phase AC Synchronous Motor,Single Phase AC Synchronous Motor,19219,High
9607 HB / 9609 HB Makita Armature By PowerSpeed,Armature,25,High
parallel shaft helical geard motor,Helical Geared Motor,43308,High
1 phase electric motor,Single Phase Electric Motor,52927,High
Gsm Mobile Starter Pcb,Mobile Starter,161896,High
shaded pole motors with fan,Shaded Pole Motors,36931,High
Cooler Motor 1 Inch Kit (aluminium),Cooler Motor,52897,High
Autonic Shaft Encoder,Shaft Encoder,44166,High
door-motor,Door Motor,52902,High
200W AC Servo Brake Motor & Drive LSELM1S-0200DH60E-SS,AC Servo Motor,14970,High
65X50X25MM CARBON BRUSH,Carbon Brush,903,High
shaded+pole+motors,Shaded Pole Motors,36931,High
Shaded Pole Motors,Shaded Pole Motors,36931,High
105 Wat Single Phase Cooler Motor,Cooler Motor,52897,High
FL60STH65-2008AF Hybrid Stepper Motor,Hybrid Stepper Motor,15599,High
FL42BLSL01- Regular BLDC Motor,Brushless DC Motor,15240,High
single phase cooler motor,Cooler Motor,52897,High
4000w bldc motor / 4kw bldc motor for electric car / electric motor for gokart,Brushless DC Motor,15240,High
Mitsubishi Servo Motors,Mitsubishi Servo Motors,184101,High
FL42STH60-0854AF- Hybrid Stepper Motor,Hybrid Stepper Motor,15599,High
Single Phase Motor Starter,Single Phase Motor Starter,226793,High
170M7167-6500A,Bussmann Semiconductor Fuses,214428,High
Chimney Motor,Chimney Motor,446121,High
sewing-machine-motor-armature,Sewing Machine Motor Armature,312874,High
amdo cooler motor,Cooler Motor,52897,High
hindustan,Hindustan AC Motor,203386,High
crompton greaves vfdc,Crompton Greaves Motor,126348,High
Carbon Brush Holder,Carbon Brush Holder,55772,High
370W Electric Sliding Gate Motor,Electric Sliding Gate Motor,52905,High
foot cum flange mounted electric motor,Foot Mounted Motor,177266,High
FL42BLSL02- Regular BLDC Motor,Brushless DC Motor,15240,High
Electro Pneumatic Valve Positioner,Electro Pneumatic Valve Positioner,147007,High
DC motor 5.5,DC Motor,445,High
B&R 8BVI0014HWS0.000-1 ACOPOS MULTI INVERTER MODULE I0014S,B&R Servo Motors,442571,Medium
Motor Rotor,Rotor mounted Motor,36904,High
cooler kit motor,Cooler Motor,52897,High
inline helical geared motors,Inline Geared Motor,43309,High
boparai auto switch pro,Automotive Switches,27,High
Carbon brush for AC HT Moter,Carbon Brush,903,High
800 W Wet Dry Vacuum Cleaner Motors,Vacuum Cleaner Motors,40749,High
FL57STH56-2504ACF-25-ARK Hybrid Stepper Motor,Hybrid Stepper Motor,15599,Medium
FL57STH51-2804AF- Hybrid Stepper Motor,Hybrid Stepper Motor,15599,High
90 watt ac geared motor,AC Geared Motor,21549,High
dwe4235 armature near udaipur,Armature,25,High
Electric Motor Starters,Motor Starter,33567,High
ytc make smart positioner,Valve Positioners,40629,High
PowerSpeed Armature For Makita 3501 N,Armature,25,High
arma texture,Armature,25,Medium
Single Phase Copper Slip Ring,Slip Rings,37229,High
Venex Motor Starter,Motor Starter,33567,High
Mobile+Starter+Prime,Mobile Starter,161896,High
havells motor,Havells Electric Motor,189725,High
AC Fail and DC Fail,Brake Motors,21078,Medium
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2104-4AK01-0MB0 0.06 kW,Siemens Servo Motors,184102,High
Aluminium Winding Cooler Fan Motor,Cooler Motor,52897,High
FL42STH33-0956AF- Hybrid Stepper Motor,Hybrid Stepper Motor,15599,High
Mk 1 Dol Starter,L&T DOL Starter,654303,High
fhp motors,FHP Motor,446,High
laxmi 3 hp singal fase motors,Single Phase Motors,9484,High
0502 exhaust fan motor,Exhaust Fan Motor,28080,High
dual shaft 1300RPM BLOWER FAN MOTOR,Blower Motors,23098,High
105 W Alqer 16 Inch Super Cooler Motor,Cooler Motor,52897,High
FL60STH65-2804AF Hybrid Stepper Motor,Hybrid Stepper Motor,15599,High
टेक्समो मोटर स्पेयर पार्ट्स,Motor Parts,150022,High
Crompton 2hp Gf6834 Single Phase Electric Motor 1440 Rpm,Crompton Greaves Motor,126348,Medium
Bch Submersible Pump Starters,Pump Starter,146491,High
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2104-6AF10-0SB0,Siemens Servo Motors,184102,High
AC Geared Motor,AC Geared Motor,21549,High
Crompton 2hp Gf6834 Single Phase Electric Motor,Crompton Greaves Motor,126348,Medium
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2106-4AF01-0SA0 2.7 kW,Siemens Servo Motors,184102,High
Ecoflam Burner Servo Motor,Burner Servo Motors,162318,High
Three Phase Motor,Three Phase Motor,2415,High
VTV YN90-120 Motor,AC Servo Motor,14970,Medium
Electric Motors,Electric Motor,1274,High
induction motor,Induction Motors,10971,High
60W Desert Cooler Motor,Cooler Motor,52897,High
FL42STH47-1684AF-08- Hybrid Stepper Motor,Hybrid Stepper Motor,15599,High
electronic-starter,Electronic Starter,27659,High
FL42STH38-1684AF Hybrid Stepper Motor,Hybrid Stepper Motor,15599,High
Lubi LGH90GF50H15K Gare Motor,Electric Gear Motor,52906,Medium
1FK2104-6AF10-0SB0,Siemens Servo Motors,184102,High
Ml 2 Dol Starter,DOL Starter,26266,High
siemens electric ac motor 75 hp 1440 rpm,Siemens AC Motor,179401,High
Vishal 8al2 Air Cooler Motor,Cooler Motor,52897,High
ELLDO cooler motor,Cooler Motor,52897,High
CP - 101 ACTUATOR,Actuators,3148,High
DZ Gear Motor Brushed DC Motor,DC Brush Motor,25364,High
dual shaft blower fan motor,Blower Motors,23098,High
220 v dual shaft BLOWER FAN MOTOR,Blower Motors,23098,High
220  v 1 dual shaft BLOWER FAN MOTOR,Blower Motors,23098,High
Crompton 2hp Gf6834 Single Phase Electric Motor,Crompton Greaves Motor,126348,Medium
AT12 Single Chain Actuator,Electric Actuator,27216,High
SECO N 24 25 Single Chain Actuator,Electric Actuator,27216,High
Siemens Raja+ Direct On Line Starters,DOL Starter,26266,High
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2104-6AF10-1MB0 1 kW,Siemens Servo Motors,184102,High
cg cooler motor,Cooler Motor,52897,High
Makita 9047 Armature By PowerSpeed,Armature,25,High
Electric Motor Housing,Motor Housings,33555,High
Vibro Sifter Vibratory Motors,Vibration Motor,2743,High
FL28STH45-0674A - Hybrid Stepper Motor,Hybrid Stepper Motor,15599,High
Single Phase D.C. Motor,Single Phase Motors,9484,Medium
electric torque,Torque Motor,19705,Medium
Godrej Lawkim Ac Motors,Godrej Lawkim Ac Motors,206364,High
dual shaft FAN MOTOR,AC Fan Motor,146600,Medium
Crompton Electric Motor,Crompton Motors,446133,High
Mini Fan Motor,Fan Motor,28231,High
3d minuture,Internet Security Antivirus Software,206353,Medium
Electric Motor with Gear,Electric Gear Motor,52906,High
FL28STH45-0674AF-14 - Hybrid Stepper Motor,Hybrid Stepper Motor,15599,Medium
mixer-grinder-motor,Mixer Grinder Motor,84526,High
Sew-eurodrive servo Motor cmp50m/pk/vr/rh1m/sm1,Sew Eurodrive Servo Motors,203188,High
Sew-eurodrive,Brake Rectifier,166869,High
vane pneumatic actuator,Pneumatic Actuators,5084,High
Flange Mounted Motor,Flange Motors,6408,High
FL57STH56-2504ACF-25 - Hybrid Stepper Motor,Hybrid Stepper Motor,15599,Medium
FL57STH56-2804AF-01- Hybrid Stepper Motor,Hybrid Stepper Motor,15599,High
MU2 Dol Motor Starter,DOL Starter,26266,High
power tool cm4,Power Tool Carbon Brush,190885,Medium
power tool near delhi cm4,Power Tool Carbon Brush,190885,Medium
crompton-motors,Crompton Motors,446133,High
Voltas AC Outdoor Fan Motor,AC Fan Motor,146600,High
Makita MT-950 Armature By PowerSpeed,Armature,25,High
1500 cfm FAN MOTOR,Exhaust Fan Motor,28080,Medium
230v apex cool 410w exhaust fan motor,Exhaust Fan Motor,28080,High
FL57STH76-2504ACF-ARK Hybrid Stepper Motor,Hybrid Stepper Motor,15599,High
Clogging Test,Clogging Indicator,86235,High
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2104-6AF10-1MB0,Siemens Servo Motors,184102,High
crompton motor 1 hp,Crompton Motors,446133,High
crompton motor near tinsukia 1 hp,Crompton Motors,446133,High
motorized pulley drum motor,Drum Motors,26922,High
crompton motor,Crompton Motors,446133,High
Belimo Damper Fire Actuator,Damper Actuators,183591,High
e42 90w 2850/3450rpm motor single phase,Single Phase Motors,9484,High
Slip Ring Assemblies,Slip Ring Assemblies,141589,High
Siemens DOL Starter,Siemens DOL Starter,654653,High
pmdc gear motor 0-25-hp 25-200rpm 12-180volt,PMDC Motor,52920,Medium
Vertical Motors,Vertical Motors,39037,High
PowerSpeed Armature For Makita 9500 NB,Armature,25,High
side shaft gear motor,Gear Motor,29373,High
FEBRICATION BLOWER 1HP SINGLE PHASE,Blower Motors,23098,Medium
a40k/m566w/g7.2 (60 square pl gear),Stepper Motor,18794,High
1400 rpm single phase 230 v flange mounted 230v apex cool 410w exhaust fan motor,Exhaust Fan Motor,28080,High
crompton 10 hp motor,Crompton Motors,446133,High
foot mounting 1 piece 1440 rpm Single Phase Motors,Single Phase Motors,9484,High
ABB Servo Motors,ABB Servo Motors,193698,High
20 HP Three Phase Electric Motor,Three Phase Electric Motor,52930,High
1FK2104-6AF10-1MB0,Siemens Servo Motors,184102,High
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2106-4AF01-0MA0 2.7 kW,Siemens Servo Motors,184102,High
mil 37 38 diaphragm actuators,Pneumatic Diaphragm Actuator,183588,High
Petrosa starter mini 1 KG,Motor Starter,33567,High
BRUSHLESS MOTOR DYS 1800KV,Brushless Motors,23616,High
Petrosa starter mini 1KG,Motor Starter,33567,High
Petrosa starter mini 3 KG,Motor Starter,33567,Medium
Petrosa starter mini 3KG,Motor Starter,33567,Medium
Weishaupt Burner Servo Motor,Burner Servo Motors,162318,High
Petrosa starter mini 8 KG,Motor Starter,33567,Medium
Petrosa starter mini 8KG,Motor Starter,33567,Medium
apex cool 410w single phase exhaust fan motor,Exhaust Fan Motor,28080,High
danfoss original brand new h1b80/h1b110 motor,Danfoss Hydraulic Motor,203731,High
3 HP Three Phase Induction Motor 960 Rpm,Three Phase Induction Motor,131725,High
gpn gear motor,Gear Motor,29373,High
Dol Motor Starters,DOL Starter,26266,High
Oil Starter Magnet Call,Oil Starter,142116,High
AC MOTAR,AC Motor,444,High
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2204-5AK01-1SB0 0.57 kW,Siemens Servo Motors,184102,High
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2104-4AK01-0SB0 0.06 kW,Siemens Servo Motors,184102,High
50HP Abb Electric Motor,ABB Electric Motor,181114,High
10 hp crompton motor,Crompton Motors,446133,High
PowerSpeed Armature for Gsh-500 Bosch,Power Tool Armature,653304,Medium
SIEMENS SINAMICS S200 Servo Motor 1FL2306-4AC01-0HB0 0.1 kW,Siemens Servo Motors,184102,High
helical gear motor,Helical Geared Motor,43308,High
3330601 Cummins Electronic Fuel Control Actuator,Cummins Actuators,444288,High
Stepper Motor,Stepper Motor,18794,High
desert type copper 32 mm 1 cooler motor,Cooler Motor,52897,High
9067/9069 Makita Armature By PowerSpeed,Armature,25,High
1 2 hp 775 12 v rs775 10000rpm 12v dc motor,DC Motor,445,High
5hp 3phase motor,Three Phase Motor,2415,High
Bharat Benz Aluminium Housing,Aluminium Housings,4693,Medium
lubi three phase induction motors,Three Phase Induction Motor,131725,High
Crane Geared Brake Motor,Geared Brake Motors,44652,High
1400 rpm single phase 230 v 230v apex cool 410w single phase exhaust fan motor,Exhaust Fan Motor,28080,High
12v dc motor,DC Motor,445,High
1400 rpm 230 v apex cool 410w single phase exhaust fan motor,Exhaust Fan Motor,28080,High
Suguna Motor Starter,Motor Starter,33567,High
reverse forward 3 phase 20 3 hp starters,3 Phase Motor Starter,226794,High
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2210-3AC01-0MB0 5.5 kW,Siemens Servo Motors,184102,High
rexroth servo drive,Servo Drives,20912,High
Valve Positioners,Valve Positioners,40629,High
FOOT Mounted Motor (model Gf 6834),Foot Mounted Motor,177266,High
1400 rpm apex cool 410w single phase exhaust fan motor,Exhaust Fan Motor,28080,High
Motor Stater,Motor Starter,33567,High
Paragon Motor Starter,Motor Starter,33567,High
UR006G XGT Brushless Motor Active Feedback Sensing,Brushless Motors,23616,Medium
schubert and salzer positioner,Valve Positioners,40629,High
polisher-motor,Polisher Motor,106938,High
Electric Vibratory Motor,Vibration Motor,2743,High
Abb Electric Motor 50hp 1500 Rpm,ABB Electric Motor,181114,High
SIEMENS SIMOTICS S-1FK2 1FK2106-4AF11-1SA0  servo motor 2.7 kW,Siemens Servo Motors,184102,High
Siemens Face Mounted Induction Motor,Siemens Induction Motors,203372,High
5 HP Three Phase Motor,Three Phase Motor,2415,High
APEX COOL 410W MOTOR,Cooling Tower Motors,131722,Medium
Motar Starter,Motor Starter,33567,High
Siemens 7.5 KW 2 HP Electric Motor,Siemens Electric Motor,184089,High
Unbalance Vibratory Motors,Vibration Motor,2743,High
Sew Brake Motor,Brake Motors,21078,High
ABB Three Phase Induction Motor,ABB Induction Motor,193239,High
Oriental motor,Electric Motor,1274,High
3 phase auto starter,3 Phase Motor Starter,226794,High
Type 200 17 Inch Copper Exhaust Fan Motor,Exhaust Fan Motor,28080,High
Openable Gate Motor,Gate Motor,29337,High
hollow shaft encoder,Hollow Shaft Encoders,30451,High
pbl-right-angled-helical-bevel-geared-motor,PBL Geared Motors,206096,High
SIEMENS SIMOTICS S-1FK2 SERVO MOTER 1FK2106-4AF00-1MA0 2.7 kW,Siemens Servo Motors,184102,High
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2106-4AF00-1SA0  2.7 kW,Siemens Servo Motors,184102,High
Foredom Flex Shaft Motor,Flexible Shaft Motor,189999,High
lift-motor,Lift Motor,77611,High
aira mild steel pneumatic rotary actuator,Pneumatic Rotary Actuators,183587,High
flange type 25 hp motor,Flange Motors,6408,High
3 phase dol motor starter,3 Phase Motor Starter,226794,High
Siemens Three Phase Electric Motor,Siemens Electric Motor,184089,High
Lubi Electrical Motor,Electric Motor,1274,High
Moter stater,Motor Starter,33567,High
HUMSER 12V 10RPM,DC Geared Motor,25556,Medium
geared motor,Gear Motor,29373,High
2285625342 statorhv 2030,Stators,7863,Medium
slipring motor,Slip Ring Motor,37228,High
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2204-5AK10-0SB0 0.12 kW,Siemens Servo Motors,184102,High
Kisrloskar Motar,Kirloskar Electric Motor,185261,High
Gate Motor,Gate Motor,29337,High
vibratory motor,Vibration Motor,2743,High
270Hp Siemens Motor,Siemens Electric Motor,184089,High
bft deimos bt a600 gate motor,Gate Motor,29337,High
Panasonic Servo Motor MHMF042L1U2M  400Watt,Panasonic AC Servo Motor,187161,High
3000 rpm Siemens 1FL6062-1AC61-0AA1 Servo Motor,Siemens Servo Motors,184102,High
fv5029 010,Rotary Actuators,36873,Medium
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2204-5AK01-0SB0 0.57 kW,Siemens Servo Motors,184102,High
fv5029-010,Rotary Actuators,36873,Medium
DC Motor Carbon Brushes,DC Motor Carbon Brushes,133005,High
Three Phase Dol Motor Starter,DOL Starter,26266,High
three phase 2800 rpm 2 0.25 hp electric vibro motor,Three Phase Electric Motor,52930,High
Motor Encoder,Motor Encoder,166373,High
macwell brand motor,Electric Motor,1274,High
macwel brand motor,Electric Motor,1274,High
gearmoter,Gear Motor,29373,High
3 phase 40 hp oil starter,Oil Starter,142116,High
my cool star,Cooler Motor,52897,Medium
DC Shunt Motor,DC Shunt Motor,190648,High
Cooler Motor 1 Inch,Cooler Motor,52897,High
Stirrer Motor,Stirrer Motor,142027,High
Acurater plate,Actuators,3148,High
Weg- Germany 2880RPM Motor,Weg Motor,657268,High
pump-starter,Pump Starter,146491,High
2283752193 motor6v 20a,Electric Motor,1274,Medium
Fanuc AC Servo Motor 0.35kW 6000 A06B-0115-B103 and Pulsecoder,Fanuc Servo Motor,445329,High
PowerSpeed Armature For 9005 N Makita,Armature,25,High
Crompton Motor 10 HP 960 Rpm,Crompton Motors,446133,High
Blower Motors,Blower Motors,23098,High
three phase 2800 rpm 2 0.25 hp single phase vibro motors,Vibration Motor,2743,Medium
AC Induction Motor,AC Induction Motor,21550,High
Siemens 1440RPM Three Phase Flange Motor,Siemens Electric Motor,184089,High
Havells Induction Motors,Havells Induction Motors,203370,High
cast iron general,Cast Iron,24504,High
AC Motor,AC Motor,444,High
20 hp motor,Electric Motor,1274,High
rs 555 high speed dc motor 5000rpm,High Speed Motor,30367,High
dc ware,DC Motor,445,Medium
ABB 50 HP Three Phase Electric Motors,ABB Electric Motor,181114,High
electric-actuator,Electric Actuator,27216,High
dc 12v gear motor,DC Geared Motor,25556,High
CG make  electric motor,Crompton Greaves Motor,126348,High
1le7501‑1bb23‑5aa4,Siemens Servo Motors,184102,High
brush for electronics,Electric Brushes,108128,Medium
SIEMENS SIMOTICS S-1FK2  SERVO MOTOR 1FK2104-6AF11-0MB0 1 kW,Siemens Servo Motors,184102,High
power-tool-carbon-brush,Power Tool Carbon Brush,190885,High
thrive architect latest version,Electric Motor,1274,Medium
Kirloskar make electric motor,Kirloskar Electric Motor,185261,High
SIMOTICS S synchronous motor 1FK7 1FK7081-3BF71-1RB1,Siemens Servo Motors,184102,Medium
Hindustan Geared Motors,Hindustan AC Motor,203386,Medium
vibro shift motor,Vibration Motor,2743,High
Steper Motor,Stepper Motor,18794,High
bonfiglioli riduttori motor be71-b4 230/400-50 ip55 clf b5,Bonfiglioli Geared Motor,193153,Medium
Stater,Starters,7853,High
Motor 160kw,Electric Motor,1274,High
Bharat Bijlee Electric Motor,Bharat Bijlee AC Motor,203388,High
75 HP Crompton Industrial Motors,Crompton Greaves Industrial Motors,193884,High
Double Motor Vacuum Cleaner,Vacuum Cleaner Motors,40749,Medium
synchronous-motor,Synchronous Motor,18917,High
C Beam Linear Actuator,Linear Actuator,32181,High
Siemens Make Electric Motor,Siemens Electric Motor,184089,High
Abb Make Electric Motor,ABB Electric Motor,181114,High
5r/min 1.5w 50/60hz motor,B&R Servo Motors,442571,Medium
Direct Drive Motor For Juki,Hydraulic Drive Motor,29652,High
5hp flour mill motor,Flour Mill Electric Motor,182597,High
Alternator Carbon Brush,Alternator Carbon Brush,106203,High
5hp motor,Electric Motor,1274,High
Vane Type Hydraulic Motor,Vane Type Hydraulic Motor,19908,High
Crompton Industrial Motors 75 hp,Crompton Greaves Industrial Motors,193884,High
11KW Kirloskar Electric Motor,Kirloskar Electric Motor,185261,High
3 phase 2 piece l&t Motor Starter,3 Phase Motor Starter,226794,High
DOL STRTERS,DOL Starter,26266,High
ng80,Three Phase Motor,2415,Medium
general electric sfk01,General Electric AC Motors,181196,High
Heavy Duty Rotary Air Motor,Air Motors,21680,Medium
ac motor indoor,Air Conditioner Motor,186009,High
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2106-4AF00-0SA0 2.7 kW,Siemens Servo Motors,184102,High
dc-motor-spare,DC Motor Spare,188276,High
Motor Parts,Motor Parts,150022,High
वाइब्रो शिफ्ट मोटर,Vibration Motor,2743,High
Marathon Electric Motor,Marathon Electric Motor,181116,High
Shakti Dol Starter,DOL Starter,26266,High
2 HP single phase,Single Phase Motors,9484,High
6ik180gu 240 w motor,AC Geared Motor,21549,High
Telemetry Encoder Unit,Motor Encoder,166373,Medium
dc-geared-motor,DC Geared Motor,25556,High
Motorized Actuators,Motorized Actuators,167393,High
Dc Brake For Electric Motor,Brake Motors,21078,High
desert type aluminum 32 mm 1 inch kit cooler motor,Cooler Motor,52897,High
1.5 kw crompton single phase motor,Single Phase Motors,9484,High
ac motor 20w,AC Motor,444,High
Dc fan motor,Fan Motor,28231,High
ac motor 10w,AC Motor,444,High
10hp motor,Electric Motor,1274,High
6FC5357-0BA11-1AE0,Siemens Servo Motors,184102,Medium
Indigo Self Armature,Self Armature,443618,High
leadshine l7 series servo ac servo motor,AC Servo Motor,14970,High
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2204-5AK10-0MB0 0.57 kW,Siemens Servo Motors,184102,High
10m3flow rate 30 mtr headpumpwith motor,Pump Head,137593,Medium
Traction Motor,Lift Motor,77611,High
Leadshine L7 Series 750W AC Servo Motor and Driver Kit,AC Servo Motor,14970,Medium
Dol Motor Starters Paragon,DOL Starter,26266,High
SIEMENS SIMOTICS S-1FK2  SERVO MOTOR 1FK2104-6AF11-0MB0,Siemens Servo Motors,184102,High
3 phase motor start,3 Phase Motor Starter,226794,High
oil-filled 3 hp 25 single phase motor starter,Single Phase Motor Starter,226793,High
SMC Electric Actuator,SMC Actuators,203381,High
1FK2104-6AF11-0MB0,Siemens Servo Motors,184102,High
digital dol starter,DOL Starter,26266,High
Slider Type Electric Actuator,Electric Actuator,27216,High
seedprod latest version,Electric Motor,1274,Medium
Siemens 75 HP Foot Mounted Electric Motors,Siemens Electric Motor,184089,High
Grow art 3 phase hybrid,Hybrid Stepper Motor,15599,Medium
gbru 1 min auto switch,Automotive Switches,27,High
SIEMENS SIMOTICS S-1FK2 SERVO  MOTOR 1FK2106-4AF00-0MA0 2.7 kW,Siemens Servo Motors,184102,High
armature,Armature,25,High
ecma-ca1010ss delta servo motor,Delta Servo Motors,193996,High
table fan motor,Fan Motor,28231,High
20W ALUMINUM HOUSING,Aluminium Housings,4693,High
motor panvel,Electric Motor,1274,High
40 HP  Siemens Electric Motors,Siemens Electric Motor,184089,High
hindustan package,Hindustan AC Motor,203386,High
Electric Sliding Gate Motor,Electric Sliding Gate Motor,52905,High
800 RPM Electric Sliding Gate Motor,Electric Sliding Gate Motor,52905,High
HF-SP152 servo motor mitsubishi,Mitsubishi Servo Motors,184101,High
1000 RPM Electric Sliding Gate Motor,Electric Sliding Gate Motor,52905,High
Gear and Vane Motors,Air Vane Motor,84523,High
high power mini dc water motors project,DC Motor,445,Medium
high power mini dc water motors for project near badlapur,DC Motor,445,Medium
775 dc motor bihpuri,DC Motor,445,High
775 dc motor near agra bichpuri,DC Motor,445,High
24v dc coffee machine motor,Coffee Vending Machine Parts,139261,High
Crompton Geared Motor,Helical Geared Motor,43308,Medium
l&t three phase motor starter,Motor Starter,33567,High
Servo Motor & Variac Motor,Servo Motor,448,High
Siemens Electric Motors 40 Hp,Siemens Electric Motor,184089,High
3 phase motor starter without oil automatic,3 Phase Motor Starter,226794,High
3 phase motor starter near jodhpur without oilautomatic,3 Phase Motor Starter,226794,High
HP400 Siemens Motor,Siemens Electric Motor,184089,High
Flange Motors,Flange Motors,6408,High
Sew Eurodrive CMP50M AC Synchronous Motor,Sew Eurodrive Servo Motors,203188,High
2 hp flange motor,Flange Motors,6408,High
3 phase motor starter oil free automatic,3 Phase Motor Starter,226794,High
3 phase motor starter near jodhpur oil freee automatic,3 Phase Motor Starter,226794,High
ABB MOTOR 200KW 270HP 1500RPM FOOT IE2,ABB Electric Motor,181114,High
bonfiglioli brake motor,Brake Motors,21078,High
1 piece ABB Soft Starters,ABB Soft Starters,220182,High
kenstar desert air cooler motor,Kenstar Air Cooler,178783,Medium
Marathon 1hp motor single phase,Marathon Electric Motor,181116,Medium
Make - Marathon 1hp motor single phase,Single Phase Motors,9484,Medium
Vibro Sifter Motor,Vibration Motor,2743,High
kirloskar electric motor 10 hp 960 rpm,Kirloskar Electric Motor,185261,High
desert cooler motor,Cooler Motor,52897,High
Exhaust Fan Motor,Exhaust Fan Motor,28080,High
nord gearbox spares,Gearbox Parts,11957,High
MGM Varvel Brake Motor,Brake Motors,21078,High
AC Electric Motor,AC Motor,444,High
Motor Starter .,Motor Starter,33567,High
c&s dol starter 15hp,DOL Starter,26266,High
c&s dol starter 15hp near delhi,DOL Starter,26266,High
10w deep freezer motor,Refrigerator Motor,186074,High
bell crack assembly,Bell Housing,136623,Medium
Simensh Hp400 Rpm1440,Siemens Electric Motor,184089,Medium
StarDental Starter,Star Delta Starter,653300,High
Start Dental Starter,Starters,7853,Medium
Explosion Proof Electric Motor,Explosion Proof Motors,28119,High
Industrial dc motor,DC Motor,445,High
High Torque Square Geared Motor,Torque Motor,19705,High
सर्वो मोटर सप्लायर,Servo Motor,448,High
borewell 2h starter,Motor Starter,33567,High
SIEMENS SIMOTICS S-1FK2 SERVO MOTER 1FK2106-3AF11-1SA0 2.3 kW,Siemens Servo Motors,184102,High
Crompton Induction Motors,Crompton Induction Motors,203369,High
nema 17 0.9 degree,Stepper Motor,18794,High
ABB Auto- Lek Ail 94022 A Solenoid Switch,Solenoid Switches,7646,High
Three phase,Three Phase Electric Motor,52930,Medium
nema 17 0.9 degree 22mm lenth,Hybrid Stepper Motor,15599,Medium
New Series Allen Bradley Soft Starter,Allen Bradley Soft Starters,220186,High
1 for business use piece ABB Soft Starters,ABB Soft Starters,220182,High
bolero ac motor,AC Motor,444,High
150c43nbd smc3 soft starter,Allen Bradley Soft Starters,220186,High
lt mk1 dol motor starter,L&T DOL Starter,654303,High
Eaton Orbital Motor,Orbital Motor,52919,High
automatic gate motor,Automatic Door Motor,52891,High
Door Motor .,Door Motor,52902,High
23a paramoon motor starter,3 Phase Motor Starter,226794,High
electrical motor for boats,Electric Motor,1274,High
SIEMENS SIMOTICS S-1FK2  SERVO MOTOR 1FK2104-5AF00-1SB0 0.75 kW,Siemens Servo Motors,184102,High
Absolute Shaft Encoder,Absolute Encoders,21534,High
Permanent Magnet. tech,Permanent Magnet Motor,1275,Medium
INVT Servo Motor,Servo Motor,448,High
1.5 KW Halcyon Three Phase Induction Motor,Three Phase Induction Motor,131725,High
5 sliding piece 800 kg Gate Motor,Electric Sliding Gate Motor,52905,High
Synchronous Transformer,Synchronous Motor,18917,High
FHP Motor,FHP Motor,446,High
5HP Single Phase Buffing Machine Motor,Polisher Motor,106938,High
Motor Brakes,Motor Brakes,33323,High
1hp three phase ac vibration motor,Vibration Motor,2743,High
Explosion Proof Motors,Explosion Proof Motors,28119,High
Aei/Marathon Motor Brush Holder,Carbon Brush Holder,55772,High
75 Hp Induction Motor,Induction Motors,10971,High
Squirrel Cage Motors,Squirrel Cage Motors,38675,High
Pneumatic Diaphragm Actuator,Pneumatic Diaphragm Actuator,183588,High
3 phase motor starter oil free,3 Phase Motor Starter,226794,High
3 phase motor starter near jodhpur oil free,3 Phase Motor Starter,226794,High
12 Inch 3000W Scooter Brushless DC Wheel Hub Motor Controller,Brushless DC Motor,15240,Medium
helical geared motor 2hp,Helical Geared Motor,43308,High
helical geared motor 2hp near hyderabad,Helical Geared Motor,43308,High
deep electricals vibrator motor,Vibration Motor,2743,High
Single Phase Digital Motor Starter,Single Phase Motor Starter,226793,High
motor starter spark,Motor Starter,33567,Medium
Copper Carbon Brush For Slipring Motor,Carbon Brush,903,High
750 rpm 1 0.18 kw marathon electric motor,Marathon Electric Motor,181116,High
Moving Magnetic Linear Motor,Linear Motor,17163,High
Abb Used Ac Motors,ABB Electric Motor,181114,High
5 In 1 Magic Brush,Electric Brushes,108128,High
Bonfiglioli A Series Gear Motor,Bonfiglioli Geared Motor,193153,High
Industrial Electric Motor,Industrial Motors,52915,High
High Speed Motor,High Speed Motor,30367,High
7.5 kw 10 hp havells induction motor,Havells Induction Motors,203370,High
Industrial%20Motors,Industrial Motors,52915,High
Industrial%20Electric Motor,Industrial Motors,52915,High
