query,ground_truth_count,qmeans_attr_count,gemini_attr_count,gemma_attr_count,groundtruth_attr_key_1,groundtruth_attr_value_1,groundtruth_attr_key_2,groundtruth_attr_value_2,groundtruth_attr_key_3,groundtruth_attr_value_3,groundtruth_attr_key_4,groundtruth_attr_value_4,groundtruth_attr_key_5,groundtruth_attr_value_5,groundtruth_attr_key_6,groundtruth_attr_value_6,groundtruth_attr_key_7,groundtruth_attr_value_7,groundtruth_attr_key_8,groundtruth_attr_value_8,groundtruth_attr_key_9,groundtruth_attr_value_9,qmeans_attr_key_1,qmeans_attr_value_1,gemini_attr_key_1,gemini_attr_value_1,gemma_attr_key_1,gemma_attr_value_1,qmeans_attr_key_2,qmeans_attr_value_2,gemini_attr_key_2,gemini_attr_value_2,gemma_attr_key_2,gemma_attr_value_2,qmeans_attr_key_3,qmeans_attr_value_3,gemini_attr_key_3,gemini_attr_value_3,gemma_attr_key_3,gemma_attr_value_3,qmeans_attr_key_4,qmeans_attr_value_4,gemini_attr_key_4,gemini_attr_value_4,gemma_attr_key_4,gemma_attr_value_4,qmeans_attr_key_5,qmeans_attr_value_5,gemini_attr_key_5,gemini_attr_value_5,gemma_attr_key_5,gemma_attr_value_5,qmeans_attr_key_6,qmeans_attr_value_6,gemini_attr_key_6,gemini_attr_value_6,gemma_attr_key_6,gemma_attr_value_6,qmeans_attr_key_7,qmeans_attr_value_7,gemini_attr_key_7,gemini_attr_value_7,gemma_attr_key_7,gemma_attr_value_7,qmeans_attr_key_8,qmeans_attr_value_8,gemini_attr_key_8,gemini_attr_value_8,gemma_attr_key_8,gemma_attr_value_8,qmeans_attr_key_9,qmeans_attr_value_9,gemini_attr_key_9,gemini_attr_value_9,gemma_attr_key_9,gemma_attr_value_9,COUNT_MATCH,HIGH_COUNT,qmeans_vs_gemini_attr_1_key_match,qmeans_vs_gemini_attr_1_value_match,qmeans_vs_gemini_attr_2_key_match,qmeans_vs_gemini_attr_2_value_match,qmeans_vs_gemini_attr_3_key_match,qmeans_vs_gemini_attr_3_value_match,qmeans_vs_gemini_attr_4_key_match,qmeans_vs_gemini_attr_4_value_match,qmeans_vs_gemini_attr_5_key_match,qmeans_vs_gemini_attr_5_value_match,qmeans_vs_gemini_attr_6_key_match,qmeans_vs_gemini_attr_6_value_match,qmeans_vs_gemini_attr_7_key_match,qmeans_vs_gemini_attr_7_value_match,qmeans_vs_gemini_attr_8_key_match,qmeans_vs_gemini_attr_8_value_match,qmeans_vs_gemini_attr_9_key_match,qmeans_vs_gemini_attr_9_value_match,gemini_vs_qmeans_attr_1_key_match,gemini_vs_qmeans_attr_1_value_match,gemini_vs_qmeans_attr_2_key_match,gemini_vs_qmeans_attr_2_value_match,gemini_vs_qmeans_attr_3_key_match,gemini_vs_qmeans_attr_3_value_match,gemini_vs_qmeans_attr_4_key_match,gemini_vs_qmeans_attr_4_value_match,gemini_vs_qmeans_attr_5_key_match,gemini_vs_qmeans_attr_5_value_match,gemini_vs_qmeans_attr_6_key_match,gemini_vs_qmeans_attr_6_value_match,gemini_vs_qmeans_attr_7_key_match,gemini_vs_qmeans_attr_7_value_match,gemini_vs_qmeans_attr_8_key_match,gemini_vs_qmeans_attr_8_value_match,gemini_vs_qmeans_attr_9_key_match,gemini_vs_qmeans_attr_9_value_match,groundtruth_vs_qmeans_attr_1_key_match,groundtruth_vs_qmeans_attr_1_value_match,groundtruth_vs_qmeans_attr_2_key_match,groundtruth_vs_qmeans_attr_2_value_match,groundtruth_vs_qmeans_attr_3_key_match,groundtruth_vs_qmeans_attr_3_value_match,groundtruth_vs_qmeans_attr_4_key_match,groundtruth_vs_qmeans_attr_4_value_match,groundtruth_vs_qmeans_attr_5_key_match,groundtruth_vs_qmeans_attr_5_value_match,groundtruth_vs_qmeans_attr_6_key_match,groundtruth_vs_qmeans_attr_6_value_match,groundtruth_vs_qmeans_attr_7_key_match,groundtruth_vs_qmeans_attr_7_value_match,groundtruth_vs_qmeans_attr_8_key_match,groundtruth_vs_qmeans_attr_8_value_match,groundtruth_vs_qmeans_attr_9_key_match,groundtruth_vs_qmeans_attr_9_value_match,groundtruth_vs_gemini_attr_1_key_match,groundtruth_vs_gemini_attr_1_value_match,groundtruth_vs_gemini_attr_2_key_match,groundtruth_vs_gemini_attr_2_value_match,groundtruth_vs_gemini_attr_3_key_match,groundtruth_vs_gemini_attr_3_value_match,groundtruth_vs_gemini_attr_4_key_match,groundtruth_vs_gemini_attr_4_value_match,groundtruth_vs_gemini_attr_5_key_match,groundtruth_vs_gemini_attr_5_value_match,groundtruth_vs_gemini_attr_6_key_match,groundtruth_vs_gemini_attr_6_value_match,groundtruth_vs_gemini_attr_7_key_match,groundtruth_vs_gemini_attr_7_value_match,groundtruth_vs_gemini_attr_8_key_match,groundtruth_vs_gemini_attr_8_value_match,groundtruth_vs_gemini_attr_9_key_match,groundtruth_vs_gemini_attr_9_value_match,qmeans_vs_gemma_attr_1_key_match,qmeans_vs_gemma_attr_1_value_match,qmeans_vs_gemma_attr_2_key_match,qmeans_vs_gemma_attr_2_value_match,qmeans_vs_gemma_attr_3_key_match,qmeans_vs_gemma_attr_3_value_match,qmeans_vs_gemma_attr_4_key_match,qmeans_vs_gemma_attr_4_value_match,qmeans_vs_gemma_attr_5_key_match,qmeans_vs_gemma_attr_5_value_match,qmeans_vs_gemma_attr_6_key_match,qmeans_vs_gemma_attr_6_value_match,qmeans_vs_gemma_attr_7_key_match,qmeans_vs_gemma_attr_7_value_match,qmeans_vs_gemma_attr_8_key_match,qmeans_vs_gemma_attr_8_value_match,qmeans_vs_gemma_attr_9_key_match,qmeans_vs_gemma_attr_9_value_match,gemma_vs_qmeans_attr_1_key_match,gemma_vs_qmeans_attr_1_value_match,gemma_vs_qmeans_attr_2_key_match,gemma_vs_qmeans_attr_2_value_match,gemma_vs_qmeans_attr_3_key_match,gemma_vs_qmeans_attr_3_value_match,gemma_vs_qmeans_attr_4_key_match,gemma_vs_qmeans_attr_4_value_match,gemma_vs_qmeans_attr_5_key_match,gemma_vs_qmeans_attr_5_value_match,gemma_vs_qmeans_attr_6_key_match,gemma_vs_qmeans_attr_6_value_match,gemma_vs_qmeans_attr_7_key_match,gemma_vs_qmeans_attr_7_value_match,gemma_vs_qmeans_attr_8_key_match,gemma_vs_qmeans_attr_8_value_match,gemma_vs_qmeans_attr_9_key_match,gemma_vs_qmeans_attr_9_value_match,gemini_vs_gemma_attr_1_key_match,gemini_vs_gemma_attr_1_value_match,gemini_vs_gemma_attr_2_key_match,gemini_vs_gemma_attr_2_value_match,gemini_vs_gemma_attr_3_key_match,gemini_vs_gemma_attr_3_value_match,gemini_vs_gemma_attr_4_key_match,gemini_vs_gemma_attr_4_value_match,gemini_vs_gemma_attr_5_key_match,gemini_vs_gemma_attr_5_value_match,gemini_vs_gemma_attr_6_key_match,gemini_vs_gemma_attr_6_value_match,gemini_vs_gemma_attr_7_key_match,gemini_vs_gemma_attr_7_value_match,gemini_vs_gemma_attr_8_key_match,gemini_vs_gemma_attr_8_value_match,gemini_vs_gemma_attr_9_key_match,gemini_vs_gemma_attr_9_value_match,gemma_vs_gemini_attr_1_key_match,gemma_vs_gemini_attr_1_value_match,gemma_vs_gemini_attr_2_key_match,gemma_vs_gemini_attr_2_value_match,gemma_vs_gemini_attr_3_key_match,gemma_vs_gemini_attr_3_value_match,gemma_vs_gemini_attr_4_key_match,gemma_vs_gemini_attr_4_value_match,gemma_vs_gemini_attr_5_key_match,gemma_vs_gemini_attr_5_value_match,gemma_vs_gemini_attr_6_key_match,gemma_vs_gemini_attr_6_value_match,gemma_vs_gemini_attr_7_key_match,gemma_vs_gemini_attr_7_value_match,gemma_vs_gemini_attr_8_key_match,gemma_vs_gemini_attr_8_value_match,gemma_vs_gemini_attr_9_key_match,gemma_vs_gemini_attr_9_value_match,groundtruth_vs_gemma_attr_1_key_match,groundtruth_vs_gemma_attr_1_value_match,groundtruth_vs_gemma_attr_2_key_match,groundtruth_vs_gemma_attr_2_value_match,groundtruth_vs_gemma_attr_3_key_match,groundtruth_vs_gemma_attr_3_value_match,groundtruth_vs_gemma_attr_4_key_match,groundtruth_vs_gemma_attr_4_value_match,groundtruth_vs_gemma_attr_5_key_match,groundtruth_vs_gemma_attr_5_value_match,groundtruth_vs_gemma_attr_6_key_match,groundtruth_vs_gemma_attr_6_value_match,groundtruth_vs_gemma_attr_7_key_match,groundtruth_vs_gemma_attr_7_value_match,groundtruth_vs_gemma_attr_8_key_match,groundtruth_vs_gemma_attr_8_value_match,groundtruth_vs_gemma_attr_9_key_match,groundtruth_vs_gemma_attr_9_value_match
"semi-automatic mild steel oleoresin extraction plant, capacity: 50 tpd, voltage: 400 v, phase: three phase",6,3,5,3,automation grade,semi-automatic,body material,mild steel,capacity,50 tpd,phase,three phase,product,oleoresin extraction plant,voltage,400 v,,,,,,,capacity,50 tpd,automation grade,semi-automatic,automation_type,semi-automatic,material,mild steel,body material,mild steel,design_type,"oleoresin extraction plant, capacity: 50 tpd, voltage: 400 v, phase: three phase",usage,oleoresin extraction,capacity,50 tpd,material,mild steel,,,phase,three phase,,,,,voltage,400 v,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,gemini,TRUE,TRUE,FALSE,NA,FALSE,NA,,,,,,,,,,,,,FALSE,NA,FALSE,NA,TRUE,TRUE,FALSE,NA,FALSE,NA,,,,,,,,,FALSE,NA,FALSE,NA,TRUE,TRUE,FALSE,NA,FALSE,NA,FALSE,NA,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,NA,TRUE,TRUE,,,,,,,FALSE,NA,TRUE,TRUE,FALSE,NA,,,,,,,,,,,,,FALSE,NA,FALSE,NA,TRUE,TRUE,,,,,,,,,,,,,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,,,,,,,,,FALSE,NA,FALSE,NA,FALSE,NA,,,,,,,,,,,,,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,,,,,,
solid phase extraction system,1,1,0,1,product,solid phase extraction system,,,,,,,,,,,,,,,,,product,extraction,,,type,solid phase extraction system,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,"qmeans,gemma",FALSE,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,,,,,,,,,,,,,,,,,FALSE,NA,,,,,,,,,,,,,,,,,FALSE,NA,,,,,,,,,,,,,,,,,FALSE,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,NA,,,,,,,,,,,,,,,,,FALSE,NA,,,,,,,,,,,,,,,,
stainless steel copper extraction plant,2,2,2,3,body material,stainless steel,product,copper extraction plant,,,,,,,,,,,,,,,material,stainless steel,body material,stainless steel,container_material,stainless steel,usage,copper extraction,wire material,copper,herbal,extraction plant,,,,,types_of_metal,copper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,gemma,FALSE,NA,FALSE,NA,,,,,,,,,,,,,,,FALSE,NA,FALSE,NA,,,,,,,,,,,,,,,FALSE,NA,FALSE,NA,,,,,,,,,,,,,,,TRUE,TRUE,FALSE,NA,,,,,,,,,,,,,,,FALSE,NA,FALSE,NA,,,,,,,,,,,,,,,FALSE,NA,FALSE,NA,FALSE,NA,,,,,,,,,,,,,FALSE,NA,FALSE,NA,,,,,,,,,,,,,,,FALSE,NA,FALSE,NA,FALSE,NA,,,,,,,,,,,,,FALSE,NA,FALSE,NA,,,,,,,,,,,,,,
"double die extruder for laboratory use, 50 ton, 415 v, labh group brand",5,2,3,5,brand,labh group,capacity,50 ton,product,double die extruder,usage/application,laboratory,voltage,415 v,,,,,,,,,capacity,50 ton,industry type,laboratory,application_use,for laboratory use,usage,laboratory,voltage,415 v,brand,labh group brand,,,weight,50 ton,screw_torque,50 ton,,,,,type,double die extruder,,,,,voltage,415 v,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,gemma,FALSE,NA,FALSE,NA,,,,,,,,,,,,,,,FALSE,NA,FALSE,NA,FALSE,NA,,,,,,,,,,,,,FALSE,NA,TRUE,TRUE,FALSE,NA,FALSE,NA,FALSE,NA,,,,,,,,,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,TRUE,,,,,,,,,FALSE,NA,FALSE,NA,,,,,,,,,,,,,,,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,,,,,,,,,FALSE,NA,TRUE,TRUE,FALSE,NA,,,,,,,,,,,,,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,TRUE,,,,,,,,,TRUE,FALSE,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,TRUE,,,,,,,,
gold star herbal extraction plant 25 kg,3,3,3,4,brand,gold star,capacity,25 kg,product,herbal extraction plant,,,,,,,,,,,,,brand,gold star,brand,gold star,brand,gold,capacity,25 kg,capacity,25 kg,capacity,25 kg,product,herbal,usage/application,herbal extraction,design_type,star,,,,,herbal,herbal extraction plant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,gemma,TRUE,TRUE,TRUE,TRUE,FALSE,NA,,,,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,FALSE,NA,,,,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,FALSE,NA,,,,,,,,,,,,,TRUE,FALSE,TRUE,TRUE,FALSE,NA,,,,,,,,,,,,,TRUE,FALSE,TRUE,TRUE,FALSE,NA,FALSE,NA,,,,,,,,,,,TRUE,FALSE,TRUE,TRUE,FALSE,NA,,,,,,,,,,,,,TRUE,FALSE,TRUE,TRUE,FALSE,NA,FALSE,NA,,,,,,,,,,,TRUE,FALSE,TRUE,TRUE,FALSE,NA,,,,,,,,,,,,
100 kg single phase centrifuge extractor,3,3,2,3,capacity,100 kg,phase,single phase,product,centrifuge extractor,,,,,,,,,,,,,capacity,100 kg,capacity(kg),100 kg,capacity,100 kg,phase,single phase,phase,single phase,electricity_connection,single phase,product,centrifuge extractor,,,extractor_type,centrifuge extractor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,"qmeans,gemma",FALSE,NA,TRUE,TRUE,FALSE,NA,,,,,,,,,,,,,FALSE,NA,TRUE,TRUE,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,FALSE,NA,TRUE,TRUE,FALSE,NA,,,,,,,,,,,,,TRUE,TRUE,FALSE,NA,FALSE,NA,,,,,,,,,,,,,TRUE,TRUE,FALSE,NA,FALSE,NA,,,,,,,,,,,,,FALSE,NA,FALSE,NA,,,,,,,,,,,,,,,FALSE,NA,FALSE,NA,FALSE,NA,,,,,,,,,,,,,TRUE,TRUE,FALSE,NA,FALSE,NA,,,,,,,,,,,,
"high quality semi-automatic solvent extraction plant single screw type, 500 kg/hr, 415 v supply, 3 phase, hdpe body, rajco brand for industrial",9,5,7,8,automation grade,semi-automatic,body material,hdpe,brand,rajco,capacity,500 kg/hr,phase,3 phase,product,solvent extraction plant,screw design,single screw,usage/application,industrial,voltage,415 v,automation grade,semi-automatic,automation grade,semi-automatic,automation_grade,semi-automatic,brand,rajco,body material,hdpe,capacity,500 kg/hr,capacity,500 kg/hr,brand,rajco,extraction_plant,solvent extraction plant,material,hdpe,phase,three phase,finish_type,high quality,usage,industrial,production capacity,500 kg/hr,material_used,"hdpe body, rajco brand",,,usage/application,industrial,power_supply,"415 v supply, 3 phase",,,voltage,415 v,screw_design,single screw type,,,,,usage,for industrial,,,,,,,FALSE,gemma,TRUE,TRUE,TRUE,TRUE,FALSE,NA,FALSE,NA,FALSE,NA,,,,,,,,,TRUE,TRUE,FALSE,NA,TRUE,TRUE,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,,,,,TRUE,TRUE,FALSE,NA,TRUE,TRUE,TRUE,TRUE,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,NA,TRUE,FALSE,FALSE,NA,FALSE,NA,TRUE,TRUE,TRUE,TRUE,FALSE,NA,FALSE,NA,TRUE,TRUE,FALSE,NA,TRUE,FALSE,,,,,,,,,FALSE,NA,TRUE,TRUE,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,FALSE,,,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,,,,,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,,,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,TRUE,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
"oleoresin extraction plant - single screw design, 50 tpd output, 415 v, single phase, ss 304 construction, gold star brand, fully automatic operation",8,1,6,7,automation grade,fully automatic,body material,ss 304,brand,gold star,capacity,50 tpd,phase,single phase,product,oleoresin extraction plant,screw design,single screw,voltage,415 v,,,brand,gold star,automation grade,fully automatic,brand,"gold star brand, fully automatic operation",,,brand,gold star,capacity,50 tpd output,,,capacity,50 tpd,electricity_connection,single phase,,,material grade,ss 304,material_of_construction,ss 304 construction,,,phase,single phase,screw_design,- single screw design,,,voltage,415 v,type,oleoresin extraction plant,,,,,voltage,415 v,,,,,,,,,,,,,FALSE,gemma,TRUE,TRUE,,,,,,,,,,,,,,,,,FALSE,NA,TRUE,TRUE,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,,,,,,,FALSE,NA,FALSE,NA,TRUE,TRUE,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,,,TRUE,TRUE,FALSE,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,NA,FALSE,NA,TRUE,TRUE,,,TRUE,FALSE,,,,,,,,,,,,,,,,,TRUE,FALSE,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,,,,,FALSE,NA,TRUE,FALSE,TRUE,FALSE,FALSE,NA,FALSE,NA,TRUE,TRUE,,,,,,,TRUE,FALSE,TRUE,FALSE,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,TRUE,,,,,FALSE,NA,FALSE,NA,TRUE,FALSE,TRUE,FALSE,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,TRUE,,
ldpe blown film machine 10 hp motor 1 ton,3,3,2,3,capacity,1 ton,motor power,10 hp,product,ldpe blown film machine,,,,,,,,,,,,,capacity,1 ton,motor power,10 hp,feed_motor,10 hp motor,material,ldpe,weight,1 ton,machine_weight,1 ton,motor power,10 hp,,,type,ldpe blown film machine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,"qmeans,gemma",FALSE,NA,FALSE,NA,TRUE,TRUE,,,,,,,,,,,,,TRUE,TRUE,FALSE,NA,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,FALSE,NA,,,,,,,,,,,,,FALSE,NA,TRUE,TRUE,FALSE,NA,,,,,,,,,,,,,FALSE,NA,FALSE,NA,FALSE,NA,,,,,,,,,,,,,FALSE,NA,FALSE,NA,FALSE,NA,,,,,,,,,,,,,FALSE,NA,FALSE,NA,,,,,,,,,,,,,,,FALSE,NA,FALSE,NA,FALSE,NA,,,,,,,,,,,,,FALSE,NA,FALSE,NA,FALSE,NA,,,,,,,,,,,,
aba blown film machine 380 v 1 phase,3,2,3,3,phase,1 phase,product,aba blown film machine,voltage,380 v,,,,,,,,,,,,,phase,1 phase,phase,1 phase,name,aba blown film machine,voltage,380 v,type,3 layer blown film machine,phase,1 phase,,,voltage,380 v,power_v,380 v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,"gemini,gemma",TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,TRUE,TRUE,FALSE,NA,TRUE,TRUE,,,,,,,,,,,,,TRUE,TRUE,FALSE,NA,TRUE,TRUE,,,,,,,,,,,,,TRUE,TRUE,FALSE,NA,TRUE,TRUE,,,,,,,,,,,,,TRUE,TRUE,FALSE,NA,,,,,,,,,,,,,,,FALSE,NA,TRUE,TRUE,FALSE,NA,,,,,,,,,,,,,TRUE,TRUE,FALSE,NA,FALSE,NA,,,,,,,,,,,,,FALSE,NA,TRUE,TRUE,FALSE,NA,,,,,,,,,,,,,TRUE,TRUE,FALSE,NA,FALSE,NA,,,,,,,,,,,,
solid phase extraction system 3 kw motor 20 kg,3,1,3,3,capacity,20 kg,motor power,3 kw,product,solid phase extraction system,,,,,,,,,,,,,power,3 kw,capacity(kg),20 kg,capacity,20 kg,,,model name/number,solid phase extraction positive pressure,power,3 kw motor,,,power,3 kw,product_name,solid phase extraction system,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,"gemini,gemma",TRUE,TRUE,,,,,,,,,,,,,,,,,FALSE,NA,FALSE,NA,TRUE,TRUE,,,,,,,,,,,,,FALSE,NA,FALSE,NA,FALSE,NA,,,,,,,,,,,,,FALSE,NA,FALSE,NA,FALSE,NA,,,,,,,,,,,,,TRUE,FALSE,,,,,,,,,,,,,,,,,FALSE,NA,TRUE,FALSE,FALSE,NA,,,,,,,,,,,,,FALSE,NA,FALSE,NA,TRUE,FALSE,,,,,,,,,,,,,FALSE,NA,TRUE,FALSE,FALSE,NA,,,,,,,,,,,,,TRUE,TRUE,FALSE,NA,FALSE,NA,,,,,,,,,,,,
"fully automatic basket extruder for agricultural applications, 5 kg capacity, 220 v voltage rating, single phase power supply, cast iron body",7,6,6,6,automation grade,fully automatic,body material,cast iron,capacity,5 kg,phase,single phase,product,basket extruder,usage/application,agricultural,voltage,220 v,,,,,automation grade,automatic,automation grade,fully automatic,functional,fully automatic,capacity,5 kg,body material,cast iron,material,cast iron body,material,cast iron,capacity,5 kg,silvet_gold_refine_machine,5 kg capacity,model name/number,basket extruder,phase,single phase,type,basket extruder,phase,single phase,usage/application,industrial,usage,for agricultural applications,usage,agricultural,voltage,220 v,voltage,"220 v voltage rating, single phase power supply",,,,,,,,,,,,,,,,,,,TRUE,"qmeans,gemini,gemma",TRUE,FALSE,TRUE,TRUE,FALSE,NA,FALSE,NA,TRUE,TRUE,FALSE,NA,,,,,,,TRUE,FALSE,FALSE,NA,TRUE,TRUE,TRUE,TRUE,FALSE,NA,FALSE,NA,,,,,,,TRUE,FALSE,FALSE,NA,TRUE,TRUE,TRUE,TRUE,FALSE,NA,FALSE,NA,FALSE,NA,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,NA,TRUE,FALSE,TRUE,TRUE,,,,,FALSE,NA,FALSE,NA,TRUE,FALSE,FALSE,NA,FALSE,NA,TRUE,FALSE,,,,,,,FALSE,NA,TRUE,FALSE,FALSE,NA,FALSE,NA,TRUE,FALSE,FALSE,NA,,,,,,,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,FALSE,,,,,,,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,FALSE,,,,,,,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,FALSE,,,,
single die extruder with 3 hp power 380 v,3,4,3,3,power,3 hp,product,single die extruder,voltage,380 v,,,,,,,,,,,,,motor power,3 hp,die type,single die,die,single die,number of dies,single die,motor power,3 hp,type,extruder with 3 hp power,type,extruder,voltage,380 v,voltage,380 v,voltage,380 v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,qmeans,TRUE,TRUE,FALSE,NA,FALSE,NA,TRUE,TRUE,,,,,,,,,,,FALSE,NA,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,FALSE,NA,FALSE,NA,TRUE,TRUE,,,,,,,,,,,,,FALSE,NA,FALSE,NA,TRUE,TRUE,,,,,,,,,,,,,FALSE,NA,FALSE,NA,TRUE,FALSE,TRUE,TRUE,,,,,,,,,,,FALSE,NA,TRUE,FALSE,TRUE,TRUE,,,,,,,,,,,,,FALSE,NA,FALSE,NA,TRUE,TRUE,,,,,,,,,,,,,FALSE,NA,FALSE,NA,TRUE,TRUE,,,,,,,,,,,,,FALSE,NA,FALSE,NA,TRUE,TRUE,,,,,,,,,,,,
"jockey extruder machine specifications - brand: gold star, capacity: 1 tpd, voltage: 440 v, phase: single phase, body material: mild steel, automation: semi-automatic",7,2,6,2,automation grade,semi-automatic,body material,mild steel,brand,gold star,capacity,1 tpd,phase,single phase,product,jockey extruder,voltage,440 v,,,,,automation grade,semi-automatic,automation grade,semi-automatic,features,"machine specifications - brand: gold star, capacity: 1 tpd, voltage: 440 v, phase: single phase, body material: mild steel, automation: semi-automatic",brand,jockey,body material,mild steel,type,jockey extruder,,,brand,gold star,,,,,capacity,1 tpd,,,,,phase,single phase,,,,,voltage,440 v,,,,,,,,,,,,,,,,,,,,,FALSE,gemini,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,,,,,TRUE,TRUE,FALSE,NA,TRUE,FALSE,FALSE,NA,FALSE,NA,FALSE,NA,,,,,,,TRUE,TRUE,FALSE,NA,TRUE,FALSE,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,NA,TRUE,TRUE,,,,,FALSE,NA,FALSE,NA,,,,,,,,,,,,,,,FALSE,NA,FALSE,NA,,,,,,,,,,,,,,,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,,,,,,,FALSE,NA,FALSE,NA,,,,,,,,,,,,,,,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,,,,
gold refinery plant 400 v single phase,3,2,2,4,phase,single phase,product,gold refinery plant,voltage,400 v,,,,,,,,,,,,,phase,single phase,phase,single phase,phase,single phase,voltage,400 v,voltage,400 v,power_supply,400 v,,,,,usage,gold refinery,,,,,voltage,plant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,gemma,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,TRUE,TRUE,FALSE,NA,TRUE,TRUE,,,,,,,,,,,,,TRUE,TRUE,FALSE,NA,TRUE,TRUE,,,,,,,,,,,,,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,,,,,TRUE,TRUE,FALSE,NA,FALSE,NA,TRUE,FALSE,,,,,,,,,,,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,,,,,TRUE,TRUE,FALSE,NA,FALSE,NA,TRUE,FALSE,,,,,,,,,,,TRUE,TRUE,FALSE,NA,TRUE,FALSE,,,,,,,,,,,,
