keyword,api_mcat_name,api_mcat_id,api_accuracy,trans_mcat_name,trans_mcat_id,trans_vs_api_id,trans_vs_api_name,unsloth_mcat_name,unsloth_mcat_id,unsloth_vs_api_id,unsloth_vs_api_name,trans_vs_unsloth_id,all_three_agree
Minas A6 Panasonic  Servo Motor & Driver,Panasonic AC Servo Motor,187161,High,Panasonic AC Servo Motor,187161,MATCH,MATCH,Panasonic AC Servo Motor,187161,MATCH,MATCH,MATCH,YES
Planetary Gear Motor,Planetary Gear Motor,153816,High,Planetary Gear Motor,153816,MATCH,MATCH,Planetary Gear Motor,153816,MATCH,MATCH,MATCH,YES
Squirrel Cage Induction Motor tefc type 415v,Squirrel Cage Motors,38675,High,Squirrel Cage Motors,38675,MATCH,MATCH,Squirrel Cage Motors,38675,MATCH,MATCH,MATCH,YES
vertical helical gear motor,Helical Geared Motor,43308,High,Helical Geared Motor,43308,MATCH,MATCH,Helical Geared Motor,43308,MATCH,MATCH,MATCH,YES
2 advanced features 2 10 hp mobile starter,Mobile Starter,161896,High,Mobile Starter,161896,MATCH,MATCH,Mobile Starter,161896,MATCH,MATCH,MATCH,YES
Helical Geared Motor,Helical Geared Motor,43308,High,Helical Geared Motor,43308,MATCH,MATCH,Helical Geared Motor,43308,MATCH,MATCH,MATCH,YES
dvd motor,DC Motor,445,High,SPU Motor,17644,DIFF,DIFF,Spindle Motors,38084,DIFF,DIFF,DIFF,NO
2 hp three phase induction motor,Three Phase Induction Motor,131725,High,Three Phase Induction Motor,131725,MATCH,MATCH,Three Phase Induction Motor,131725,MATCH,MATCH,MATCH,YES
Direct oil immersed starter skn Kelson U Kit Set,Oil Starter,142116,High,Oil Starter,142116,MATCH,MATCH,Oil Starter,142116,MATCH,MATCH,MATCH,YES
Rolling Shutter Motor,Rolling Shutter Motor,77612,High,Rolling Shutter Motor,77612,MATCH,MATCH,Rolling Shutter Motor,77612,MATCH,MATCH,MATCH,YES
Delton Three Single Phase Oil Starter,Oil Starter,142116,High,Oil Starter,142116,MATCH,MATCH,Oil Starter,142116,MATCH,MATCH,MATCH,YES
Shaft Encoder,Shaft Encoder,44166,High,Shaft Encoder,44166,MATCH,MATCH,Shaft Encoder,44166,MATCH,MATCH,MATCH,YES
CTV 110 Unimotion Servo Motor,Servo Motor,448,High,AC Servo Motor,14970,DIFF,DIFF,AC Servo Motor,14970,DIFF,DIFF,MATCH,NO
Crompton Single Phase Motor,Crompton Motors,446133,High,Crompton Greaves Motor,126348,DIFF,DIFF,Crompton Greaves Motor,126348,DIFF,DIFF,MATCH,NO
crompton single phase cooler motor,Cooler Motor,52897,High,Cooler Motor,52897,MATCH,MATCH,Cooler Motor,52897,MATCH,MATCH,MATCH,YES
crompton greaves energy efficient motor,Crompton Greaves Motor,126348,High,Energy Efficient Motor,184340,DIFF,DIFF,Energy Efficient Motor,184340,DIFF,DIFF,MATCH,NO
180 Watt Electro Magnetic Brake Motor,Brake Motors,21078,High,Brake Motors,21078,MATCH,MATCH,Brake Motors,21078,MATCH,MATCH,MATCH,YES
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2104-5AK00-0SB0 0.12 kW,Siemens Servo Motors,184102,High,Siemens Servo Motors,184102,MATCH,MATCH,Siemens Servo Motors,184102,MATCH,MATCH,MATCH,YES
SIEMENS SIMOTICS S-1FK2 SERVO MOTER 1FK2106-4AF10-0SA0 2.7 kW,Siemens Servo Motors,184102,High,Siemens Servo Motors,184102,MATCH,MATCH,Siemens Servo Motors,184102,MATCH,MATCH,MATCH,YES
Servo Motor,Servo Motor,448,High,AC Servo Motor,14970,DIFF,DIFF,AC Servo Motor,14970,DIFF,DIFF,MATCH,NO
copper sewing machine motor armature,Sewing Machine Motor Armature,312874,High,Motor Armature,167444,DIFF,DIFF,Motor Armature,167444,DIFF,DIFF,MATCH,NO
cooler motor high speed,Cooler Motor,52897,High,Cooler Motor,52897,MATCH,MATCH,Cooler Motor,52897,MATCH,MATCH,MATCH,YES
cooler hee motor,Cooler Motor,52897,High,Cooler Motor,52897,MATCH,MATCH,Cooler Motor,52897,MATCH,MATCH,MATCH,YES
Kerovit Ege Actuation Plate,Actuators,3148,High,Actuator,40795,DIFF,DIFF,Motor Parts,150022,DIFF,DIFF,DIFF,NO
ABB Soft Starters,ABB Soft Starters,220182,High,ABB Soft Starters,220182,MATCH,MATCH,ABB Soft Starters,220182,MATCH,MATCH,MATCH,YES
Bullet Farrata Fan Motor,Fan Motor,28231,Medium,Fan Motor,28231,MATCH,MATCH,Fan Motor,28231,MATCH,MATCH,MATCH,YES
happymodel motor,Mitsubishi Servo Motors,184101,Medium,Brushless Motors,23616,DIFF,DIFF,Brushless Motors,23616,DIFF,DIFF,MATCH,NO
Double Shaft Motor,Double Shaft Motor,139590,High,Double Shaft Motor,139590,MATCH,MATCH,Double Shaft Motor,139590,MATCH,MATCH,MATCH,YES
incubator turning motor,Electric Motor,1274,High,Motor,1274,MATCH,DIFF,Motor,6624,DIFF,DIFF,DIFF,NO
abb motor,ABB Electric Motor,181114,High,ABB Electric Motor,181114,MATCH,MATCH,ABB Electric Motor,181114,MATCH,MATCH,MATCH,YES
2hp single phase motor cg model gf7010,Single Phase Motors,9484,High,Single Phase Motors,9484,MATCH,MATCH,Single Phase Motors,9484,MATCH,MATCH,MATCH,YES
2hp single phase motor near kolkata cg model no gf7010,Single Phase Motors,9484,High,Single Phase Electric Motor,52927,DIFF,DIFF,Single Phase Electric Motor,52927,DIFF,DIFF,MATCH,NO
100 HP Slip Ring Motor Starter,Slip Ring Starter,149795,High,Slip Ring Motor Starter,653300,DIFF,DIFF,Slip Ring Motor Starter,443929,DIFF,DIFF,DIFF,NO
battery operated pmdc motor,PMDC Motor,52920,High,PMDC Motor,52920,MATCH,MATCH,PMDC Motor,52920,MATCH,MATCH,MATCH,YES
Automatic Door Motor,Automatic Door Motor,52891,High,Automatic Door Motor,52891,MATCH,MATCH,Automatic Door Motor,52891,MATCH,MATCH,MATCH,YES
Automatic Rolling Shutters Motor,Rolling Shutter Motor,77612,High,Rolling Shutter Motor,77612,MATCH,MATCH,Rolling Shutter Motor,77612,MATCH,MATCH,MATCH,YES
Nxu Gear Brake Motor In Pune,Geared Brake Motors,44652,High,Geared Brake Motors,44652,MATCH,MATCH,Geared Brake Motors,44652,MATCH,MATCH,MATCH,YES
Bosch Carbon Brushes,Bosch Carbon Brushes,204469,High,Bosch Carbon Brushes,204469,MATCH,MATCH,Bosch Carbon Brushes,204469,MATCH,MATCH,MATCH,YES
1 piece 750 watt 3000 rpm AC Servo Motor,AC Servo Motor,14970,High,AC Servo Motor,14970,MATCH,MATCH,AC Servo Motor,14970,MATCH,MATCH,MATCH,YES
Arun D O L Motor Starter,DOL Starter,26266,High,DOL Starter,26266,MATCH,MATCH,DOL Starter,26266,MATCH,MATCH,MATCH,YES
v12 mobile starter,Mobile Starter,161896,High,Mobile Starter,161896,MATCH,MATCH,Mobile Starter,161896,MATCH,MATCH,MATCH,YES
1 hp motor,Electric Motor,1274,High,Three Phase Induction Motor,131725,DIFF,DIFF,Three Phase Induction Motor,131725,DIFF,DIFF,MATCH,NO
angle grinder armature,Power Tool Armature,653304,Medium,Armature,25,DIFF,DIFF,Grinder Armature,652454,DIFF,DIFF,DIFF,NO
ola motor,Electric Motor,1274,Medium,Gear Motor,29373,DIFF,DIFF,Single Phase Electric Motor,52927,DIFF,DIFF,DIFF,NO
altistart 22 soft starters,Schneider Soft Starters,220183,High,Soft Starters,12256,DIFF,DIFF,Soft Starters,12256,DIFF,DIFF,MATCH,NO
tawagawa hollow encoder ts 5700n8500,Hollow Shaft Encoders,30451,High,Hollow Shaft Encoders,30451,MATCH,MATCH,Hollow Shaft Encoders,30451,MATCH,MATCH,MATCH,YES
tawagawa hollow encoder ts-5700n8500,Hollow Shaft Encoders,30451,High,Hollow Shaft Encoders,30451,MATCH,MATCH,Hollow Shaft Encoders,30451,MATCH,MATCH,MATCH,YES
actuator model %3A rr a50 d,Actuators,3148,High,Linear Actuator,32181,DIFF,DIFF,Linear Actuator,32181,DIFF,DIFF,MATCH,NO
86HS120 Two Phase Stepper Motor,Bipolar Stepper Motors,4423,High,Stepper Motor,18794,DIFF,DIFF,Stepper Motor,18794,DIFF,DIFF,MATCH,NO
86 HS 65 Two Phase Stepper Motor,Bipolar Stepper Motors,4423,High,Stepper Motor,18794,DIFF,DIFF,Two Phase Stepper Motor,13374,DIFF,DIFF,DIFF,NO
Ola motot,Electric Motor,1274,Medium,Electric Motor,1274,MATCH,MATCH,Ola Electric Motor Parts,205465,DIFF,DIFF,DIFF,NO
Swing Gate Motor,Gate Motor,29337,High,Electric Sliding Gate Motor,52905,DIFF,DIFF,Electric Sliding Gate Motor,52905,DIFF,DIFF,MATCH,NO
COPCARBON BRUSH 25X40X10,Carbon Brush,903,High,Industrial Carbon Brushes,145615,DIFF,DIFF,Power Tool Carbon Brush,190885,DIFF,DIFF,DIFF,NO
DC GEAR MOTOR,DC Geared Motor,25556,High,DC Geared Motor,25556,MATCH,MATCH,DC Geared Motor,25556,MATCH,MATCH,MATCH,YES
motor-armature,Motor Armature,167444,High,Armature,25,DIFF,DIFF,Motor Armature,167444,MATCH,MATCH,DIFF,NO
57 HS 22 Two Phase Stepper Motor,Bipolar Stepper Motors,4423,High,Stepper Motor,18794,DIFF,DIFF,Two Phase Stepper Motor,13374,DIFF,DIFF,DIFF,NO
57 HS 13 Two Phase Stepper Motor,Bipolar Stepper Motors,4423,High,Stepper Motor,18794,DIFF,DIFF,Two Phase Stepper Motor,13374,DIFF,DIFF,DIFF,NO
57 HS 09 Two Phase Stepper Motor,Bipolar Stepper Motors,4423,High,Stepper Motor,18794,DIFF,DIFF,Two Phase Stepper Motor,13374,DIFF,DIFF,DIFF,NO
el%20tech%20motors,Series Motor,52924,Medium,Electric Motor,1274,DIFF,DIFF,Three Phase Electric Motor,52930,DIFF,DIFF,DIFF,NO
Leadshine ISV5713V36 1000 AC Servo Motor,AC Servo Motor,14970,Medium,AC Servo Motor,14970,MATCH,MATCH,AC Servo Motor,14970,MATCH,MATCH,MATCH,YES
PDA Sliding Gate Motor,Electric Sliding Gate Motor,52905,High,Electric Sliding Gate Motor,52905,MATCH,MATCH,Electric Sliding Gate Motor,52905,MATCH,MATCH,MATCH,YES
42 HS 02 Two Phase Stepper Motor,Stepper Motor,18794,High,Stepper Motor,18794,MATCH,MATCH,Two Phase Stepper Motor,13374,DIFF,DIFF,DIFF,NO
Jencoder Hollow Type  Rotary Encoder J-50T,Rotary Encoders,36883,Medium,Hollow Shaft Encoders,30451,DIFF,DIFF,Hollow Shaft Encoders,30451,DIFF,DIFF,MATCH,NO
Inverter Duty Induction Motors,Inverter Duty Motor,131724,High,Inverter Duty Motor,131724,MATCH,MATCH,Inverter Duty Motor,131724,MATCH,MATCH,MATCH,YES
39 HS 02 Two Phase Stepper Motor,Bipolar Stepper Motors,4423,High,Stepper Motor,18794,DIFF,DIFF,Stepper Motor,18794,DIFF,DIFF,MATCH,NO
aluminium bell,Bell Housing,136623,Medium,Die Cast Aluminum Rotors,120951,DIFF,DIFF,Aluminium Die Cast Rotors,120951,DIFF,DIFF,MATCH,NO
spindle-motors,Spindle Motors,38084,High,AC Spindle Motor,180727,DIFF,DIFF,Spindle Motors,38084,MATCH,MATCH,DIFF,NO
Schneider Ats48 Soft Starter Repairs,Schneider Soft Starters,220183,High,Soft Starter Repair,168060,DIFF,DIFF,Starters Repair Service,174217,DIFF,DIFF,DIFF,NO
Jencoder Rotory Encoder : Hollow Type,Hollow Shaft Encoders,30451,Medium,Hollow Shaft Encoders,30451,MATCH,MATCH,Hollow Shaft Encoders,30451,MATCH,MATCH,MATCH,YES
swing starter,Starters,7853,Medium,Electronic Starter,27659,DIFF,DIFF,Electronic Starter,27659,DIFF,DIFF,MATCH,NO
Rhino 12V DC 30RPM 70Kgcm IG32 Heavy Duty Planetary Geared Motor,Planetary Gear Motor,153816,High,Heavy Duty Motor,55774,DIFF,DIFF,Heavy Duty Motor,55774,DIFF,DIFF,MATCH,NO
18 inch g c exhaust fan motor housing,Motor Housings,33555,High,Exhaust Fan Motor,28080,DIFF,DIFF,Motor Housings,33555,MATCH,MATCH,DIFF,NO
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2104-6AF01-1SB0,Siemens Servo Motors,184102,High,Siemens Servo Motors,184102,MATCH,MATCH,Siemens Servo Motors,184102,MATCH,MATCH,MATCH,YES
12v bldc,Brushless DC Motor,15240,High,Brushless DC Motor,15240,MATCH,MATCH,Brushless DC Motor,15240,MATCH,MATCH,MATCH,YES
1 Inch Kit Cooler Motor,Cooler Motor,52897,High,Cooler Motor,52897,MATCH,MATCH,Cooler Motor,52897,MATCH,MATCH,MATCH,YES
Jencoder Hollow Shaft Rotary Encoder J-50T,Hollow Shaft Encoders,30451,High,Hollow Shaft Encoders,30451,MATCH,MATCH,Hollow Shaft Encoders,30451,MATCH,MATCH,MATCH,YES
110HS20 Two Phase Stepper Motor,Bipolar Stepper Motors,4423,High,Stepper Motor,18794,DIFF,DIFF,Two Phase Stepper Motor,13374,DIFF,DIFF,DIFF,NO
Toothed Belt Axis Egc-tb,Festo Actuators,203380,Medium,DC Motor,445,DIFF,DIFF,Tooth Belt,40629,DIFF,DIFF,DIFF,NO
lifting-column-actuator,Linear Actuator,32181,High,Linear Actuator,32181,MATCH,MATCH,Linear Actuator,32181,MATCH,MATCH,MATCH,YES
Electric Rotary Actuators,Electric Rotary Actuators,183590,High,Electric Rotary Actuators,183590,MATCH,MATCH,Rotary Actuators,36873,DIFF,DIFF,DIFF,NO
Single Phase Motors,Single Phase Motors,9484,High,Single Phase Motors,9484,MATCH,MATCH,Single Phase Motors,9484,MATCH,MATCH,MATCH,YES
AC Servo Motor,AC Servo Motor,14970,High,AC Servo Motor,14970,MATCH,MATCH,AC Servo Motor,14970,MATCH,MATCH,MATCH,YES
Unbalance Motors,Vibration Motor,2743,High,Unbalanced Motors,17089,DIFF,DIFF,Unbalanced Vibratory Motor,184118,DIFF,DIFF,DIFF,NO
Starters,Starters,7853,High,Starters,7853,MATCH,MATCH,Starters,7853,MATCH,MATCH,MATCH,YES
industrial-electric-motor,Industrial Motors,52915,High,Industrial Motors,52915,MATCH,MATCH,Three Phase Electric Motor,52930,DIFF,DIFF,DIFF,NO
siemens motor,Siemens Electric Motor,184089,High,Siemens Electric Motor,184089,MATCH,MATCH,Siemens Electric Motor,184089,MATCH,MATCH,MATCH,YES
Marsh Actuators,Marsh Actuators,208012,High,Actuators,3148,DIFF,DIFF,Actuators,3148,DIFF,DIFF,MATCH,NO
Spindle Motors,Spindle Motors,38084,High,Spindle Motors,38084,MATCH,MATCH,Spindle Motors,38084,MATCH,MATCH,MATCH,YES
carbon brush size: 08 x 20 x 30mm,Carbon Brush,903,High,Carbon Brush,903,MATCH,MATCH,Carbon Brush,903,MATCH,MATCH,MATCH,YES
1FK2104-6AF01-1SB0,Siemens Servo Motors,184102,High,Siemens Servo Motors,184102,MATCH,MATCH,Siemens Servo Motors,184102,MATCH,MATCH,MATCH,YES
spal blower motor,Blower Motors,23098,High,Blower Motors,23098,MATCH,MATCH,Blower Motors,23098,MATCH,MATCH,MATCH,YES
VDS Automatic Sliding Gate Motor,Electric Sliding Gate Motor,52905,High,Electric Sliding Gate Motor,52905,MATCH,MATCH,Electric Sliding Gate Motor,52905,MATCH,MATCH,MATCH,YES
BLDC Motor Sa42bld002 - 3000 Rpm 24vdc 52 Watt,Brushless DC Motor,15240,High,Brushless DC Motor,15240,MATCH,MATCH,Brushless DC Motor,15240,MATCH,MATCH,MATCH,YES
Electric Actuator,Electric Actuator,27216,High,Electric Actuator,27216,MATCH,MATCH,Electric Actuator,27216,MATCH,MATCH,MATCH,YES
Hollow Shaft Rotary Encoder :Jencoder,Hollow Shaft Encoders,30451,High,Hollow Shaft Encoders,30451,MATCH,MATCH,Hollow Shaft Encoders,30451,MATCH,MATCH,MATCH,YES
75 acrylic square 2 x 2 inch piece Photo print Polaroid Fridge Magnets Neodymium Acrylic,DC Motor,445,Medium,Magnet Type,25372,DIFF,DIFF,Magnet,15220,DIFF,DIFF,DIFF,NO
double shaft encoder gear motor,Double Shaft Motor,139590,Medium,Encoder Shaft Motors,35216,DIFF,DIFF,Double Shaft Motor,139590,MATCH,MATCH,DIFF,NO
960 rpm 1 foot mounted 15 hp three phase electric motor,Three Phase Electric Motor,52930,Medium,Three Phase Electric Motor,52930,MATCH,MATCH,Three Phase Electric Motor,52930,MATCH,MATCH,MATCH,YES
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2104-6AF10-0MB0 1 kW,Siemens Servo Motors,184102,High,Siemens Servo Motors,184102,MATCH,MATCH,Siemens Servo Motors,184102,MATCH,MATCH,MATCH,YES
Y07-59d1-17155 Stepper Motor,Laser Equipment Parts,80634,High,Bipolar Stepper Motors,4423,DIFF,DIFF,Stepper Motor,18794,DIFF,DIFF,DIFF,NO
Schneider Electric BSH0703P11A2A Servo Motor,Servo Motor,448,High,AC Servo Motor,14970,DIFF,DIFF,AC Servo Motor,14970,DIFF,DIFF,MATCH,NO
bldc motor,Brushless DC Motor,15240,High,Brushless DC Motor,15240,MATCH,MATCH,Brushless DC Motor,15240,MATCH,MATCH,MATCH,YES
double shaft gear motor,Double Shaft Motor,139590,High,Double Shaft Motor,139590,MATCH,MATCH,Double Shaft Gear Motor,139590,MATCH,DIFF,MATCH,YES
ATS22 Softstarter Repair Service,Starters Repair Service,174217,High,Starters Repair Service,174217,MATCH,MATCH,Soft Starter Repair,174217,MATCH,DIFF,MATCH,YES
ac bus blower motor 24 v spal,Blower Motors,23098,High,Blower Motors,23098,MATCH,MATCH,Blower Motors,23098,MATCH,MATCH,MATCH,YES
dc motor 8 watt,DC Motor,445,High,DC Motor,445,MATCH,MATCH,DC Motor,445,MATCH,MATCH,MATCH,YES
crompton-greaves-industrial-motors,Crompton Greaves Industrial Motors,193884,High,Crompton Greaves Industrial Motors,193884,MATCH,MATCH,Crompton Greaves Industrial Motors,193884,MATCH,MATCH,MATCH,YES
bus  ac dual shaft 1330 RPM BLOWER FAN MOTOR,Blower Motors,23098,High,Double Shaft Motor,139590,DIFF,DIFF,Blower Motors,23098,MATCH,MATCH,DIFF,NO
air  conditioning dual shaft 1330 RPM BLOWER FAN MOTOR,Blower Motors,23098,High,Blower Motors,23098,MATCH,MATCH,Blower Motors,23098,MATCH,MATCH,MATCH,YES
Siemens Servo Motors,Siemens Servo Motors,184102,High,Siemens Servo Motors,184102,MATCH,MATCH,Siemens Servo Motors,184102,MATCH,MATCH,MATCH,YES
Kitchen Chimney Motor,Chimney Motor,446121,High,Chimney Motor,52897,DIFF,MATCH,Chimney Motors,443716,DIFF,DIFF,DIFF,NO
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2106-4AF10-0MA0 2.7 kW,Siemens Servo Motors,184102,High,Siemens Servo Motors,184102,MATCH,MATCH,Siemens Servo Motors,184102,MATCH,MATCH,MATCH,YES
Slip Ring Motor,Slip Ring Motor,37228,High,Slip Ring Motor,37228,MATCH,MATCH,Slip Ring Motor,37228,MATCH,MATCH,MATCH,YES
Break Motor,Brake Motors,21078,High,Brake Motors,21078,MATCH,MATCH,Brake Motors,21078,MATCH,MATCH,MATCH,YES
3 phase 15hp motor starter,3 Phase Motor Starter,226794,High,3 Phase Motor Starter,226794,MATCH,MATCH,3 Phase Motor Starter,226794,MATCH,MATCH,MATCH,YES
DC Carbon,DC Motor Carbon Brushes,133005,High,DC Motor Carbon Brushes,133005,MATCH,MATCH,DC Motor,445,DIFF,DIFF,DIFF,NO
external motor rotor die casting,Die Cast Rotors,120951,High,Die Cast Rotors,120951,MATCH,MATCH,Die Cast Rotors,120951,MATCH,MATCH,MATCH,YES
c 10 micro 2900 bldc moter,Brushless DC Motor,15240,High,Brushless DC Motor,15240,MATCH,MATCH,Brushless DC Motor,15240,MATCH,MATCH,MATCH,YES
extra power breaker 1 power tool armature,Power Tool Armature,653304,High,Power Tool Armature,653304,MATCH,MATCH,Power Tool Armature,653304,MATCH,MATCH,MATCH,YES
Gear Motor,Gear Motor,29373,High,Gear Motor,29373,MATCH,MATCH,Gear Motor,29373,MATCH,MATCH,MATCH,YES
Liquid Resistance Starter,Liquid Resistance Starter,163465,High,Liquid Resistance Starter,163465,MATCH,MATCH,Liquid Resistance Starter,163465,MATCH,MATCH,MATCH,YES
a c blower motor spal,Blower Motors,23098,High,Blower Motors,23098,MATCH,MATCH,Spal Motor,657268,DIFF,DIFF,DIFF,NO
1HP Single Phase Godrej Lawkim Foot Mounted,Single Phase Motors,9484,High,Godrej Lawkim Industrial Motors,203174,DIFF,DIFF,Single Phase Motors,9484,MATCH,MATCH,DIFF,NO
Automatic Sliding Gate Motor,Electric Sliding Gate Motor,52905,High,Electric Sliding Gate Motor,52905,MATCH,MATCH,Electric Sliding Gate Motor,52905,MATCH,MATCH,MATCH,YES
fcma soft starter,Soft Starters,12256,High,Soft Starters,12256,MATCH,MATCH,Soft Starters,12256,MATCH,MATCH,MATCH,YES
three phase 1 mini dol automatic-switch,Motor Automatic Switch,140407,High,DOL Starter,26266,DIFF,DIFF,DOL Starter,26266,DIFF,DIFF,MATCH,NO
push button shutter motor,Rolling Shutter Motor,77612,High,Rolling Shutter Motor,77612,MATCH,MATCH,Rolling Shutter Motor,77612,MATCH,MATCH,MATCH,YES
SIEMENS 1LE7501‑1BB23‑5AA4,Siemens Servo Motors,184102,Medium,Siemens Servo Motors,184102,MATCH,MATCH,Siemens Servo Motors,184102,MATCH,MATCH,MATCH,YES
blower-motors,Blower Motors,23098,High,Blower Motors,23098,MATCH,MATCH,Blower Motors,23098,MATCH,MATCH,MATCH,YES
Servo Motor Repairing Service,Servo Motor Repair,168060,High,Servo Motor Repair,168060,MATCH,MATCH,Servo Motor Repair,168060,MATCH,MATCH,MATCH,YES
Petrosa Starter medium 200 Grams,Dog Food,938,High,Oil Starter,142116,DIFF,DIFF,Starters,7853,DIFF,DIFF,DIFF,NO
automatic switch,Motor Automatic Switch,140407,High,Motor Automatic Switch,140407,MATCH,MATCH,Motor Automatic Switch,140407,MATCH,MATCH,MATCH,YES
Telescopic Linear Actuators,Linear Actuator,32181,High,Linear Actuator,32181,MATCH,MATCH,Linear Actuator,32181,MATCH,MATCH,MATCH,YES
speed on  outdoor motar,Air Conditioner Motor,186009,High,AC Motor,444,DIFF,DIFF,Three Phase Electric Motor,52930,DIFF,DIFF,DIFF,NO
Motor Automatic Switch,Motor Automatic Switch,140407,High,Motor Automatic Switch,140407,MATCH,MATCH,Motor Automatic Switch,140407,MATCH,MATCH,MATCH,YES
speed on outdoor motar,Air Conditioner Motor,186009,High,Door Motor,52902,DIFF,DIFF,AC Motor,444,DIFF,DIFF,DIFF,NO
Crompton Greaves Flameproof IE3 Motor,Crompton Greaves Motor,126348,High,Crompton Greaves Motor,126348,MATCH,MATCH,Crompton Greaves Motor,126348,MATCH,MATCH,MATCH,YES
a c blower motor spal 24v,Blower Motors,23098,High,Blower Motors,23098,MATCH,MATCH,Blower Motors,23098,MATCH,MATCH,MATCH,YES
brake motor,Brake Motors,21078,High,Brake Motors,21078,MATCH,MATCH,Brake Motors,21078,MATCH,MATCH,MATCH,YES
star-delta-starter,Star Delta Starter,653300,High,Star Delta Starter,653300,MATCH,MATCH,Star Delta Starter,653300,MATCH,MATCH,MATCH,YES
deep vibrator motor,Concrete Vibrator Motor,184082,High,Vibration Motor,2743,DIFF,DIFF,Vibration Motor,2743,DIFF,DIFF,MATCH,NO
Hydromatik Rexroth A2F-12-Wp6 Hydraulic Piston Motor,Hydraulic Motor,10834,High,Hydraulic Pump Motor,141877,DIFF,DIFF,Hydraulic Pump Motor,141877,DIFF,DIFF,MATCH,NO
vibrator cover,Motor Cover,117875,Medium,Vibration Motor,2743,DIFF,DIFF,Vibration Motor,15686,DIFF,DIFF,DIFF,NO
Rotork Yt 3300 Smart Positioner,Valve Positioners,40629,High,Valve Positioners,40629,MATCH,MATCH,Valve Positioners,40629,MATCH,MATCH,MATCH,YES
Concrete Vibrator Motor,Concrete Vibrator Motor,184082,High,Concrete Vibrator Motor,184082,MATCH,MATCH,Concrete Vibrator Motor,184082,MATCH,MATCH,MATCH,YES
blower motors in port blair,Blower Motors,23098,High,Blower Motors,23098,MATCH,MATCH,Blower Motors,23098,MATCH,MATCH,MATCH,YES
Hydromatik A2F-107 Hydraulic Piston Pump Motor,Hydraulic Pump Motor,141877,High,Hydraulic Pump Motor,141877,MATCH,MATCH,Hydraulic Pump Motor,141877,MATCH,MATCH,MATCH,YES
Rexroth A2Fo180,Rexroth Piston Pump,192780,Medium,Hydraulic Motor,10834,DIFF,DIFF,Hydraulic Motor,10834,DIFF,DIFF,MATCH,NO
Brueninghaus Hydromatik Rexroth A2Fm-28/61 Hydraulic Piston Motor,Hydraulic Motor,10834,High,Hydraulic Pump Motor,141877,DIFF,DIFF,Hydraulic Pump Motor,141877,DIFF,DIFF,MATCH,NO
parker hydraulic motor,Hydraulic Motor,10834,High,Hydraulic Motor,10834,MATCH,MATCH,Hydraulic Motor,10834,MATCH,MATCH,MATCH,YES
Kirloskar Three Phase Induction Motor,Three Phase Induction Motor,131725,High,Kirloskar Electric Motor,185261,DIFF,DIFF,Kirloskar Electric Motor,185261,DIFF,DIFF,MATCH,NO
Three Phase Induction Motor,Three Phase Induction Motor,131725,High,Three Phase Induction Motor,131725,MATCH,MATCH,Three Phase Induction Motor,131725,MATCH,MATCH,MATCH,YES
Hanning Motor for Bentone Burner,Burner Servo Motors,162318,High,Burner Motors,415016,DIFF,DIFF,Burner Motors,162362,DIFF,DIFF,DIFF,NO
hyundai/kia clutch actuator,Hyundai Car Clutch & Pressure Plate,656114,High,Clutch Actuators,167253,DIFF,DIFF,Actuators,3148,DIFF,DIFF,DIFF,NO
Remi Centrifuge Carbon Brushes,Carbon Brush,903,High,Carbon Brush,903,MATCH,MATCH,Carbon Brush,903,MATCH,MATCH,MATCH,YES
2hp motor,Electric Motor,1274,High,Air Conditioner Motor,186009,DIFF,DIFF,Three Phase Induction Motor,131725,DIFF,DIFF,DIFF,NO
aluminium die cast rotors,Die Cast Rotors,120951,High,Die Cast Rotors,120951,MATCH,MATCH,Die Cast Rotors,120951,MATCH,MATCH,MATCH,YES
bhavani induction motor,Induction Motors,10971,High,Three Phase Induction Motor,131725,DIFF,DIFF,Induction Motors,10971,MATCH,MATCH,DIFF,NO
DC Motor,DC Motor,445,High,DC Motor,445,MATCH,MATCH,DC Motor,445,MATCH,MATCH,MATCH,YES
Intermot hydro motors 800cc,Intermot Hydraulic Motor,205463,High,Hydraulic Motor,10834,DIFF,DIFF,Hydraulic Motor,10834,DIFF,DIFF,MATCH,NO
Mobile Starter,Mobile Starter,161896,High,Mobile Starter,161896,MATCH,MATCH,Mobile Starter,161896,MATCH,MATCH,MATCH,YES
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2204-5AK01-0MB0 0.12 kW,Siemens Servo Motors,184102,High,Siemens Servo Motors,184102,MATCH,MATCH,Siemens Servo Motors,184102,MATCH,MATCH,MATCH,YES
Single Phase Induction Motor,Single Phase Induction Motor,9483,High,Single Phase Induction Motor,9483,MATCH,MATCH,Single Phase Induction Motor,9483,MATCH,MATCH,MATCH,YES
5 watts motor rexnord rec-8313-05-a2,AC Motor,444,High,DC Motor,445,DIFF,DIFF,DC Motor,445,DIFF,DIFF,MATCH,NO
AC Fan Motor,AC Fan Motor,146600,High,AC Fan Motor,146600,MATCH,MATCH,AC Fan Motor,146600,MATCH,MATCH,MATCH,YES
