query,ground_truth_count,qmeans_attr_count,gemini_attr_count,groundtruth_attr_key_1,groundtruth_attr_value_1,groundtruth_attr_key_2,groundtruth_attr_value_2,groundtruth_attr_key_3,groundtruth_attr_value_3,groundtruth_attr_key_4,groundtruth_attr_value_4,groundtruth_attr_key_5,groundtruth_attr_value_5,groundtruth_attr_key_6,groundtruth_attr_value_6,groundtruth_attr_key_7,groundtruth_attr_value_7,groundtruth_attr_key_8,groundtruth_attr_value_8,groundtruth_attr_key_9,groundtruth_attr_value_9,qmeans_attr_key_1,qmeans_attr_value_1,gemini_attr_key_1,gemini_attr_value_1,qmeans_attr_key_2,qmeans_attr_value_2,gemini_attr_key_2,gemini_attr_value_2,qmeans_attr_key_3,qmeans_attr_value_3,gemini_attr_key_3,gemini_attr_value_3,qmeans_attr_key_4,qmeans_attr_value_4,gemini_attr_key_4,gemini_attr_value_4,qmeans_attr_key_5,qmeans_attr_value_5,gemini_attr_key_5,gemini_attr_value_5,qmeans_attr_key_6,qmeans_attr_value_6,gemini_attr_key_6,gemini_attr_value_6,qmeans_attr_key_7,qmeans_attr_value_7,gemini_attr_key_7,gemini_attr_value_7,qmeans_attr_key_8,qmeans_attr_value_8,gemini_attr_key_8,gemini_attr_value_8,qmeans_attr_key_9,qmeans_attr_value_9,gemini_attr_key_9,gemini_attr_value_9,COUNT_MATCH,HIGH_COUNT,qmeans_vs_gemini_attr_1_key_match,qmeans_vs_gemini_attr_1_value_match,qmeans_vs_gemini_attr_2_key_match,qmeans_vs_gemini_attr_2_value_match,qmeans_vs_gemini_attr_3_key_match,qmeans_vs_gemini_attr_3_value_match,qmeans_vs_gemini_attr_4_key_match,qmeans_vs_gemini_attr_4_value_match,qmeans_vs_gemini_attr_5_key_match,qmeans_vs_gemini_attr_5_value_match,qmeans_vs_gemini_attr_6_key_match,qmeans_vs_gemini_attr_6_value_match,qmeans_vs_gemini_attr_7_key_match,qmeans_vs_gemini_attr_7_value_match,qmeans_vs_gemini_attr_8_key_match,qmeans_vs_gemini_attr_8_value_match,qmeans_vs_gemini_attr_9_key_match,qmeans_vs_gemini_attr_9_value_match,gemini_vs_qmeans_attr_1_key_match,gemini_vs_qmeans_attr_1_value_match,gemini_vs_qmeans_attr_2_key_match,gemini_vs_qmeans_attr_2_value_match,gemini_vs_qmeans_attr_3_key_match,gemini_vs_qmeans_attr_3_value_match,gemini_vs_qmeans_attr_4_key_match,gemini_vs_qmeans_attr_4_value_match,gemini_vs_qmeans_attr_5_key_match,gemini_vs_qmeans_attr_5_value_match,gemini_vs_qmeans_attr_6_key_match,gemini_vs_qmeans_attr_6_value_match,gemini_vs_qmeans_attr_7_key_match,gemini_vs_qmeans_attr_7_value_match,gemini_vs_qmeans_attr_8_key_match,gemini_vs_qmeans_attr_8_value_match,gemini_vs_qmeans_attr_9_key_match,gemini_vs_qmeans_attr_9_value_match,groundtruth_vs_qmeans_attr_1_key_match,groundtruth_vs_qmeans_attr_1_value_match,groundtruth_vs_qmeans_attr_2_key_match,groundtruth_vs_qmeans_attr_2_value_match,groundtruth_vs_qmeans_attr_3_key_match,groundtruth_vs_qmeans_attr_3_value_match,groundtruth_vs_qmeans_attr_4_key_match,groundtruth_vs_qmeans_attr_4_value_match,groundtruth_vs_qmeans_attr_5_key_match,groundtruth_vs_qmeans_attr_5_value_match,groundtruth_vs_qmeans_attr_6_key_match,groundtruth_vs_qmeans_attr_6_value_match,groundtruth_vs_qmeans_attr_7_key_match,groundtruth_vs_qmeans_attr_7_value_match,groundtruth_vs_qmeans_attr_8_key_match,groundtruth_vs_qmeans_attr_8_value_match,groundtruth_vs_qmeans_attr_9_key_match,groundtruth_vs_qmeans_attr_9_value_match,groundtruth_vs_gemini_attr_1_key_match,groundtruth_vs_gemini_attr_1_value_match,groundtruth_vs_gemini_attr_2_key_match,groundtruth_vs_gemini_attr_2_value_match,groundtruth_vs_gemini_attr_3_key_match,groundtruth_vs_gemini_attr_3_value_match,groundtruth_vs_gemini_attr_4_key_match,groundtruth_vs_gemini_attr_4_value_match,groundtruth_vs_gemini_attr_5_key_match,groundtruth_vs_gemini_attr_5_value_match,groundtruth_vs_gemini_attr_6_key_match,groundtruth_vs_gemini_attr_6_value_match,groundtruth_vs_gemini_attr_7_key_match,groundtruth_vs_gemini_attr_7_value_match,groundtruth_vs_gemini_attr_8_key_match,groundtruth_vs_gemini_attr_8_value_match,groundtruth_vs_gemini_attr_9_key_match,groundtruth_vs_gemini_attr_9_value_match
200 liter semi-automatic lab extruder 380 v 3 phase pp body,6,7,5,automation grade,semi-automatic,body material,pp,capacity,200 liter,phase,3 phase,product,lab extruder,voltage,380 v,,,,,,,automation grade,semi-automatic,automation grade,semi-automatic,capacity,200 liter,body material,pp,material,pp,capacity(litre,200 l,phase,3 phase,phase,three phase,type,extruder,voltage,380 v,usage,lab,,,voltage,380 v,,,,,,,,,,,FALSE,qmeans,TRUE,TRUE,FALSE,NA,FALSE,NA,TRUE,FALSE,FALSE,NA,FALSE,NA,TRUE,TRUE,,,,,TRUE,TRUE,FALSE,NA,FALSE,NA,TRUE,FALSE,TRUE,TRUE,,,,,,,,,TRUE,TRUE,FALSE,NA,TRUE,TRUE,TRUE,TRUE,FALSE,NA,TRUE,TRUE,,,,,,,TRUE,TRUE,TRUE,TRUE,FALSE,NA,TRUE,FALSE,FALSE,NA,TRUE,TRUE,,,,,,
hdpe sheet extruder 5 tpd capacity,3,3,3,body material,hdpe,capacity,5 tpd,product,sheet extruder,,,,,,,,,,,,,capacity,5 tpd,capacity,5 tpd,material,hdpe,material to be extruded,hdpe,type,extruder,output shape,sheet,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,same,TRUE,TRUE,FALSE,NA,FALSE,NA,,,,,,,,,,,,,TRUE,TRUE,FALSE,NA,FALSE,NA,,,,,,,,,,,,,FALSE,NA,TRUE,TRUE,FALSE,NA,,,,,,,,,,,,,FALSE,NA,TRUE,TRUE,FALSE,NA,,,,,,,,,,,,
"industrial grade manual xlpe cable extruder with co-rotating design, 20 tpd capacity, operating voltage 415 v, single phase, aluminium body material",8,3,8,automation grade,manual,body material,aluminium,capacity,20 tpd,phase,single phase,product,xlpe cable extruder,screw design,co-rotating,usage/application,industrial,voltage,415 v,,,automation grade,manual,automation grade,manual,capacity,20 tpd,body material,aluminium,material,xlpe,capacity,20 tpd,,,industry type,industrial,,,material to be extruded,xlpe,,,phase,single phase,,,screw design,co rotating,,,voltage,415 v,,,,,FALSE,gemini,TRUE,TRUE,TRUE,TRUE,FALSE,NA,,,,,,,,,,,,,TRUE,TRUE,FALSE,NA,TRUE,TRUE,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,,,TRUE,TRUE,FALSE,NA,TRUE,TRUE,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,NA,TRUE,FALSE,FALSE,NA,TRUE,TRUE,,
pvc gold refinery plant 1000 kg/hr capacity,3,2,2,body material,pvc,capacity,1000 kg/hr,product,gold refinery plant,,,,,,,,,,,,,capacity,1000 kg/hr,plastic processed,pvc,material,pvc,production capacity,1000 kg/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,same,FALSE,NA,FALSE,NA,,,,,,,,,,,,,,,FALSE,NA,FALSE,NA,,,,,,,,,,,,,,,FALSE,NA,TRUE,TRUE,FALSE,NA,,,,,,,,,,,,,FALSE,NA,FALSE,NA,FALSE,NA,,,,,,,,,,,,
film extrusion machine 480 v,2,1,0,product,film extrusion machine,voltage,480 v,,,,,,,,,,,,,,,voltage,480 v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,qmeans,FALSE,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,NA,TRUE,TRUE,,,,,,,,,,,,,,,FALSE,NA,FALSE,NA,,,,,,,,,,,,,,
30 kg monolayer extruder titanium body,3,2,3,body material,titanium,capacity,30 kg,product,monolayer extruder,,,,,,,,,,,,,capacity,30 kg,body material,titanium,material,titanium,capacity(kg,30 kg,,,layer,monolayer,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,gemini,FALSE,NA,FALSE,NA,,,,,,,,,,,,,,,FALSE,NA,FALSE,NA,FALSE,NA,,,,,,,,,,,,,FALSE,NA,TRUE,TRUE,FALSE,NA,,,,,,,,,,,,,TRUE,TRUE,FALSE,NA,FALSE,NA,,,,,,,,,,,,
jockey extruder,1,2,0,product,jockey extruder,,,,,,,,,,,,,,,,,brand,jockey,,,type,extruder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,qmeans,FALSE,NA,FALSE,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,NA,,,,,,,,,,,,,,,,,FALSE,NA,,,,,,,,,,,,,,,,
silver refining plant 415 v,2,3,2,product,silver refining plant,voltage,415 v,,,,,,,,,,,,,,,refining material,silver,usage/application,silver refining plant,type,refining plant,voltage,415 v,voltage,415 v,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,qmeans,FALSE,NA,FALSE,NA,TRUE,TRUE,,,,,,,,,,,,,FALSE,NA,TRUE,TRUE,,,,,,,,,,,,,,,FALSE,NA,TRUE,TRUE,,,,,,,,,,,,,,,FALSE,NA,TRUE,TRUE,,,,,,,,,,,,,,
"manual stainless steel pvc pipe extruder, capacity: 25 kg, voltage: 400 v, phase: 1 phase",6,2,6,automation grade,manual,body material,stainless steel,capacity,25 kg,phase,1 phase,product,pvc pipe extruder,voltage,400 v,,,,,,,capacity,25 kg,automation grade,manual,material,stainless steel pvc,body material,stainless steel,,,capacity,25 kg,,,material to be extruded,pvc,,,phase,1 phase,,,voltage,400 v,,,,,,,,,,,,,FALSE,gemini,TRUE,TRUE,FALSE,NA,,,,,,,,,,,,,,,FALSE,NA,FALSE,NA,TRUE,TRUE,FALSE,NA,FALSE,NA,FALSE,NA,,,,,,,FALSE,NA,FALSE,NA,TRUE,TRUE,FALSE,NA,FALSE,NA,FALSE,NA,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,NA,TRUE,TRUE,,,,,,
"eureka semi-automatic solvent extraction plant, 50 tpd, 440 v, single phase",6,4,3,automation grade,semi-automatic,brand,eureka,capacity,50 tpd,phase,single phase,product,solvent extraction plant,voltage,440 v,,,,,,,automation grade,semi-automatic,automation grade,semi-automatic,brand,eureka,phase,single phase,phase,single phase,voltage,440 v,usage,solvent,,,,,,,,,,,,,,,,,,,,,,,FALSE,qmeans,TRUE,TRUE,FALSE,NA,TRUE,TRUE,FALSE,NA,,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,FALSE,NA,,,,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,FALSE,NA,TRUE,TRUE,FALSE,NA,FALSE,NA,,,,,,,TRUE,TRUE,FALSE,NA,FALSE,NA,TRUE,TRUE,FALSE,NA,TRUE,TRUE,,,,,,
ss 316 oleoresin extraction plant 250 kg/hr capacity,3,2,2,body material,ss 316,capacity,250 kg/hr,product,oleoresin extraction plant,,,,,,,,,,,,,capacity,250 kg/hr,body material,ss 316,material grade,ss 316,production capacity,250 kg/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,same,FALSE,NA,FALSE,NA,,,,,,,,,,,,,,,FALSE,NA,FALSE,NA,,,,,,,,,,,,,,,FALSE,NA,TRUE,TRUE,FALSE,NA,,,,,,,,,,,,,TRUE,TRUE,FALSE,NA,FALSE,NA,,,,,,,,,,,,
"gold star semi-automatic pet extruder, 1 tpd, 380 v, single phase",6,3,5,automation grade,semi-automatic,brand,gold star,capacity,1 tpd,phase,single phase,product,pet extruder,voltage,380 v,,,,,,,automation grade,semi-automatic,automation grade,semi-automatic,brand,gold star,brand,gold star,phase,single phase,capacity,1 tpd,,,phase,single phase,,,voltage,380 v,,,,,,,,,,,,,,,,,FALSE,gemini,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,FALSE,NA,TRUE,TRUE,FALSE,NA,,,,,,,,,TRUE,TRUE,TRUE,TRUE,FALSE,NA,TRUE,TRUE,FALSE,NA,FALSE,NA,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,NA,TRUE,TRUE,,,,,,
extruder machine 380 v,2,2,1,product,extruder machine,voltage,380 v,,,,,,,,,,,,,,,type,extruder,voltage,380 v,voltage,380 v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,qmeans,FALSE,NA,TRUE,TRUE,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,FALSE,NA,TRUE,TRUE,,,,,,,,,,,,,,,FALSE,NA,TRUE,TRUE,,,,,,,,,,,,,,
"industrial grade automatic metal refining plant with parallel design, 1000 liter capacity, operating voltage 230 v, single phase, cast iron body material",8,4,5,automation grade,automatic,body material,cast iron,capacity,1000 liter,phase,single phase,product,metal refining plant,screw design,parallel,usage/application,industrial,voltage,230 v,,,automation grade,automatic,automation grade,automatic,capacity,1000,body material,cast iron,grade standard,industrial grade,phase,single phase,material,cast iron,usage/application,industrial,,,voltage,230 v,,,,,,,,,,,,,,,,,FALSE,gemini,TRUE,TRUE,FALSE,NA,FALSE,NA,FALSE,NA,,,,,,,,,,,TRUE,TRUE,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,,,,,,,,,TRUE,TRUE,FALSE,NA,TRUE,PARTIAL,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,,,TRUE,TRUE,TRUE,TRUE,FALSE,NA,TRUE,TRUE,FALSE,NA,FALSE,NA,TRUE,TRUE,TRUE,TRUE,,
hdpe extruder machine 300 kg/hr output 230 v 3 phase pp,5,5,4,body material,pp,capacity,300 kg/hr,phase,3 phase,product,hdpe extruder,voltage,230 v,,,,,,,,,capacity,300 kg/hr,material to be extruded,pp,material,hdpe,phase,three phase,phase,3 phase,production capacity,300 kg/hr,type,extruder,voltage,230 v,voltage,230 v,,,,,,,,,,,,,,,,,,,FALSE,qmeans,FALSE,NA,FALSE,NA,TRUE,FALSE,FALSE,NA,TRUE,TRUE,,,,,,,,,FALSE,NA,TRUE,FALSE,FALSE,NA,TRUE,TRUE,,,,,,,,,,,FALSE,NA,TRUE,TRUE,TRUE,TRUE,FALSE,NA,TRUE,TRUE,,,,,,,,,FALSE,NA,FALSE,NA,TRUE,FALSE,FALSE,NA,TRUE,TRUE,,,,,,,,
cast iron body polymer extruder with 100 kg/hr capacity and 440 v voltage,4,4,3,body material,cast iron,capacity,100 kg/hr,product,polymer extruder,voltage,440 v,,,,,,,,,,,capacity,100 kg/hr,body material,cast iron,material,cast iron,production capacity,100 kg/hr,type,extruder,voltage,440 v,voltage,440 v,,,,,,,,,,,,,,,,,,,,,,,FALSE,qmeans,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,TRUE,,,,,,,,,,,FALSE,NA,FALSE,NA,TRUE,TRUE,,,,,,,,,,,,,FALSE,NA,TRUE,TRUE,FALSE,NA,TRUE,TRUE,,,,,,,,,,,TRUE,TRUE,FALSE,NA,FALSE,NA,TRUE,TRUE,,,,,,,,,,
twin screw xlpe cable extruder 150 kg/hr manual 440 v,5,4,5,automation grade,manual,capacity,150 kg/hr,product,xlpe cable extruder,screw design,twin screw,voltage,440 v,,,,,,,,,capacity,150 kg/hr,automation grade,manual,machine type,manual,material to be extruded,xlpe,usage,cable,production capacity,150 kg/hr,voltage,440 v,screw design,twin screw,,,voltage,440 v,,,,,,,,,,,,,,,,,FALSE,gemini,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,TRUE,,,,,,,,,,,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,TRUE,,,,,,,,,FALSE,NA,TRUE,TRUE,FALSE,NA,FALSE,NA,TRUE,TRUE,,,,,,,,,TRUE,TRUE,FALSE,NA,FALSE,NA,TRUE,TRUE,TRUE,TRUE,,,,,,,,
unique plastic extruder,2,2,0,brand,unique,product,plastic extruder,,,,,,,,,,,,,,,brand,unique,,,type,extruder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,qmeans,FALSE,NA,FALSE,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,FALSE,NA,,,,,,,,,,,,,,,FALSE,NA,FALSE,NA,,,,,,,,,,,,,,
jockey extruder for chemical industries 200 kg/hr,3,3,2,capacity,200 kg/hr,product,jockey extruder,usage/application,chemical industries,,,,,,,,,,,,,brand,jockey,production capacity,200 kg/hr,capacity,200 kg/hr,usage/application,industrial,type,extruder,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,qmeans,FALSE,NA,FALSE,NA,FALSE,NA,,,,,,,,,,,,,FALSE,NA,FALSE,NA,,,,,,,,,,,,,,,TRUE,TRUE,FALSE,NA,FALSE,NA,,,,,,,,,,,,,FALSE,NA,FALSE,NA,TRUE,FALSE,,,,,,,,,,,,
"foam extruder - unique make, 100 kg/hr, pp, 1 phase",5,3,3,body material,pp,brand,unique,capacity,100 kg/hr,phase,1 phase,product,foam extruder,,,,,,,,,brand,unique,material to be extruded,pp,capacity,100 kg/hr,phase,1 phase,phase,1 phase,production capacity,100 kg/hr,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,same,FALSE,NA,FALSE,NA,TRUE,TRUE,,,,,,,,,,,,,FALSE,NA,TRUE,TRUE,FALSE,NA,,,,,,,,,,,,,FALSE,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,NA,,,,,,,,,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,TRUE,FALSE,NA,,,,,,,,
industrial co-rotating twin screw extruder prism 200 kg/hr 240 v fully automatic,6,5,5,automation grade,fully automatic,brand,prism,capacity,200 kg/hr,product,co-rotating twin screw extruder,usage/application,industrial,voltage,240 v,,,,,,,automation grade,automatic,automation grade,fully automatic,capacity,200 kg/hr,production capacity,200 kg/hr,machine type,screw,screw design,co-rotating twin screw,usage,industrial,usage/application,industrial,voltage,240 v,voltage,240 v,,,,,,,,,,,,,,,,,TRUE,same,TRUE,PARTIAL,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,TRUE,,,,,,,,,TRUE,PARTIAL,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,TRUE,,,,,,,,,TRUE,PARTIAL,FALSE,NA,TRUE,TRUE,FALSE,NA,FALSE,NA,TRUE,TRUE,,,,,,,TRUE,TRUE,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,TRUE,TRUE,TRUE,,,,,,
"industrial grade semi-automatic ldpe blown film machine with conical design, 1000 kg/hr capacity, operating voltage 440 v, 3 phase, ss 304 body material",8,4,9,automation grade,semi-automatic,body material,ss 304,capacity,1000 kg/hr,phase,3 phase,product,ldpe blown film machine,screw design,conical,usage/application,industrial,voltage,440 v,,,capacity,1000 kg/hr,automation grade,semi-automatic,machine type,semi-automatic,design,conical,material,ldpe,machine body material,ss 304,usage,industrial,material grade,ss 304,,,phase,three phase,,,plastic processed,ldpe,,,production capacity,1000 kg/hr,,,usage/application,industrial,,,voltage,440 v,FALSE,gemini,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,,,,,,,,,,,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,TRUE,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,,,TRUE,TRUE,FALSE,NA,FALSE,NA,TRUE,FALSE,FALSE,NA,FALSE,NA,TRUE,TRUE,TRUE,TRUE,,
1000 liter solid phase extraction system pp body,3,2,2,body material,pp,capacity,1000 liter,product,solid phase extraction system,,,,,,,,,,,,,capacity,1000 liter,body material,pp,material,pp,capacity(litre,1000 l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,same,FALSE,NA,FALSE,NA,,,,,,,,,,,,,,,FALSE,NA,FALSE,NA,,,,,,,,,,,,,,,FALSE,NA,TRUE,TRUE,FALSE,NA,,,,,,,,,,,,,TRUE,TRUE,FALSE,NA,FALSE,NA,,,,,,,,,,,,
gold star multi layer extruder,2,3,2,brand,gold star,product,multi layer extruder,,,,,,,,,,,,,,,brand,gold star,brand,gold star,layer,multi layer,layer,multilayer,type,extruder,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,qmeans,TRUE,TRUE,TRUE,FALSE,FALSE,NA,,,,,,,,,,,,,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,,,,,TRUE,TRUE,FALSE,NA,,,,,,,,,,,,,,,TRUE,TRUE,FALSE,NA,,,,,,,,,,,,,,
"automatic aluminium oleoresin extraction plant, capacity: 1000 kg/hr, voltage: 240 v, phase: three phase",6,2,5,automation grade,automatic,body material,aluminium,capacity,1000 kg/hr,phase,three phase,product,oleoresin extraction plant,voltage,240 v,,,,,,,capacity,1000 kg/hr,automation grade,automatic,voltage,240,material to be extruded,aluminium,,,phase,three phase,,,production capacity,1000 kg/hr,,,voltage,240 v,,,,,,,,,,,,,,,,,FALSE,gemini,FALSE,NA,TRUE,PARTIAL,,,,,,,,,,,,,,,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,PARTIAL,,,,,,,,,FALSE,NA,FALSE,NA,TRUE,TRUE,FALSE,NA,FALSE,NA,TRUE,PARTIAL,,,,,,,TRUE,TRUE,FALSE,NA,FALSE,NA,TRUE,TRUE,FALSE,NA,TRUE,TRUE,,,,,,
"rajco fully automatic gold refinery plant machine with 100 kg capacity, 230 v voltage, 3 phase, pp body, suitable for packaging",8,4,7,automation grade,fully automatic,body material,pp,brand,rajco,capacity,100 kg,phase,3 phase,product,gold refinery plant,usage/application,packaging,voltage,230 v,,,automation grade,automatic,application,packaging,brand,rajco,automation grade,fully automatic,capacity,100 kg,body material,pp,model name/number,gold refinery,brand,rajco,,,capacity,100 kg,,,phase,three phase,,,voltage,230 v,,,,,,,,,FALSE,gemini,TRUE,PARTIAL,TRUE,TRUE,TRUE,TRUE,FALSE,NA,,,,,,,,,,,FALSE,NA,TRUE,PARTIAL,FALSE,NA,TRUE,TRUE,TRUE,TRUE,FALSE,NA,FALSE,NA,,,,,TRUE,PARTIAL,FALSE,NA,TRUE,TRUE,TRUE,TRUE,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,NA,FALSE,NA,TRUE,TRUE,,
rajco automatic liquid extraction system,3,3,2,automation grade,automatic,brand,rajco,product,liquid extraction system,,,,,,,,,,,,,automation grade,automatic,automation grade,automatic,brand,rajco,brand,rajco,product,liquid extraction system,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,qmeans,TRUE,TRUE,TRUE,TRUE,FALSE,NA,,,,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,FALSE,NA,,,,,,,,,,,,
titanium body epe foam extruder 1000 liter,3,3,2,body material,titanium,capacity,1000 liter,product,epe foam extruder,,,,,,,,,,,,,capacity,1000 liter,body material,pp,material,titanium,capacity(litre,1000,type,extruder,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,qmeans,FALSE,NA,FALSE,NA,FALSE,NA,,,,,,,,,,,,,FALSE,NA,FALSE,NA,,,,,,,,,,,,,,,FALSE,NA,TRUE,TRUE,FALSE,NA,,,,,,,,,,,,,TRUE,FALSE,FALSE,NA,FALSE,NA,,,,,,,,,,,,
tube extrusion machine single screw design 100 tpd,3,1,3,capacity,100 tpd,product,tube extrusion machine,screw design,single screw,,,,,,,,,,,,,capacity,100 tpd,capacity,100 tpd,,,screw design,single screw,,,type,tube extrusion machine,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,gemini,TRUE,TRUE,,,,,,,,,,,,,,,,,TRUE,TRUE,FALSE,NA,FALSE,NA,,,,,,,,,,,,,TRUE,TRUE,FALSE,NA,FALSE,NA,,,,,,,,,,,,,TRUE,TRUE,FALSE,NA,TRUE,TRUE,,,,,,,,,,,,
pp body wpc extruder 25 kg/hr,3,3,2,body material,pp,capacity,25 kg/hr,product,wpc extruder,,,,,,,,,,,,,capacity,25 kg/hr,body material,pp,material,pp,production capacity,25 kg/hr,type,extruder,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,qmeans,FALSE,NA,FALSE,NA,FALSE,NA,,,,,,,,,,,,,FALSE,NA,FALSE,NA,,,,,,,,,,,,,,,FALSE,NA,TRUE,TRUE,FALSE,NA,,,,,,,,,,,,,TRUE,TRUE,FALSE,NA,FALSE,NA,,,,,,,,,,,,
co-rotating twin screw extruder for pharmaceutical 5 tpd,3,3,3,capacity,5 tpd,product,co-rotating twin screw extruder,usage/application,pharmaceutical,,,,,,,,,,,,,capacity,5 tpd,capacity,5 tpd,type,screw extruder,screw design,co-rotating twin screw,usage,pharmaceutical,usage/application,pharmaceutical industry,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,same,TRUE,TRUE,FALSE,NA,FALSE,NA,,,,,,,,,,,,,TRUE,TRUE,FALSE,NA,FALSE,NA,,,,,,,,,,,,,TRUE,TRUE,FALSE,NA,FALSE,NA,,,,,,,,,,,,,TRUE,TRUE,FALSE,NA,TRUE,PARTIAL,,,,,,,,,,,,
automatic foam extruder 380 v,3,2,2,automation grade,automatic,product,foam extruder,voltage,380 v,,,,,,,,,,,,,automation grade,automatic,automation grade,automatic,voltage,380 v,voltage,380 v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,same,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,TRUE,TRUE,FALSE,NA,TRUE,TRUE,,,,,,,,,,,,,TRUE,TRUE,FALSE,NA,TRUE,TRUE,,,,,,,,,,,,
twin screw extruder with 5 kw power 480 v,3,2,3,power,5 kw,product,twin screw extruder,voltage,480 v,,,,,,,,,,,,,machine type,screw extruder,power,5 kw,voltage,480 v,screw design,twin screw,,,voltage,480 v,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,gemini,FALSE,NA,TRUE,TRUE,,,,,,,,,,,,,,,FALSE,NA,FALSE,NA,TRUE,TRUE,,,,,,,,,,,,,FALSE,NA,FALSE,NA,TRUE,TRUE,,,,,,,,,,,,,TRUE,TRUE,FALSE,NA,TRUE,TRUE,,,,,,,,,,,,
conical co-rotating twin screw extruder 10 tpd fully automatic 220 v,5,4,5,automation grade,fully automatic,capacity,10 tpd,product,co-rotating twin screw extruder,screw design,conical,voltage,220 v,,,,,,,,,automation grade,automatic,automation grade,fully automatic,capacity,10 tpd,capacity,10 tpd,type,screw extruder,screw design,conical,voltage,220 v,screw design,twin screw,,,voltage,220 v,,,,,,,,,,,,,,,,,FALSE,gemini,TRUE,PARTIAL,TRUE,TRUE,FALSE,NA,TRUE,TRUE,,,,,,,,,,,TRUE,PARTIAL,TRUE,TRUE,FALSE,NA,FALSE,NA,TRUE,TRUE,,,,,,,,,TRUE,PARTIAL,TRUE,TRUE,FALSE,NA,FALSE,NA,TRUE,TRUE,,,,,,,,,TRUE,TRUE,TRUE,TRUE,FALSE,NA,TRUE,FALSE,TRUE,TRUE,,,,,,,,
