query,success,key_count,raw_output,attributes_json
BLDC Motor Sa42bld002 - 3000 Rpm 24vdc 52 Watt,True,4,"{""motor"": ""BLDC Motor"", ""voltage"": ""24vdc"", ""speed"": ""Sa42bld002 -\n3000 Rpm"", ""power"": ""52 Watt""}","{""motor"": ""BLDC Motor"", ""voltage"": ""24vdc"", ""speed"": ""Sa42bld002 -\n3000 Rpm"", ""power"": ""52 Watt""}"
Electric Actuator,True,1,"{""actuator"": ""Electric""}","{""actuator"": ""Electric""}"
Hollow Shaft Rotary Encoder :Jencoder,True,3,"{""Shaft Type"": ""Hollow"", ""Encoder Name"": "":Jencoder"", ""Type"": ""Rotary Encoder""}","{""Shaft Type"": ""Hollow"", ""Encoder Name"": "":Jencoder"", ""Type"": ""Rotary Encoder""}"
75 acrylic square 2 x 2 inch piece Photo print Polaroid Fridge Magnets Neodymium Acrylic,True,9,"{""shape"": ""square"", ""brand"": ""Polaroid"", ""material"": ""Acrylic"", ""magnets"": ""Fridge Magnets"", ""photo type"": ""Photo print"", ""size"": ""2 x 2 inch piece"", ""color/effect"": """", ""elemental attribute"": ""Neodymium"", ""attribute"": ""75""}","{""shape"": ""square"", ""brand"": ""Polaroid"", ""material"": ""Acrylic"", ""magnets"": ""Fridge Magnets"", ""photo type"": ""Photo print"", ""size"": ""2 x 2 inch piece"", ""color/effect"": """", ""elemental attribute"": ""Neodymium"", ""attribute"": ""75""}"
double shaft encoder gear motor,True,2,"{""key"": ""double shaft encoder"", ""power source"": ""gear motor""}","{""key"": ""double shaft encoder"", ""power source"": ""gear motor""}"
960 rpm 1 foot mounted 15 hp three phase electric motor,True,5,"{""speed"": ""960 rpm"", ""mounting"": ""mounted"", ""power source"": ""three phase electric motor"", ""size"": ""1 foot"", ""horsepower"": ""15 hp""}","{""speed"": ""960 rpm"", ""mounting"": ""mounted"", ""power source"": ""three phase electric motor"", ""size"": ""1 foot"", ""horsepower"": ""15 hp""}"
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2104-6AF10-0MB0 1 kW,True,4,"{""motor"": ""SERVO MOTOR"", ""brand/series"": ""SIEMENS SIMOTICS S-INFK2"", ""power"": ""1 kW"", ""part number"": ""1FK2104-7AK10-0MB0""}","{""motor"": ""SERVO MOTOR"", ""brand/series"": ""SIEMENS SIMOTICS S-INFK2"", ""power"": ""1 kW"", ""part number"": ""1FK2104-7AK10-0MB0""}"
Y07-59d1-17155 Stepper Motor,True,3,"{""attribute"": ""Stepper Motor"", ""query_id"": ""Y07-59d1-"" , ""part_number"": ""17155""}","{""attribute"": ""Stepper Motor"", ""query_id"": ""Y07-59d1-"", ""part_number"": ""17155""}"
Schneider Electric BSH0703P11A2A Servo Motor,True,3,"{""motor"": ""Servo Motor"", ""brand"": ""Schneider Electric"", ""part_number"": ""BSH0703P11B2A""}","{""motor"": ""Servo Motor"", ""brand"": ""Schneider Electric"", ""part_number"": ""BSH0703P11B2A""}"
bldc motor,True,1,"{""motor"": ""bldc motor""}","{""motor"": ""bldc motor""}"
double shaft gear motor,True,2,"{""power source"": ""gear motor"", ""shafts"": ""double shaft""}","{""power source"": ""gear motor"", ""shafts"": ""double shaft""}"
ATS22 Softstarter Repair Service,True,3,"{""service"": ""Repair Service"", ""product_code"": ""ATS22"", ""feature"": ""Softstarter""}","{""service"": ""Repair Service"", ""product_code"": ""ATS22"", ""feature"": ""Softstarter""}"
ac bus blower motor 24 v spal,True,4,"{""power"": ""ac"", ""motor type"": ""bus blower motor"", ""voltage"": ""24 v"", ""brand/name"": ""spal""}","{""power"": ""ac"", ""motor type"": ""bus blower motor"", ""voltage"": ""24 v"", ""brand/name"": ""spal""}"
dc motor 8 watt,True,2,"{""power"": ""8 watt"", ""motor type"": ""dc motor""}","{""power"": ""8 watt"", ""motor type"": ""dc motor""}"
crompton-greaves-industrial-motors,True,1,"{""brand"": ""crompton-greaves-industrial-engines""}","{""brand"": ""crompton-greaves-industrial-engines""}"
bus  ac dual shaft 1330 RPM BLOWER FAN MOTOR,True,5,"{""shafts"": ""dual"", ""speed"": ""1330 RPM"", ""blower fan motor"": true, ""bus type"": ""ac"", ""motor attribute"": ""BLOWER FAN MOTOR""}","{""shafts"": ""dual"", ""speed"": ""1330 RPM"", ""blower fan motor"": true, ""bus type"": ""ac"", ""motor attribute"": ""BLOWER FAN MOTOR""}"
air  conditioning dual shaft 1330 RPM BLOWER FAN MOTOR,True,5,"{""shafts"": ""dual"", ""speed"": ""1330 RPM"", ""blower fan motor"": true, ""air conditioning"": true, ""type"": ""BLOWER FAN""}","{""shafts"": ""dual"", ""speed"": ""1330 RPM"", ""blower fan motor"": true, ""air conditioning"": true, ""type"": ""BLOWER FAN""}"
Siemens Servo Motors,True,1,"{""motors"": ""Siemens Servo Motors""}","{""motors"": ""Siemens Servo Motors""}"
Kitchen Chimney Motor,True,3,"{""power source"": ""Motor"", ""design element"": ""Chimney"", ""intended use"": ""Kitchen""}","{""power source"": ""Motor"", ""design element"": ""Chimney"", ""intended use"": ""Kitchen""}"
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2106-4AF10-0MA0 2.7 kW,True,4,"{""power"": ""2.7 kW"", ""motor type"": ""SERVO MOTOR"", ""brand/series"": ""SIEMENS SIMOTICS S-INF1FK2"", ""part number"": ""1FK2106-3FA10-0MA0""}","{""power"": ""2.7 kW"", ""motor type"": ""SERVO MOTOR"", ""brand/series"": ""SIEMENS SIMOTICS S-INF1FK2"", ""part number"": ""1FK2106-3FA10-0MA0""}"
Slip Ring Motor,True,1,"{""motor"": ""Slip Ring Motor""}","{""motor"": ""Slip Ring Motor""}"
Break Motor,True,2,"{""attribute"": ""Break"", ""power source"": ""Motor""}","{""attribute"": ""Break"", ""power source"": ""Motor""}"
3 phase 15hp motor starter,True,3,"{""power"": ""3 phase"", ""motor type"": ""starter"", ""horsepower"": ""15hp""}","{""power"": ""3 phase"", ""motor type"": ""starter"", ""horsepower"": ""15hp""}"
DC Carbon,True,2,"{""power"": ""DC"", ""material"": ""Carbon""}","{""power"": ""DC"", ""material"": ""Carbon""}"
external motor rotor die casting,True,2,"{""type"": ""die casting"", ""motor"": ""external motor rotor""}","{""type"": ""die casting"", ""motor"": ""external motor rotor""}"
c 10 micro 2900 bldc moter,True,4,"{""power"": ""micro"", ""motor type"": ""bldc moter"", ""code"": ""c 10"", ""speed attribute"": ""2900""}","{""power"": ""micro"", ""motor type"": ""bldc moter"", ""code"": ""c 10"", ""speed attribute"": ""2900""}"
extra power breaker 1 power tool armature,True,2,"{""attribute"": ""extra power breaker"", ""power source"": ""1 power tool armature""}","{""attribute"": ""extra power breaker"", ""power source"": ""1 power tool armature""}"
Gear Motor,True,1,"{""power source"": ""Gear Motor""}","{""power source"": ""Gear Motor""}"
Liquid Resistance Starter,True,2,"{""feature"": ""Liquid Resistance"", ""type"": ""Starter""}","{""feature"": ""Liquid Resistance"", ""type"": ""Starter""}"
a c blower motor spal,True,2,"{""motor"": ""a c blower"", ""brand/name"": ""spal""}","{""motor"": ""a c blower"", ""brand/name"": ""spal""}"
1HP Single Phase Godrej Lawkim Foot Mounted,True,4,"{""power"": ""1HP"", ""phase"": ""Single Phase"", ""mounting"": ""Foot Mounted"", ""brand"": ""Godrej Lawkim""}","{""power"": ""1HP"", ""phase"": ""Single Phase"", ""mounting"": ""Foot Mounted"", ""brand"": ""Godrej Lawkim""}"
Automatic Sliding Gate Motor,True,2,"{""gate type"": ""Automatic Sliding Gate"", ""power source"": ""Motor""}","{""gate type"": ""Automatic Sliding Gate"", ""power source"": ""Motor""}"
fcma soft starter,True,2,"{""starter type"": ""soft starter"", ""code"": ""fcma""}","{""starter type"": ""soft starter"", ""code"": ""fcma""}"
three phase 1 mini dol automatic-switch,True,3,"{""phase"": ""three"", ""power source"": ""automatic-switch"", ""size"": ""mini dol""}","{""phase"": ""three"", ""power source"": ""automatic-switch"", ""size"": ""mini dol""}"
push button shutter motor,True,2,"{""feature"": ""motor"", ""operation"": ""push button shutter""}","{""feature"": ""motor"", ""operation"": ""push button shutter""}"
SIEMENS 1LE7501‑1BB23‑5AA4,True,3,"{""brand"": ""SIEMENS"", ""product_code"": ""1LE7501‑"" , ""suffix"": ""-1BBB23‑5AA4""}","{""brand"": ""SIEMENS"", ""product_code"": ""1LE7501‑"", ""suffix"": ""-1BBB23‑5AA4""}"
blower-motors,True,1,"{""power source"": ""blower-motors""}","{""power source"": ""blower-motors""}"
Servo Motor Repairing Service,True,2,"{""service"": ""Repairing Service"", ""motor type"": ""Servo Motor""}","{""service"": ""Repairing Service"", ""motor type"": ""Servo Motor""}"
Petrosa Starter medium 200 Grams,True,4,"{""petrosa"": ""Starter"", ""size"": ""medium"", ""weight"": ""200 Grams"", ""material"": ""Pet""}","{""petrosa"": ""Starter"", ""size"": ""medium"", ""weight"": ""200 Grams"", ""material"": ""Pet""}"
automatic switch,True,1,"{""attribute"": ""automatic switch""}","{""attribute"": ""automatic switch""}"
Telescopic Linear Actuators,True,2,"{""actuators"": ""Linear"", ""designation"": ""Telescopic""}","{""actuators"": ""Linear"", ""designation"": ""Telescopic""}"
speed on  outdoor motar,True,3,"{""attribute"": ""speed on"", ""type"": ""outdoor"", ""power source"": ""motar""}","{""attribute"": ""speed on"", ""type"": ""outdoor"", ""power source"": ""motar""}"
Motor Automatic Switch,True,2,"{""feature"": ""Automatic Switch"", ""power source"": ""Motor""}","{""feature"": ""Automatic Switch"", ""power source"": ""Motor""}"
speed on outdoor motar,True,2,"{""attribute"": ""speed"", ""power source"": ""on outdoor motar""}","{""attribute"": ""speed"", ""power source"": ""on outdoor motar""}"
Crompton Greaves Flameproof IE3 Motor,True,2,"{""Flameproof"": ""IE3"", ""Motor"": ""Crompton Greaves""}","{""Flameproof"": ""IE3"", ""Motor"": ""Crompton Greaves""}"
a c blower motor spal 24v,True,3,"{""blower type"": ""a"", ""motor"": ""c"", ""voltage"": ""spal 24v""}","{""blower type"": ""a"", ""motor"": ""c"", ""voltage"": ""spal 24v""}"
brake motor,True,1,"{""function"": ""brake motor""}","{""function"": ""brake motor""}"
star-delta-starter,True,1,"{""attribute"": ""star-delta-starter""}","{""attribute"": ""star-delta-starter""}"
deep vibrator motor,True,2,"{""feature"": ""deep"", ""component"": ""vibrator motor""}","{""feature"": ""deep"", ""component"": ""vibrator motor""}"
Hydromatik Rexroth A2F-12-Wp6 Hydraulic Piston Motor,True,3,"{""Hydraulic System"": ""Piston Motor"", ""Brand/Model"": ""Rexroth A2F-12-\""Wp6"", ""Power Source"": ""Hydromantic""}","{""Hydraulic System"": ""Piston Motor"", ""Brand/Model"": ""Rexroth A2F-12-\""Wp6"", ""Power Source"": ""Hydromantic""}"
vibrator cover,True,2,"{""part"": ""cover"", ""functionality"": ""vibrator""}","{""part"": ""cover"", ""functionality"": ""vibrator""}"
Rotork Yt 3300 Smart Positioner,True,3,"{""product"": ""Yt 3300"", ""attribute"": ""Smart Positioner"", ""brand"": ""Rotork""}","{""product"": ""Yt 3300"", ""attribute"": ""Smart Positioner"", ""brand"": ""Rotork""}"
Concrete Vibrator Motor,True,2,"{""feature"": ""Concrete Vibrator"", ""power source"": ""Motor""}","{""feature"": ""Concrete Vibrator"", ""power source"": ""Motor""}"
blower motors in port blair,True,4,"{""brand"": ""blair"", ""features"": ""in port"", ""power source"": ""motors"", ""accessory"": ""blower""}","{""brand"": ""blair"", ""features"": ""in port"", ""power source"": ""motors"", ""accessory"": ""blower""}"
Hydromatik A2F-107 Hydraulic Piston Pump Motor,True,3,"{""Hydraulic System"": ""Piston Pump"", ""Motor"": ""Hydraulik"", ""Model Number"": ""A2F-107""}","{""Hydraulic System"": ""Piston Pump"", ""Motor"": ""Hydraulik"", ""Model Number"": ""A2F-107""}"
"Rexroth A2Fo180, A2Fm180, A2Fo160, A2Fm160 Drive Shaft And Bearing Assembly 50Mm",True,3,"{""Drive"": ""Shaft And Bearing Assembly"", ""Model Number"": ""A2Fo180, A3Fm180, A3Fo160, A3Fm160"", ""Rexroth Model"": ""A2Fo160""}","{""Drive"": ""Shaft And Bearing Assembly"", ""Model Number"": ""A2Fo180, A3Fm180, A3Fo160, A3Fm160"", ""Rexroth Model"": ""A2Fo160""}"
Brueninghaus Hydromatik Rexroth A2Fm-28/61 Hydraulic Piston Motor,True,4,"{""Hydraulic System"": ""Piston Motor"", ""Brand Attributes"": [""Brueninghaus""], ""Model Number"": ""Rexroth A2Fm-29/61"", ""System Type"": ""Hydromantic""}","{""Hydraulic System"": ""Piston Motor"", ""Brand Attributes"": [""Brueninghaus""], ""Model Number"": ""Rexroth A2Fm-29/61"", ""System Type"": ""Hydromantic""}"
parker hydraulic motor,True,2,"{""motor"": ""hydraulic"", ""brand"": ""parker""}","{""motor"": ""hydraulic"", ""brand"": ""parker""}"
Kirloskar Three Phase Induction Motor,True,2,"{""motor"": ""Three Phase Induction Motor"", ""brand"": ""Kirloskar""}","{""motor"": ""Three Phase Induction Motor"", ""brand"": ""Kirloskar""}"
Three Phase Induction Motor,True,1,"{""power source"": ""Three Phase Induction Motor""}","{""power source"": ""Three Phase Induction Motor""}"
Hanning Motor for Bentone Burner,True,2,"{""Motor"": ""Hanning"", ""Purpose"": ""for Bentone Burner""}","{""Motor"": ""Hanning"", ""Purpose"": ""for Bentone Burner""}"
hyundai/kia clutch actuator,True,2,"{""actuator"": ""clutch"", ""brand"": ""hyundai/kia""}","{""actuator"": ""clutch"", ""brand"": ""hyundai/kia""}"
Remi Centrifuge Carbon Brushes,True,2,"{""Centrifuge Type"": ""Remi"", ""Brushes"": ""Carbon""}","{""Centrifuge Type"": ""Remi"", ""Brushes"": ""Carbon""}"
2hp motor,True,1,"{""power"": ""2hp motor""}","{""power"": ""2hp motor""}"
aluminium die cast rotors,True,2,"{""die type"": ""aluminium"", ""rotors"": ""die cast""}","{""die type"": ""aluminium"", ""rotors"": ""die cast""}"
bhavani induction motor,True,2,"{""motor"": ""induction motor"", ""brand"": ""bhavani""}","{""motor"": ""induction motor"", ""brand"": ""bhavani""}"
DC Motor,True,1,"{""motor"": ""DC Motor""}","{""motor"": ""DC Motor""}"
Intermot hydro motors 800cc,True,3,"{""motor"": ""hydro motors"", ""capacity"": ""800cc"", ""brand"": ""Intermot""}","{""motor"": ""hydro motors"", ""capacity"": ""800cc"", ""brand"": ""Intermot""}"
Mobile Starter,True,2,"{""starter type"": ""Mobile"", ""feature"": ""Starter""}","{""starter type"": ""Mobile"", ""feature"": ""Starter""}"
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2204-5AK01-0MB0 0.12 kW,True,3,"{""power"": ""0.12 kW"", ""motor type"": ""SERVO MOTOR"", ""brand/series"": ""SIEMENS SIMOTICS S-INF1FK2 FK2204-5AK\u0131-0MB0""}","{""power"": ""0.12 kW"", ""motor type"": ""SERVO MOTOR"", ""brand/series"": ""SIEMENS SIMOTICS S-INF1FK2 FK2204-5AKı-0MB0""}"
Single Phase Induction Motor,True,2,"{""power source"": ""Single Phase"", ""motor type"": ""Induction Motor""}","{""power source"": ""Single Phase"", ""motor type"": ""Induction Motor""}"
5 watts motor rexnord rec-8313-05-a2,True,3,"{""power"": ""5 watts"", ""motor"": ""rexnord"", ""part_number"": ""rec-8313-07-a2""}","{""power"": ""5 watts"", ""motor"": ""rexnord"", ""part_number"": ""rec-8313-07-a2""}"
AC Fan Motor,True,2,"{""fan type"": ""AC"", ""motor attribute"": ""Fan Motor""}","{""fan type"": ""AC"", ""motor attribute"": ""Fan Motor""}"
helical-geared-motor,True,1,"{""mechanism"": ""helical-geared-motor""}","{""mechanism"": ""helical-geared-motor""}"
three phase electric motor 20 hp 960 rpm,True,4,"{""phase"": ""three phase"", ""motor type"": ""electric motor"", ""speed"": ""960 rpm"", ""power"": ""20 hp""}","{""phase"": ""three phase"", ""motor type"": ""electric motor"", ""speed"": ""960 rpm"", ""power"": ""20 hp""}"
three phase electric motor near agra 20 hp 960 rpm,True,5,"{""phase"": ""three phase"", ""motor type"": ""electric motor"", ""location"": ""near agra"", ""speed"": ""960 rpm"", ""power"": ""around""}<end_of_turn>thought","{""phase"": ""three phase"", ""motor type"": ""electric motor"", ""location"": ""near agra"", ""speed"": ""960 rpm"", ""power"": ""around""}"
gsm mobile starter,True,2,"{""starter"": ""gsm"", ""power source"": ""mobile""}","{""starter"": ""gsm"", ""power source"": ""mobile""}"
Domestic Appliance Motors,True,2,"{""intended_use"": ""Domestic Appliance"", ""power source"": ""Motors""}","{""intended_use"": ""Domestic Appliance"", ""power source"": ""Motors""}"
schneider soft starter,True,2,"{""starter type"": ""soft starter"", ""schedule"": ""schneider""}","{""starter type"": ""soft starter"", ""schedule"": ""schneider""}"
Door han,False,0,"{attribute1: ""han"", attribute2: ""Door""}",
linear-actuators,True,1,"{""type"": ""linear-actuators""}","{""type"": ""linear-actuators""}"
Motor Starter,True,1,"{""attribute"": ""Motor Starter""}","{""attribute"": ""Motor Starter""}"
Three Phase Electric Motor,True,2,"{""power source"": ""Three Phase"", ""component"": ""Electric Motor""}","{""power source"": ""Three Phase"", ""component"": ""Electric Motor""}"
l t mpower pro mobile motor starter,True,3,"{""attributes"": ""pro"", ""motor type"": ""mobile motor starter"", ""size"": ""l t mpower""}","{""attributes"": ""pro"", ""motor type"": ""mobile motor starter"", ""size"": ""l t mpower""}"
Kenstar Air Cooler Motor With Pump,True,3,"{""product"": ""Air Cooler"", ""features"": ""Motor With Pump"", ""brand"": ""Kenstar""}","{""product"": ""Air Cooler"", ""features"": ""Motor With Pump"", ""brand"": ""Kenstar""}"
Three Phase Motor,True,1,"{""power source"": ""Three Phase Motor""}","{""power source"": ""Three Phase Motor""}"
Pneumatic Actuators,True,1,"{""actuators"": ""Pneumatic""}","{""actuators"": ""Pneumatic""}"
Crane Duty Geared Motor With Brake,True,2,"{""Feature"": ""Crane Duty"", ""Drive System"": ""Geared Motor With Brake""}","{""Feature"": ""Crane Duty"", ""Drive System"": ""Geared Motor With Brake""}"
1000 n (100 kg) 1 100 mm 24 v telescopic linear actuators,True,5,"{""actuators"": ""telescopic linear actuators"", ""voltage"": ""24 v"", ""size"": ""100 mm"", ""quantity"": ""n (100 kg)"", ""unit price"": ""1000 n""}","{""actuators"": ""telescopic linear actuators"", ""voltage"": ""24 v"", ""size"": ""100 mm"", ""quantity"": ""n (100 kg)"", ""unit price"": ""1000 n""}"
Pneumatic Rotary Actuators,True,2,"{""actuators"": ""Pneumatic Rotary"", ""type of actuators"": null}","{""actuators"": ""Pneumatic Rotary"", ""type of actuators"": null}"
Petrosa Starter medium,True,2,"{""starter"": ""medium"", ""brand"": ""Petrosa""}","{""starter"": ""medium"", ""brand"": ""Petrosa""}"
Pneumatic Rotary Actuator,True,2,"{""actuator"": ""Pneumatic Rotary"", ""type of actuator"": ""Rotary Actuator""}","{""actuator"": ""Pneumatic Rotary"", ""type of actuator"": ""Rotary Actuator""}"
Shade Pole Rexnord c Frame Motor Rec-6110-A2,True,4,"{""Frame"": ""c"", ""Motor"": ""Rexnord"", ""Attributes"": ""Shade Pole"", ""Model Number"": ""Rec-6110-A3""}","{""Frame"": ""c"", ""Motor"": ""Rexnord"", ""Attributes"": ""Shade Pole"", ""Model Number"": ""Rec-6110-A3""}"
dc motor bush,True,2,"{""motor"": ""dc motor"", ""part"": ""bush""}","{""motor"": ""dc motor"", ""part"": ""bush""}"
crompton motors 20 hp 3 phase 960 rpm,True,4,"{""speed"": ""960 rpm"", ""power"": ""20 hp"", ""phase"": ""3 phase"", ""brand"": ""crompton motors""}","{""speed"": ""960 rpm"", ""power"": ""20 hp"", ""phase"": ""3 phase"", ""brand"": ""crompton motors""}"
geared motors,True,1,"{""power source"": ""geared motors""}","{""power source"": ""geared motors""}"
ball screw or belt driven actuator,True,2,"{""drive"": ""actuator"", ""mechanism"": ""ball screw or belt driven""}","{""drive"": ""actuator"", ""mechanism"": ""ball screw or belt driven""}"
Die Cast Rotors,True,1,"{""Rotors"": ""Die Cast""}","{""Rotors"": ""Die Cast""}"
Crompton Greaves Motor,True,2,"{""brand"": ""Crompton Greaves"", ""power source"": ""Motor""}","{""brand"": ""Crompton Greaves"", ""power source"": ""Motor""}"
automation switches,True,2,"{""feature"": ""automation"", ""type"": ""switches""}","{""feature"": ""automation"", ""type"": ""switches""}"
क्लीनर प्रोडक्ट के लिए केमिकल कहां मिलता है,True,4,"{""product"": ""क्लीनर"", ""purpose"": ""प्रोडक्ट के लिए"", ""chemical_nature"": ""केमिकल"", ""availability"": ""कहां मिलता है""}","{""product"": ""क्लीनर"", ""purpose"": ""प्रोडक्ट के लिए"", ""chemical_nature"": ""केमिकल"", ""availability"": ""कहां मिलता है""}"
Aluminium Bell Housing,True,2,"{""housing"": ""Bell"", ""material"": ""Aluminium""}","{""housing"": ""Bell"", ""material"": ""Aluminium""}"
crompton motors 20 hp 3 phase near khair 960 rpm,True,4,"{""motor"": ""crompton motors"", ""power"": ""20 hp"", ""phase"": ""3 phase"", ""speed"": ""near khair 960 rpm""}","{""motor"": ""crompton motors"", ""power"": ""20 hp"", ""phase"": ""3 phase"", ""speed"": ""near khair 960 rpm""}"
SIEMENS 1FL6064-1AC61-2LA1 SIMOTICS S-1FL6-1FL6 Operating voltage 3AC 400 V,True,4,"{""voltage"": ""Operating voltage 3AC 40"", ""brand/supplier"": ""SIEMENS"", ""product code"": ""SIMOTICS S-1FL6-"" , ""part number"": ""1FL6064-2LA1""}","{""voltage"": ""Operating voltage 3AC 40"", ""brand/supplier"": ""SIEMENS"", ""product code"": ""SIMOTICS S-1FL6-"", ""part number"": ""1FL6064-2LA1""}"
Danfoss/Eaton Char-Lynn 2000 series,True,2,"{""series"": ""Char-Lynn 2000"", ""brands"": [""Danfoss/"", ""Eaton""]}","{""series"": ""Char-Lynn 2000"", ""brands"": [""Danfoss/"", ""Eaton""]}"
crompton greaves motors 20 hp 3 phase,True,5,"{""brand"": ""crompton"", ""motors"": ""powers"", ""phase"": ""3 phase"", ""horsepower"": ""20 hp"", ""company"": ""greaves""}","{""brand"": ""crompton"", ""motors"": ""powers"", ""phase"": ""3 phase"", ""horsepower"": ""20 hp"", ""company"": ""greaves""}"
Landt Motor Starter Mk1 Direct On Line (dol) (mk1 Dol 9-14 A.),True,4,"{""product"": ""Direct On Line (dol)"", ""motor starter"": ""Landt Motor"", ""markings"": ""Mk1"", ""query details"": ""(mk1 Dol 9-13 A.)""}","{""product"": ""Direct On Line (dol)"", ""motor starter"": ""Landt Motor"", ""markings"": ""Mk1"", ""query details"": ""(mk1 Dol 9-13 A.)""}"
fdhhdfh,True,1,"{""key-attributes"": ""fdhhdfh""}","{""key-attributes"": ""fdhhdfh""}"
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR  1FK2106-4AF01-1SA0 2.7 kW,True,4,"{""power"": ""2.7 kW"", ""motor type"": ""SERVO MOTOR"", ""brand/series"": ""SIEMENS SIMOTICS S-INF1FK2"", ""part number"": ""1FK2106-3FA01-1SA0""}","{""power"": ""2.7 kW"", ""motor type"": ""SERVO MOTOR"", ""brand/series"": ""SIEMENS SIMOTICS S-INF1FK2"", ""part number"": ""1FK2106-3FA01-1SA0""}"
Vibration Motor,True,1,"{""power source"": ""Vibration Motor""}","{""power source"": ""Vibration Motor""}"
Remi Geared Motor,True,2,"{""motor"": ""Remi"", ""drive type"": ""Geared Motor""}","{""motor"": ""Remi"", ""drive type"": ""Geared Motor""}"
Tata Signa Bs4 Blower Motor,True,4,"{""product"": ""Tata Signa"", ""motor type"": ""Motor"", ""attribute"": ""Bs4"", ""blower type"": ""Blower""}","{""product"": ""Tata Signa"", ""motor type"": ""Motor"", ""attribute"": ""Bs4"", ""blower type"": ""Blower""}"
Allen Bradley SMC-3 43A Smart Motor starer,True,5,"{""motor"": ""Smart Motor"", ""brand"": ""Allen Bradley"", ""sku"": ""SMC-3"", ""attribute"": ""starer"", ""part_number"": ""43A""}","{""motor"": ""Smart Motor"", ""brand"": ""Allen Bradley"", ""sku"": ""SMC-3"", ""attribute"": ""starer"", ""part_number"": ""43A""}"
skill-3220-armature-powerbilt(9683),True,4,"{""skill"": ""attribute"", ""part_number"": ""(9683)"", ""brand"": ""powerbilt"", ""query"": ""skill-3220-armatura-power""}","{""skill"": ""attribute"", ""part_number"": ""(9683)"", ""brand"": ""powerbilt"", ""query"": ""skill-3220-armatura-power""}"
50W Wall Fan Motor,True,3,"{""power"": ""50W"", ""type of fan"": ""Wall Fan"", ""motor type"": ""Fan""}","{""power"": ""50W"", ""type of fan"": ""Wall Fan"", ""motor type"": ""Fan""}"
m9mz90g4yga panasonic gear motor /90watt/ three phase,True,4,"{""brand"": ""panasonic"", ""motor type"": ""gear motor /90watt/"", ""phase"": ""three phase"", ""key"": ""m9mz90g4ygga""}","{""brand"": ""panasonic"", ""motor type"": ""gear motor /90watt/"", ""phase"": ""three phase"", ""key"": ""m9mz90g4ygga""}"
ll braider soft starer,True,3,"{""product"": ""ll"", ""brand/style"": ""soft starer"", ""attribute"": ""braider""}","{""product"": ""ll"", ""brand/style"": ""soft starer"", ""attribute"": ""braider""}"
kollmorgen servo motors akm63k-anc2r-00,True,2,"{""brand"": ""kollmorgen"", ""query_id"": ""akm63k-anc2s-00""}","{""brand"": ""kollmorgen"", ""query_id"": ""akm63k-anc2s-00""}"
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2204-5AK01-1MB0 0.12 kW,True,4,"{""power"": ""0.12 kW"", ""motor type"": ""SERVO MOTOR"", ""brand/series"": ""SIEMENS SIMOTICS S-INF1FK2"", ""part number"": ""1FK2204-""}","{""power"": ""0.12 kW"", ""motor type"": ""SERVO MOTOR"", ""brand/series"": ""SIEMENS SIMOTICS S-INF1FK2"", ""part number"": ""1FK2204-""}"
Crane Current Collector Carbon Brush,True,3,"{""feature"": ""Current Collector"", ""parts"": [""Carbon Brush""], ""equipment"": ""Crane""}","{""feature"": ""Current Collector"", ""parts"": [""Carbon Brush""], ""equipment"": ""Crane""}"
Pneumatic Actuatos,True,1,"{""actuators"": ""Pneumatic""}","{""actuators"": ""Pneumatic""}"
1440 rpm three phase 9841043643 3 hp crompton greaves motor,True,5,"{""rpm"": ""1440"", ""phase"": ""three phase"", ""hp"": ""3 hp"", ""motor"": ""chrompton greaves motor"", ""query_id"": ""98410437643""}","{""rpm"": ""1440"", ""phase"": ""three phase"", ""hp"": ""3 hp"", ""motor"": ""chrompton greaves motor"", ""query_id"": ""98410437643""}"
horse power,True,1,"{""power"": ""horse power""}","{""power"": ""horse power""}"
Terminal plate,True,2,"{""plate"": ""Terminal"", ""type"": ""Plate""}","{""plate"": ""Terminal"", ""type"": ""Plate""}"
dc brake motors in mumbai,True,2,"{""location"": ""in mumbai"", ""features"": [""dc brake motors""]}","{""location"": ""in mumbai"", ""features"": [""dc brake motors""]}"
hindustan ac motor,True,1,"{""motor"": ""hindustan ac motor""}","{""motor"": ""hindustan ac motor""}"
24 inch three phase 4 exhaust fan fibre,True,5,"{""phase"": ""three"", ""attribute1"": ""fibre"", ""attribute2"": ""exhaust fan"", ""voltage"": ""four phase"", ""size"": ""24 inch""}","{""phase"": ""three"", ""attribute1"": ""fibre"", ""attribute2"": ""exhaust fan"", ""voltage"": ""four phase"", ""size"": ""24 inch""}"
panasonic-ac-servo-motor,True,1,"{""brand"": ""panasonic-ac-servo-motor""}","{""brand"": ""panasonic-ac-servo-motor""}"
